video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
-QcoL_fU-WE,0,0.0,5.0,5.0,Mưa lớn đã quay trở lại với khu vực miền trung rồi và nguy cơ sạt lở vẫn tiếp tục diễn ra.,Mưa lớn đã quay trở lại khu vực miền Trung và nguy cơ sạt lở vẫn tiếp tục gia tăng.,Mưa lớn đã quay trở lại với khu vực miền trung rồi và nguy cơ sạt lở vẫn tiếp tục diễn ra.,REVERT,HIGH
-QcoL_fU-WE,1,5.0,8.0,3.0,Vậy đâu là những khu vực có thể xảy ra sạt lở lớn nhất ạ?,"Những khu vực có nguy cơ xảy ra sạt lở lớn nhất là từ Hà Tĩnh đến Quảng Nam, đặc biệt là các huyện miền núi tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế, nơi có từ 4 đến 6 huyện có nguy cơ cao, trong khi Quảng Nam có tới 9 huyện nằm trong vùng nguy cơ sạt lở.",Vậy đâu là những khu vực có thể xảy ra sạt lở lớn nhất ạ?,REVERT,HIGH
-QcoL_fU-WE,2,8.0,13.0,5.0,"Vâng ạ, những nơi có nguy cơ sảy ra sạt lở lớn nhất thì lại chùng với những nơi mà vừa xảy ra mưa lũ đợt trước ạ.","Những khu vực có nguy cơ xảy ra sạt lở lớn nhất lại trùng với những nơi vừa trải qua mưa lũ trước đó, đó là từ Hà Tĩnh đến Quảng Nam.","Vâng ạ, những nơi có nguy cơ sảy ra sạt lở lớn nhất thì lại chùng với những nơi mà vừa xảy ra mưa lũ đợt trước ạ.",REVERT,LOW
-QcoL_fU-WE,3,13.0,15.0,2.0,Đó là từ Hà Tĩnh đến Quảng Nam.,Nguy cơ sạt lở lớn nhất tập trung từ Hà Tĩnh đến Quảng Nam.,Đó là từ Hà Tĩnh đến Quảng Nam.,REVERT,HIGH
-QcoL_fU-WE,4,15.0,20.0,5.0,Và cụ thể là những nơi nào có nguy cơ sảy ra sạt lở cao thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,"Những khu vực có nguy cơ sạt lở cao, cụ thể là từ Hà Tĩnh đến Quảng Nam, sẽ được tôi cập nhật ngay bây giờ đến Anh Dương và quý vị khán giả.",Và cụ thể là những nơi nào có nguy cơ sảy ra sạt lở cao thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,REVERT,MEDIUM
-QcoL_fU-WE,5,20.0,26.0,6.0,"Thưa quý vị, ngay từ tối nay đến sáng mai thôi thì có thể là xuất hiện một số huyện miền núi cần chú ý đến sạt lở đất.","Thưa quý vị, ngay từ tối nay đến sáng mai, một số huyện miền núi tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế cần chú ý đến nguy cơ sạt lở đất.","Thưa quý vị, ngay từ tối nay đến sáng mai thôi thì có thể là xuất hiện một số huyện miền núi cần chú ý đến sạt lở đất.",REVERT,MEDIUM
-QcoL_fU-WE,6,26.0,30.0,4.0,"Đó là tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế.","Các khu vực có nguy cơ sạt lở cao trong đêm nay và sáng mai là Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế.","Đó là tại Hà Tĩnh, Quảng Bình, Quảng Trị và Thừa Thiên Huế.",REVERT,HIGH
-QcoL_fU-WE,7,30.0,35.0,5.0,Mỗi tỉnh thì có từ 4 đến 6 huyện thì sẽ có nguy cơ cao.,"Mỗi tỉnh từ Hà Tĩnh đến Quảng Nam có từ 4 đến 6 huyện có nguy cơ sạt lở cao, trong khi Quảng Nam có tới 9 huyện nằm trong vùng có nguy cơ này.",Mỗi tỉnh thì có từ 4 đến 6 huyện thì sẽ có nguy cơ cao.,REVERT,LOW
-QcoL_fU-WE,8,35.0,39.0,4.0,Còn tại Quảng Nam thì có tới 9 huyện nằm trong vùng có nguy cơ sạt lở cao.,"Tại Quảng Nam, có tới 9 huyện nằm trong vùng có nguy cơ sạt lở cao.","Tại Quảng Nam, có tới 9 huyện nằm trong vùng có nguy cơ sạt lở cao.",OK,HIGH
-QcoL_fU-WE,9,39.0,41.0,2.0,Sạt lở trong đêm thì cực kỳ nguy hiểm.,"Sạt lở trong đêm rất nguy hiểm, vì vậy nếu phát hiện xung quanh nhà có vết lún, vết nứt hoặc nước sông suối đục, người dân cần sơ tán ngay lập tức.",Sạt lở trong đêm thì cực kỳ nguy hiểm.,REVERT,HIGH
