id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,54,"Thưa quý vị, trường học bất ngờ bị ngập sâu hơn 1 mét.",1-iUEsz_srY
1,4.0,10.0,6.0,115,"Hàng trăm học sinh ở trường trung học cơ sở Đông Hà, tỉnh Quang Trị đã được kịp thời đưa về nơi tránh chúa an toàn.",1-iUEsz_srY
2,10.0,15.0,5.0,85,Sự việc xảy ra vào sáng nay khi các em vừa học hết tiết 1 thì sân trường bị ngập sâu.,1-iUEsz_srY
3,15.0,18.0,3.0,48,"Nguyên nhân là do mưa lớn, nước thoát không kịp.",1-iUEsz_srY
4,18.0,23.0,5.0,87,"Lực lượng chức năng đã dùng phao, xuồng, căng dây đưa các em ra khỏi khu vực nguy hiểm.",1-iUEsz_srY
5,23.0,29.0,6.0,110,"Ngoài trường nói trên thì nhiều địa bàn của thành phố Đông Hà, tỉnh Quang Trị cũng bị ngập sâu trong sáng nay.",1-iUEsz_srY
6,31.0,39.0,8.0,137,"Không riêng tại Quang Trị, áp thấp nhiệt đới cũng gây mưa lớn dọc các tỉnh miền Trung, gây ra những thiệt hại ban đầu cả về người và của.",1-iUEsz_srY
7,41.0,46.0,5.0,82,"Tại Bình Định, một ngư dân đã tử vong khi rơi xuống biển do bị sóng đánh chìm tàu.",1-iUEsz_srY
8,46.0,48.0,2.0,38,Hai người khác được cứu sống kịp thời.,1-iUEsz_srY
9,48.0,50.0,2.0,35,Vụ việc xảy ra ở cửa biển Tam Quan.,1-iUEsz_srY
10,50.0,57.0,7.0,143,"Hôm nay mưa tại Bình Định đã giảm, song nhiều khu vực tại huyện Tuy Phước, thành phố Quy Nhơn vẫn bị ngập do nước các sông từ Thụ Uồn đổ xuống.",1-iUEsz_srY
11,58.0,62.0,4.0,81,"Tại tỉnh Thừa Thiên Huế, quốc lộ 1A đoạn qua huyện An Lưới bị sạt lở tại 80 điểm.",1-iUEsz_srY
12,62.0,66.0,4.0,74,"Nhiều điểm sạt lở liên tục sau khi được khắc phục, gây hùn tắc giao thông.",1-iUEsz_srY
13,66.0,71.0,5.0,103,"Theo lực lượng chức năng, phải mất ít nhất 3 ngày mới có thể khắc phục được tất cả các điểm sạt lở này.",1-iUEsz_srY
14,72.0,76.0,4.0,63,"Tại Đắk Lăng, ít nhất 1.200 ha lúa hoa màu bị ngập ốm, hư hỏng.",1-iUEsz_srY
15,76.0,78.0,2.0,25,Hơn 450 ngôi nhà bị ngập.,1-iUEsz_srY
16,78.0,82.0,4.0,63,"Hơn 100 hộ dân ở xã Cư Ram, huyện Công Bông bị cô lập tạm thời.",1-iUEsz_srY
17,82.0,87.0,5.0,85,"Hiện mưa đã tạnh, sông nguy cơ sạt lở tại các vùng trụ thấp, vùng đất dốc là rất lớn.",1-iUEsz_srY
18,87.0,90.0,3.0,75,Lực lượng cứu hộ đang tiếp tục sơ tán người dân và tài sản đến nơi an toàn.,1-iUEsz_srY
19,92.0,97.0,5.0,118,"Tại Nghệ An, tàu cảnh sát biển thuộc Bộ Tư lệnh Vùng Cảnh sát Biển 1 đã cứu hộ thành công tàu cá mang số hiệu Nghệ An.",1-iUEsz_srY
20,97.0,102.0,5.0,85,"Khi đang đánh bắt, tàu cặp sự cố, thả trôi trên biển trong điều kiện sóng to gió lớn.",1-iUEsz_srY
21,102.0,106.0,4.0,65,"Cuối giờ chiều nay, tàu đã được lai rắt an toàn về cảng Lạch Cơn.",1-iUEsz_srY
22,112.0,114.0,2.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,1-iUEsz_srY
