id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,87,Còn tiếp theo sẽ đến thông tin dự báo thời tiết cùng biên tập viên thời tiết Quỳnh Hoa.,1_E-rc_rzGQ
1,4.0,7.0,3.0,79,"Chị Quỳnh Hoa, như vậy là 2-3 ngày hôm nay rồi thì chúng ta đã nói với khán giả",1_E-rc_rzGQ
2,7.0,10.0,3.0,54,về thông tin về không khí lạnh mạnh có thể tràn xuống.,1_E-rc_rzGQ
3,10.0,12.0,2.0,63,Và tôi thì cũng đã chuẩn bị sẵn áo Z rồi để đón không khí lạnh.,1_E-rc_rzGQ
4,12.0,14.0,2.0,38,Không biết là cụ thể thì đến ngày nào?,1_E-rc_rzGQ
5,14.0,16.0,2.0,56,Bao giờ thì không khí lạnh sẽ tràn xuống miền Bắc đấy ạ?,1_E-rc_rzGQ
6,16.0,19.0,3.0,77,"Vâng, thông tin mới nhất đó là từ trong khoảng đêm nay đến sáng ngày mai thôi",1_E-rc_rzGQ
7,19.0,21.0,2.0,29,thì trời sẽ chuyển Z thực sự.,1_E-rc_rzGQ
8,21.0,23.0,2.0,51,Và tôi tin chắc chắn rằng là vào thời điểm sáng mai,1_E-rc_rzGQ
9,24.0,26.0,2.0,54,thì chúng ta sẽ cần đến những chiếc áo khoác ấm đấy ạ.,1_E-rc_rzGQ
10,26.0,28.0,2.0,44,Nếu như quý vị theo dõi hình ảnh mây vệ tinh,1_E-rc_rzGQ
11,28.0,30.0,2.0,50,mà chúng tôi chụp lại ngay đằng sau lưng tôi đây ạ,1_E-rc_rzGQ
12,30.0,32.0,2.0,27,thì quý vị cũng có thể thấy,1_E-rc_rzGQ
13,32.0,34.0,2.0,40,phần dìa mây của khối không khí lạnh này,1_E-rc_rzGQ
14,34.0,37.0,3.0,57,đã áp sát khu vực vùng núi phía Bắc biên giới của nước ta,1_E-rc_rzGQ
15,37.0,39.0,2.0,36,như là tại Cao Bằng và Hà Giang rồi.,1_E-rc_rzGQ
16,39.0,41.0,2.0,30,Và chính tại những khu vực này,1_E-rc_rzGQ
17,41.0,44.0,3.0,37,thì gió cũng đã chuyển hướng Đông Bắc,1_E-rc_rzGQ
18,44.0,46.0,2.0,49,và thổi những luồng gió Đông Bắc đã thổi tới đây.,1_E-rc_rzGQ
19,46.0,48.0,2.0,28,Và trong đêm nay và sáng mai,1_E-rc_rzGQ
20,48.0,50.0,2.0,32,thì những luồng gió Đông Bắc này,1_E-rc_rzGQ
21,50.0,52.0,2.0,38,sẽ thổi tới khu vực Đông Bằng ven biển,1_E-rc_rzGQ
22,52.0,54.0,2.0,25,trong đó có thủ đô Hà Nội,1_E-rc_rzGQ
23,54.0,56.0,2.0,31,và tốc độ gió cũng sẽ mạnh hơn.,1_E-rc_rzGQ
24,56.0,58.0,2.0,33,Mức nhiệt thấp nhất trong đêm nay,1_E-rc_rzGQ
25,58.0,60.0,2.0,26,khi mà gió về kèm theo mưa,1_E-rc_rzGQ
26,60.0,62.0,2.0,41,ở thủ đô Hà Nội và các thành phố phía Bắc,1_E-rc_rzGQ
27,62.0,66.0,4.0,60,"như là tại Ninh Bình, Hải Phòng, Cao Bằng, Hà Giang, Lào Cai",1_E-rc_rzGQ
28,66.0,68.0,2.0,49,"hay là sang phía Việt Trì, Sơn La và Địa Biên Phủ",1_E-rc_rzGQ
29,68.0,72.0,4.0,52,sẽ giao động trong khoảng là từ 10 cho tới là 15 độ.,1_E-rc_rzGQ
30,72.0,75.0,3.0,69,Chỉ riêng có thành phố Lạng Sơn thì nhiệt độ thấp hơn khoảng là 9 độ.,1_E-rc_rzGQ
31,75.0,78.0,3.0,58,Thế nhưng đêm nay sẽ chưa phải là đêm zét nhất của đợt này,1_E-rc_rzGQ
32,78.0,80.0,2.0,32,và dự báo là những đêm tiếp theo,1_E-rc_rzGQ
33,80.0,83.0,3.0,52,thì nhiệt độ ở khu vực miền Bắc sẽ còn giảm sâu hơn.,1_E-rc_rzGQ
34,83.0,86.0,3.0,40,Vùng Đông Bằng trong đó có thủ đô Hà Nội,1_E-rc_rzGQ
35,86.0,89.0,3.0,52,nhiệt độ phổ biến trong khoảng là từ 6 cho tới 9 độ.,1_E-rc_rzGQ
36,89.0,93.0,4.0,57,Với các khu vực núi cao thì nhiệt độ là từ 3 cho tới 6 độ,1_E-rc_rzGQ
37,93.0,95.0,2.0,35,và thậm chí là các đỉnh núi cao hơn,1_E-rc_rzGQ
38,95.0,97.0,2.0,30,thì nhiệt độ có thể dưới 0 độ.,1_E-rc_rzGQ
39,97.0,99.0,2.0,40,Vì vậy mà các hiện tượng như là băng giá,1_E-rc_rzGQ
40,99.0,101.0,2.0,32,hay là sương muối có thể xảy ra.,1_E-rc_rzGQ
41,101.0,103.0,2.0,31,Phạm vi xảy ra băng giá đợt này,1_E-rc_rzGQ
42,103.0,105.0,2.0,31,không chỉ có ở đỉnh Phan Xipang,1_E-rc_rzGQ
43,105.0,110.0,5.0,76,"mà còn có thể xuất hiện tại đỉnh Pha Điên, Lũng Cú, Phiêu Âu hay là Mẫu Sơn.",1_E-rc_rzGQ
44,110.0,114.0,4.0,81,Còn tiếp theo sẽ là những thông tin dự báo cụ thể cho các thành phố trên cả nước.,1_E-rc_rzGQ
45,114.0,117.0,3.0,56,Với thành phố Vinh cũng chịu tác động của không khí lạnh,1_E-rc_rzGQ
46,117.0,119.0,2.0,36,trời mưa zét cả đêm nay và ngày mai.,1_E-rc_rzGQ
47,119.0,121.0,2.0,42,Nhiệt độ thấp nhất trong đêm nay là 15 độ.,1_E-rc_rzGQ
48,123.0,126.0,3.0,48,Sang ngày mai nhiệt độ sẽ tăng lên mức là 17 độ.,1_E-rc_rzGQ
49,126.0,128.0,2.0,35,Với thành phố Đà Nẵng trời mưa lạnh,1_E-rc_rzGQ
50,128.0,130.0,2.0,36,nhiệt độ đêm nay chỉ khoảng là 20 độ,1_E-rc_rzGQ
51,130.0,133.0,3.0,38,và sang ngày mai cao nhất sẽ là 23 độ.,1_E-rc_rzGQ
52,134.0,136.0,2.0,49,"Ở Nam Bộ, thành phố Hồ Chí Minh đêm nay tạnh giáo",1_E-rc_rzGQ
53,136.0,138.0,2.0,31,xe lạnh với mức nhiệt là 23 độ.,1_E-rc_rzGQ
54,138.0,140.0,2.0,34,Sang ngày mai trời có nắng cả ngày,1_E-rc_rzGQ
55,140.0,143.0,3.0,43,nhiệt độ sẽ nhanh chóng tăng lên mức 32 độ.,1_E-rc_rzGQ
