video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
3G8deCnBH80,0,0.0,6.0,6.0,"Cập nhật đến chiều tối nay, bão số 7 vẫn nằm trên đảo Hải Nam, Trung Quốc.","Cập nhật đến chiều tối nay, bão số 7 vẫn nằm trên đảo Hải Nam, Trung Quốc.","Cập nhật đến chiều tối nay, bão số 7 vẫn nằm trên đảo Hải Nam, Trung Quốc.",OK,HIGH
3G8deCnBH80,1,6.0,10.0,4.0,"Dự báo đến tối và đêm nay, bão sẽ đi vào khu vực Vịnh Bắc Bộ.","Dự báo đến tối và đêm nay, bão sẽ đi vào khu vực Vịnh Bắc Bộ.","Dự báo đến tối và đêm nay, bão sẽ đi vào khu vực Vịnh Bắc Bộ.",OK,HIGH
3G8deCnBH80,2,10.0,16.0,6.0,"Đến 4 giờ ngày mai, tầm bão cách đảo Bạch Long Vĩ khoảng 40 km về phía Tây Tây Nam.","Đến 4 giờ ngày mai, tầm bão cách đảo Bạch Long Vĩ khoảng 40 km về phía Tây Tây Nam.","Đến 4 giờ ngày mai, tầm bão cách đảo Bạch Long Vĩ khoảng 40 km về phía Tây Tây Nam.",OK,HIGH
3G8deCnBH80,3,16.0,20.0,4.0,"Cường độ bão mạnh cấp 8, cấp 9, giật cấp 11.","Cường độ bão mạnh cấp 8, cấp 9, giật cấp 11.","Cường độ bão mạnh cấp 8, cấp 9, giật cấp 11.",OK,HIGH
3G8deCnBH80,4,20.0,26.0,6.0,"Trong 12 đến 24 giờ tiếp theo, bão đi theo hướng Tây với tốc độ 10 đến 15 km một giờ","Trong 12 đến 24 giờ tiếp theo, bão đi theo hướng Tây với tốc độ 10 đến 15 km một giờ","Trong 12 đến 24 giờ tiếp theo, bão đi theo hướng Tây với tốc độ 10 đến 15 km một giờ",OK,HIGH
3G8deCnBH80,5,26.0,28.0,2.0,và suy yếu thành áp thấp nhiệt đới.,và suy yếu thành áp thấp nhiệt đới.,và suy yếu thành áp thấp nhiệt đới.,OK,HIGH
3G8deCnBH80,6,28.0,34.0,6.0,"Đến 16 giờ ngày mai, tầm áp thấp nhiệt đới ở trên vùng biển từ Hải Phòng đến Thanh Hóa.","Đến 16 giờ ngày mai, tầm áp thấp nhiệt đới ở trên vùng biển từ Hải Phòng đến Thanh Hóa.","Đến 16 giờ ngày mai, tầm áp thấp nhiệt đới ở trên vùng biển từ Hải Phòng đến Thanh Hóa.",OK,HIGH
3G8deCnBH80,7,34.0,38.0,4.0,"Sức gió mạnh nhất vùng gần tầm áp thấp nhiệt đới cấp 7, giật cấp 9.","Sức gió mạnh nhất vùng gần tầm áp thấp nhiệt đới cấp 7, giật cấp 9.","Sức gió mạnh nhất vùng gần tầm áp thấp nhiệt đới cấp 7, giật cấp 9.",OK,HIGH
3G8deCnBH80,8,38.0,43.0,5.0,"Sau đó khoảng chiều tối mai, áp thấp nhiệt đới sẽ đổi hướng di chuyển theo hướng Tây Tây Nam,","Sau đó khoảng chiều tối mai, áp thấp nhiệt đới sẽ đổi hướng di chuyển theo hướng Tây Tây Nam,","Sau đó khoảng chiều tối mai, áp thấp nhiệt đới sẽ đổi hướng di chuyển theo hướng Tây Tây Nam,",OK,HIGH
3G8deCnBH80,9,43.0,48.0,5.0,đi vào đất liền Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ rồi suy yếu dần.,đi vào đất liền Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ rồi suy yếu dần.,đi vào đất liền Nam Đồng Bằng Bắc Bộ và Bắc Trung Bộ rồi suy yếu dần.,OK,HIGH
3G8deCnBH80,10,48.0,52.0,4.0,"Vùng nguy hiểm trên Biển Đông trong 24 giờ tới với gió mạnh cấp 6,","Vùng nguy hiểm trên Biển Đông trong 24 giờ tới với gió mạnh cấp 6,","Vùng nguy hiểm trên Biển Đông trong 24 giờ tới với gió mạnh cấp 6,",OK,HIGH
3G8deCnBH80,11,52.0,57.0,5.0,"giật từ cấp 8 trở lên là phía bắc vị tuyến 18,5 độ vị Bắc.","giật từ cấp 8 trở lên là phía bắc vị tuyến 18,5 độ vị Bắc.","giật từ cấp 8 trở lên là phía bắc vị tuyến 18,5 độ vị Bắc.",OK,HIGH
3G8deCnBH80,12,57.0,60.0,3.0,"Tây của kinh tuyến 111,0 độ Kinh Đông.","Tây của kinh tuyến 111,0 độ Kinh Đông.","Tây của kinh tuyến 111,0 độ Kinh Đông.",OK,HIGH
3G8deCnBH80,13,60.0,66.0,6.0,Toàn bộ tàu thuyền hoạt động trong vùng này đều có nguy cơ cao chịu tác động của gió mạnh và sóng lớn.,Toàn bộ tàu thuyền hoạt động trong vùng này đều có nguy cơ cao chịu tác động của gió mạnh và sóng lớn.,Toàn bộ tàu thuyền hoạt động trong vùng này đều có nguy cơ cao chịu tác động của gió mạnh và sóng lớn.,OK,HIGH
3G8deCnBH80,14,68.0,75.0,7.0,Dù bão chưa vào nhưng vùng mây chấp bão đã gây ra những cơn mưa lớn xuống miền Trung suốt mấy ngày qua.,Dù bão chưa vào nhưng vùng mây chấp bão đã gây ra những cơn mưa lớn xuống miền Trung suốt mấy ngày qua.,Dù bão chưa vào nhưng vùng mây chấp bão đã gây ra những cơn mưa lớn xuống miền Trung suốt mấy ngày qua.,OK,HIGH
