video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
3yFTj1gQHOs,0,0.0,6.0,6.0,Ngay sau đây chúng ta sẽ gặp lại biên tập viên Thế Tích Quỳnh Hòa để cập nhật diễn biến mưa lũ tại khu vực miền Trung.,"Ngay sau đây, chúng ta sẽ gặp lại biên tập viên Thế Tích Quỳnh Hòa để cập nhật diễn biến mưa lũ tại khu vực miền Trung.","Ngay sau đây, chúng ta sẽ gặp lại biên tập viên Thế Tích Quỳnh Hòa để cập nhật diễn biến mưa lũ tại khu vực miền Trung.",OK,HIGH
3yFTj1gQHOs,1,6.0,12.0,6.0,"Thưa chị Hòa, những ngày này biển nước vẫn mênh mông, ai cũng mong chờ những tín hiệu khả quan để làm sao một công tác cứu hộ cứu nạn","Thưa chị Hòa, những ngày này, biển nước vẫn mênh mông và ai cũng mong chờ những tín hiệu khả quan để công tác cứu hộ cứu nạn được thực hiện nhanh chóng hơn đến với bà con.","Thưa chị Hòa, những ngày này, biển nước vẫn mênh mông và ai cũng mong chờ những tín hiệu khả quan để công tác cứu hộ cứu nạn được thực hiện nhanh chóng hơn đến với bà con.",OK,MEDIUM
3yFTj1gQHOs,2,12.0,17.0,5.0,và đường đi của những đoàn thuyện nguyện sẽ mau chóng hơn đến với bà con. Vậy thì thời điểm này tình hình mưa lũ như thế nào rồi chị?,"Vậy thì thời điểm này, tình hình mưa lũ tại khu vực miền Trung như thế nào, thưa chị Hòa?",và đường đi của những đoàn thuyện nguyện sẽ mau chóng hơn đến với bà con. Vậy thì thời điểm này tình hình mưa lũ như thế nào rồi chị?,REVERT,LOW
3yFTj1gQHOs,3,17.0,23.0,6.0,Theo thông tin mới nhất và những số liệu mà chúng tôi cập nhật được đó là đến chiều nay thì mưa đã gần như rứt hẳn ở khu vực miền Trung rồi.,"Theo thông tin mới nhất mà chúng tôi cập nhật, đến chiều nay, mưa đã gần như chấm dứt ở khu vực miền Trung.","Theo thông tin mới nhất mà chúng tôi cập nhật, đến chiều nay, mưa đã gần như chấm dứt ở khu vực miền Trung.",OK,HIGH
3yFTj1gQHOs,4,23.0,30.0,7.0,Và có thể khẳng định là đợt mưa lớn dai rằng trong vòng 2 tuần vừa qua ở khu vực miền Trung đến chiều hôm nay đã chấm dứt.,Có thể khẳng định rằng đợt mưa lớn kéo dài trong vòng 2 tuần qua ở khu vực miền Trung đã chấm dứt tính đến chiều hôm nay.,Có thể khẳng định rằng đợt mưa lớn kéo dài trong vòng 2 tuần qua ở khu vực miền Trung đã chấm dứt tính đến chiều hôm nay.,OK,HIGH
3yFTj1gQHOs,5,30.0,38.0,8.0,"Hết mưa thì lũ trên các sông cũng tiếp tục xuống. Chỉ riêng có sông Lệ Thủy tại Kiến Giang, Quảng Bình thì nước rút xuống khá là chậm.","Sau khi mưa ngừng, lũ trên các sông tiếp tục giảm, tuy nhiên sông Lệ Thủy tại Kiến Giang, Quảng Bình nước rút chậm, hiện vẫn ở mức 3m66, cao hơn báo động 3 khoảng 96cm.","Hết mưa thì lũ trên các sông cũng tiếp tục xuống. Chỉ riêng có sông Lệ Thủy tại Kiến Giang, Quảng Bình thì nước rút xuống khá là chậm.",REVERT,HIGH
3yFTj1gQHOs,6,38.0,45.0,7.0,"Cho đến thời điểm chiều nay thì vẫn là 3m66, tức là trên báo động 3 khoảng là 96cm.","Cho đến chiều nay, mực nước trên sông Lệ Thủy tại Kiến Giang, Quảng Bình vẫn ở mức 3m66, tức là cao hơn báo động 3 khoảng 96cm.","Cho đến thời điểm chiều nay thì vẫn là 3m66, tức là trên báo động 3 khoảng là 96cm.",REVERT,HIGH
3yFTj1gQHOs,7,45.0,53.0,8.0,Và dự báo là đến đêm nay và sáng mai nước lũ sẽ rút khoảng thêm 46cm nữa và vẫn cao trên báo động 3 khoảng là nửa mét.,"Dự báo đến đêm nay và sáng mai, nước lũ sẽ rút thêm khoảng 46 cm nữa, nhưng vẫn cao trên báo động 3 khoảng nửa mét.","Dự báo đến đêm nay và sáng mai, nước lũ sẽ rút thêm khoảng 46 cm nữa, nhưng vẫn cao trên báo động 3 khoảng nửa mét.",OK,HIGH
3yFTj1gQHOs,8,53.0,61.0,8.0,"Tình trạng ngập có thể sẽ duy trì ít nhất là trong 4 ngày nữa tại tỉnh Quảng Bình, đặc biệt là cạnh Tắc huyện, Lệ Thủy và Quảng Ninh.","Tình trạng ngập có thể sẽ kéo dài ít nhất 4 ngày nữa tại tỉnh Quảng Bình, đặc biệt là khu vực cạnh Tắc huyện, Lệ Thủy và Quảng Ninh.","Tình trạng ngập có thể sẽ kéo dài ít nhất 4 ngày nữa tại tỉnh Quảng Bình, đặc biệt là khu vực cạnh Tắc huyện, Lệ Thủy và Quảng Ninh.",OK,HIGH
3yFTj1gQHOs,9,61.0,69.0,8.0,Các nơi khác ở khu vực miền Trung thì khả năng từ ngày mai nước sẽ rút gần hết. Vì vậy bà con có thể tranh thủ dọn dẹp sau lũ khi mà thời tiết chuyển biến tạnh giáo.,"Các địa phương khác ở khu vực miền Trung dự kiến từ ngày mai nước sẽ rút gần hết, do đó bà con có thể tranh thủ dọn dẹp sau lũ khi thời tiết chuyển biến tạnh giáo.","Các địa phương khác ở khu vực miền Trung dự kiến từ ngày mai nước sẽ rút gần hết, do đó bà con có thể tranh thủ dọn dẹp sau lũ khi thời tiết chuyển biến tạnh giáo.",OK,HIGH
