id,start,end,duration,text_len,text,video_id
0,0.0,6.0,6.0,118,Ngay sau đây chúng ta sẽ gặp lại biên tập viên Thế Tích Quỳnh Hòa để cập nhật diễn biến mưa lũ tại khu vực miền Trung.,3yFTj1gQHOs
1,6.0,12.0,6.0,133,"Thưa chị Hòa, những ngày này biển nước vẫn mênh mông, ai cũng mong chờ những tín hiệu khả quan để làm sao một công tác cứu hộ cứu nạn",3yFTj1gQHOs
2,12.0,17.0,5.0,133,và đường đi của những đoàn thuyện nguyện sẽ mau chóng hơn đến với bà con. Vậy thì thời điểm này tình hình mưa lũ như thế nào rồi chị?,3yFTj1gQHOs
3,17.0,23.0,6.0,140,Theo thông tin mới nhất và những số liệu mà chúng tôi cập nhật được đó là đến chiều nay thì mưa đã gần như rứt hẳn ở khu vực miền Trung rồi.,3yFTj1gQHOs
4,23.0,30.0,7.0,122,Và có thể khẳng định là đợt mưa lớn dai rằng trong vòng 2 tuần vừa qua ở khu vực miền Trung đến chiều hôm nay đã chấm dứt.,3yFTj1gQHOs
5,30.0,38.0,8.0,134,"Hết mưa thì lũ trên các sông cũng tiếp tục xuống. Chỉ riêng có sông Lệ Thủy tại Kiến Giang, Quảng Bình thì nước rút xuống khá là chậm.",3yFTj1gQHOs
6,38.0,45.0,7.0,83,"Cho đến thời điểm chiều nay thì vẫn là 3m66, tức là trên báo động 3 khoảng là 96cm.",3yFTj1gQHOs
7,45.0,53.0,8.0,118,Và dự báo là đến đêm nay và sáng mai nước lũ sẽ rút khoảng thêm 46cm nữa và vẫn cao trên báo động 3 khoảng là nửa mét.,3yFTj1gQHOs
8,53.0,61.0,8.0,133,"Tình trạng ngập có thể sẽ duy trì ít nhất là trong 4 ngày nữa tại tỉnh Quảng Bình, đặc biệt là cạnh Tắc huyện, Lệ Thủy và Quảng Ninh.",3yFTj1gQHOs
9,61.0,69.0,8.0,165,Các nơi khác ở khu vực miền Trung thì khả năng từ ngày mai nước sẽ rút gần hết. Vì vậy bà con có thể tranh thủ dọn dẹp sau lũ khi mà thời tiết chuyển biến tạnh giáo.,3yFTj1gQHOs
10,69.0,79.0,10.0,151,"Sang ngày mai, cụ thể ở một số thành phố như Thanh Hóa, Vinh hay Hà Tĩnh thì dự báo là trời sẽ hứng nắng và nhiệt độ cao nhất trong khoảng là 26-28 độ.",3yFTj1gQHOs
11,79.0,86.0,7.0,93,"Với thành phố Đồng Hới và Huế, trời rất mưa nhưng chủ đạo là nhiều mây, nhiệt độ từ 24-26 độ.",3yFTj1gQHOs
12,86.0,96.0,10.0,181,"Các thành phố khu vực phía nam miền Trung như Quy Nhơn, Nha Trang và Phan Thiết thì ngày mai dự báo trời sẽ đều có nắng cả ngày và nhiệt độ cao nhất trong ngày không vượt quá 31 độ.",3yFTj1gQHOs
13,97.0,107.0,10.0,175,Trở ra khu vực Bắc Bổ thì đêm nay và sáng mai dự báo trời sẽ vẫn còn khá lạnh khi mà nhiệt độ tại thủ đô A Nội và hầu khắp các thành phố sẽ giao động trong khoảng là 17-20 độ.,3yFTj1gQHOs
14,107.0,115.0,8.0,120,"Trưa chiều mai, toàn miền hầu như sẽ có nắng và nhiệt độ cũng sẽ nhanh chóng tăng lên mức là từ 26-28 độ, trời hanh khô.",3yFTj1gQHOs
15,115.0,120.0,5.0,93,Tiếp theo sẽ là những thông tin dự báo cụ thể cho một số thành phố trong đêm nay và ngày mai.,3yFTj1gQHOs
16,120.0,128.0,8.0,137,"Với thành phố Hạ Long, đêm nay trời lạnh 20 độ. Sáng ngày mai, trời chuyển nắng hanh, nhiệt độ cao nhất trong ngày sẽ tăng lên mức 28 độ.",3yFTj1gQHOs
17,128.0,137.0,9.0,119,"Thành phố Đà Nẵng, đêm nay có lúc có mưa nhỏ, nhiệt độ thấp nhất là 24 độ. Sáng ngày mai, trời tạnh giáo có nắng 28 độ.",3yFTj1gQHOs
18,137.0,147.0,10.0,165,"Thành phố Hồ Chí Minh, đêm nay và chiều mai sẽ đều có mưa, cần đề phòng với gió rất mạnh. Nhiệt độ thấp nhất trong đêm nay là 25 độ và cao nhất ngày mai sẽ là 31 độ.",3yFTj1gQHOs
19,150.0,155.0,5.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,3yFTj1gQHOs
