id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,51,Còn bây giờ sẽ là những thông tin dự báo thời tiết.,5iX1aY62sbE
1,3.0,7.0,4.0,94,"John Anh, mấy ngày hôm nay thời tiết ở Hà Nội cũng như miền Bắc rất là hanh khô, đúng không ạ?",5iX1aY62sbE
2,7.0,9.0,2.0,29,Bao giờ thì hết hanh khô nhỉ?,5iX1aY62sbE
3,9.0,14.0,5.0,94,"Vâng, khả năng là miền Bắc có thể giảm hanh khô, chứ để nói là hết hẳn thì chắc là chưa đâu ạ.",5iX1aY62sbE
4,14.0,17.0,3.0,83,Cụ thể thì anh Dương cũng như quý vị khán giả hãy theo dõi những thông tin sau đây.,5iX1aY62sbE
5,17.0,21.0,4.0,66,"Ngay ngày mai thì trời vẫn ít mây và nắng khô, y như ngày hôm nay.",5iX1aY62sbE
6,21.0,24.0,3.0,66,Khả năng là phải đến ngày kia thì độ ẩm mới có thể được cải thiện.,5iX1aY62sbE
7,24.0,28.0,4.0,62,Khi mà không khí lạnh tràn xuống khiến cho trời nhiều mây hơn.,5iX1aY62sbE
8,28.0,32.0,4.0,54,Thậm chí là ở khu vực đông băng có thể còn có mưa nhỏ.,5iX1aY62sbE
9,32.0,40.0,8.0,133,Tuy nhiên từ ngày thứ sáu thì màu vàng của khô hanh sẽ lại xuất hiện nhiều trên bản đồ trường ẩm do là nắng quay trở lại khu vực này.,5iX1aY62sbE
10,40.0,43.0,3.0,52,Độ ẩm tại thủ đô Hà Nội cũng theo diễn biến như vậy.,5iX1aY62sbE
11,43.0,52.0,9.0,108,Thấp nhất vào ngày mai là khoảng 45% và 3 ngày cuối tuần thì sẽ rao động quanh khoảng là từ 60% cho tới 66%.,5iX1aY62sbE
12,52.0,56.0,4.0,54,Lại còn có nắng nữa nên ban ngày vẫn cảm giác khá khô.,5iX1aY62sbE
13,56.0,61.0,5.0,97,"Những ngày này người lớn còn bị nẻ, huống hồ là trẻ nhỏ, da mỏng nên lại càng dễ bị mất nước hơn.",5iX1aY62sbE
14,61.0,70.0,9.0,150,Nhiều trẻ có thể bị ứng đỏ cả hai má hoặc là có nhiều những mụn rộp nhỏ và nếu như không kịp thời phòng ngừa thì khô da dễ dẫn đến tình trạng chàm da.,5iX1aY62sbE
15,70.0,73.0,3.0,48,"Và khi đã bị chàm thì trẻ dễ bị tái đi, tái lại.",5iX1aY62sbE
16,73.0,77.0,4.0,61,Bởi vậy quý vị nên cho trẻ ở trong nhà nhiều hơn là ra ngoài.,5iX1aY62sbE
17,77.0,81.0,4.0,75,Vì ở ngoài trời vừa nắng lại vừa lạnh thì làm cho da bé dễ bị nẻ nhiều hơn.,5iX1aY62sbE
18,82.0,84.0,2.0,36,Bên cạnh đó tắm càng nhanh càng tốt.,5iX1aY62sbE
19,84.0,88.0,4.0,82,Vì nếu như tắm quá lâu thì lớp dầu tự nhiên trên làn da của bé có thể bị trôi mất.,5iX1aY62sbE
20,88.0,91.0,3.0,37,Da bé dễ trở nên mất nước và khô rác.,5iX1aY62sbE
21,91.0,94.0,3.0,42,Và hãy thường xuyên bôi kem dẫn ẩn cho bé.,5iX1aY62sbE
22,94.0,101.0,7.0,137,Còn về nhiệt độ ở khu vực miền Bắc cũng như ở thủ đô Hà Nội thì dự báo là từ nay cho đến cuối tuần sẽ chủ đạo là ấm áp giống như hôm nay.,5iX1aY62sbE
23,101.0,108.0,7.0,104,Chỉ riêng có vào ngày thứ 5 mức nhiệt là khoảng 21 độ do là có không khí lạnh tăng cường chỉ có mưa nhỏ.,5iX1aY62sbE
24,109.0,113.0,4.0,83,Có bản tin sẽ là phần dự báo thời tiết cho các thành phố trong đêm nay và ngày mai.,5iX1aY62sbE
25,113.0,117.0,4.0,68,Đối với thành phố Hải Phòng dự báo đêm nay không mưa trời rét 15 độ.,5iX1aY62sbE
26,117.0,121.0,4.0,49,Sáng sớm mai sương mùi nhẹ ngày có nắng ấm 25 độ.,5iX1aY62sbE
27,123.0,126.0,3.0,50,Thành phố Đà Lạt đêm nay không mưa trời rét 13 độ.,5iX1aY62sbE
28,128.0,131.0,3.0,47,Trưa chiều mai có nắng nhiệt độ cao nhất 22 độ.,5iX1aY62sbE
29,133.0,136.0,3.0,46,Thành phố Hồ Chí Minh đêm nay trời lạnh 22 độ.,5iX1aY62sbE
30,136.0,138.0,2.0,30,Ngày mai nắng kéo dài 8 tiếng.,5iX1aY62sbE
31,138.0,140.0,2.0,31,Trưa chiều trời khá nóng 33 độ.,5iX1aY62sbE
