video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
6EGfYnIyFCE,0,0.0,5.0,5.0,"Còn quay trở lại với tình hình thế tiết mới hôm nay tại khu vực miền Bắc, không biết là tình hình mưa còn kéo dài trong mấy ngày tới không anh Tùng?","Còn quay trở lại với tình hình thế tiết mới hôm nay tại khu vực miền Bắc, không biết là tình hình mưa còn kéo dài trong mấy ngày tới không anh Tùng?","Còn quay trở lại với tình hình thế tiết mới hôm nay tại khu vực miền Bắc, không biết là tình hình mưa còn kéo dài trong mấy ngày tới không anh Tùng?",OK,HIGH
6EGfYnIyFCE,1,5.0,10.0,5.0,"Đã vâng, tình trạng mưa ẩm thì sẽ còn tiếp tục diễn ra ở miền Bắc cũng như là Thanh Hóa trong khoảng 3 ngày nữa.","Đã vâng, tình trạng mưa ẩm thì sẽ còn tiếp tục diễn ra ở miền Bắc cũng như là Thanh Hóa trong khoảng 3 ngày nữa.","Đã vâng, tình trạng mưa ẩm thì sẽ còn tiếp tục diễn ra ở miền Bắc cũng như là Thanh Hóa trong khoảng 3 ngày nữa.",OK,HIGH
6EGfYnIyFCE,2,10.0,14.0,4.0,"Bởi vì thưa quý vị, không khí lạnh thì vẫn đang liên tục tăng cường xuống nước ta.","Bởi vì thưa quý vị, không khí lạnh thì vẫn đang liên tục tăng cường xuống nước ta.","Bởi vì thưa quý vị, không khí lạnh thì vẫn đang liên tục tăng cường xuống nước ta.",OK,HIGH
6EGfYnIyFCE,3,14.0,22.0,8.0,Trong đó thì đêm nay và ngày mai thì sẽ xuất hiện mưa vừa mưa to và phải đến thứ tư trở đi thì miền Bắc mới tạnh giáo và xuất hiện nắng ấm.,Trong đó thì đêm nay và ngày mai thì sẽ xuất hiện mưa vừa mưa to và phải đến thứ tư trở đi thì miền Bắc mới tạnh giáo và xuất hiện nắng ấm.,Trong đó thì đêm nay và ngày mai thì sẽ xuất hiện mưa vừa mưa to và phải đến thứ tư trở đi thì miền Bắc mới tạnh giáo và xuất hiện nắng ấm.,OK,HIGH
6EGfYnIyFCE,4,22.0,26.0,4.0,"Bởi vì có mưa nên ngày mai thì miền Bắc và Thanh Hóa trời vẫn lạnh,","Bởi vì có mưa nên ngày mai thì miền Bắc và Thanh Hóa trời vẫn lạnh,","Bởi vì có mưa nên ngày mai thì miền Bắc và Thanh Hóa trời vẫn lạnh,",OK,HIGH
6EGfYnIyFCE,5,26.0,30.0,4.0,nhiệt độ cao nhất ở các thành phố sẽ giao động là từ 22-25 độ.,nhiệt độ cao nhất ở các thành phố sẽ giao động là từ 22-25 độ.,nhiệt độ cao nhất ở các thành phố sẽ giao động là từ 22-25 độ.,OK,HIGH
6EGfYnIyFCE,6,30.0,35.0,5.0,"Chỉ có thành phố cao bằng là 20 độ, cũng như là Lạng Sơn khá là thấp chỉ 20 độ.","Chỉ có thành phố cao bằng là 20 độ, cũng như là Lạng Sơn khá là thấp chỉ 20 độ.","Chỉ có thành phố cao bằng là 20 độ, cũng như là Lạng Sơn khá là thấp chỉ 20 độ.",OK,HIGH
6EGfYnIyFCE,7,35.0,40.0,5.0,"Ở miền Trung thì dự báo là mưa vừa mưa to sẽ còn xuất hiện trong đêm nay ở Nghệ An cho đến Quảng Ngãi,","Ở miền Trung thì dự báo là mưa vừa mưa to sẽ còn xuất hiện trong đêm nay ở Nghệ An cho đến Quảng Ngãi,","Ở miền Trung thì dự báo là mưa vừa mưa to sẽ còn xuất hiện trong đêm nay ở Nghệ An cho đến Quảng Ngãi,",OK,HIGH
6EGfYnIyFCE,8,40.0,43.0,3.0,sang ngày mai thì toàn miền chỉ còn mưa rào nhẹ ngắt quáng.,sang ngày mai thì toàn miền chỉ còn mưa rào nhẹ ngắt quáng.,sang ngày mai thì toàn miền chỉ còn mưa rào nhẹ ngắt quáng.,OK,HIGH
6EGfYnIyFCE,9,43.0,48.0,5.0,"Với khu vực Nam Bộ thì dự báo từ sáng cho đến khoảng 14h chiều mai thì trời nắng,","Với khu vực Nam Bộ thì dự báo từ sáng cho đến khoảng 14h chiều mai thì trời nắng,","Với khu vực Nam Bộ thì dự báo từ sáng cho đến khoảng 14h chiều mai thì trời nắng,",OK,HIGH
