video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
6liWSVKxvv4,0,0.0,5.0,5.0,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.","Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật, trong đó có thông tin từ Ban chỉ đạo Trung ương về phòng chống thiên tai cho biết tính đến 17h hôm nay, mưa lũ đã khiến 123 người thiệt mạng, 19 người mất tích và hơn 360 ngôi nhà bị ngập.","Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",REVERT,LOW
6liWSVKxvv4,1,5.0,11.0,6.0,"Thưa quý vị, theo thống kê của Ban chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h ngày hôm nay,","Thưa quý vị, theo thống kê của Ban Chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h ngày hôm nay, mưa lũ đã khiến 123 người thiệt mạng, tăng 4 người, trong đó có 2 người tại Quảng Bình và 2 người ở Quảng Nam, còn 19 người mất tích, giảm 2 người, gồm 4 người ở Quảng Trị, 13 người ở Thừa Thiên Huế, 1 người ở Đà Nẵng và 1 người ở Gia Lai.","Thưa quý vị, theo thống kê của Ban chỉ đạo Trung ương về phòng chống thiên tai, tính đến 17h ngày hôm nay,",REVERT,HIGH
6liWSVKxvv4,2,11.0,18.0,7.0,"mưa lũ đã khiến cho 123 người thiệt mạng, tăng 4 người, gồm 2 người tại Quảng Bình, 2 người ở Quảng Nam.","Tính đến 17h hôm nay, mưa lũ đã khiến 123 người thiệt mạng, tăng 4 người so với trước, trong đó có 2 người tại Quảng Bình và 2 người ở Quảng Nam.","mưa lũ đã khiến cho 123 người thiệt mạng, tăng 4 người, gồm 2 người tại Quảng Bình, 2 người ở Quảng Nam.",REVERT,HIGH
6liWSVKxvv4,3,18.0,26.0,8.0,"Vẫn còn 19 người mất tích, giảm 2 người, gồm Quảng Trị 4 người, Thừa Thiên Huế 13 người, Đà Nẵng 1 người, Gia Lai 1 người.","Vẫn còn 19 người mất tích, giảm 2 người so với trước, trong đó Quảng Trị có 4 người, Thừa Thiên Huế 13 người, Đà Nẵng 1 người và Gia Lai 1 người.","Vẫn còn 19 người mất tích, giảm 2 người so với trước, trong đó Quảng Trị có 4 người, Thừa Thiên Huế 13 người, Đà Nẵng 1 người và Gia Lai 1 người.",OK,HIGH
6liWSVKxvv4,4,26.0,29.0,3.0,Hiện còn hơn 360 ngôi nhà bị ngập.,Hiện vẫn còn hơn 360 ngôi nhà bị ngập.,Hiện vẫn còn hơn 360 ngôi nhà bị ngập.,OK,HIGH
6liWSVKxvv4,5,31.0,37.0,6.0,"Mưa đã tạnh, các điểm đứt gãy trên đường 71 cũng đã được khắc phục giúp cho công tác tìm kiếm các nạn nhân.","Mưa đã tạnh và các điểm đứt gãy trên đường 71 đã được khắc phục, tạo điều kiện thuận lợi cho công tác tìm kiếm các nạn nhân.","Mưa đã tạnh và các điểm đứt gãy trên đường 71 đã được khắc phục, tạo điều kiện thuận lợi cho công tác tìm kiếm các nạn nhân.",OK,HIGH
6liWSVKxvv4,6,37.0,40.0,3.0,"Trong vụ sặt lở, Thủy điện Rao Trang 3 được thuận lợi hơn.","Trong vụ sạt lở, Thủy điện Rao Trang 3 đã gặp thuận lợi hơn trong công tác cứu hộ.","Trong vụ sạt lở, Thủy điện Rao Trang 3 đã gặp thuận lợi hơn trong công tác cứu hộ.",OK,HIGH
6liWSVKxvv4,7,40.0,48.0,8.0,"Với sự hỗ trợ của các phương tiện cơ giới, lực lượng cứu hộ, cứu nạn đang tiến hành khẩn trương tìm kiếm các nạn nhân trước khi bão số 8 đầu bộ.","Lực lượng cứu hộ, cứu nạn đang khẩn trương tìm kiếm các nạn nhân trước khi bão số 8 đổ bộ, với sự hỗ trợ của các phương tiện cơ giới.","Lực lượng cứu hộ, cứu nạn đang khẩn trương tìm kiếm các nạn nhân trước khi bão số 8 đổ bộ, với sự hỗ trợ của các phương tiện cơ giới.",OK,HIGH
6liWSVKxvv4,8,51.0,56.0,5.0,"Với sự tộng lực, trong 12 ngày đêm qua, các lực lượng chức năng đã đưa các phương tiện cơ giới, máy móc","Trong 12 ngày đêm qua, với sự hỗ trợ của các phương tiện cơ giới, các lực lượng chức năng đã khẩn trương đưa máy móc vào tập kết tại hiện trường để tìm kiếm các nạn nhân.","Với sự tộng lực, trong 12 ngày đêm qua, các lực lượng chức năng đã đưa các phương tiện cơ giới, máy móc",REVERT,LOW
6liWSVKxvv4,9,56.0,64.0,8.0,"để vào tập kết tại hiện trường. Và cho đến thời điểm này, công tác tìm kiếm vẫn đang nỗ lực hết sức minh và phải tìm kiếm cho bằng được các nạn nhân.","Hiện tại, công tác tìm kiếm các nạn nhân vẫn đang được nỗ lực hết sức, với sự hỗ trợ của các phương tiện cơ giới, lực lượng cứu hộ đang khẩn trương tiến hành tìm kiếm trước khi bão số 8 đổ bộ.","để vào tập kết tại hiện trường. Và cho đến thời điểm này, công tác tìm kiếm vẫn đang nỗ lực hết sức minh và phải tìm kiếm cho bằng được các nạn nhân.",REVERT,LOW
6liWSVKxvv4,10,68.0,75.0,7.0,"Từ nền đất, gạt từng lớp, nếu phát hiện và nghi ngờ sẽ thụ công dùng tay tìm kiếm.","Từ nền đất, các lực lượng cứu hộ đang gạt từng lớp, nếu phát hiện và nghi ngờ sẽ dùng tay tìm kiếm.","Từ nền đất, gạt từng lớp, nếu phát hiện và nghi ngờ sẽ thụ công dùng tay tìm kiếm.",REVERT,LOW
6liWSVKxvv4,11,76.0,81.0,5.0,Phương tiện cơ giới chỉ hoạt động khi cần thiết cho việc dịch chuyển các tảng đá hay khối bê tông nằng.,Phương tiện cơ giới chỉ được sử dụng khi cần thiết để di chuyển các tảng đá hoặc khối bê tông nặng.,Phương tiện cơ giới chỉ được sử dụng khi cần thiết để di chuyển các tảng đá hoặc khối bê tông nặng.,OK,HIGH
6liWSVKxvv4,12,82.0,86.0,4.0,Mỗi người đều thân trọng bóc gỡ mỗi mét huông đất đá.,Mỗi người đều cẩn trọng gỡ từng mét khối đất đá.,Mỗi người đều cẩn trọng gỡ từng mét khối đất đá.,OK,HIGH
