video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
7JVXlDkzjZ4,0,1.0,5.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
7JVXlDkzjZ4,1,5.0,8.0,3.0,"Chào chị Hương Liên, chiều tối nay tại Hà Nội tôi đã thấy là có những khoảng tạnh giáo rồi.","Chào chị Hương Liên, chiều tối nay tại Hà Nội tôi đã thấy là có những khoảng tạnh giáo rồi.","Chào chị Hương Liên, chiều tối nay tại Hà Nội tôi đã thấy là có những khoảng tạnh giáo rồi.",OK,HIGH
7JVXlDkzjZ4,2,8.0,12.0,4.0,Không biết là ngày mai đầu tuần mới thì thời tiết Hà Nội đã thực sự hô giáo hay chưa hả chị?,Không biết là ngày mai đầu tuần mới thì thời tiết Hà Nội đã thực sự hô giáo hay chưa hả chị?,Không biết là ngày mai đầu tuần mới thì thời tiết Hà Nội đã thực sự hô giáo hay chưa hả chị?,OK,HIGH
7JVXlDkzjZ4,3,12.0,15.0,3.0,"Vâng anh Dương, chiều nay chỉ là khoảng ngớt mưa ngắn ngủi thôi.","Vâng anh Dương, chiều nay chỉ là khoảng ngớt mưa ngắn ngủi thôi.","Vâng anh Dương, chiều nay chỉ là khoảng ngớt mưa ngắn ngủi thôi.",OK,HIGH
7JVXlDkzjZ4,4,15.0,21.0,6.0,"Thưa quý vị khán giả, khả năng là những cơn mưa sẽ sớm quay trở lại ngay từ đêm nay và kéo dài trong cả ngày mai.","Thưa quý vị khán giả, khả năng là những cơn mưa sẽ sớm quay trở lại ngay từ đêm nay và kéo dài trong cả ngày mai.","Thưa quý vị khán giả, khả năng là những cơn mưa sẽ sớm quay trở lại ngay từ đêm nay và kéo dài trong cả ngày mai.",OK,HIGH
7JVXlDkzjZ4,5,21.0,29.0,8.0,"Vào buổi sáng có thể xuất hiện mưa vừa mưa to ở Hà Nội, Hòa Bình, Lên, Phú Thọ, Tuyên Quang, Cao Bằng, Hà Giang.","Vào buổi sáng có thể xuất hiện mưa vừa mưa to ở Hà Nội, Hòa Bình, Lên, Phú Thọ, Tuyên Quang, Cao Bằng, Hà Giang.","Vào buổi sáng có thể xuất hiện mưa vừa mưa to ở Hà Nội, Hòa Bình, Lên, Phú Thọ, Tuyên Quang, Cao Bằng, Hà Giang.",OK,HIGH
7JVXlDkzjZ4,6,29.0,34.0,5.0,Tương ứng là vùng có màu xanh đậm này. Lượng mưa dự báo từ 25-50mm.,Tương ứng là vùng có màu xanh đậm này. Lượng mưa dự báo từ 25-50mm.,Tương ứng là vùng có màu xanh đậm này. Lượng mưa dự báo từ 25-50mm.,OK,HIGH
7JVXlDkzjZ4,7,34.0,39.0,5.0,Mưa to đúng vào buổi sáng đầu tuần. Lượng phương tiện tham gia giao thông rất lớn.,Mưa to đúng vào buổi sáng đầu tuần. Lượng phương tiện tham gia giao thông rất lớn.,Mưa to đúng vào buổi sáng đầu tuần. Lượng phương tiện tham gia giao thông rất lớn.,OK,HIGH
7JVXlDkzjZ4,8,39.0,41.0,2.0,Các tuyến đường ở Hà Nội có thể rơi vào cảnh ùn tắc.,Các tuyến đường ở Hà Nội có thể rơi vào cảnh ùn tắc.,Các tuyến đường ở Hà Nội có thể rơi vào cảnh ùn tắc.,OK,HIGH
7JVXlDkzjZ4,9,41.0,46.0,5.0,Vì vậy quý vị hãy sắp xếp lịch trình phù hợp cho mình để tránh bị muộn làm.,Vì vậy quý vị hãy sắp xếp lịch trình phù hợp cho mình để tránh bị muộn làm.,Vì vậy quý vị hãy sắp xếp lịch trình phù hợp cho mình để tránh bị muộn làm.,OK,HIGH
