id,start,end,duration,text_len,text,video_id
0,1.0,5.0,4.0,95,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,7JVXlDkzjZ4
1,5.0,8.0,3.0,91,"Chào chị Hương Liên, chiều tối nay tại Hà Nội tôi đã thấy là có những khoảng tạnh giáo rồi.",7JVXlDkzjZ4
2,8.0,12.0,4.0,92,Không biết là ngày mai đầu tuần mới thì thời tiết Hà Nội đã thực sự hô giáo hay chưa hả chị?,7JVXlDkzjZ4
3,12.0,15.0,3.0,64,"Vâng anh Dương, chiều nay chỉ là khoảng ngớt mưa ngắn ngủi thôi.",7JVXlDkzjZ4
4,15.0,21.0,6.0,113,"Thưa quý vị khán giả, khả năng là những cơn mưa sẽ sớm quay trở lại ngay từ đêm nay và kéo dài trong cả ngày mai.",7JVXlDkzjZ4
5,21.0,29.0,8.0,112,"Vào buổi sáng có thể xuất hiện mưa vừa mưa to ở Hà Nội, Hòa Bình, Lên, Phú Thọ, Tuyên Quang, Cao Bằng, Hà Giang.",7JVXlDkzjZ4
6,29.0,34.0,5.0,67,Tương ứng là vùng có màu xanh đậm này. Lượng mưa dự báo từ 25-50mm.,7JVXlDkzjZ4
7,34.0,39.0,5.0,82,Mưa to đúng vào buổi sáng đầu tuần. Lượng phương tiện tham gia giao thông rất lớn.,7JVXlDkzjZ4
8,39.0,41.0,2.0,52,Các tuyến đường ở Hà Nội có thể rơi vào cảnh ùn tắc.,7JVXlDkzjZ4
9,41.0,46.0,5.0,75,Vì vậy quý vị hãy sắp xếp lịch trình phù hợp cho mình để tránh bị muộn làm.,7JVXlDkzjZ4
10,46.0,49.0,3.0,50,Khi lái xe nên đi chậm và giữ khoảng cách an toàn.,7JVXlDkzjZ4
11,49.0,55.0,6.0,77,"Do mưa sẽ khiến đường trơn trượt, tầm quan sát hạn chế rất dễ xảy ra tai nạn.",7JVXlDkzjZ4
12,55.0,59.0,4.0,66,Khả năng là đợt mưa ẩm ở Hà Nội và miền Bắc sẽ kéo dài hết thứ ba.,7JVXlDkzjZ4
13,59.0,63.0,4.0,52,Đến thứ tư mưa mới hết hoàn toàn và chuyển nắng ráo.,7JVXlDkzjZ4
14,63.0,70.0,7.0,84,Nhiện độ tăng dần mỗi ngày 1 độ từ 24 độ vào ngày mai lên mức 26 độ vào ngày thứ tư.,7JVXlDkzjZ4
15,70.0,74.0,4.0,63,Ở Trung Bộ ngày mai cũng còn mưa nhưng lượng mưa không lớn nữa.,7JVXlDkzjZ4
16,74.0,79.0,5.0,74,Đồ sắc trên bản đồ dự báo chủ yếu là màu xanh nhạt với lượng là dưới 25mm.,7JVXlDkzjZ4
17,79.0,83.0,4.0,50,Nguy cơ sạt lở đất cũng giảm bớt ở mức trung bình.,7JVXlDkzjZ4
18,83.0,87.0,4.0,71,Còn tiếp theo sẽ là dự báo chi tiết trong một số nơi khác trên cả nước.,7JVXlDkzjZ4
19,87.0,91.0,4.0,57,"Sapa 2 ngày đầu tuần mưa rét, nhiệt độ cao nhất 16-17 độ.",7JVXlDkzjZ4
20,91.0,93.0,2.0,19,Về đêm là 14-15 độ.,7JVXlDkzjZ4
21,93.0,97.0,4.0,76,Thành phố Nha Trang thứ 2 và thứ 3 chỉ có mưa nhỏ về chiều tối và rất nhanh.,7JVXlDkzjZ4
22,97.0,101.0,4.0,54,"Ban ngày đôi lúc thử nắng, nhiệt độ cao nhất 29-30 độ.",7JVXlDkzjZ4
23,101.0,106.0,5.0,79,"Thành phố Hồ Chí Minh 2 ngày đầu tuần trời nắng, trưa vào chiều khá nóng 34 độ.",7JVXlDkzjZ4
24,106.0,109.0,3.0,47,Mưa có trăng chỉ xuất hiện vào chiều tối thứ 2.,7JVXlDkzjZ4
