video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
7XdhEAQLf2o,0,0.0,2.0,2.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết.,Tiếp theo sẽ là những thông tin dự báo thời tiết.,Tiếp theo sẽ là những thông tin dự báo thời tiết.,OK,HIGH
7XdhEAQLf2o,1,2.0,6.0,4.0,"Bão số 8 đã suy yếu nhưng vẫn đang gây mưa cho khu vực Bắc miền Trung,","Bão số 8 đã suy yếu nhưng vẫn đang gây mưa cho khu vực Bắc miền Trung, làm cho công tác cứu trợ và tìm kiếm người mất tích gặp nhiều khó khăn, đặc biệt tại khu vực Rào Trang 3, Thừa Thiên Huế.","Bão số 8 đã suy yếu nhưng vẫn đang gây mưa cho khu vực Bắc miền Trung,",REVERT,HIGH
7XdhEAQLf2o,2,6.0,9.0,3.0,"khiến công tác cứu trợ và tìm kiếm người mất tích gặp rất nhiều khó khăn,","Công tác cứu trợ và tìm kiếm người mất tích gặp rất nhiều khó khăn do mưa lớn tại khu vực Rào Trang 3, Thừa Thiên Huế, ảnh hưởng từ bão số 8.","khiến công tác cứu trợ và tìm kiếm người mất tích gặp rất nhiều khó khăn,",REVERT,LOW
7XdhEAQLf2o,3,9.0,12.0,3.0,"đặc biệt là tại khu vực Rào Trang 3, Thừa Thiên Huế.","Đặc biệt, khu vực Rào Trang 3, Thừa Thiên Huế đang gặp nhiều khó khăn trong công tác cứu trợ và tìm kiếm người mất tích do mưa lớn gây ra.","đặc biệt là tại khu vực Rào Trang 3, Thừa Thiên Huế.",REVERT,HIGH
7XdhEAQLf2o,4,12.0,14.0,2.0,Vậy mưa ở đây sẽ tiếp diễn như thế nào?,"Mưa ở khu vực Rào Trang 3, Thừa Thiên Huế sẽ tiếp diễn chủ yếu trong đêm nay và sáng sớm mai với lượng mưa từ 5 đến 10 mm mỗi giờ.",Vậy mưa ở đây sẽ tiếp diễn như thế nào?,REVERT,HIGH
7XdhEAQLf2o,5,14.0,17.0,3.0,Chúng ta cùng chờ đợi những thông tin mới nhất từ biên tập viên thời tiết Thanh Tùng.,"Chúng ta hãy cùng chờ đợi những thông tin mới nhất từ biên tập viên thời tiết Thanh Tùng về tình hình mưa do bão số 8 gây ra tại khu vực Rào Trang 3, Thừa Thiên Huế.",Chúng ta cùng chờ đợi những thông tin mới nhất từ biên tập viên thời tiết Thanh Tùng.,REVERT,HIGH
7XdhEAQLf2o,6,17.0,18.0,1.0,Xin mời anh Thanh Tùng.,Xin mời biên tập viên thời tiết Thanh Tùng.,Xin mời anh Thanh Tùng.,REVERT,HIGH
7XdhEAQLf2o,7,18.0,20.0,2.0,"Vâng, thưa anh Hoàng Dương và quý vị khán giả,","Mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3, Thừa Thiên Huế sẽ chủ yếu diễn ra trong đêm nay và sáng sớm mai với lượng mưa từ 5 đến 10 mm mỗi giờ, tuy không lớn nhưng vẫn gây nguy hiểm cho việc đi lại và công tác tìm kiếm người mất tích.","Vâng, thưa anh Hoàng Dương và quý vị khán giả,",REVERT,HIGH
7XdhEAQLf2o,8,20.0,23.0,3.0,mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3,"Mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3, Thừa Thiên Huế sẽ chủ yếu diễn ra trong đêm nay và sáng sớm mai, với lượng mưa từ 5 đến 10 mm mỗi giờ.",mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3,REVERT,MEDIUM
7XdhEAQLf2o,9,23.0,27.0,4.0,cũng như là Thừa Thiên Huế thì chủ yếu là diễn ra trong đêm nay và sáng sớm mai.,"Mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3, Thừa Thiên Huế sẽ chủ yếu diễn ra trong đêm nay và sáng sớm mai.",cũng như là Thừa Thiên Huế thì chủ yếu là diễn ra trong đêm nay và sáng sớm mai.,REVERT,LOW
7XdhEAQLf2o,10,27.0,32.0,5.0,Mưa với lượng là từ 5 cho đến 10 mm mỗi giờ.,"Mưa tại khu vực Rào Trang 3, Thừa Thiên Huế sẽ diễn ra với lượng từ 5 đến 10 mm mỗi giờ trong đêm nay và sáng sớm mai.",Mưa với lượng là từ 5 cho đến 10 mm mỗi giờ.,REVERT,MEDIUM
7XdhEAQLf2o,11,32.0,36.0,4.0,"Xét về lượng thì không lớn, tuy nhiên là mưa xuống vẫn khiến cho đất đá bở nhão,","Mặc dù lượng mưa không lớn, nhưng mưa xuống vẫn khiến cho đất đá bở nhão, gây cản trở và nguy hiểm cho việc đi lại cũng như công tác tìm kiếm những người mất tích tại khu vực Rào Trang 3, Thừa Thiên Huế.","Xét về lượng thì không lớn, tuy nhiên là mưa xuống vẫn khiến cho đất đá bở nhão,",REVERT,MEDIUM
7XdhEAQLf2o,12,36.0,38.0,2.0,"vừa cản trở, vừa gây ra nguy hiểm cho việc đi lại","Mưa xuống tại khu vực Rào Trang 3, Thừa Thiên Huế, mặc dù không lớn nhưng vẫn khiến cho đất đá bở nhão, vừa cản trở vừa gây ra nguy hiểm cho việc đi lại cũng như công tác tìm kiếm những người mất tích.","vừa cản trở, vừa gây ra nguy hiểm cho việc đi lại",REVERT,HIGH
7XdhEAQLf2o,13,38.0,41.0,3.0,cũng như là công tác tìm kiếm những người bị mất tích tại đây.,Công tác tìm kiếm những người bị mất tích tại khu vực này gặp rất nhiều khó khăn.,cũng như là công tác tìm kiếm những người bị mất tích tại đây.,REVERT,LOW
7XdhEAQLf2o,14,41.0,44.0,3.0,"Từ sau 4 giờ sáng mai thì mưa có thể dứt,","Từ sau 4 giờ sáng mai, mưa có thể dứt, nhưng khoảng tạnh sẽ chỉ diễn ra tạm thời và có thể kéo dài đến đầu giờ chiều, trước khi mưa xuất hiện trở lại từ 16 giờ.","Từ sau 4 giờ sáng mai thì mưa có thể dứt,",REVERT,HIGH
7XdhEAQLf2o,15,44.0,46.0,2.0,thế nhưng khoảng tạnh giáo đó cũng chỉ diễn ra tạm thời,"Tuy nhiên, khoảng thời gian tạnh mưa đó chỉ diễn ra tạm thời.","Tuy nhiên, khoảng thời gian tạnh mưa đó chỉ diễn ra tạm thời.",OK,HIGH
7XdhEAQLf2o,16,46.0,48.0,2.0,"và có thể duy trì cho đến đầu giờ chiều,","Mưa có thể dứt sau 4 giờ sáng mai, nhưng khoảng tạnh này chỉ diễn ra tạm thời và có thể kéo dài đến đầu giờ chiều.","và có thể duy trì cho đến đầu giờ chiều,",REVERT,LOW
7XdhEAQLf2o,17,48.0,51.0,3.0,bởi vì từ 16 giờ trở đi thì mưa sẽ xuất hiện trở lại.,"Từ 16 giờ trở đi, mưa sẽ xuất hiện trở lại.","Từ 16 giờ trở đi, mưa sẽ xuất hiện trở lại.",OK,HIGH
7XdhEAQLf2o,18,51.0,53.0,2.0,"Thừa Thiên Huế thì mưa không to,","Thừa Thiên Huế sẽ có mưa nhỏ, trong khi Quảng Trị đến Nghệ An vẫn có những điểm mưa vừa đến mưa to trong đêm nay và ngày mai.","Thừa Thiên Huế thì mưa không to,",REVERT,HIGH
7XdhEAQLf2o,19,53.0,56.0,3.0,thế nhưng Quảng Trị cho tới Nghệ An thì vẫn có những điểm mưa vừa mưa to,"Tuy Thừa Thiên Huế không có mưa to, nhưng từ Quảng Trị đến Nghệ An vẫn có những điểm mưa vừa và mưa to trong đêm nay và ngày mai, với tổng lượng mưa dự kiến từ 50 đến 150 mm.",thế nhưng Quảng Trị cho tới Nghệ An thì vẫn có những điểm mưa vừa mưa to,REVERT,HIGH
7XdhEAQLf2o,20,56.0,57.0,1.0,trong đêm nay và ngày mai.,"Mưa do ảnh hưởng của hoàn lưu bão số 8 tại khu vực Rào Trang 3, Thừa Thiên Huế sẽ chủ yếu diễn ra trong đêm nay và sáng sớm mai.",trong đêm nay và ngày mai.,REVERT,HIGH
7XdhEAQLf2o,21,57.0,62.0,5.0,Và tổng lượng mưa của khu vực này sẽ là từ 50 cho đến 150 mm.,Tổng lượng mưa tại khu vực này dự kiến sẽ dao động từ 50 đến 150 mm.,Tổng lượng mưa tại khu vực này dự kiến sẽ dao động từ 50 đến 150 mm.,OK,HIGH
7XdhEAQLf2o,22,62.0,65.0,3.0,"Với những dự báo như vậy thì sạt lở đường giao thông,","Với những dự báo như vậy, sạt lở đường giao thông và sườn đồi núi rất dễ xảy ra.","Với những dự báo như vậy thì sạt lở đường giao thông,",REVERT,LOW
