id,start,end,duration,text_len,text,video_id
0,0.0,14.0,14.0,74,Các bạn hãy đăng kí cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn,8ETPAPyAGzc
1,14.0,20.0,6.0,96,"Miền Trung đang trong thời kỳ cao điểm của mưa lũ và cả sạt lở đất sau Thực thiên Huế, Quảng Trị",8ETPAPyAGzc
2,20.0,26.0,6.0,112,thì chiều và tối qua 4 vụ sạt lở đất kinh hoàng cũng đã xảy ra ở Quảng Nam gây thiệt hại rất lớn và nghiêm trọng,8ETPAPyAGzc
3,26.0,35.0,9.0,123,"Bắt đầu từ chiều qua khoảng 14h, khi trời đang mưa lớn thì bất ngờ đất đá đổ sập xuống thôn 1, xã Trà Vân, huyện Nam Trà My",8ETPAPyAGzc
4,35.0,43.0,8.0,125,"Cùng thời điểm đó ở xã Trà Leng, cũng trong huyện Nam Trà My, nửa quả đồi ập xuống thôn 1 vùi lấp toàn bộ nhà cửa và đường xã",8ETPAPyAGzc
5,43.0,49.0,6.0,81,"Đến 16h cùng ngày tại xã Phước Lộc, huyện Phước Sơn xảy ra tiếp một vụ sạt lở núi",8ETPAPyAGzc
6,49.0,54.0,5.0,58,"Và đến tối 20h, vụ sạt lở thứ 4 xảy ra tại huyện Tây Giang",8ETPAPyAGzc
7,54.0,60.0,6.0,86,"Vụ sạt lở núi tại huyện Tây Giang xảy ra vào tối ngày hôm qua ở thôn Ta Làng, xã Ba Lê",8ETPAPyAGzc
8,60.0,66.0,6.0,72,"Lúc đó vào khoảng 8h tối, một núi cao gần 500m đổ sập xuống sông A Vương",8ETPAPyAGzc
9,66.0,70.0,4.0,65,"Tràn qua ta lui âm, vùi lấp một nhà dân nằm sát đường Hồ Chí Minh",8ETPAPyAGzc
10,70.0,79.0,9.0,146,"Cách ngọn núi khoảng 1km, may mắn là 8 thành viên trong gia đình khi mà nghe tiếng nổ lớn đã nhanh chóng chạy ra ngoài, thoát chết trong kháng tấc",8ETPAPyAGzc
11,80.0,88.0,8.0,88,Trong 4 vụ sạt lở tại Quảng Nam thì vụ việc xảy ra tại Trà Leng được coi là rất phức tạp,8ETPAPyAGzc
12,88.0,93.0,5.0,66,Khi một lượng lớn đất đá đổ xuống vùi lấp số người là hơn 50 người,8ETPAPyAGzc
13,93.0,99.0,6.0,111,Còn đường bộ để vào cứu hộ là tuyến đường độc đạo đã xuất hiện nhiều điểm sạt trượt đất đá với số lượng rất lớn,8ETPAPyAGzc
14,99.0,103.0,4.0,84,"Tuy nhiên, bằng mọi nguồn lực công tác tìm kiếm cứu nạn đang diễn ra rất khẩn trương",8ETPAPyAGzc
15,103.0,108.0,5.0,94,Phó Thủ tướng Chính phủ Trịnh Đình Dũng đã có mặt tại hiện trường để chỉ đạo phương án cứu nạn,8ETPAPyAGzc
16,110.0,114.0,4.0,56,Nếu tính trên đường bộ để tiếp cận hiện trường vụ sạt lở,8ETPAPyAGzc
17,114.0,120.0,6.0,88,"Chỉ có một đường duy nhất là quốc lộ 40 tuyến Tam Kỳ, Tiền Phước, Bắc Trà My, Nam Trà My",8ETPAPyAGzc
18,120.0,125.0,5.0,104,Đoàn công tác của Phó Thủ tướng Trịnh Đình Dũng đã phải dừng lại ngay ở địa bàn thủy điện Sông Chanh Hai,8ETPAPyAGzc
19,125.0,128.0,3.0,40,Do tại đây xuất hiện một điểm sạt lở lớn,8ETPAPyAGzc
20,128.0,134.0,6.0,99,"Tại đây, sau khi thị xác tình hình sạt lở, quan sát địa hình, nghe báo cáo trực tiếp của địa phương",8ETPAPyAGzc
21,134.0,137.0,3.0,51,Nhận chỉ đạo trực tiếp của Thủ tướng qua điện thoại,8ETPAPyAGzc
22,137.0,142.0,5.0,92,Phó Thủ tướng đã nhấn mạnh bằng mọi cách phải chạy đua với thời gian để tiếp cận hiện trường,8ETPAPyAGzc
23,160.0,165.0,5.0,102,"Từ đêm ngày hôm qua, các tuyến trinh sát vẫn được triển khai song song với việc mở các tuyến đường mới",8ETPAPyAGzc
24,165.0,168.0,3.0,50,Lực lượng dân quân địa phương đã mở đường ven rừng,8ETPAPyAGzc
25,168.0,171.0,3.0,61,Lực lượng quân đội liên tục xử lý các điểm sạt lở tại quốc lộ,8ETPAPyAGzc
26,171.0,176.0,5.0,76,"Tàu thuyền, cano cũng được tập kết ngay để vào trà len bằng đường Sông Chanh",8ETPAPyAGzc
27,176.0,180.0,4.0,81,"Dù thời gian gấp rút, nhưng vẫn được tính đến yếu tố an toàn cho lực lượng cứu hộ",8ETPAPyAGzc
28,195.0,200.0,5.0,53,Và đi bằng ngoại con đường có thể đến được nhanh nhất,8ETPAPyAGzc
29,200.0,205.0,5.0,50,Kể cả dùng máy bay trực thăng để đưa lực lượng vào,8ETPAPyAGzc
30,206.0,209.0,3.0,56,Trên cung đường vào hiện trường trà len có 5 điểm sạt lở,8ETPAPyAGzc
31,209.0,214.0,5.0,89,Lực lượng tại chỗ của huyện Nam Trà My đã xử lý xong từ phía trong trà len ra được 2 điểm,8ETPAPyAGzc
