id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,94,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Quỳnh Anh.,8ETpQdyyDYs
1,5.0,10.0,5.0,126,Xin chào Chủ yếu Anh. Mới đầu mùa nắng nóng thôi mà người dân Trung Bộ cũng đã phải hứng chịu những đợt nắng nóng gay gắt rồi.,8ETpQdyyDYs
2,10.0,13.0,3.0,100,Không biết là diễn biến của đợt nóng này trong những ngày tới tiếp theo thì như thế nào Chủ yếu Anh?,8ETpQdyyDYs
3,13.0,20.0,7.0,141,"Dạ vâng, theo như dự báo sang tới ngày mai thì cái mức nhiệt 40 độ nắng nóng đặc biệt gay gắt thì vẫn tiếp tục xảy ra ở Quỳ Hợp và Hương Khê.",8ETpQdyyDYs
4,20.0,27.0,7.0,97,Với vùng núi từ Thanh Hóa đến Quảng Ngãi thì nắng nóng gay gắt với mức nhiệt là 37 cho đến 39 độ.,8ETpQdyyDYs
5,27.0,36.0,9.0,119,"Còn ở ven biển Trung Bộ không nóng như vùng núi do là ở đây hiệu ứng phơn đã yếu, nhiệt độ phổ biến là từ 35 đến 37 độ.",8ETpQdyyDYs
6,36.0,44.0,8.0,115,"Với khu vực Bắc Bộ thì nắng nóng chủ yếu xảy ra ở phía Tây, bao gồm Lào Cai, Điện Bên Phủ và Hòa Bình 35 đến 36 độ.",8ETpQdyyDYs
7,44.0,52.0,8.0,125,"Với thủ đô Hà Nội và hầu khắp các tỉnh thành phía Đông Bắc Bộ thì không nắng nóng gay gắt, nhiệt độ phổ biến là 32 đến 34 độ.",8ETpQdyyDYs
8,52.0,57.0,5.0,62,Quỳ sẽ cảm thấy oi nóng rõ khi mà độ ẩm luôn cao trên mức 60%.,8ETpQdyyDYs
9,57.0,62.0,5.0,73,Thời tiết nóng kéo dài đã kéo theo tai nạn đuối nước ở trẻ nhỏ tăng mạnh.,8ETpQdyyDYs
10,62.0,68.0,6.0,114,Ngay trong ngày hôm qua thì đã liên tiếp xảy ra 2 vụ đuối nước ở Vĩnh Phúc và Nghệ An khiến 6 học sinh thiệt mạng.,8ETpQdyyDYs
11,68.0,73.0,5.0,104,"Để không lặp lại những sự việc như trên thì các bậc phụ huynh không cho trẻ đi bơi, tắm ngoài sông suối.",8ETpQdyyDYs
12,73.0,81.0,8.0,101,"Nhà gần ao hồ thì cần phải làm cửa chắn và rào quanh nhà, lấp kín các hố rãnh sâu sau khi đã sử dụng.",8ETpQdyyDYs
13,81.0,85.0,4.0,86,Còn bây giờ sẽ là phần dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,8ETpQdyyDYs
14,85.0,90.0,5.0,94,"Tại thành phố Hà Nội, trong đêm nay và sáng mai là khoảng thời gian mát nhất trong ngày 26 độ.",8ETpQdyyDYs
15,90.0,98.0,8.0,110,"Sang ngày mai, trời nắng, nhiệt độ tăng lên mức 33 độ kết hợp với độ ẩm cao 63% thì sẽ có cảm giác oi nóng rõ.",8ETpQdyyDYs
16,98.0,101.0,3.0,64,Thành phố Nha Trang không nằm trong vùng nắng nóng của Trung Bộ.,8ETpQdyyDYs
17,101.0,107.0,6.0,72,"Đêm nay trời mát 27 độ, ngày mai trời nắng, nhiệt độ tăng lên mức 33 độ.",8ETpQdyyDYs
18,107.0,114.0,7.0,113,"Tại thành phố Hồ Chí Minh, dự báo đêm nay tạnh giáo, sáng sớm trời mát 27 độ, nắng nóng vào trưa chiều mai 35 độ.",8ETpQdyyDYs
19,114.0,120.0,6.0,107,"Chiều tối, mưa rông sau một ngày nắng mạnh thì quý vị cần phải đề phòng với xâm xét gió sức mạnh nguy hiểm.",8ETpQdyyDYs
