video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
8Pu77NQZP2A,0,0.0,7.0,7.0,"Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, mấy hôm nay thời tiết ấm nha, không biết là nó còn kéo dài lâu không ạ?","Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, mấy hôm nay thời tiết ấm nha, không biết là nó còn kéo dài lâu không ạ?","Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, mấy hôm nay thời tiết ấm nha, không biết là nó còn kéo dài lâu không ạ?",OK,HIGH
8Pu77NQZP2A,1,7.0,14.0,7.0,"Vâng ạ, trước khi mà chuyển mưa rơm vào đầu tuần sau, thì từ nay cho đến cuối tuần thì tiết trợ ở miền Bắc sẽ duy trì cái tình trạng ấm áp như thế này.","Vâng ạ, trước khi mà chuyển mưa rơm vào đầu tuần sau, thì từ nay cho đến cuối tuần thì tiết trợ ở miền Bắc sẽ duy trì cái tình trạng ấm áp như thế này.","Vâng ạ, trước khi mà chuyển mưa rơm vào đầu tuần sau, thì từ nay cho đến cuối tuần thì tiết trợ ở miền Bắc sẽ duy trì cái tình trạng ấm áp như thế này.",OK,HIGH
8Pu77NQZP2A,2,14.0,16.0,2.0,Và để hiểu rõ hơn thì chúng ta sẽ cùng đến với thủ đô Hà Nội.,Và để hiểu rõ hơn thì chúng ta sẽ cùng đến với thủ đô Hà Nội.,Và để hiểu rõ hơn thì chúng ta sẽ cùng đến với thủ đô Hà Nội.,OK,HIGH
8Pu77NQZP2A,3,16.0,24.0,8.0,"Thưa quý vị, thực tế tại Hà Nội, dù hôm nay nắng muộn, đến trưa mới có nắng, nhưng mọi người vẫn đều cảm thấy là ấm áp khi mà đi ra ngoài đường.","Thưa quý vị, thực tế tại Hà Nội, dù hôm nay nắng muộn, đến trưa mới có nắng, nhưng mọi người vẫn đều cảm thấy là ấm áp khi mà đi ra ngoài đường.","Thưa quý vị, thực tế tại Hà Nội, dù hôm nay nắng muộn, đến trưa mới có nắng, nhưng mọi người vẫn đều cảm thấy là ấm áp khi mà đi ra ngoài đường.",OK,HIGH
8Pu77NQZP2A,4,24.0,28.0,4.0,Đến 16h thì nhiệt độ đã tăng lên mức là 24 độ.,Đến 16h thì nhiệt độ đã tăng lên mức là 24 độ.,Đến 16h thì nhiệt độ đã tăng lên mức là 24 độ.,OK,HIGH
8Pu77NQZP2A,5,28.0,35.0,7.0,"Dự báo miền Bắc cũng như là tại thủ đô Hà Nội còn tăng nhiệt trong 3 ngày tới, nhất là vào 2 ngày cuối tuần, thứ Bảy và Chủ nhật,","Dự báo miền Bắc cũng như là tại thủ đô Hà Nội còn tăng nhiệt trong 3 ngày tới, nhất là vào 2 ngày cuối tuần, thứ Bảy và Chủ nhật,","Dự báo miền Bắc cũng như là tại thủ đô Hà Nội còn tăng nhiệt trong 3 ngày tới, nhất là vào 2 ngày cuối tuần, thứ Bảy và Chủ nhật,",OK,HIGH
8Pu77NQZP2A,6,35.0,40.0,5.0,"nhiệt độ tăng lên mức là 26 độ, lại có nắng từ sớm nên không khí thì cũng sẽ ấm áp hơn.","nhiệt độ tăng lên mức là 26 độ, lại có nắng từ sớm nên không khí thì cũng sẽ ấm áp hơn.","nhiệt độ tăng lên mức là 26 độ, lại có nắng từ sớm nên không khí thì cũng sẽ ấm áp hơn.",OK,HIGH
8Pu77NQZP2A,7,40.0,44.0,4.0,Còn trong ngày mai thì nắng vẫn sẽ đến muộn vào trưa chiều như ngày hôm nay.,Còn trong ngày mai thì nắng vẫn sẽ đến muộn vào trưa chiều như ngày hôm nay.,Còn trong ngày mai thì nắng vẫn sẽ đến muộn vào trưa chiều như ngày hôm nay.,OK,HIGH
8Pu77NQZP2A,8,44.0,50.0,6.0,"Lưu ý thêm với quý vị đó là sáng sớm mai sương mù vẫn bao phủ nhiều nơi ở khu vực miền Bắc,","Lưu ý thêm với quý vị đó là sáng sớm mai sương mù vẫn bao phủ nhiều nơi ở khu vực miền Bắc,","Lưu ý thêm với quý vị đó là sáng sớm mai sương mù vẫn bao phủ nhiều nơi ở khu vực miền Bắc,",OK,HIGH
8Pu77NQZP2A,9,50.0,56.0,6.0,thậm chí là mức độ sương thì còn dày hơn so với ngày hôm nay và có những nơi tầm nhìn chỉ khoảng là vài trăm mét mà thôi.,thậm chí là mức độ sương thì còn dày hơn so với ngày hôm nay và có những nơi tầm nhìn chỉ khoảng là vài trăm mét mà thôi.,thậm chí là mức độ sương thì còn dày hơn so với ngày hôm nay và có những nơi tầm nhìn chỉ khoảng là vài trăm mét mà thôi.,OK,HIGH
