video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
93dbw7DYjMk,0,0.0,9.0,9.0,"Tiếp tục với những tin tức giao thông cũng như là tin tức thời tiết, như quý vị đã biết rằng 2 ngày nay thì ở TP.HCM đều bị ngập do đợt triều cường cao trong năm","Trong 2 ngày qua, TP.HCM đã bị ngập do đợt triều cường cao nhất trong năm, gây khó khăn cho việc sinh hoạt của người dân.","Tiếp tục với những tin tức giao thông cũng như là tin tức thời tiết, như quý vị đã biết rằng 2 ngày nay thì ở TP.HCM đều bị ngập do đợt triều cường cao trong năm",REVERT,LOW
93dbw7DYjMk,1,9.0,15.0,6.0,"khiến việc ghi lại của người dân khó khăn, đời sống thì bị đảo lộn. Không biết là tình hình thời tiết cũng như là triều cường trong mấy ngày tới sẽ như thế nào?","Tại TP.HCM, trong 2 ngày qua, đợt triều cường cao đã khiến việc ghi lại của người dân gặp khó khăn và đời sống bị đảo lộn, trong khi tình hình thời tiết và triều cường trong những ngày tới vẫn chưa rõ ràng.","khiến việc ghi lại của người dân khó khăn, đời sống thì bị đảo lộn. Không biết là tình hình thời tiết cũng như là triều cường trong mấy ngày tới sẽ như thế nào?",REVERT,LOW
93dbw7DYjMk,2,15.0,19.0,4.0,Chúng ta cùng chờ đợi những thông tin cập nhật đến từ biên tập viên thời tiết Thanh Tùng. Xin mời anh Thanh Tùng.,Chúng ta hãy cùng chờ đợi những thông tin cập nhật từ biên tập viên thời tiết Thanh Tùng. Xin mời anh Thanh Tùng.,Chúng ta hãy cùng chờ đợi những thông tin cập nhật từ biên tập viên thời tiết Thanh Tùng. Xin mời anh Thanh Tùng.,OK,HIGH
93dbw7DYjMk,3,19.0,20.0,1.0,Cảm ơn anh Hoàng Dương.,"Cảm ơn anh Hoàng Dương. Thưa quý vị và các bạn, hôm nay triều cường tại TP.HCM đã đạt đỉnh, từ ngày mai con nước sẽ giảm dần nhưng vẫn ở mức cao, với 2 lần triều lên vào buổi sáng và chiều tối đều trên báo động 3, và đến sáng ngày kia vẫn còn trên mức này, chỉ giảm xuống quanh mức báo động 2 vào chiều tối ngày kia.",Cảm ơn anh Hoàng Dương.,REVERT,LOW
93dbw7DYjMk,4,20.0,25.0,5.0,"Thưa quý vị và các bạn, ngày hôm nay chính là ngày mà triều cường tại TP.HCM thì đã đạt đỉnh của đợt.","Thưa quý vị và các bạn, hôm nay triều cường tại TP.HCM đã đạt đỉnh của đợt, và từ ngày mai, con nước sẽ có xu hướng giảm dần theo chu kỳ nhưng vẫn ở mức cao.","Thưa quý vị và các bạn, ngày hôm nay chính là ngày mà triều cường tại TP.HCM thì đã đạt đỉnh của đợt.",REVERT,MEDIUM
93dbw7DYjMk,5,25.0,31.0,6.0,Còn từ ngày mai thì con nước sẽ có xu hướng là giảm dần theo tru kỳ nhưng mà vẫn còn ở mức cao.,"Từ ngày mai, triều cường tại TP.HCM sẽ có xu hướng giảm dần theo chu kỳ, nhưng vẫn duy trì ở mức cao.",Còn từ ngày mai thì con nước sẽ có xu hướng là giảm dần theo tru kỳ nhưng mà vẫn còn ở mức cao.,REVERT,MEDIUM
93dbw7DYjMk,6,31.0,37.0,6.0,Tại TP.HCM thì 2 lần triều lên đó là vào buổi sáng và buổi chiều tối thì mức nước đều ở trên bão động 3.,"Tại TP.HCM, triều cường có 2 lần lên vào buổi sáng và buổi chiều tối, với mức nước đều trên bão động 3.","Tại TP.HCM, triều cường có 2 lần lên vào buổi sáng và buổi chiều tối, với mức nước đều trên bão động 3.",OK,HIGH
93dbw7DYjMk,7,37.0,46.0,9.0,Đến sáng ngày kia thì con nước vẫn còn ở mức cao là trên bão động 3 và phải đến chiều tối của ngày kia thì mới giảm xuống ở quanh mức bão động 2.,"Đến sáng ngày kia, mực nước vẫn còn ở mức cao, trên bão động 3, và phải đến chiều tối của ngày kia mới giảm xuống quanh mức bão động 2.","Đến sáng ngày kia, mực nước vẫn còn ở mức cao, trên bão động 3, và phải đến chiều tối của ngày kia mới giảm xuống quanh mức bão động 2.",OK,HIGH
93dbw7DYjMk,8,46.0,52.0,6.0,Không chỉ TP.HCM mà nhiều nơi khác ở hạ lưu của sông Cửu Long thì cũng sẽ có triều cao trong đợt này.,Không chỉ TP.HCM mà nhiều địa phương khác ở hạ lưu sông Cửu Long cũng sẽ trải qua đợt triều cường cao trong thời gian này.,Không chỉ TP.HCM mà nhiều địa phương khác ở hạ lưu sông Cửu Long cũng sẽ trải qua đợt triều cường cao trong thời gian này.,OK,HIGH
93dbw7DYjMk,9,52.0,60.0,8.0,Ngày mai thì đỉnh triều trên sông Hậu tại Cần Thơ hay là sông Tiền ở Mỹ Thuận thì cũng sẽ trên bão động 3 là từ 13-23cm.,"Ngày mai, đỉnh triều trên sông Hậu tại Cần Thơ và sông Tiền ở Mỹ Thuận sẽ đạt mức trên báo động 3, dao động từ 13-23 cm.","Ngày mai, đỉnh triều trên sông Hậu tại Cần Thơ và sông Tiền ở Mỹ Thuận sẽ đạt mức trên báo động 3, dao động từ 13-23 cm.",OK,HIGH
93dbw7DYjMk,10,60.0,66.0,6.0,"Với diễn biến triều cường như vậy thì những vùng trũng thấp và ven sông của TP.HCM, Cần Thơ, Vĩnh Long","Với diễn biến triều cường như vậy, những vùng trũng thấp và ven sông của TP.HCM, Cần Thơ, Vĩnh Long cùng nhiều nơi khác ở hạ nguồn sông Cửu Long sẽ tái diễn tình trạng ngập vào khoảng từ 5-7 giờ và từ 17-19 giờ, với mức ngập lên đến nửa bánh xe máy.","Với diễn biến triều cường như vậy thì những vùng trũng thấp và ven sông của TP.HCM, Cần Thơ, Vĩnh Long",REVERT,LOW
93dbw7DYjMk,11,66.0,73.0,7.0,cũng như là nhiều nơi khác ở hạ nguồn của đoàn sông Cửu Long thì sẽ ngập ống tái diễn vào khoảng từ 5-7 giờ và từ 17-19 giờ.,"Nhiều nơi khác ở hạ lưu sông Cửu Long sẽ tái diễn tình trạng ngập úng vào khoảng từ 5-7 giờ và từ 17-19 giờ, với mức ngập lên đến khoảng nửa bánh xe máy.",cũng như là nhiều nơi khác ở hạ nguồn của đoàn sông Cửu Long thì sẽ ngập ống tái diễn vào khoảng từ 5-7 giờ và từ 17-19 giờ.,REVERT,LOW
93dbw7DYjMk,12,73.0,76.0,3.0,Mức ngập đến khoảng nửa bánh xe máy.,Mức ngập tại TP.HCM đạt khoảng nửa bánh xe máy.,Mức ngập đến khoảng nửa bánh xe máy.,REVERT,HIGH
