video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
94mZP8f5HsY,0,0.0,6.0,6.0,"Thưa quý vị, sáng nay thì toàn bộ thuyền viên trên tàu VietShip 1 đã được các lực lượng chức năng giải cứu an toàn.","Sáng nay, toàn bộ thuyền viên trên tàu VietShip 1 đã được các lực lượng chức năng giải cứu an toàn.","Sáng nay, toàn bộ thuyền viên trên tàu VietShip 1 đã được các lực lượng chức năng giải cứu an toàn.",OK,HIGH
94mZP8f5HsY,1,6.0,12.0,6.0,"11 chiến sĩ đặc công nước và trực thăng đã đồng thời tiếp cận con tàu, phối hợp cứu trợ để nhanh chóng đưa người bị nạn lên bờ.","Sáng nay, 11 chiến sĩ đặc công nước và trực thăng đã đồng thời tiếp cận tàu VietShip 1 để phối hợp cứu trợ, nhanh chóng đưa người bị nạn lên bờ.","11 chiến sĩ đặc công nước và trực thăng đã đồng thời tiếp cận con tàu, phối hợp cứu trợ để nhanh chóng đưa người bị nạn lên bờ.",REVERT,HIGH
94mZP8f5HsY,2,12.0,16.0,4.0,Công tác sơ cứu và chăm sóc sức khỏe cho các thuyền viên cũng nhanh chóng được triển khai.,Công tác sơ cứu và chăm sóc sức khỏe cho các thuyền viên đã được triển khai nhanh chóng sau khi toàn bộ thuyền viên trên tàu VietShip 1 được giải cứu an toàn.,Công tác sơ cứu và chăm sóc sức khỏe cho các thuyền viên cũng nhanh chóng được triển khai.,REVERT,HIGH
94mZP8f5HsY,3,16.0,21.0,5.0,"Trước đó thì do điều kiện thời tiết bất lợi, trực thăng dù đã được điều đến nhưng chưa thể tiếp cận được tàu.","Trước đó, do điều kiện thời tiết bất lợi, trực thăng đã được điều đến nhưng chưa thể tiếp cận được tàu.","Trước đó, do điều kiện thời tiết bất lợi, trực thăng đã được điều đến nhưng chưa thể tiếp cận được tàu.",OK,HIGH
94mZP8f5HsY,4,21.0,27.0,6.0,"Tàu VietShip 1 được bị mắc cạn cách đây 4 ngày tại Cửa Việt, xã Triệu An, huyện Triệu Phong của tỉnh Quảng Trị.","Tàu VietShip 1 đã bị mắc cạn cách đây 4 ngày tại Cửa Việt, xã Triệu An, huyện Triệu Phong, tỉnh Quảng Trị.","Tàu VietShip 1 đã bị mắc cạn cách đây 4 ngày tại Cửa Việt, xã Triệu An, huyện Triệu Phong, tỉnh Quảng Trị.",OK,HIGH
94mZP8f5HsY,5,30.0,36.0,6.0,"Sáng nay, bão số 6 đã đi vào đất liền các tỉnh Quảng Nam, Quảng Ngãi và suy yếu thành áp thấp nhiệt đới.","Sáng nay, bão số 6 đã đổ bộ vào đất liền các tỉnh Quảng Nam, Quảng Ngãi và suy yếu thành áp thấp nhiệt đới.","Sáng nay, bão số 6 đã đổ bộ vào đất liền các tỉnh Quảng Nam, Quảng Ngãi và suy yếu thành áp thấp nhiệt đới.",OK,HIGH
94mZP8f5HsY,6,36.0,41.0,5.0,"Chiều nay thì áp thấp nhiệt đới đã suy yếu thành một vùng áp thấp trên đất liền Quảng Nam, Quảng Ngãi.","Chiều nay, áp thấp nhiệt đới đã suy yếu thành một vùng áp thấp trên đất liền các tỉnh Quảng Nam và Quảng Ngãi.","Chiều nay, áp thấp nhiệt đới đã suy yếu thành một vùng áp thấp trên đất liền các tỉnh Quảng Nam và Quảng Ngãi.",OK,HIGH
94mZP8f5HsY,7,41.0,44.0,3.0,Sự báo vùng áp thấp này sẽ tiếp tục đi sâu vào đất liền rồi tan dần.,Dự báo vùng áp thấp này sẽ tiếp tục đi sâu vào đất liền và sau đó tan dần.,Dự báo vùng áp thấp này sẽ tiếp tục đi sâu vào đất liền và sau đó tan dần.,OK,HIGH
94mZP8f5HsY,8,44.0,46.0,2.0,Đây là tin cuối về cơn bão số 6.,"Sáng nay, toàn bộ thuyền viên trên tàu VietShip 1 đã được các lực lượng chức năng giải cứu an toàn sau 4 ngày mắc cạn tại Cửa Việt, xã Triệu An, huyện Triệu Phong, tỉnh Quảng Trị, trong bối cảnh bão số 6 đã đi vào đất liền các tỉnh Quảng Nam, Quảng Ngãi và suy yếu thành áp thấp nhiệt đới.",Đây là tin cuối về cơn bão số 6.,REVERT,HIGH
94mZP8f5HsY,9,46.0,51.0,5.0,"Thông tin đáng chú ý là chiều nay ở khu vực Đông Bắc, Biển Đông xuất hiện một áp thấp nhiệt đới.","Chiều nay, tại khu vực Đông Bắc Biển Đông đã xuất hiện một áp thấp nhiệt đới.","Chiều nay, tại khu vực Đông Bắc Biển Đông đã xuất hiện một áp thấp nhiệt đới.",OK,HIGH
94mZP8f5HsY,10,51.0,57.0,6.0,"Sự báo trong vòng 24 giờ tới sẽ đi theo hướng Tây Tây Bắc, tốc độ 10 km trên giờ và có khả năng mạnh thêm.","Dự báo trong vòng 24 giờ tới, áp thấp nhiệt đới sẽ di chuyển theo hướng Tây Tây Bắc với tốc độ 10 km/h và có khả năng mạnh thêm.","Dự báo trong vòng 24 giờ tới, áp thấp nhiệt đới sẽ di chuyển theo hướng Tây Tây Bắc với tốc độ 10 km/h và có khả năng mạnh thêm.",OK,HIGH
94mZP8f5HsY,11,57.0,63.0,6.0,"Đến 15h ngày mai, tầm áp thấp nhiệt đới cách huyện đảo Hoàng Sa khoảng 450 km về phía Đông Đông Bắc,","Đến 15h ngày mai, áp thấp nhiệt đới sẽ cách huyện đảo Hoàng Sa khoảng 450 km về phía Đông Đông Bắc, với cường độ mạnh cấp 7, giật cấp 9.","Đến 15h ngày mai, tầm áp thấp nhiệt đới cách huyện đảo Hoàng Sa khoảng 450 km về phía Đông Đông Bắc,",REVERT,MEDIUM
94mZP8f5HsY,12,63.0,65.0,2.0,"cường độ mạnh cấp 7, giật cấp 9.","Đến 15h ngày mai, tầm áp thấp nhiệt đới cách huyện đảo Hoàng Sa khoảng 450 km về phía Đông Đông Bắc, với cường độ mạnh cấp 7, giật cấp 9.","cường độ mạnh cấp 7, giật cấp 9.",REVERT,HIGH
94mZP8f5HsY,13,65.0,71.0,6.0,"Trong 24 đến 48 giờ tiếp theo, áp thấp nhiệt đới đi theo hướng Tây Tây Bắc, tiếp tục mạnh thêm.","Trong 24 đến 48 giờ tới, áp thấp nhiệt đới sẽ di chuyển theo hướng Tây Tây Bắc và có khả năng tiếp tục mạnh thêm.","Trong 24 đến 48 giờ tới, áp thấp nhiệt đới sẽ di chuyển theo hướng Tây Tây Bắc và có khả năng tiếp tục mạnh thêm.",OK,HIGH
94mZP8f5HsY,14,71.0,75.0,4.0,Cảnh báo vùng nguy hiểm do áp thấp nhiệt đới trên Biển Đông trong 24 giờ tới,"Cảnh báo vùng nguy hiểm do áp thấp nhiệt đới trên Biển Đông trong 24 giờ tới được xác định từ vĩ tuyến 15,5 đến 19,5 độ Bắc, từ 115 đến 120 độ Đông.",Cảnh báo vùng nguy hiểm do áp thấp nhiệt đới trên Biển Đông trong 24 giờ tới,REVERT,HIGH
