id,start,end,duration,text_len,text,video_id
0,0.0,8.0,8.0,122,"Chuyển sang một thông tin khác, thành phố Hồ Chí Minh đang đón đợt chiều cường với bức nước 1m75, cao kỷ lục của năm 2020.",9V8xIBQhCck
1,8.0,12.0,4.0,64,Bức nước này dự kiến sẽ còn kéo dài đến hết ngày 19 tháng 11 cơ.,9V8xIBQhCck
2,12.0,18.0,6.0,133,Với bức nước cao như vậy thì tình hình giao thông và đời sống của người dân tại thành phố Hồ Chí Minh đang bị ảnh hưởng nghiêm trọng.,9V8xIBQhCck
3,18.0,23.0,5.0,116,Và ảnh hưởng cụ thể như thế nào thì phóng viên Tấn Khoa sẽ chuyển đến quý vị những thông tin trực tiếp ngay bây giờ.,9V8xIBQhCck
4,23.0,25.0,2.0,21,Xin mời anh Tấn Khoa.,9V8xIBQhCck
5,26.0,31.0,5.0,79,"Tôi đang có mặt trên tuyến đường Trần Xuân Soạn, quận 7, thành phố Hồ Chí Minh.",9V8xIBQhCck
6,31.0,35.0,4.0,98,Đây là một trong những tuyến đường thường xuyên ghi nhận là ngập sâu do ảnh hưởng của chiều cường.,9V8xIBQhCck
7,35.0,42.0,7.0,172,"Có nhiều nơi trên tuyến đường này thì nước ngập lên đến nửa mét, bằng chứng là nhiều nhà dân tại đây đã phải lắp bặt các hàng rào trắng cao qua đầu gối của tôi như thế này.",9V8xIBQhCck
8,42.0,48.0,6.0,137,Hình ảnh mà quý vị đang thấy trên màn hình là những hình ảnh mà chúng tôi đã ghi nhận được trong chiều tối qua tại thành phố Hồ Chí Minh.,9V8xIBQhCck
9,48.0,52.0,4.0,86,Mực nước cao có khi đến cả yên xe máy đã khiến việc đi lại của người dân rất khó khăn.,9V8xIBQhCck
10,52.0,57.0,5.0,113,"Nhiều người bị té nhào khi đi qua các vùng nước ngập, hàng loạt phương tiện chết máy khiến người dân phải dẫn bộ.",9V8xIBQhCck
11,57.0,63.0,6.0,128,"Nhiều tuyến đường ở thành phố Hồ Chí Minh bị ngập nặng, giao thông hỗn loạn như là Quốc Hương, Lương Đình Của, Thảo Điền quận 2,",9V8xIBQhCck
12,63.0,66.0,3.0,67,"Tôn Tức Thuyết quận 4, Lê Văn Lương, Huỳnh Tấn Pháp quận 7, Nhà Bè.",9V8xIBQhCck
13,66.0,68.0,2.0,40,"Khẳng về tối, chiều cường càng dâng cao.",9V8xIBQhCck
14,68.0,73.0,5.0,108,Không chỉ người đi đường mà những người dân sinh sống tại các khu vực trụng thấp kể trên sẽ càng khổ sở hơn.,9V8xIBQhCck
15,73.0,79.0,6.0,124,"Dù là đã có kinh nghiệm từ nhiều đợt chiều cường trước, chủ động che chắn từ sớm bằng những bao cát, tắm nhựa hay miếng tôn.",9V8xIBQhCck
16,79.0,84.0,5.0,113,"Thế nhưng mỗi khi có phương tiện lớn như là xe container di chuyển, nước tạo thành các đợt sóng tràn vào nhà dân,",9V8xIBQhCck
17,84.0,86.0,2.0,45,nhiều người phải túc trực để tặc nước ra lại.,9V8xIBQhCck
18,86.0,90.0,4.0,63,Thời điểm nước ngập thường bắt đầu từ khoảng 16h30 đến gần 20h.,9V8xIBQhCck
