id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,47,Bây giờ sẽ là những thông tin dự báo thời tiết.,AQBy4LeoE3k
1,3.0,6.0,3.0,50,"Chị Quỳnh Anh, hôm qua thì trời lạnh nhưng mà khô.",AQBy4LeoE3k
2,6.0,8.0,2.0,39,Hôm nay thì cũng lạnh nhưng mà lại mưa.,AQBy4LeoE3k
3,8.0,10.0,2.0,37,Chị phân tích rõ hơn cho khán giả đi.,AQBy4LeoE3k
4,10.0,12.0,2.0,39,"Dạ vâng, nguyên nhân là do ngày hôm nay",AQBy4LeoE3k
5,12.0,14.0,2.0,48,cũng có không khí lạnh tăng cường xuống nước ta.,AQBy4LeoE3k
6,14.0,15.0,1.0,36,Thế nhưng khi mà di chuyển xuống đây,AQBy4LeoE3k
7,15.0,17.0,2.0,35,nó lại lệch ra phía biển nhiều hơn.,AQBy4LeoE3k
8,17.0,19.0,2.0,51,Chính vì vậy mà ẩm vào trong đất liền rất là nhiều.,AQBy4LeoE3k
9,19.0,21.0,2.0,23,"Thưa quý vị và các bạn,",AQBy4LeoE3k
10,21.0,23.0,2.0,28,ở miền Bắc và Bắc miền Trung,AQBy4LeoE3k
11,23.0,25.0,2.0,61,sẽ là những nơi chịu tác động rõ nét nhất của không khí lạnh.,AQBy4LeoE3k
12,25.0,27.0,2.0,37,Qua hình ảnh mây vệ tinh ngay sau đây,AQBy4LeoE3k
13,27.0,29.0,2.0,38,thì cũng có thể thấy rõ được điều này.,AQBy4LeoE3k
14,29.0,31.0,2.0,21,Từ đèo Hải Vân trở ra,AQBy4LeoE3k
15,31.0,33.0,2.0,34,quý vị có thể thấy là được bao phủ,AQBy4LeoE3k
16,33.0,35.0,2.0,19,bởi một lớp mây dày,AQBy4LeoE3k
17,35.0,37.0,2.0,38,và có những cơn mưa bắt chợt kèm theo.,AQBy4LeoE3k
18,37.0,39.0,2.0,28,Trong khi đó qua đèo Hải Vân,AQBy4LeoE3k
19,39.0,41.0,2.0,29,từ Đà Nẵng trở vào đến Nam Bộ,AQBy4LeoE3k
