video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
B2Qyx_vndSE,0,0.0,4.400000095367432,4.400000095367432,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
B2Qyx_vndSE,1,4.400000095367432,9.399999618530272,4.99999952316284,Chào chị Hương Liên! Không biết là tình hình nắng nóng tại Bắc Bộ và Trung Bộ thì sẽ diễn biến như thế nào trong mấy ngày tới ạ?,Chào chị Hương Liên! Không biết là tình hình nắng nóng tại Bắc Bộ và Trung Bộ thì sẽ diễn biến như thế nào trong mấy ngày tới ạ?,Chào chị Hương Liên! Không biết là tình hình nắng nóng tại Bắc Bộ và Trung Bộ thì sẽ diễn biến như thế nào trong mấy ngày tới ạ?,OK,HIGH
B2Qyx_vndSE,2,9.399999618530272,14.399999618530272,5.0,Vâng anh Dương! Trong đợt nắng nóng lần này ở Bắc Bộ và Trung Bộ thì không phải chỗ nào cũng nắng rát và nóng khô.,Vâng anh Dương! Trong đợt nắng nóng lần này ở Bắc Bộ và Trung Bộ thì không phải chỗ nào cũng nắng rát và nóng khô.,Vâng anh Dương! Trong đợt nắng nóng lần này ở Bắc Bộ và Trung Bộ thì không phải chỗ nào cũng nắng rát và nóng khô.,OK,HIGH
B2Qyx_vndSE,3,14.399999618530272,20.899999618530277,6.500000000000005,"Thực tế là trong ngày nắng nóng diện rộng đầu tiên là hôm nay, phía Đông Bắc Bộ gồm thủ đô Hà Nội là dạng nóng ẩm oi bức,","Thực tế là trong ngày nắng nóng diện rộng đầu tiên là hôm nay, phía Đông Bắc Bộ gồm thủ đô Hà Nội là dạng nóng ẩm oi bức,","Thực tế là trong ngày nắng nóng diện rộng đầu tiên là hôm nay, phía Đông Bắc Bộ gồm thủ đô Hà Nội là dạng nóng ẩm oi bức,",OK,HIGH
B2Qyx_vndSE,4,20.899999618530277,25.899999618530277,5.0,nhiệt độ khoảng 34-36 độ và độ ẩm cao trên 56%.,nhiệt độ khoảng 34-36 độ và độ ẩm cao trên 56%.,nhiệt độ khoảng 34-36 độ và độ ẩm cao trên 56%.,OK,HIGH
B2Qyx_vndSE,5,26.299999237060547,32.29999923706055,6.0,"Trong khi đó ở phía Tây Bắc Bộ và dọc vùng núi của Trung Bộ thì chỉ khoảng 39-45% mà thôi,","Trong khi đó ở phía Tây Bắc Bộ và dọc vùng núi của Trung Bộ thì chỉ khoảng 39-45% mà thôi,","Trong khi đó ở phía Tây Bắc Bộ và dọc vùng núi của Trung Bộ thì chỉ khoảng 39-45% mà thôi,",OK,HIGH
B2Qyx_vndSE,6,32.29999923706055,36.29999923706055,4.0,nhưng nhiệt độ lại rất cao lên tới 37-38 độ.,nhưng nhiệt độ lại rất cao lên tới 37-38 độ.,nhưng nhiệt độ lại rất cao lên tới 37-38 độ.,OK,HIGH
B2Qyx_vndSE,7,36.29999923706055,38.29999923706055,2.0,Cảm giác khô rát khi nắng mạnh liên tục.,Cảm giác khô rát khi nắng mạnh liên tục.,Cảm giác khô rát khi nắng mạnh liên tục.,OK,HIGH
B2Qyx_vndSE,8,38.29999923706055,46.29999923706055,8.0,Sự khác biệt này khả năng vẫn duy trì sang ngày mai do hiệu ứng phơn dọc vùng núi từ Điện Biên Sơn La Hòa Bình xuống tới Phú Yên,Sự khác biệt này khả năng vẫn duy trì sang ngày mai do hiệu ứng phơn dọc vùng núi từ Điện Biên Sơn La Hòa Bình xuống tới Phú Yên,Sự khác biệt này khả năng vẫn duy trì sang ngày mai do hiệu ứng phơn dọc vùng núi từ Điện Biên Sơn La Hòa Bình xuống tới Phú Yên,OK,HIGH
B2Qyx_vndSE,9,46.29999923706055,51.29999923706055,5.0,"sẽ là nơi nóng khô nhất, tương ứng với màu đỏ nhất trên bản đồ nhiệt này.","sẽ là nơi nóng khô nhất, tương ứng với màu đỏ nhất trên bản đồ nhiệt này.","sẽ là nơi nóng khô nhất, tương ứng với màu đỏ nhất trên bản đồ nhiệt này.",OK,HIGH
