id,start,end,duration,text_len,text,video_id
0,0.0,5.5,5.5,105,"Thời tiết miền trung Tây Nguyên đã bắt đầu thay đổi, bước vào giai đoạn nguy hiểm do cơn bão số 9 gây ra.",BAFrdMWBhbw
1,5.5,9.0,3.5,81,Biên tập viên Thời tiết Xuân Anh ngay sau đây sẽ phân tích kỹ hơn về cơn bão này.,BAFrdMWBhbw
2,9.0,10.0,1.0,21,Xin mời chị Xuân Anh.,BAFrdMWBhbw
3,10.0,15.0,5.0,92,"Vâng, dù là cơn bão số 9 thì chưa áp sát bờ, thế nhưng mà với cái đĩa mây rất là rộng của nó",BAFrdMWBhbw
4,15.0,17.0,2.0,60,thì nó cũng đã bắt đầu tác động đến thời tiết của nhiều nơi.,BAFrdMWBhbw
5,17.0,24.0,7.0,107,Và chúng ta có thể theo dõi trên ảnh radar để có thể thấy là mưa to cũng đã xảy ra ở Quảng Ngãi đến Phú Yên,BAFrdMWBhbw
6,24.0,30.0,6.0,121,cũng như là một phần của Gia Lai chính là những vùng màu xanh lá cây và màu vàng như thế này vào khoảng 16 giờ chiều nay.,BAFrdMWBhbw
7,30.0,38.0,8.0,99,Và cập nhật thêm đó là ở khu vực đảo Lý Sơn thì còn ghi nhận được là gió bão mạnh cấp 7 giật cấp 8.,BAFrdMWBhbw
8,38.0,42.0,4.0,67,Từ thời điểm này trở đi thì thời tiết sẽ còn trở nên nguy hiểm hơn.,BAFrdMWBhbw
9,42.0,50.0,8.0,110,Khoảng sáng mai bão sẽ đi vào khu vực từ Quảng Nam đến Bình Định với cường độ là khoảng cấp 12-13 giật cấp 15.,BAFrdMWBhbw
10,50.0,57.0,7.0,122,Và đây khả năng sẽ là một trong những cơn bão ảnh hưởng trực tiếp mạnh nhất trong vòng 20 năm trở lại đây tại khu vực này.,BAFrdMWBhbw
11,57.0,62.0,5.0,66,"Cảnh báo gió mạnh, mưa lớn tập trung từ giờ cho đến chiều tối mai.",BAFrdMWBhbw
12,62.0,68.0,6.0,89,"Đối với các tỉnh như là Con Tum, Gia Lai, Quảng Bình, Quảng Trị và phía bắc của Khánh Hòa",BAFrdMWBhbw
13,68.0,72.0,4.0,45,sẽ có gió mạnh khoảng là cấp 6-8 giật cấp 10.,BAFrdMWBhbw
14,72.0,79.0,7.0,106,Và với sức gió như thế này nhà cửa nếu như không được ra cố chắc chắn thì khả năng sẽ bị hư hỏng một phần.,BAFrdMWBhbw
15,79.0,81.0,2.0,26,Cảnh cây có thể sẽ gãy đổ.,BAFrdMWBhbw
16,81.0,88.0,7.0,83,Còn đối với Thừa Thiên Huế và Phú Yên khả năng sẽ có gió mạnh cấp 8-10 giật cấp 12.,BAFrdMWBhbw
17,88.0,92.0,4.0,56,Có thể sẽ gây hư hỏng nặng mái nhà ngói hoặc là mái tôn.,BAFrdMWBhbw
18,92.0,99.0,7.0,93,"Đặc biệt lưu ý với vùng gần tâm bão đó là tại Đà Nẵng, Quảng Nam, Quảng Ngãi hay là Bình Định",BAFrdMWBhbw
19,99.0,102.0,3.0,42,thì gió có thể mạnh cấp 11-13 giật cấp 15.,BAFrdMWBhbw
20,102.0,108.0,6.0,81,Sức gió này rất mạnh có thể sẽ quật đổ cây cối và thổi bay các nhà thiếu kiên cố.,BAFrdMWBhbw
21,108.0,112.0,4.0,73,"Trước tình hình này thì bà con nên ở trong nhà, không nên ra ngoài đường.",BAFrdMWBhbw
22,112.0,117.0,5.0,90,"Bà con cần phải nhanh chóng lưu các số điện thoại khẩn cấp, cứu hộ cứu nạn tại địa phương.",BAFrdMWBhbw
23,117.0,122.0,5.0,73,"Đồng thời cất giữ giấy tờ, tài liệu quan trọng trong túi không thấm nước.",BAFrdMWBhbw
24,122.0,128.0,6.0,85,"Chuẩn bị lương thực, thực phẩm, nước uống, bếp di động như là bếp cồn, bếp ga du lịch",BAFrdMWBhbw
25,128.0,132.0,4.0,80,"bởi là mưa bão và gió mạnh có thể sẽ làm tê liệt giao thông, hỏng hệ thống điện.",BAFrdMWBhbw
26,133.0,139.0,6.0,98,"Các nhu yếu phẩm như là thuốc men, đồ dùng sơ cứu, dầu gió và các thuốc chữa các bệnh thông thường",BAFrdMWBhbw
27,139.0,142.0,3.0,53,"như là hạ sốt, cảm cúm, tiêu chảy cũng rất cần thiết.",BAFrdMWBhbw
28,142.0,148.0,6.0,101,"Và cũng đừng quên các vật dụng dùng trong trường hợp khẩn cấp đó là áo phao, đèn pin và pin dự phòng.",BAFrdMWBhbw
29,150.0,153.0,3.0,87,Cuối cùng sẽ là phần dự báo thời tiết cho các thành phố khác trong đêm nay và ngày mai.,BAFrdMWBhbw
30,153.0,157.0,4.0,52,"Đối với thủ đô Hà Nội, đêm nay trời không mưa 23 độ.",BAFrdMWBhbw
31,157.0,160.0,3.0,48,"Ngày mai trời còn nắng, nhiệt độ cao nhất 30 độ.",BAFrdMWBhbw
