video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
BVxsl4WW0lQ,0,0.0,6.139999866485596,6.139999866485596,Vào thời điểm này mọi năm thì người dân ở Hà Nội cũng như là miền Bắc đã bắt đầu đón những đợt gió mùa đông Bắc đầu tiên,Vào thời điểm này mọi năm thì người dân ở Hà Nội cũng như là miền Bắc đã bắt đầu đón những đợt gió mùa đông Bắc đầu tiên,Vào thời điểm này mọi năm thì người dân ở Hà Nội cũng như là miền Bắc đã bắt đầu đón những đợt gió mùa đông Bắc đầu tiên,OK,HIGH
BVxsl4WW0lQ,1,6.400000095367432,7.420000076293945,1.0199999809265137,Trời lạnh,Trời lạnh,Trời lạnh,OK,HIGH
BVxsl4WW0lQ,2,7.679999828338623,13.81999969482422,6.1399998664855975,Chị em là sung sính áo mùa thu đông rồi nhưng mà năm nay thì chưa thấy gì cả vậy thì không biết diễn biến,Chị em là sung sính áo mùa thu đông rồi nhưng mà năm nay thì chưa thấy gì cả vậy thì không biết diễn biến,Chị em là sung sính áo mùa thu đông rồi nhưng mà năm nay thì chưa thấy gì cả vậy thì không biết diễn biến,OK,HIGH
BVxsl4WW0lQ,3,14.079999923706056,14.84000015258789,0.7600002288818342,không khí lạnh ra sao,không khí lạnh ra sao,không khí lạnh ra sao,OK,HIGH
BVxsl4WW0lQ,4,15.100000381469728,19.71999931335449,4.61999893188476,Mùa đông năm nay liệu có lạnh lắm không? Bây giờ thì chúng ta sẽ cùng gặp gỡ anh Thanh Tùng,Mùa đông năm nay liệu có lạnh lắm không? Bây giờ thì chúng ta sẽ cùng gặp gỡ anh Thanh Tùng,Mùa đông năm nay liệu có lạnh lắm không? Bây giờ thì chúng ta sẽ cùng gặp gỡ anh Thanh Tùng,OK,HIGH
BVxsl4WW0lQ,5,20.479999542236328,21.0,0.5200004577636719,Dạ vâng ạ,Dạ vâng ạ,Dạ vâng ạ,OK,HIGH
BVxsl4WW0lQ,6,21.239999771118164,26.36000061035156,5.120000839233395,Thật ra thì cũng có rất là nhiều người có chung cái cảm nhận giống như là anh Dương có cái thắc mắc như vậy,Thật ra thì cũng có rất là nhiều người có chung cái cảm nhận giống như là anh Dương có cái thắc mắc như vậy,Thật ra thì cũng có rất là nhiều người có chung cái cảm nhận giống như là anh Dương có cái thắc mắc như vậy,OK,HIGH
BVxsl4WW0lQ,7,26.6200008392334,29.700000762939453,3.0799999237060547,Thật ra thì chúng ta cũng đã có 1-2 ngày là thời tiết se se lạnh rồi,Thật ra thì chúng ta cũng đã có 1-2 ngày là thời tiết se se lạnh rồi,Thật ra thì chúng ta cũng đã có 1-2 ngày là thời tiết se se lạnh rồi,OK,HIGH
BVxsl4WW0lQ,8,29.899999618530277,35.02000045776367,5.120000839233395,Không biết anh Dương có để ý không là cái thời tiết se se lạnh đó thì nó chỉ diễn ra về buổi đêm và sáng sớm thôi ạ,Không biết anh Dương có để ý không là cái thời tiết se se lạnh đó thì nó chỉ diễn ra về buổi đêm và sáng sớm thôi ạ,Không biết anh Dương có để ý không là cái thời tiết se se lạnh đó thì nó chỉ diễn ra về buổi đêm và sáng sớm thôi ạ,OK,HIGH
BVxsl4WW0lQ,9,35.279998779296875,36.29999923706055,1.0200004577636719,Chút chút đúng không? Vâng đúng vậy ạ,Chút chút đúng không? Vâng đúng vậy ạ,Chút chút đúng không? Vâng đúng vậy ạ,OK,HIGH
BVxsl4WW0lQ,10,36.560001373291016,40.400001525878906,3.8400001525878906,Và thưa quý vị còn sau đó thì thời tiết ngay lập tức lại nắng và nóng lên,Và thưa quý vị còn sau đó thì thời tiết ngay lập tức lại nắng và nóng lên,Và thưa quý vị còn sau đó thì thời tiết ngay lập tức lại nắng và nóng lên,OK,HIGH
BVxsl4WW0lQ,11,40.65999984741211,42.959999084472656,2.299999237060547,Ở trên đường phố Hà Nội thì cũng chưa có gì khác biệt cả,Ở trên đường phố Hà Nội thì cũng chưa có gì khác biệt cả,Ở trên đường phố Hà Nội thì cũng chưa có gì khác biệt cả,OK,HIGH
BVxsl4WW0lQ,12,43.220001220703125,47.29999923706055,4.079998016357422,Mọi người vẫn còn mặc những chiếc áo cộc tay và những chiếc áo trống nắng như thế này ạ,Mọi người vẫn còn mặc những chiếc áo cộc tay và những chiếc áo trống nắng như thế này ạ,Mọi người vẫn còn mặc những chiếc áo cộc tay và những chiếc áo trống nắng như thế này ạ,OK,HIGH
BVxsl4WW0lQ,13,47.81999969482422,52.380001068115234,4.560001373291016,Mà các năm trước thì giai đoạn cuối tháng 9 là bắt đầu có 1 đợt gió mùa đông Bắc tràn về rồi,Mà các năm trước thì giai đoạn cuối tháng 9 là bắt đầu có 1 đợt gió mùa đông Bắc tràn về rồi,Mà các năm trước thì giai đoạn cuối tháng 9 là bắt đầu có 1 đợt gió mùa đông Bắc tràn về rồi,OK,HIGH
BVxsl4WW0lQ,14,52.63999938964844,53.91999816894531,1.279998779296875,Mang theo gió hơi may,Mang theo gió hơi may,Mang theo gió hơi may,OK,HIGH
BVxsl4WW0lQ,15,54.18000030517578,55.20000076293945,1.0200004577636719,Cái se se lạnh đầu mùa,Cái se se lạnh đầu mùa,Cái se se lạnh đầu mùa,OK,HIGH
BVxsl4WW0lQ,16,55.41999816894531,58.7400016784668,3.3200035095214844,Và mọi người có thể diện áo dài tay này hoặc là những chiếc áo khoác nhẹ rồi,Và mọi người có thể diện áo dài tay này hoặc là những chiếc áo khoác nhẹ rồi,Và mọi người có thể diện áo dài tay này hoặc là những chiếc áo khoác nhẹ rồi,OK,HIGH
BVxsl4WW0lQ,17,59.0,62.84000015258789,3.8400001525878906,Năm nay thì mặc dù là không khí lạnh cũng đã xuất hiện hôm 25-26 tháng 9,Năm nay thì mặc dù là không khí lạnh cũng đã xuất hiện hôm 25-26 tháng 9,Năm nay thì mặc dù là không khí lạnh cũng đã xuất hiện hôm 25-26 tháng 9,OK,HIGH
BVxsl4WW0lQ,18,63.09999847412109,65.13999938964844,2.040000915527351,Nhưng mà cường độ của nó thì rất là yếu thôi,Nhưng mà cường độ của nó thì rất là yếu thôi,Nhưng mà cường độ của nó thì rất là yếu thôi,OK,HIGH
BVxsl4WW0lQ,19,65.63999938964844,68.19999694824219,2.55999755859375,Mới chỉ đem đến cái cảm giác se lạnh về đêm và sáng sớm,Mới chỉ đem đến cái cảm giác se lạnh về đêm và sáng sớm,Mới chỉ đem đến cái cảm giác se lạnh về đêm và sáng sớm,OK,HIGH
BVxsl4WW0lQ,20,68.45999908447266,69.4800033569336,1.0200042724609375,Nên là rất khó để cảm nhận,Nên là rất khó để cảm nhận,Nên là rất khó để cảm nhận,OK,HIGH
BVxsl4WW0lQ,21,70.0,73.08000183105469,3.0800018310546875,Phải từ tháng 10 này trở đi thì mới có các đợt không khí lạnh đủ mạnh,Phải từ tháng 10 này trở đi thì mới có các đợt không khí lạnh đủ mạnh,Phải từ tháng 10 này trở đi thì mới có các đợt không khí lạnh đủ mạnh,OK,HIGH
BVxsl4WW0lQ,22,73.33999633789062,76.13999938964844,2.8000030517578125,Và làm cho nhiệt độ của miền Bắc lúc đó mới giảm đi nhiều,Và làm cho nhiệt độ của miền Bắc lúc đó mới giảm đi nhiều,Và làm cho nhiệt độ của miền Bắc lúc đó mới giảm đi nhiều,OK,HIGH
BVxsl4WW0lQ,23,76.4000015258789,81.26000213623047,4.8600006103515625,Thì người dân mới bắt đầu có thể là cần đến những chiếc áo len mỏng này hay là những chiếc áo khoác nhẹ,Thì người dân mới bắt đầu có thể là cần đến những chiếc áo len mỏng này hay là những chiếc áo khoác nhẹ,Thì người dân mới bắt đầu có thể là cần đến những chiếc áo len mỏng này hay là những chiếc áo khoác nhẹ,OK,HIGH
BVxsl4WW0lQ,24,81.68000030517578,82.95999908447266,1.279998779296875,Dự kiến là đợt gần nhất,Dự kiến là đợt gần nhất,Dự kiến là đợt gần nhất,OK,HIGH
BVxsl4WW0lQ,25,83.22000122070312,84.76000213623047,1.5400009155273438,Thì sẽ rơi vào khoảng ngày mùng 10,Thì sẽ rơi vào khoảng ngày mùng 10,Thì sẽ rơi vào khoảng ngày mùng 10,OK,HIGH
BVxsl4WW0lQ,26,85.0199966430664,86.80000305175781,1.7800064086914062,Cho đến 12 tháng 10,Cho đến 12 tháng 10,Cho đến 12 tháng 10,OK,HIGH
BVxsl4WW0lQ,27,87.05999755859375,90.9000015258789,3.8400039672851562,Và trong cả tháng thì sẽ có 2 đến 3 đợt không khí lạnh tràn xuống,Và trong cả tháng thì sẽ có 2 đến 3 đợt không khí lạnh tràn xuống,Và trong cả tháng thì sẽ có 2 đến 3 đợt không khí lạnh tràn xuống,OK,HIGH
BVxsl4WW0lQ,28,91.16000366210938,93.95999908447266,2.7999954223632812,Làm cho nền nhiệt trung bình ngày ở khu vực Bắc Bộ giảm xuống,Làm cho nền nhiệt trung bình ngày ở khu vực Bắc Bộ giảm xuống,Làm cho nền nhiệt trung bình ngày ở khu vực Bắc Bộ giảm xuống,OK,HIGH
BVxsl4WW0lQ,29,94.22000122070312,96.0199966430664,1.7999954223632812,Còn ở mức là dưới 25 độ,Còn ở mức là dưới 25 độ,Còn ở mức là dưới 25 độ,OK,HIGH
BVxsl4WW0lQ,30,96.5199966430664,101.13999938964844,4.620002746582031,Và khi đó thì ở vùng núi Bắc Bộ của chúng ta khả năng là cũng sẽ có Z về đêm và sáng sớm,Và khi đó thì ở vùng núi Bắc Bộ của chúng ta khả năng là cũng sẽ có Z về đêm và sáng sớm,Và khi đó thì ở vùng núi Bắc Bộ của chúng ta khả năng là cũng sẽ có Z về đêm và sáng sớm,OK,HIGH
BVxsl4WW0lQ,31,101.9000015258789,105.4800033569336,3.5800018310546875,Vậy thì mùa đông năm nay có Z lắm không và chúng ta cần phải lưu ý gì anh Tùng?,Vậy thì mùa đông năm nay có Z lắm không và chúng ta cần phải lưu ý gì anh Tùng?,Vậy thì mùa đông năm nay có Z lắm không và chúng ta cần phải lưu ý gì anh Tùng?,OK,HIGH
BVxsl4WW0lQ,32,105.73999786376952,109.31999969482422,3.5800018310547017,Theo dự báo của chúng tôi đến thời điểm này thì mùa đông năm nay khả năng là sẽ Z hơn,Theo dự báo của chúng tôi đến thời điểm này thì mùa đông năm nay khả năng là sẽ Z hơn,Theo dự báo của chúng tôi đến thời điểm này thì mùa đông năm nay khả năng là sẽ Z hơn,OK,HIGH
BVxsl4WW0lQ,33,109.58000183105467,110.5999984741211,1.0199966430664205,So với năm ngoái,So với năm ngoái,So với năm ngoái,OK,HIGH
BVxsl4WW0lQ,34,110.6999969482422,112.5999984741211,1.900001525878892,Còn cụ thể như thế nào thì bây giờ xin mời anh Tuấn Dương,Còn cụ thể như thế nào thì bây giờ xin mời anh Tuấn Dương,Còn cụ thể như thế nào thì bây giờ xin mời anh Tuấn Dương,OK,HIGH
BVxsl4WW0lQ,35,112.86000061035156,113.62000274658205,0.760002136230483,Cũng như là quý vị khán giả,Cũng như là quý vị khán giả,Cũng như là quý vị khán giả,OK,HIGH
BVxsl4WW0lQ,36,113.87999725341795,116.44000244140624,2.5600051879882812,Chúng ta sẽ cùng lắng nghe nhận định của chuyên gia khí tượng Thủy Vang,Chúng ta sẽ cùng lắng nghe nhận định của chuyên gia khí tượng Thủy Vang,Chúng ta sẽ cùng lắng nghe nhận định của chuyên gia khí tượng Thủy Vang,OK,HIGH
BVxsl4WW0lQ,37,118.23999786376952,120.77999877929688,2.540000915527358,Theo doanh trá của tôi thì cái mùa đông năm nay nó có xuống nó,Theo doanh trá của tôi thì cái mùa đông năm nay nó có xuống nó,Theo doanh trá của tôi thì cái mùa đông năm nay nó có xuống nó,OK,HIGH
BVxsl4WW0lQ,38,121.04000091552734,122.33999633789062,1.2999954223632812,Lại hơn so với mùa đông năm ngoái,Lại hơn so với mùa đông năm ngoái,Lại hơn so với mùa đông năm ngoái,OK,HIGH
BVxsl4WW0lQ,39,122.33999633789062,125.13999938964844,2.8000030517578125,Thì cái tháng 12 có khả năng là xuất hiện cái Z đậm sớm,Thì cái tháng 12 có khả năng là xuất hiện cái Z đậm sớm,Thì cái tháng 12 có khả năng là xuất hiện cái Z đậm sớm,OK,HIGH
BVxsl4WW0lQ,40,125.13999938964844,128.86000061035156,3.720001220703125,Tức là trung bình nhiều năm thì Z đậm xảy ra đâu đó và khoảng sau ngày 25,Tức là trung bình nhiều năm thì Z đậm xảy ra đâu đó và khoảng sau ngày 25,Tức là trung bình nhiều năm thì Z đậm xảy ra đâu đó và khoảng sau ngày 25,OK,HIGH
BVxsl4WW0lQ,41,128.86000061035156,129.86000061035156,1.0,Tức là sau Nô-en,Tức là sau Nô-en,Tức là sau Nô-en,OK,HIGH
BVxsl4WW0lQ,42,129.86000061035156,131.86000061035156,2.0,Thì năm nay có thể xuất hiện Z đậm trước Nô-en,Thì năm nay có thể xuất hiện Z đậm trước Nô-en,Thì năm nay có thể xuất hiện Z đậm trước Nô-en,OK,HIGH
BVxsl4WW0lQ,43,131.86000061035156,134.8800048828125,3.0200042724609375,Với cái nhiệt độ trung bình năm nay của 3 cái tháng sinh tông là tháng 12,Với cái nhiệt độ trung bình năm nay của 3 cái tháng sinh tông là tháng 12,Với cái nhiệt độ trung bình năm nay của 3 cái tháng sinh tông là tháng 12,OK,HIGH
BVxsl4WW0lQ,44,135.27999877929688,138.3000030517578,3.0200042724609375,"Tháng 1 và tháng 2 là thấp hơn so với năm ngoái từ 0,5 đến 1 độ","Tháng 1 và tháng 2 là thấp hơn so với năm ngoái từ 0,5 đến 1 độ","Tháng 1 và tháng 2 là thấp hơn so với năm ngoái từ 0,5 đến 1 độ",OK,HIGH
BVxsl4WW0lQ,45,138.55999755859375,141.36000061035156,2.8000030517578125,Trong cái tháng 1 của cái năm 2022 ấy,Trong cái tháng 1 của cái năm 2022 ấy,Trong cái tháng 1 của cái năm 2022 ấy,OK,HIGH
BVxsl4WW0lQ,46,141.60000610351562,143.36000061035156,1.7599945068359375,Có xuất hiện khoảng 4 đến 5 đợt không cứ lạnh mạnh,Có xuất hiện khoảng 4 đến 5 đợt không cứ lạnh mạnh,Có xuất hiện khoảng 4 đến 5 đợt không cứ lạnh mạnh,OK,HIGH
BVxsl4WW0lQ,47,143.86000061035156,146.86000061035156,3.0,Và trong những cái đợt đấy nó sẽ gây ra những cái đợt Z đậm Z hại diện rộng,Và trong những cái đợt đấy nó sẽ gây ra những cái đợt Z đậm Z hại diện rộng,Và trong những cái đợt đấy nó sẽ gây ra những cái đợt Z đậm Z hại diện rộng,OK,HIGH
BVxsl4WW0lQ,48,146.86000061035156,148.86000061035156,2.0,Ở Bắc Bộ cũng như khu vực núi Trung Du,Ở Bắc Bộ cũng như khu vực núi Trung Du,Ở Bắc Bộ cũng như khu vực núi Trung Du,OK,HIGH
BVxsl4WW0lQ,49,149.86000061035156,151.36000061035156,1.5,Cũng thậm chí là tỉnh Bắc Trung Bộ,Cũng thậm chí là tỉnh Bắc Trung Bộ,Cũng thậm chí là tỉnh Bắc Trung Bộ,OK,HIGH
