id,start,end,duration,text_len,text,video_id
0,1.0,3.0,2.0,47,Bây giờ sẽ là những thông tin dự báo thời tiết.,BtosfFG_9Es
1,3.0,7.5,4.5,111,"Anh Tùng, chiều nay ở Hà Nội thì mưa, gió sớm xét. Không biết có phải do ảnh hưởng của áp thấp nhiệt đới không?",BtosfFG_9Es
2,7.5,8.5,1.0,24,"Vâng, đúng là như vậy ạ.",BtosfFG_9Es
3,8.5,11.5,3.0,66,Chiều nay thì áp thấp nhiệt đới đã đi vào khu vực vịnh Bắc Bộ rồi.,BtosfFG_9Es
4,11.5,14.5,3.0,72,Và nó đang ngày càng tiến gần hơn về phía đất liền phía Bắc của nước ta.,BtosfFG_9Es
5,14.5,17.5,3.0,65,Bây giờ thì chúng tôi xin mời quý vị cùng quan sát ảnh radar này.,BtosfFG_9Es
6,17.5,23.0,5.5,86,Quý vị sẽ thấy là hoàn lưu phía Tây của áp thấp nhiệt đới thì đã gây mưa cho nhiều nơi,BtosfFG_9Es
7,23.0,26.0,3.0,51,ở thủ đô Hà Nội cũng như là Bắc Bộ và Bắc Trung Bộ.,BtosfFG_9Es
8,26.0,30.5,4.5,65,"Và những nơi mưa to nhất thì đó là Thanh Hóa, Nghệ An và Hà Tĩnh.",BtosfFG_9Es
9,30.5,34.5,4.0,52,Ở đây lượng mưa ghi nhận được là từ 88 cho tới 99mm.,BtosfFG_9Es
10,34.5,40.5,6.0,89,"Thậm chí là có những nơi lượng mưa còn lớn hơn là trên 100mm như là Sầm Sơn đây ạ, 106mm.",BtosfFG_9Es
11,40.5,46.5,6.0,95,Và cũng bởi vì là mưa cấp tập như vậy nên là nhiều tuyến phố tại thành phố Thanh Hóa đã bị ngập,BtosfFG_9Es
12,46.5,48.5,2.0,38,và giao thông cũng đã rất là khó khăn.,BtosfFG_9Es
13,49.0,54.5,5.5,95,Kể từ tối nay thì mưa sẽ gia tăng hơn nữa khi mà áp thấp nhiệt đới đi gần hơn về phía đất liền.,BtosfFG_9Es
14,54.5,60.0,5.5,86,Cảnh báo là từ Hà Tĩnh trở ra Thanh Hóa và khu vực Bắc Bộ thì sẽ có mưa to đến rất to.,BtosfFG_9Es
15,60.0,63.5,3.5,42,Và tổng lượng mưa là từ 100 cho đến 250mm.,BtosfFG_9Es
16,63.5,65.5,2.0,27,Có những nơi là trên 300mm.,BtosfFG_9Es
17,65.5,69.5,4.0,89,Trong thời gian sáng mai khi mà các em học sinh đi thi tốt nghiệp trung học phổ thông này,BtosfFG_9Es
18,69.5,71.5,2.0,39,thì trời vẫn có thể là mưa to từng đợt.,BtosfFG_9Es
19,71.5,75.5,4.0,84,"Các vùng trũng thấp, các khu đô thị bao gồm cả thủ đô Hà Nội thì có thể bị ngập ống.",BtosfFG_9Es
20,75.5,78.5,3.0,55,Còn ở trên vùng núi thì mưa đã xảy ra mấy ngày qua rồi.,BtosfFG_9Es
21,78.5,83.5,5.0,86,Nay lại có thêm mưa nữa thì lo ngại nhất đó là các hiện tượng về lũ quét và xà lở đất.,BtosfFG_9Es
22,83.5,89.5,6.0,85,"Đặc biệt là có nguy cơ diễn ra tại Lai Châu, Lào Cai, Hà Giang, Tuyên Quang, Yên Bái,",BtosfFG_9Es
23,89.5,92.5,3.0,57,"Xuống Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và cả Hà Tĩnh.",BtosfFG_9Es
24,92.5,97.5,5.0,76,"Quý vị sinh sống ở gần các sườn đồi núi, các mái ta lui hay là ven sông suối",BtosfFG_9Es
25,97.5,100.5,3.0,62,"thì hãy chú ý đến những dấu hiệu, những tiếng động bất thường.",BtosfFG_9Es
26,100.5,102.5,2.0,47,Cần phải nhanh chóng thoát khỏi vùng nguy hiểm.,BtosfFG_9Es
27,102.5,105.5,3.0,66,Cứ tiên bảo vệ tính mạng của mình trước chứ không phải là tài sản.,BtosfFG_9Es
28,105.5,107.5,2.0,64,Còn bây giờ thì chúng tôi xin được cập nhật phần dự báo chi tiết,BtosfFG_9Es
29,107.5,109.5,2.0,47,cho một số thành phố trong đêm nay và ngày mai.,BtosfFG_9Es
30,110.5,114.5,4.0,53,"Thành phố Hà Nội đêm nay có mưa to đến rất to, 25 độ.",BtosfFG_9Es
31,114.5,117.5,3.0,55,"Mưa lớn còn kéo dài cho đến sáng mai, nguy cơ ngập ống.",BtosfFG_9Es
32,117.5,119.5,2.0,23,Chiều mai mưa giảm dần.,BtosfFG_9Es
33,120.5,123.5,3.0,65,Thành phố Thanh Hóa cũng có mưa rất to trong đêm nay và sáng mai.,BtosfFG_9Es
34,123.5,128.5,5.0,78,"Chiều mai thì mưa giảm nhanh, có khoảng tạnh giáo, nhiệt độ cao nhất là 29 độ.",BtosfFG_9Es
35,129.5,133.5,4.0,72,"Thành phố Cần Thơ đêm có lúc có mưa rào, sáng đến trưa mai thì nắng nhẹ.",BtosfFG_9Es
36,133.5,136.5,3.0,39,"Chiều cảnh báo mưa rông, gió giật mạnh.",BtosfFG_9Es
