video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
CX22seEkK2g,0,0.0,4.0,4.0,Còn tiếp theo sẽ đến thông tin dự báo thời tiết đến từ biên tập viên Thời tiết Hải Yến,Còn tiếp theo sẽ đến thông tin dự báo thời tiết đến từ biên tập viên Thời tiết Hải Yến,Còn tiếp theo sẽ đến thông tin dự báo thời tiết đến từ biên tập viên Thời tiết Hải Yến,OK,HIGH
CX22seEkK2g,1,4.0,8.0,4.0,"Chị Hải Yến thân mến, như vậy là một mùa Giáng sinh đang về với tất cả chúng ta rồi","Chị Hải Yến thân mến, như vậy là một mùa Giáng sinh đang về với tất cả chúng ta rồi","Chị Hải Yến thân mến, như vậy là một mùa Giáng sinh đang về với tất cả chúng ta rồi",OK,HIGH
CX22seEkK2g,2,8.0,11.0,3.0,Và ai cũng mong chờ rằng cái Z đặc trưng của miền Bắc rất là hợp với Giáng sinh,Và ai cũng mong chờ rằng cái Z đặc trưng của miền Bắc rất là hợp với Giáng sinh,Và ai cũng mong chờ rằng cái Z đặc trưng của miền Bắc rất là hợp với Giáng sinh,OK,HIGH
CX22seEkK2g,3,11.0,15.0,4.0,Không biết là thời tiết vào ngày mai thì có nhiều sáo trộn so với những ngày vừa qua không chị Yến?,Không biết là thời tiết vào ngày mai thì có nhiều sáo trộn so với những ngày vừa qua không chị Yến?,Không biết là thời tiết vào ngày mai thì có nhiều sáo trộn so với những ngày vừa qua không chị Yến?,OK,HIGH
CX22seEkK2g,4,15.0,18.0,3.0,"Vâng ạ, có lẽ là ngày mai thì vẫn không có quá nhiều sáo trộn nữa","Vâng ạ, có lẽ là ngày mai thì vẫn không có quá nhiều sáo trộn nữa","Vâng ạ, có lẽ là ngày mai thì vẫn không có quá nhiều sáo trộn nữa",OK,HIGH
CX22seEkK2g,5,18.0,21.0,3.0,Mặc dù là ngày mai thì có thêm không khí lạnh yếu tăng cường xuống nước ta,Mặc dù là ngày mai thì có thêm không khí lạnh yếu tăng cường xuống nước ta,Mặc dù là ngày mai thì có thêm không khí lạnh yếu tăng cường xuống nước ta,OK,HIGH
CX22seEkK2g,6,21.0,24.0,3.0,Nhưng mà quý vị khán giả ở miền Bắc và đi chơi vào dịp Giáng sinh thì có thể hoàn toàn yên tâm,Nhưng mà quý vị khán giả ở miền Bắc và đi chơi vào dịp Giáng sinh thì có thể hoàn toàn yên tâm,Nhưng mà quý vị khán giả ở miền Bắc và đi chơi vào dịp Giáng sinh thì có thể hoàn toàn yên tâm,OK,HIGH
CX22seEkK2g,7,24.0,26.0,2.0,Bởi là xu thế thời tiết thì vẫn sẽ là ấm lên,Bởi là xu thế thời tiết thì vẫn sẽ là ấm lên,Bởi là xu thế thời tiết thì vẫn sẽ là ấm lên,OK,HIGH
CX22seEkK2g,8,26.0,29.0,3.0,Chỉ có trạng thái thời tiết là hơi thay đổi một chút thôi,Chỉ có trạng thái thời tiết là hơi thay đổi một chút thôi,Chỉ có trạng thái thời tiết là hơi thay đổi một chút thôi,OK,HIGH
CX22seEkK2g,9,29.0,31.0,2.0,Cụ thể ra sao thì ngay bây giờ chúng ta sẽ cùng cập nhật,Cụ thể ra sao thì ngay bây giờ chúng ta sẽ cùng cập nhật,Cụ thể ra sao thì ngay bây giờ chúng ta sẽ cùng cập nhật,OK,HIGH
CX22seEkK2g,10,31.0,34.0,3.0,"Thưa quý vị, đó là trạng thái thời tiết nhiều mây tại thủ đô Hà Nội","Thưa quý vị, đó là trạng thái thời tiết nhiều mây tại thủ đô Hà Nội","Thưa quý vị, đó là trạng thái thời tiết nhiều mây tại thủ đô Hà Nội",OK,HIGH
CX22seEkK2g,11,34.0,36.0,2.0,Như ngày hôm nay thì sang đến ngày mai,Như ngày hôm nay thì sang đến ngày mai,Như ngày hôm nay thì sang đến ngày mai,OK,HIGH
CX22seEkK2g,12,36.0,39.0,3.0,Nó sẽ mở rộng ra khu vực phía Tây,Nó sẽ mở rộng ra khu vực phía Tây,Nó sẽ mở rộng ra khu vực phía Tây,OK,HIGH
CX22seEkK2g,13,39.0,43.0,4.0,"Bao trùng tuyên quang, hà giang, yên bái và hòa bình","Bao trùng tuyên quang, hà giang, yên bái và hòa bình","Bao trùng tuyên quang, hà giang, yên bái và hòa bình",OK,HIGH
CX22seEkK2g,14,43.0,48.0,5.0,Nhiệt độ cao nhất cho chiều mai thì vẫn phổ biến trong khoảng là từ 20 cho đến 22 độ,Nhiệt độ cao nhất cho chiều mai thì vẫn phổ biến trong khoảng là từ 20 cho đến 22 độ,Nhiệt độ cao nhất cho chiều mai thì vẫn phổ biến trong khoảng là từ 20 cho đến 22 độ,OK,HIGH
CX22seEkK2g,15,48.0,51.0,3.0,Chỉ riêng có lạng sơn mức nhiệt là 18 độ,Chỉ riêng có lạng sơn mức nhiệt là 18 độ,Chỉ riêng có lạng sơn mức nhiệt là 18 độ,OK,HIGH
CX22seEkK2g,16,51.0,55.0,4.0,Còn ở miền trung thì không khí lệnh tăng cường xuống sẽ không làm mưa to hơn,Còn ở miền trung thì không khí lệnh tăng cường xuống sẽ không làm mưa to hơn,Còn ở miền trung thì không khí lệnh tăng cường xuống sẽ không làm mưa to hơn,OK,HIGH
CX22seEkK2g,17,55.0,58.0,3.0,Mà chỉ mở rộng vùng mưa ra các tỉnh miền Bắc,Mà chỉ mở rộng vùng mưa ra các tỉnh miền Bắc,Mà chỉ mở rộng vùng mưa ra các tỉnh miền Bắc,OK,HIGH
CX22seEkK2g,18,58.0,60.0,2.0,Đó là Quảng Bình cũng như là Hà Tĩnh,Đó là Quảng Bình cũng như là Hà Tĩnh,Đó là Quảng Bình cũng như là Hà Tĩnh,OK,HIGH
CX22seEkK2g,19,60.0,63.0,3.0,Cùng với mức nhiệt thấp khoảng là từ 20 cho đến 21 độ,Cùng với mức nhiệt thấp khoảng là từ 20 cho đến 21 độ,Cùng với mức nhiệt thấp khoảng là từ 20 cho đến 21 độ,OK,HIGH
CX22seEkK2g,20,63.0,68.0,5.0,Vậy nên tại các thành phố Hà Tĩnh và Đồng Hới thì trời vẫn sẽ rét cả ngày mai,Vậy nên tại các thành phố Hà Tĩnh và Đồng Hới thì trời vẫn sẽ rét cả ngày mai,Vậy nên tại các thành phố Hà Tĩnh và Đồng Hới thì trời vẫn sẽ rét cả ngày mai,OK,HIGH
CX22seEkK2g,21,68.0,71.0,3.0,Còn từ Đà Nẵng trở vào cho đến Nha Trang,Còn từ Đà Nẵng trở vào cho đến Nha Trang,Còn từ Đà Nẵng trở vào cho đến Nha Trang,OK,HIGH
