id,start,end,duration,text_len,text,video_id
0,0.0,10.0,10.0,173,"Như vậy là người dân miền Trung còn đang lo dọn dẹp, ổn định cuộc sống sau lũ, lại phải chuẩn bị đối diện với cơn bão số 9, một cơn bão được dự báo là rất mạnh ở phía trước.",CkaBHIU7A3E.f251
1,10.0,17.0,7.0,123,"Để tìm hiểu kỹ hơn và chuẩn bị tinh thần đón cơn bão số 9, chúng ta sẽ cùng trao đổi với biên tập viên thời tiết Quỳnh Anh.",CkaBHIU7A3E.f251
2,17.0,24.0,7.0,181,Xin chào Chủ tịch Quỳnh Anh. Không biết đến thời điểm hiện tại thì diễn biến của cơn bão số 9 như thế nào rồi và đến bao giờ nó sẽ ảnh hưởng trực tiếp đến giải đất miền Trung đấy ạ?,CkaBHIU7A3E.f251
3,24.0,35.0,11.0,167,"Dạ vâng, thưa anh Dương cũng như là quý vị khán giả, cập nhật mới nhất đến chiều ngày hôm nay thì cơn bão số 9 đã mạnh thêm lên tới cấp 12, giật cấp 13 và giật cấp 15.",CkaBHIU7A3E.f251
4,35.0,44.0,9.0,141,"Bão mạnh còn được thể hiện rõ qua cấu trúc của mây có dạng xoắn vào tâm như thế này, tức là bão đang tập trung năng lượng để phát triển thêm.",CkaBHIU7A3E.f251
5,44.0,51.0,7.0,93,Dự báo trong khoảng 24 giờ tới thì bão còn có thể mạnh hơn nữa lên tới cấp 13 và giật cấp 16.,CkaBHIU7A3E.f251
6,51.0,61.0,10.0,159,"Khoảng chiều tối và đêm mai, bão bắt đầu gây ra gió mạnh trên đất liền, một khu vực rất rộng là từ Nam Nghệ An xuống tới tận Phú Yên, quý vị có thể thấy ở đây.",CkaBHIU7A3E.f251
7,61.0,71.0,10.0,152,"Theo nhận định của các chuyên gia khí tượng, lúc vào tới gần bờ thì sức gió của vùng gần tâm bão vẫn khoảng cấp 11, cấp 12, tức là trên 130 km trên giờ.",CkaBHIU7A3E.f251
8,71.0,77.0,6.0,105,"Như vậy, rất có thể bão số 9 sẽ là cơn bão mạnh nhất khi mà đi vào đất liền, tính từ đầu năm cho tới giờ.",CkaBHIU7A3E.f251
9,77.0,83.0,6.0,71,So sánh với bão Dam Ray vào năm 2017 thì nó sẽ có sức mạnh tương đương.,CkaBHIU7A3E.f251
10,83.0,91.0,8.0,120,"Còn đối với bão số 5, cơn bão mới tàn phá trung bộ cách đây hơn một tháng thì bão số 9 dự kiến sẽ mạnh hơn khoảng 3 cấp.",CkaBHIU7A3E.f251
11,91.0,99.0,8.0,130,"Để có thể hình dung rõ hơn về điều này, chúng ta hãy cùng nhìn lại những thước phim thực tế về sức tàn phá của hai cơn bão đã qua.",CkaBHIU7A3E.f251
12,99.0,103.0,4.0,50,Đây là sức gió khoảng 88 km trên giờ của bão số 5.,CkaBHIU7A3E.f251
13,103.0,110.0,7.0,115,"Chỉ khoảng 30 phút càn quét thì hàng loạt cột điện, cây xanh, thậm chí là cây cổ thụ ở thành phố Huế đã bị quật đổ.",CkaBHIU7A3E.f251
14,110.0,119.0,9.0,112,"Còn đối với bão số 9 và bão Dam Ray, với sức gió lên tới 133 km trên giờ thì sẽ còn có thể mạnh như thế nào nữa?",CkaBHIU7A3E.f251
15,119.0,124.0,5.0,57,Và đây là hình ảnh của Vịnh Vân Phong Khánh Hòa năm 2017.,CkaBHIU7A3E.f251
16,124.0,131.0,7.0,126,"Một tuần bão Dam Ray đi qua thì cảnh tượng thật hoang tàn, nếu không ai nói thì nhiều người còn tưởng đây là bãi tập kết giác.",CkaBHIU7A3E.f251
