id,start,end,duration,text_len,text,video_id
0,0.0,7.0,7.0,150,Nhiều phòng viên Thu Hiền vừa chia sẻ thì lúc này tại thủ đô Hà Nội trời đã bắt đầu trở rét và ảnh hưởng trực tiếp đến tình hình đi lại của người dân.,Ct3W6QKKx_Q
1,7.0,10.0,3.0,75,Vậy diễn biến mấy ngày tới về tình hình không khí lạnh tại miền Bắc ra sao?,Ct3W6QKKx_Q
2,10.0,13.0,3.0,86,Chúng ta sẽ cùng chờ đợi những thông tin cập nhật từ biên tập viên Thế tiết Quỳnh Hòa.,Ct3W6QKKx_Q
3,13.0,14.0,1.0,22,Xin mời chị Quỳnh Hòa.,Ct3W6QKKx_Q
4,14.0,20.0,6.0,143,"Vâng, quả thật là với những sự chia sẻ của chị Thu Hiền ở ngoài trời thì chúng ta thấy được rằng là không khí lạnh đã về tới thủ đô Hà Nội rồi.",Ct3W6QKKx_Q
5,20.0,26.0,6.0,134,Trời có gió và nhiệt độ cũng giảm. Nếu mà so sánh giữa chiều tối ngày hôm nay và chiều tối ngày hôm qua thì nhiệt độ đã giảm tới 7 độ.,Ct3W6QKKx_Q
6,26.0,31.0,5.0,108,Còn nếu mà so sánh trong ngày hôm nay thôi thì quý vị cũng sẽ thấy được sự thay đổi rất rõ rệt về thời tiết.,Ct3W6QKKx_Q
7,31.0,40.0,9.0,125,Lúc 16 giờ ngày hôm nay thì nhiệt độ là 21 độ tức là cũng đã giảm tới 7 độ so với thời điểm trước đó có 3 tiếng đồng hồ thôi.,Ct3W6QKKx_Q
8,40.0,44.0,4.0,69,Bởi vậy mà mọi người ra đường thì cũng cảm nhận là trời lạnh hơn hẳn.,Ct3W6QKKx_Q
9,44.0,48.0,4.0,73,Và ngoài sự giảm nhiệt này thì dấu hiệu của không khí lạnh nữa đó là gió.,Ct3W6QKKx_Q
10,48.0,55.0,7.0,114,Đầu giờ chiều nay gió chỉ khoảng là cấp 2 thôi nhưng mà đến 16 giờ đã chuyển lên cấp 4 và đổi sang hướng Đông Bắc.,Ct3W6QKKx_Q
11,55.0,62.0,7.0,108,Không riêng gì thủ đô Hà Nội thời điểm này khối không khí lạnh đã bao trùm hầu hết khu vực phía Đông Bắc Bộ.,Ct3W6QKKx_Q
12,62.0,69.0,7.0,120,Sâu ở phía Nam Đồng Bằng như là tại Nam Định thì nhiệt độ chưa giảm nhiều mới giảm khoảng 2 độ so với ngày hôm qua thôi.,Ct3W6QKKx_Q
13,69.0,76.0,7.0,116,"Nhưng ở những nơi khác như là Quảng Ninh, Bắc Gian, Cao Bằng hay là Lạng Sơn những nơi mà đón không khí lạnh sớm hơn",Ct3W6QKKx_Q
14,76.0,84.0,8.0,95,"thì nhiệt độ giảm rất mạnh, giảm từ 6 cho tới 12 độ xuống còn mức nhiệt là từ 14 cho tới 19 độ.",Ct3W6QKKx_Q
15,84.0,88.0,4.0,54,Có lúc có mưa nhỏ nữa thì tại đây trời chuyển rét rồi.,Ct3W6QKKx_Q
16,88.0,95.0,7.0,134,Càng về đêm cái rét sẽ càng ngấm sâu hơn và từ ngày mai thôi miền Bắc sẽ bước vào đợt rét đậm rét hại đầu tiên trong mùa đông năm nay.,Ct3W6QKKx_Q
17,95.0,102.0,7.0,124,Và để quý vị có những thông tin cụ thể hơn về đợt rét lần này cũng như là những điểm gì khác biệt so với những đợt rét trước,Ct3W6QKKx_Q
18,102.0,104.0,2.0,59,thì chuyên gia khí tượng Thủy Văn sẽ giải đáp ngay sau đây.,Ct3W6QKKx_Q
19,106.0,113.0,7.0,129,Chúng tôi đánh giá đây là một đợt không khí lạnh mạnh và có khả năng gây ra cái đợt rét đậm rét hại đầu tiên của mùa đông năm nay,Ct3W6QKKx_Q
20,113.0,118.0,5.0,100,và cái đợt rét đậm rét hại này chúng tôi xác định là sẽ kéo dài ít nhất là trong khoảng một tuần thứ,Ct3W6QKKx_Q
21,118.0,123.0,5.0,77,với nhiệt độ thấp nhất ở các tỉnh Đồng Bằng có thể xuống đến 11 cho tới 13 độ,Ct3W6QKKx_Q
22,123.0,129.0,6.0,87,ở vùng núi là từ 7 đến 10 độ và những nơi núi cao trên 1.500m thì có khả năng dưới 5 độ,Ct3W6QKKx_Q
23,129.0,132.0,3.0,50,"và có khả năng cao xuất hiện ở Băng Gia, Sông Hối.",Ct3W6QKKx_Q
24,132.0,136.0,4.0,95,Đợt không khí lạnh này có một cái đặc điểm rất là khác biệt so với các đợt không khí lạnh trước,Ct3W6QKKx_Q
25,136.0,142.0,6.0,111,"đó là trạng thái thời tiết là nhiều mây, trời ấm ôm cả ngày do đó cái cảm giác rét bút của chúng ta sẽ gia tăng",Ct3W6QKKx_Q
26,142.0,146.0,4.0,82,không như những các đợt không khí lạnh trước là không khí khô và ban ngày có nắng.,Ct3W6QKKx_Q
27,148.0,152.0,4.0,78,Như vậy là đợt rét lần này sẽ diễn ra cả ngày lẫn đêm và nên nhiệt độ khá thấp,Ct3W6QKKx_Q
28,152.0,156.0,4.0,104,Vậy thì không biết là chúng ta cần chuẩn bị những điều gì để có thể đương đầu với đợt không khí lạnh này,Ct3W6QKKx_Q
29,156.0,158.0,2.0,44,và đảm bảo sức khỏe cho bản thân hả chị Hoa?,Ct3W6QKKx_Q
30,159.0,162.0,3.0,56,Chúng ta đang ở trong một chuỗi ngày nắng ấm kéo dài rồi,Ct3W6QKKx_Q
31,162.0,166.0,4.0,113,và nay khi mà trời chuyển rét ngay lập tức như thế này thì chắc chắn là sẽ phải có những sự thay đổi về thói quen,Ct3W6QKKx_Q
32,166.0,169.0,3.0,70,để có thể thích nghi được thời tiết cũng như là đảm bảo được sức khỏe.,Ct3W6QKKx_Q
33,169.0,174.0,5.0,103,"Trong đó đặc biệt với quý vị, thời điểm sáng sớm ngày mai, lúc mà chúng ta thức dậy thì trời rất là rét",Ct3W6QKKx_Q
34,174.0,179.0,5.0,92,vì vậy mà những người cao tuổi mà có thói quen là chúng ta tập thể dục sáng sớm ở ngoài trời,Ct3W6QKKx_Q
35,179.0,183.0,4.0,77,thì tốt nhất là chúng ta tập thể dục ở trong nhà và nên là những nơi kín gió.,Ct3W6QKKx_Q
36,183.0,189.0,6.0,120,Và trong buổi sáng sớm thì cũng cần phải hạn chế việc mở cửa để tránh gió lùa vào nhà có thể gây ảnh hưởng đến sức khỏe.,Ct3W6QKKx_Q
37,189.0,196.0,7.0,107,"Và lưu ý với quý vị là khi ra ngoài cần phải mặc thật ấm, nhất là với các vị trí như là đầu, chân tay và cổ",Ct3W6QKKx_Q
38,196.0,198.0,2.0,46,là những nơi tiếp xúc với gió lạnh nhiều nhất.,Ct3W6QKKx_Q
39,198.0,203.0,5.0,91,Và điều này lại càng phải quan trọng và chú ý với trẻ nhỏ khi mà quý vị đưa trẻ nhỏ đi học.,Ct3W6QKKx_Q
40,203.0,207.0,4.0,99,Còn tiếp theo sẽ là những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,Ct3W6QKKx_Q
41,208.0,213.0,5.0,101,"Với thủ đô Hà Nội, đêm và sáng có lúc có mưa nhỏ, trời zét bốt, nhiệt độ hạ thấp chỉ khoảng là 13 độ.",Ct3W6QKKx_Q
42,213.0,218.0,5.0,93,"Sang ngày mai, duy trì chẳng thấy nhiều mây, zét đậm, nhiệt độ cao nhất không vượt quá 17 độ.",Ct3W6QKKx_Q
43,219.0,224.0,5.0,78,"Với thành phố Vinh, đêm nay có mưa rào, trời zét, nhiệt độ thấp nhất là 14 độ.",Ct3W6QKKx_Q
44,224.0,229.0,5.0,86,"Mưa zét sẽ duy trì sang cả ngày mai, nhiệt độ cao nhất trong ngày chỉ khoảng là 18 độ.",Ct3W6QKKx_Q
45,229.0,234.0,5.0,76,"Với thành phố Cần Thơ, dự báo đêm nay ít có khả năng có mưa, trời mát 25 độ.",Ct3W6QKKx_Q
46,234.0,237.0,3.0,52,"Sáng đến trưa mai trời nắng, nhiệt độ khá cao 33 độ.",Ct3W6QKKx_Q
47,237.0,240.0,3.0,57,"Về chiều, khả năng có lúc có mưa rào kèm theo giông mạnh.",Ct3W6QKKx_Q
