id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,80,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",EKaSpZslGIM.f251
1,5.0,9.0,4.0,70,"Thông tin từ lãnh đạo ủy ban nhân dân huyện Phước Sơn, tỉnh Quảng Nam.",EKaSpZslGIM.f251
2,9.0,14.0,5.0,80,Sáng nay tại thôn 6 của xã Phước Lộc xuất hiện một điểm sạt lở vùi lấp 11 người.,EKaSpZslGIM.f251
3,14.0,18.0,4.0,82,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu bộ chỉ huy bộ đội biên phòng tỉnh,EKaSpZslGIM.f251
4,18.0,20.0,2.0,31,tiếp cận hiện trường vụ sạt lở.,EKaSpZslGIM.f251
5,20.0,24.0,4.0,68,"Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể",EKaSpZslGIM.f251
6,24.0,26.0,2.0,38,trong số 11 người bị vùi lấp nói trên.,EKaSpZslGIM.f251
7,26.0,30.0,4.0,73,"Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra 4 vụ sạt lở đất",EKaSpZslGIM.f251
8,30.0,32.0,2.0,47,nghiêm trọng vùi lấp nhiều người tại Quảng Nam.,EKaSpZslGIM.f251
9,36.0,41.0,5.0,78,Liên quan đến vụ sạt lở đất tại 2 địa điểm là Trà Văn và Trà Leong thuộc huyện,EKaSpZslGIM.f251
10,41.0,45.0,4.0,65,Nam Trà My của tỉnh Quảng Nam khiến nhiều người chết và mất tích.,EKaSpZslGIM.f251
11,45.0,49.0,4.0,73,"Sau nỗ lực mở đường, 15h ngày hôm nay, 5 nạn nhân đầu tiên đã được đưa về",EKaSpZslGIM.f251
12,49.0,53.0,4.0,58,bệnh viện huyện Bắc Trà My để cấp cứu và điều trị ban đầu.,EKaSpZslGIM.f251
13,53.0,55.0,2.0,32,Thông tin từ phóng viên Đỗ Vinh.,EKaSpZslGIM.f251
14,57.0,62.0,5.0,71,"Thưa quý vị, sau một quá trình nỗ lực thì hiện nay, 4 nạn nhân đầu tiên",EKaSpZslGIM.f251
15,62.0,68.0,6.0,62,thuộc huyện Bắc Trà My đã được đưa xuống bệnh viện Bắc Trà My.,EKaSpZslGIM.f251
16,68.0,77.0,9.0,66,Các bác sĩ đã tích cực cấp cứu và điều trị cho các nạn nhân ở đây.,EKaSpZslGIM.f251
17,77.0,82.0,5.0,71,"Đây là những nạn nhân đầu tiên từ thôn 1, xã Trà Leong, được cấp cứu về",EKaSpZslGIM.f251
18,82.0,85.0,3.0,64,trung tâm y tế huyện Bắc Trà My để điều trị. Phần lớn là trẻ em.,EKaSpZslGIM.f251
19,85.0,89.0,4.0,71,Các bệnh nhân được các bác sĩ tích cực cấp cứu và có dấu hiệu tích cực.,EKaSpZslGIM.f251
20,89.0,93.0,4.0,79,Những nạn nhân này được người dân địa phương thay phiên nhau đưa từ làng ra đến,EKaSpZslGIM.f251
21,93.0,97.0,4.0,70,"đường lớn, sau đó sẽ cấp cứu mới có thể tiếp nhận và đưa về bệnh viện.",EKaSpZslGIM.f251
22,97.0,102.0,5.0,81,Chiều nay thì trung tâm y tế huyện Bắc Trà My chúng tôi có tiếp nhận 5 trường hợp,EKaSpZslGIM.f251
23,102.0,105.0,3.0,48,"sọt lỡ vùi lắp tại xã Trà Leong, huyện 5 Trà My.",EKaSpZslGIM.f251
24,105.0,107.0,2.0,39,Theo thông tin băng đào là 5 bệnh nhân.,EKaSpZslGIM.f251
25,107.0,111.0,4.0,77,"Trong đó có 1 bệnh nhân theo dõi chấm thư bụng kính, 2 bệnh nhân gãi sơn đùi,",EKaSpZslGIM.f251
26,111.0,116.0,5.0,76,1 bệnh nhân hiện tại thì đang hoang mang chụp phim thì chưa có dấu hiệu trì.,EKaSpZslGIM.f251
27,116.0,122.0,6.0,75,Còn 1 trẻ em nhỏ khoảng 5 tuổi cũng đã tiến hành chụp phim sơ cứu băng đào.,EKaSpZslGIM.f251
28,122.0,127.0,5.0,77,"Sau khi 5 bệnh nhân đầu tiên được đưa về điều trị, các bệnh nhân nặng sẽ được",EKaSpZslGIM.f251
29,127.0,130.0,3.0,62,chuyển tuyến lên Bệnh viện Đa Khoa tỉnh Quảng Nam để điều trị.,EKaSpZslGIM.f251
30,130.0,135.0,5.0,79,Trong chiều hôm nay dự kiến có thêm 7 bệnh nhân nữa được đưa về đây để cấp cứu.,EKaSpZslGIM.f251
31,135.0,139.0,4.0,53,Vậy là có 12 bệnh nhân được đưa về điều trị kịp thời.,EKaSpZslGIM.f251
32,139.0,143.0,4.0,65,"Hiện Trung tâm Y tế huyện Bắc Trà My đã chuẩn bị đầy đủ nhân lực,",EKaSpZslGIM.f251
33,143.0,145.0,2.0,58,"thiết bị y tế để tiếp nhận, điều trị thêm nhiều bệnh nhân.",EKaSpZslGIM.f251
34,148.0,152.0,4.0,77,"Mặc dù không nằm trong vùng tâm bão, nhưng nhiều địa phương tại Thờ Thiên Huế",EKaSpZslGIM.f251
35,152.0,156.0,4.0,73,"cũng chịu thiệt hại nặng nề, đặc biệt là tại các huyện miền núi sản xuất,",EKaSpZslGIM.f251
36,156.0,159.0,3.0,61,"nông nghiệp, lâm nghiệp của bà con bị ảnh hưởng nghiêm trọng.",EKaSpZslGIM.f251
37,162.0,165.0,3.0,63,"Mặc dù chỉ bị ảnh hưởng bởi hoang lưu phía Bắc của Bảo Sử Chín,",EKaSpZslGIM.f251
38,165.0,169.0,4.0,66,nhưng gần 3 hectare cao su cùng với 2 hectare keo của ông Phạm Sơn,EKaSpZslGIM.f251
39,169.0,171.0,2.0,21,đã bị gại đổ đến 75%.,EKaSpZslGIM.f251
40,171.0,175.0,4.0,57,"Cống sức hơn 10 năm trồng cây, đang thời kỳ khai thác mù,",EKaSpZslGIM.f251
41,175.0,178.0,3.0,52,"tuy nhiên chỉ sau một trận bão, mọi thứ đã tiêu tan.",EKaSpZslGIM.f251
42,178.0,182.0,4.0,62,Trông được là từ nhỏ đến lớn mà trông được một mảnh vật cao su,EKaSpZslGIM.f251
43,182.0,185.0,3.0,47,thì nhờ được cây cao su để mà sống 2 ngày thôi.,EKaSpZslGIM.f251
44,185.0,189.0,4.0,66,"Nhưng mà hôm nay trông gại đổ rồi, tôi không biết cách thức để làm",EKaSpZslGIM.f251
45,189.0,193.0,4.0,49,kiểu nào để cho con tồn tại về mức sống của mình.,EKaSpZslGIM.f251
46,193.0,196.0,3.0,75,Huyện Nam Đông là vùng chuyên trồng cây công nghiệp của tỉnh Thờ Thiên Huế.,EKaSpZslGIM.f251
47,196.0,200.0,4.0,59,"Cơn bão số 9 đi qua, địa phương này đã có 2.500 hectare keo",EKaSpZslGIM.f251
48,200.0,204.0,4.0,49,và 1.500 hectare cao su đang thu hoạch bị gại đổ.,EKaSpZslGIM.f251
49,204.0,207.0,3.0,64,"Tại đây đã có 5 nhà dân bị sập, nhiều trường học, trụ sở cơ quan",EKaSpZslGIM.f251
