video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
EKaSpZslGIM,0,0.0,5.0,5.0,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.","Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.","Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",OK,HIGH
EKaSpZslGIM,1,5.0,9.0,4.0,"Thông tin từ lãnh đạo ủy ban nhân dân huyện Phước Sơn, tỉnh Quảng Nam.","Thông tin từ lãnh đạo ủy ban nhân dân huyện Phước Sơn, tỉnh Quảng Nam.","Thông tin từ lãnh đạo ủy ban nhân dân huyện Phước Sơn, tỉnh Quảng Nam.",OK,HIGH
EKaSpZslGIM,2,9.0,14.0,5.0,Sáng nay tại thôn 6 của xã Phước Lộc xuất hiện một điểm sạt lở vùi lấp 11 người.,Sáng nay tại thôn 6 của xã Phước Lộc xuất hiện một điểm sạt lở vùi lấp 11 người.,Sáng nay tại thôn 6 của xã Phước Lộc xuất hiện một điểm sạt lở vùi lấp 11 người.,OK,HIGH
EKaSpZslGIM,3,14.0,20.0,6.0,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu bộ chỉ huy bộ đội biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu bộ chỉ huy bộ đội biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu bộ chỉ huy bộ đội biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,OK,HIGH
EKaSpZslGIM,4,20.0,26.0,6.0,"Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.","Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.","Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.",OK,HIGH
EKaSpZslGIM,5,26.0,32.0,6.0,"Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra 4 vụ sạt lở đất nghiêm trọng vùi lấp nhiều người tại Quảng Nam.","Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra 4 vụ sạt lở đất nghiêm trọng vùi lấp nhiều người tại Quảng Nam.","Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra 4 vụ sạt lở đất nghiêm trọng vùi lấp nhiều người tại Quảng Nam.",OK,HIGH
EKaSpZslGIM,6,36.0,43.0,7.0,Liên quan đến vụ sạt lở đất tại 2 địa điểm là Trà Văn và Trà Leong thuộc huyện Nam Trà My của tỉnh Quảng Nam,Liên quan đến vụ sạt lở đất tại 2 địa điểm là Trà Văn và Trà Leong thuộc huyện Nam Trà My của tỉnh Quảng Nam,Liên quan đến vụ sạt lở đất tại 2 địa điểm là Trà Văn và Trà Leong thuộc huyện Nam Trà My của tỉnh Quảng Nam,OK,HIGH
EKaSpZslGIM,7,43.0,45.0,2.0,khiến nhiều người chết và mất tích.,khiến nhiều người chết và mất tích.,khiến nhiều người chết và mất tích.,OK,HIGH
EKaSpZslGIM,8,45.0,51.0,6.0,"Sau nỗ lực mở đường, 15h ngày hôm nay, 5 nạn nhân đầu tiên đã được đưa về bệnh viện huyện Bắc Trà My","Sau nỗ lực mở đường, 15h ngày hôm nay, 5 nạn nhân đầu tiên đã được đưa về bệnh viện huyện Bắc Trà My","Sau nỗ lực mở đường, 15h ngày hôm nay, 5 nạn nhân đầu tiên đã được đưa về bệnh viện huyện Bắc Trà My",OK,HIGH
EKaSpZslGIM,9,51.0,53.0,2.0,để cấp cứu và điều trị ban đầu.,để cấp cứu và điều trị ban đầu.,để cấp cứu và điều trị ban đầu.,OK,HIGH
EKaSpZslGIM,10,53.0,55.0,2.0,Thông tin từ phóng viên Đỗ Vinh.,Thông tin từ phóng viên Đỗ Vinh.,Thông tin từ phóng viên Đỗ Vinh.,OK,HIGH
EKaSpZslGIM,11,57.0,68.0,11.0,"Thưa quý vị, sau một quá trình nỗ lực thì hiện nay, 4 nạn nhân đầu tiên thuộc huyện Bắc Trà My đã được đưa xuống bệnh viện Bắc Trà My.","Thưa quý vị, sau một quá trình nỗ lực thì hiện nay, 4 nạn nhân đầu tiên thuộc huyện Bắc Trà My đã được đưa xuống bệnh viện Bắc Trà My.","Thưa quý vị, sau một quá trình nỗ lực thì hiện nay, 4 nạn nhân đầu tiên thuộc huyện Bắc Trà My đã được đưa xuống bệnh viện Bắc Trà My.",OK,HIGH
