id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,80,"Bây giờ là 18h, Việt Nam hôm nay sẽ tiếp tục với những tin tức thời sự cập nhật.",EKaSpZslGIM
1,5.0,9.0,4.0,70,"Thông tin từ lãnh đạo ủy ban nhân dân huyện Phước Sơn, tỉnh Quảng Nam.",EKaSpZslGIM
2,9.0,14.0,5.0,80,Sáng nay tại thôn 6 của xã Phước Lộc xuất hiện một điểm sạt lở vùi lấp 11 người.,EKaSpZslGIM
3,14.0,20.0,6.0,114,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu bộ chỉ huy bộ đội biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,EKaSpZslGIM
4,20.0,26.0,6.0,107,"Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.",EKaSpZslGIM
5,26.0,32.0,6.0,121,"Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra 4 vụ sạt lở đất nghiêm trọng vùi lấp nhiều người tại Quảng Nam.",EKaSpZslGIM
6,36.0,43.0,7.0,108,Liên quan đến vụ sạt lở đất tại 2 địa điểm là Trà Văn và Trà Leong thuộc huyện Nam Trà My của tỉnh Quảng Nam,EKaSpZslGIM
7,43.0,45.0,2.0,35,khiến nhiều người chết và mất tích.,EKaSpZslGIM
8,45.0,51.0,6.0,100,"Sau nỗ lực mở đường, 15h ngày hôm nay, 5 nạn nhân đầu tiên đã được đưa về bệnh viện huyện Bắc Trà My",EKaSpZslGIM
9,51.0,53.0,2.0,31,để cấp cứu và điều trị ban đầu.,EKaSpZslGIM
10,53.0,55.0,2.0,32,Thông tin từ phóng viên Đỗ Vinh.,EKaSpZslGIM
11,57.0,68.0,11.0,134,"Thưa quý vị, sau một quá trình nỗ lực thì hiện nay, 4 nạn nhân đầu tiên thuộc huyện Bắc Trà My đã được đưa xuống bệnh viện Bắc Trà My.",EKaSpZslGIM
12,68.0,77.0,9.0,68,Các bác sĩ đang tích cực cấp cứu và điều trị cho các nạn nhân ở đây.,EKaSpZslGIM
13,77.0,84.0,7.0,116,"Đây là những nạn nhân đầu tiên từ thôn 1, xã Trà Leong, được cấp cứu về trung tâm y tế huyện Bắc Trà My để điều trị.",EKaSpZslGIM
14,84.0,86.0,2.0,19,Phần lớn là trẻ em.,EKaSpZslGIM
15,86.0,89.0,3.0,71,Các bệnh nhân được các bác sĩ tích cực cấp cứu và có dấu hiệu tích cực.,EKaSpZslGIM
16,89.0,94.0,5.0,90,Những nạn nhân này được người dân địa phương thay phiên nhau đưa từ làng ra đến đường lớn.,EKaSpZslGIM
17,94.0,97.0,3.0,59,Sau đó sẽ cấp cứu mới có thể tiếp nhận và đưa về bệnh viện.,EKaSpZslGIM
18,97.0,105.0,8.0,116,"Chiều nay, trung tâm y tế huyện Bắc Trà My có tiếp nhận 5 trường hợp sọt lỡ vùi lắp tại xã Trà Leong huyện 5 Trà My.",EKaSpZslGIM
19,105.0,107.0,2.0,38,Theo thông tin mân đào là 5 bệnh nhân.,EKaSpZslGIM
20,107.0,111.0,4.0,77,"Trong đó có 1 bệnh nhân theo dõi chấm thư bụng kính, 2 bệnh nhân gãi sơn đùi,",EKaSpZslGIM
21,111.0,115.0,4.0,76,1 bệnh nhân hiện tại thì đang hoang mang chụp phim thì chưa có dấu hiệu trì.,EKaSpZslGIM
22,115.0,121.0,6.0,75,Còn 1 trẻ em nhỏ khoảng 5 tuổi cũng đã tiến hành chụp phim sơ cứu bằng đào.,EKaSpZslGIM
23,122.0,125.0,3.0,50,"Sau khi 5 bệnh nhân đầu tiên được đưa về điều trị,",EKaSpZslGIM
24,125.0,130.0,5.0,88,các bệnh nhân nạn sẽ được chuyển tuyến lên bệnh viện Đa Khoa tỉnh Quảng Nam để điều trị.,EKaSpZslGIM
25,130.0,135.0,5.0,79,Trong chiều hôm nay dự kiến có thêm 7 bệnh nhân nữa được đưa về đây để cấp cứu.,EKaSpZslGIM
26,135.0,139.0,4.0,53,Vậy đã có 12 bệnh nhân được đưa về điều trị kịp thời.,EKaSpZslGIM
27,139.0,145.0,6.0,124,"Hiện trung tâm y tế huyện Bắc Trà My đã chuẩn bị đầy đủ nhân lực, thiết bị y tế để tiếp nhận, điều trị thêm nhiều bệnh nhân.",EKaSpZslGIM
