id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,101,Còn với những ngày sắp tới thì không biết là thời tiết có điểm nào đáng chú ý không thưa chị Sơn Anh?,EOXcLDXYIn0
1,4.0,8.0,4.0,96,"Vâng, đáng chú ý đó chính là ngay ngày mai thôi thì bắc bộ của chúng ta sẽ rất nóng anh Dương ạ.",EOXcLDXYIn0
2,8.0,13.0,5.0,86,Nhiệt độ của nhiều nơi thì cũng đã tăng ngay từ ngày hôm nay rồi khi mà trời nắng mạnh,EOXcLDXYIn0
3,13.0,18.0,5.0,82,và dự báo sang đến ngày mai thì nắng nóng sẽ còn mở rộng ra toàn khu vực miền Bắc.,EOXcLDXYIn0
4,18.0,25.0,7.0,88,"Đối với thủ đô Hà Nội hay là Hòa Bình, Ninh Bình còn lên mức nắng nóng gây gắt là 37 độ.",EOXcLDXYIn0
5,25.0,29.0,4.0,64,Đối với các nơi khác thì nhiệt độ là khoảng từ 35 cho tới 36 độ.,EOXcLDXYIn0
6,29.0,34.0,5.0,75,"Còn với miền Trung, đáng lo ngại là nắng nóng đã dài dẳng hơn nửa tháng rồi",EOXcLDXYIn0
7,34.0,41.0,7.0,95,và ngày mai thì khắp toàn miền vẫn ít mây và khô nóng với nhiệt độ phổ biến là từ 35 đến 38 độ.,EOXcLDXYIn0
8,41.0,44.0,3.0,48,Một số nơi ở vùng núi có thể vẫn còn trên 39 độ.,EOXcLDXYIn0
9,44.0,49.0,5.0,76,Thời gian có mức nhiệt nắng nóng trên 35 độ sẽ kéo dài từ 10 cho đến 17 giờ.,EOXcLDXYIn0
10,49.0,54.0,5.0,99,"Nắng nóng triển miền như vậy, nước bốc hơi nhanh nếu như bất cần thì có thể sẽ bùng phát trái rừng.",EOXcLDXYIn0
11,54.0,61.0,7.0,113,Và theo những cục kiểm lâm thì nhiều cánh rừng thuộc khu vực Bắc Giang hay là từ Hà Tĩnh trở xuống tới Bình Thuận,EOXcLDXYIn0
12,61.0,66.0,5.0,81,đang nằm trong mức cảnh báo trái rừng là ở màu đỏ tức cấp 5 cấp cực kỳ nguy hiểm.,EOXcLDXYIn0
13,66.0,72.0,6.0,93,"Trên thực tế, ngay chiều qua thì cũng đã có một vụ trái rừng thông xảy ra tại Thứa Thiên Huế.",EOXcLDXYIn0
14,72.0,78.0,6.0,106,Và trong thời tiết nắng nóng thì cục kiểm lâm khuyến cáo người dân là không sử dụng lửa trong và gần rừng.,EOXcLDXYIn0
15,78.0,82.0,4.0,86,Còn cuối cùng xin được chuyển sang các thông tin dự báo chi tiết cho một số thành phố.,EOXcLDXYIn0
16,82.0,86.0,4.0,57,"Đối với thủ đô Hà Nội đêm nay không mưa, mức nhiệt 27 độ.",EOXcLDXYIn0
17,86.0,91.0,5.0,64,"Ngày mai trời nắng nóng 37 độ, chiều tối khả năng có dông nhiệt.",EOXcLDXYIn0
18,91.0,94.0,3.0,38,Thành phố Huế đêm nay tạnh giáo 25 độ.,EOXcLDXYIn0
19,94.0,98.0,4.0,52,"Ngày mai nắng nóng gây gấp, nhiệt độ cao nhất 38 độ.",EOXcLDXYIn0
20,98.0,102.0,4.0,41,Thành phố Cần Thơ đêm nay trời mát 26 độ.,EOXcLDXYIn0
21,102.0,106.0,4.0,55,"Ngày mai trời có nắng 34 độ, chiều tối có lúc mưa dông.",EOXcLDXYIn0
22,106.0,108.0,2.0,22,Xin chào quý vị 32 độ.,EOXcLDXYIn0
23,112.0,114.0,2.0,48,Hẹn gặp lại các bạn trong những video tiếp theo.,EOXcLDXYIn0
