video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
EWkVe7BwJTY,0,0.0,8.0,8.0,"Còn bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, ở Hà Nội thì có vẻ như ấm dần lên rồi, còn các khu vực khác thì có điều gì đáng chú ý không ạ?","Bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, ở Hà Nội có vẻ như đang ấm dần lên, còn các khu vực khác có điều gì đáng chú ý không ạ?","Bây giờ sẽ là những thông tin dự báo thời tiết, chị Yến, ở Hà Nội có vẻ như đang ấm dần lên, còn các khu vực khác có điều gì đáng chú ý không ạ?",OK,HIGH
EWkVe7BwJTY,1,8.0,16.0,8.0,"Vâng ạ, thời tiết tại Hà Nội cũng như là miền Bắc là như vậy, còn đối với các tỉnh thành phía Nam thì thông tin thời tiết đáng lưu nhất trong ngày hôm nay đó là những cơn mưa rông trái mùa.","Thời tiết tại Hà Nội và miền Bắc hiện đang ấm dần lên, trong khi đó, các tỉnh thành phía Nam hôm nay có thông tin đáng chú ý là xuất hiện những cơn mưa rông trái mùa.","Vâng ạ, thời tiết tại Hà Nội cũng như là miền Bắc là như vậy, còn đối với các tỉnh thành phía Nam thì thông tin thời tiết đáng lưu nhất trong ngày hôm nay đó là những cơn mưa rông trái mùa.",REVERT,HIGH
EWkVe7BwJTY,2,16.0,22.0,6.0,Bởi là sau khoảng 14h chiều nay thì nhiều quận huyện tại TP.HCM cũng đã xuất hiện những cơn mưa rông nặng hạt.,"Sau khoảng 14h chiều nay, nhiều quận huyện tại TP.HCM đã xuất hiện những cơn mưa rông nặng hạt.","Sau khoảng 14h chiều nay, nhiều quận huyện tại TP.HCM đã xuất hiện những cơn mưa rông nặng hạt.",OK,HIGH
EWkVe7BwJTY,3,22.0,28.0,6.0,Tuy mưa như vậy nhưng mà người dân tại đây cảm thấy khá là dễ chịu với cái tiết trời dịu mắt hơn sau những ngày nắng khô vừa rồi.,"Mặc dù có mưa, nhưng người dân tại TP.HCM cảm thấy dễ chịu hơn với thời tiết dịu mát sau những ngày nắng nóng vừa qua.",Tuy mưa như vậy nhưng mà người dân tại đây cảm thấy khá là dễ chịu với cái tiết trời dịu mắt hơn sau những ngày nắng khô vừa rồi.,REVERT,MEDIUM
EWkVe7BwJTY,4,28.0,32.0,4.0,Và ngay bây giờ thì tôi cũng sẽ cập nhật đến Anh Dương cũng như quý vị khán giả về lượng mưa tại khu vực này.,"Ngay bây giờ, tôi sẽ cập nhật cho Anh Dương và quý vị khán giả về lượng mưa tại khu vực TP.HCM.",Và ngay bây giờ thì tôi cũng sẽ cập nhật đến Anh Dương cũng như quý vị khán giả về lượng mưa tại khu vực này.,REVERT,HIGH
EWkVe7BwJTY,5,32.0,41.0,9.0,"Thưa quý vị, trận mưa xảy ra khá là nhanh, trong chỉ khoảng là 1 tiếng đồng hồ, có những nơi lâu hơn thì cũng chỉ trong khoảng là 2 tiếng đồng hồ mà thôi.","Thưa quý vị, trận mưa xảy ra khá nhanh, chỉ trong khoảng 1 tiếng đồng hồ, và ở một số nơi lâu hơn cũng chỉ kéo dài khoảng 2 tiếng đồng hồ.","Thưa quý vị, trận mưa xảy ra khá nhanh, chỉ trong khoảng 1 tiếng đồng hồ, và ở một số nơi lâu hơn cũng chỉ kéo dài khoảng 2 tiếng đồng hồ.",OK,HIGH
EWkVe7BwJTY,6,41.0,49.0,8.0,Lượng mưa ghi nhận được tại Hoc Mon cũng như là các lái của TP.HCM khoảng là từ 17 đến 19mm.,Lượng mưa ghi nhận tại Hóc Môn và các quận huyện của TP.HCM dao động từ 17 đến 19mm.,Lượng mưa ghi nhận tại Hóc Môn và các quận huyện của TP.HCM dao động từ 17 đến 19mm.,OK,HIGH
EWkVe7BwJTY,7,49.0,57.0,8.0,"Còn một số những nơi khác như là tại Bình Dương, Đồng Nai hay là Bà Rịa Vũng Tàu thì lượng mưa ghi nhận khoảng là 22 đến 36mm.","Tại Bình Dương, Đồng Nai và Bà Rịa - Vũng Tàu, lượng mưa ghi nhận dao động từ 22 đến 36mm.","Tại Bình Dương, Đồng Nai và Bà Rịa - Vũng Tàu, lượng mưa ghi nhận dao động từ 22 đến 36mm.",OK,HIGH
EWkVe7BwJTY,8,57.0,66.0,9.0,Trong khoảng là từ 3 đến 4 ngày nữa thì mưa trái mùa vẫn có khả năng cao xảy ra tại TP.HCM cũng như là những nơi khác của Nam Bộ.,"Trong khoảng từ 3 đến 4 ngày tới, mưa trái mùa vẫn có khả năng cao xảy ra tại TP.HCM cũng như các khu vực khác của Nam Bộ.","Trong khoảng từ 3 đến 4 ngày tới, mưa trái mùa vẫn có khả năng cao xảy ra tại TP.HCM cũng như các khu vực khác của Nam Bộ.",OK,HIGH
EWkVe7BwJTY,9,66.0,74.0,8.0,"Nhưng phạm vi thì sẽ hẹp, chủ yếu là ở diện vài nơi và xuất hiện chủ yếu về chiều tối cục bộ sẽ xuất hiện những điểm mưa vừa.","Phạm vi mưa sẽ hẹp, chủ yếu xảy ra ở một số nơi và chủ yếu xuất hiện vào chiều tối với những điểm mưa vừa.","Phạm vi mưa sẽ hẹp, chủ yếu xảy ra ở một số nơi và chủ yếu xuất hiện vào chiều tối với những điểm mưa vừa.",OK,HIGH
