video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
ElQ3IdR-QGw,0,0.0,8.0,8.0,"Tiếp theo sẽ là những thông tin dự báo thời tiết, chị Hương Liên dự báo là át thấp nhiệt đới sẽ mạnh lên thành bão, vậy thì đất lườn sẽ ảnh hưởng như thế nào?","Tiếp theo sẽ là những thông tin dự báo thời tiết, chị Hương Liên dự báo là át thấp nhiệt đới sẽ mạnh lên thành bão, vậy thì đất lườn sẽ ảnh hưởng như thế nào?","Tiếp theo sẽ là những thông tin dự báo thời tiết, chị Hương Liên dự báo là át thấp nhiệt đới sẽ mạnh lên thành bão, vậy thì đất lườn sẽ ảnh hưởng như thế nào?",OK,HIGH
ElQ3IdR-QGw,1,8.0,15.0,7.0,"Vâng anh Dương, miền Trung và Bắc Tây Nguyên có thể phải hứng chịu một đợt mưa rất lớn và kéo dài nhiều ngày.","Vâng anh Dương, miền Trung và Bắc Tây Nguyên có thể phải hứng chịu một đợt mưa rất lớn và kéo dài nhiều ngày.","Vâng anh Dương, miền Trung và Bắc Tây Nguyên có thể phải hứng chịu một đợt mưa rất lớn và kéo dài nhiều ngày.",OK,HIGH
ElQ3IdR-QGw,2,15.0,26.0,11.0,"Thưa quý vị khán giả, nhìn vào đường đi dự kiến của át thấp nhiệt đới cho thấy, vào gần bờ thì nó mạnh lên thành bão nhưng không vào đất liền ngay mà lại đi dọc ven biển.","Thưa quý vị khán giả, nhìn vào đường đi dự kiến của át thấp nhiệt đới cho thấy, vào gần bờ thì nó mạnh lên thành bão nhưng không vào đất liền ngay mà lại đi dọc ven biển.","Thưa quý vị khán giả, nhìn vào đường đi dự kiến của át thấp nhiệt đới cho thấy, vào gần bờ thì nó mạnh lên thành bão nhưng không vào đất liền ngay mà lại đi dọc ven biển.",OK,HIGH
ElQ3IdR-QGw,3,26.0,31.0,5.0,Địa mây bão kết hợp với giải hội tụ nhiệt đới cứ thế chút mưa xuống đất liền.,Địa mây bão kết hợp với giải hội tụ nhiệt đới cứ thế chút mưa xuống đất liền.,Địa mây bão kết hợp với giải hội tụ nhiệt đới cứ thế chút mưa xuống đất liền.,OK,HIGH
ElQ3IdR-QGw,4,31.0,38.0,7.0,"Cụ thể từ nay đến thứ 6, khu vực Quảng Bình đến Phú Yên và Bắc Tây Nguyên có mưa to đến rất to.","Cụ thể từ nay đến thứ 6, khu vực Quảng Bình đến Phú Yên và Bắc Tây Nguyên có mưa to đến rất to.","Cụ thể từ nay đến thứ 6, khu vực Quảng Bình đến Phú Yên và Bắc Tây Nguyên có mưa to đến rất to.",OK,HIGH
ElQ3IdR-QGw,5,38.0,44.0,6.0,Vùng trọng tâm đặc biệt mưa lớn là Quảng Bình đến Quảng Ngãi và Con Tum.,Vùng trọng tâm đặc biệt mưa lớn là Quảng Bình đến Quảng Ngãi và Con Tum.,Vùng trọng tâm đặc biệt mưa lớn là Quảng Bình đến Quảng Ngãi và Con Tum.,OK,HIGH
ElQ3IdR-QGw,6,44.0,50.0,6.0,Tổng lượng mưa là từ 300 đến 500 mm và có nơi trên 600 mm.,Tổng lượng mưa là từ 300 đến 500 mm và có nơi trên 600 mm.,Tổng lượng mưa là từ 300 đến 500 mm và có nơi trên 600 mm.,OK,HIGH
ElQ3IdR-QGw,7,50.0,57.0,7.0,"Bình Định, Phú Yên và Gia Lai mưa từ 100 đến 300 mm và có nơi trên 350 mm.","Bình Định, Phú Yên và Gia Lai mưa từ 100 đến 300 mm và có nơi trên 350 mm.","Bình Định, Phú Yên và Gia Lai mưa từ 100 đến 300 mm và có nơi trên 350 mm.",OK,HIGH
ElQ3IdR-QGw,8,57.0,62.0,5.0,"Nguy cơ rất cao gây ra sạt lở đất, lũ quét ở vùng núi.","Nguy cơ rất cao gây ra sạt lở đất, lũ quét ở vùng núi.","Nguy cơ rất cao gây ra sạt lở đất, lũ quét ở vùng núi.",OK,HIGH
ElQ3IdR-QGw,9,62.0,70.0,8.0,Một mối nguy hiểm khác là mưa lớn sẽ gây ra một đợt lũ ở miền Trung và Bắc Tây Nguyên trong 3 ngày tới.,Một mối nguy hiểm khác là mưa lớn sẽ gây ra một đợt lũ ở miền Trung và Bắc Tây Nguyên trong 3 ngày tới.,Một mối nguy hiểm khác là mưa lớn sẽ gây ra một đợt lũ ở miền Trung và Bắc Tây Nguyên trong 3 ngày tới.,OK,HIGH
