video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
Fct_pUhSbA8,0,0.0,4.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
Fct_pUhSbA8,1,4.0,7.0,3.0,"Thưa chị Hương Liên, trái ngược lại với thế giấc nắng nóng ở Bắc Bộ,","Thưa chị Hương Liên, trái ngược lại với thế giấc nắng nóng ở Bắc Bộ,","Thưa chị Hương Liên, trái ngược lại với thế giấc nắng nóng ở Bắc Bộ,",OK,HIGH
Fct_pUhSbA8,2,7.0,9.0,2.0,thì lúc này tôi biết là phía Nam đang có những cơn mưa.,thì lúc này tôi biết là phía Nam đang có những cơn mưa.,thì lúc này tôi biết là phía Nam đang có những cơn mưa.,OK,HIGH
Fct_pUhSbA8,3,9.0,12.0,3.0,Không biết là đợt mưa lần này có ảnh hưởng gì đến đời sống của người dân,Không biết là đợt mưa lần này có ảnh hưởng gì đến đời sống của người dân,Không biết là đợt mưa lần này có ảnh hưởng gì đến đời sống của người dân,OK,HIGH
Fct_pUhSbA8,4,12.0,14.0,2.0,và có chú ý gì về an toàn hay không ạ?,và có chú ý gì về an toàn hay không ạ?,và có chú ý gì về an toàn hay không ạ?,OK,HIGH
Fct_pUhSbA8,5,14.0,17.0,3.0,"Vâng anh Dương, ngay trong chiều nay, Đài Khí tượng Thủy Văn khu vực Nam Trung Bộ","Vâng anh Dương, ngay trong chiều nay, Đài Khí tượng Thủy Văn khu vực Nam Trung Bộ","Vâng anh Dương, ngay trong chiều nay, Đài Khí tượng Thủy Văn khu vực Nam Trung Bộ",OK,HIGH
Fct_pUhSbA8,6,17.0,20.0,3.0,đã phát tin cảnh báo sạt lở đất lũ quét cho vùng núi Ninh Thuận.,đã phát tin cảnh báo sạt lở đất lũ quét cho vùng núi Ninh Thuận.,đã phát tin cảnh báo sạt lở đất lũ quét cho vùng núi Ninh Thuận.,OK,HIGH
Fct_pUhSbA8,7,20.0,26.0,6.0,"Cụ thể, trong tối và đêm nay, người dân sinh sống ở các xã Ma Nới, Lâm Sơn, Lương Sơn ở huyện Ninh Sơn,","Cụ thể, trong tối và đêm nay, người dân sinh sống ở các xã Ma Nới, Lâm Sơn, Lương Sơn ở huyện Ninh Sơn,","Cụ thể, trong tối và đêm nay, người dân sinh sống ở các xã Ma Nới, Lâm Sơn, Lương Sơn ở huyện Ninh Sơn,",OK,HIGH
Fct_pUhSbA8,8,26.0,29.0,3.0,"Phước Bình, Phước Hòa, Phước Tân tại huyện Bắc Ái","Phước Bình, Phước Hòa, Phước Tân tại huyện Bắc Ái","Phước Bình, Phước Hòa, Phước Tân tại huyện Bắc Ái",OK,HIGH
Fct_pUhSbA8,9,29.0,34.0,5.0,"cần đề phòng lũ quét sạt lở đất, lũ cục bộ xảy ra trên các sông suối nhỏ","cần đề phòng lũ quét sạt lở đất, lũ cục bộ xảy ra trên các sông suối nhỏ","cần đề phòng lũ quét sạt lở đất, lũ cục bộ xảy ra trên các sông suối nhỏ",OK,HIGH
Fct_pUhSbA8,10,34.0,37.0,3.0,và chú ý an toàn khi đi qua các đường tràn.,và chú ý an toàn khi đi qua các đường tràn.,và chú ý an toàn khi đi qua các đường tràn.,OK,HIGH
Fct_pUhSbA8,11,37.0,40.0,3.0,"Sở dĩ cảnh báo được đưa ra là do chỉ trong 3 tiếng chiều nay,","Sở dĩ cảnh báo được đưa ra là do chỉ trong 3 tiếng chiều nay,","Sở dĩ cảnh báo được đưa ra là do chỉ trong 3 tiếng chiều nay,",OK,HIGH
Fct_pUhSbA8,12,40.0,43.0,3.0,"tại các huyện Ninh Sơn, Bắc Ái đã có mưa to,","tại các huyện Ninh Sơn, Bắc Ái đã có mưa to,","tại các huyện Ninh Sơn, Bắc Ái đã có mưa to,",OK,HIGH
Fct_pUhSbA8,13,43.0,49.0,6.0,"nhiều nơi lên tới hàng chục mm, thậm chí là tại trạm Sông Pha còn hơn cả trăm mm.","nhiều nơi lên tới hàng chục mm, thậm chí là tại trạm Sông Pha còn hơn cả trăm mm.","nhiều nơi lên tới hàng chục mm, thậm chí là tại trạm Sông Pha còn hơn cả trăm mm.",OK,HIGH
Fct_pUhSbA8,14,50.0,53.0,3.0,"Không chỉ Ninh Thuận, dọc vùng núi từ Quảng Nam tới Bình Thuận","Không chỉ Ninh Thuận, dọc vùng núi từ Quảng Nam tới Bình Thuận","Không chỉ Ninh Thuận, dọc vùng núi từ Quảng Nam tới Bình Thuận",OK,HIGH
Fct_pUhSbA8,15,53.0,57.0,4.0,và khu vực Tây Nguyên Nam Bộ cũng có mưa nhiều trong chiều nay.,và khu vực Tây Nguyên Nam Bộ cũng có mưa nhiều trong chiều nay.,và khu vực Tây Nguyên Nam Bộ cũng có mưa nhiều trong chiều nay.,OK,HIGH
Fct_pUhSbA8,16,57.0,62.0,5.0,"Quan sát ảnh mây vệ tinh có thể thấy là mây dông đang bao phủ phần lớn các khu vực này,","Quan sát ảnh mây vệ tinh có thể thấy là mây dông đang bao phủ phần lớn các khu vực này,","Quan sát ảnh mây vệ tinh có thể thấy là mây dông đang bao phủ phần lớn các khu vực này,",OK,HIGH
Fct_pUhSbA8,17,62.0,64.0,2.0,chút mưa nặng hạt xuống.,chút mưa nặng hạt xuống.,chút mưa nặng hạt xuống.,OK,HIGH
Fct_pUhSbA8,18,64.0,67.0,3.0,"Tối nay cho đến trưa mai thì mưa khả năng sẽ tạm giảm,","Tối nay cho đến trưa mai thì mưa khả năng sẽ tạm giảm,","Tối nay cho đến trưa mai thì mưa khả năng sẽ tạm giảm,",OK,HIGH
Fct_pUhSbA8,19,67.0,71.0,4.0,nhưng sau 13h thì mưa sẽ quay trở lại trên diện rộng ở các khu vực này.,nhưng sau 13h thì mưa sẽ quay trở lại trên diện rộng ở các khu vực này.,nhưng sau 13h thì mưa sẽ quay trở lại trên diện rộng ở các khu vực này.,OK,HIGH
Fct_pUhSbA8,20,71.0,77.0,6.0,"Cảnh báo mưa vừa có nơi mưa to đến rất to, dễ kèm theo gió giật và sấm xét nguy hiểm.","Cảnh báo mưa vừa có nơi mưa to đến rất to, dễ kèm theo gió giật và sấm xét nguy hiểm.","Cảnh báo mưa vừa có nơi mưa to đến rất to, dễ kèm theo gió giật và sấm xét nguy hiểm.",OK,HIGH
Fct_pUhSbA8,21,77.0,82.0,5.0,"Vùng trúng thấp ven sông Nam Bộ đề phòng ngập úng, còn vùng núi thuộc Tây Nguyên","Vùng trúng thấp ven sông Nam Bộ đề phòng ngập úng, còn vùng núi thuộc Tây Nguyên","Vùng trúng thấp ven sông Nam Bộ đề phòng ngập úng, còn vùng núi thuộc Tây Nguyên",OK,HIGH
Fct_pUhSbA8,22,82.0,88.0,6.0,và từ Đà Nẵng xuống đến Bình Thuận thì cần cảnh giác với sạt lợi đất và lũ quét cục bộ.,và từ Đà Nẵng xuống đến Bình Thuận thì cần cảnh giác với sạt lợi đất và lũ quét cục bộ.,và từ Đà Nẵng xuống đến Bình Thuận thì cần cảnh giác với sạt lợi đất và lũ quét cục bộ.,OK,HIGH
Fct_pUhSbA8,23,89.0,93.0,4.0,Còn tiếp theo sẽ là phần dự báo thời tiết cho một số thành phố trong đêm nay và ngày mai.,Còn tiếp theo sẽ là phần dự báo thời tiết cho một số thành phố trong đêm nay và ngày mai.,Còn tiếp theo sẽ là phần dự báo thời tiết cho một số thành phố trong đêm nay và ngày mai.,OK,HIGH
Fct_pUhSbA8,24,93.0,99.0,6.0,"Nha Trang tối nay và chiều tối mai có mưa dông, còn sáng đến trưa mai trời nắng rán đoạn 31 độ.","Nha Trang tối nay và chiều tối mai có mưa dông, còn sáng đến trưa mai trời nắng rán đoạn 31 độ.","Nha Trang tối nay và chiều tối mai có mưa dông, còn sáng đến trưa mai trời nắng rán đoạn 31 độ.",OK,HIGH
Fct_pUhSbA8,25,99.0,103.0,4.0,"Thành phố Hồ Chí Minh đêm nay mưa tạm giảm, trời dịu mát 25 độ.","Thành phố Hồ Chí Minh đêm nay mưa tạm giảm, trời dịu mát 25 độ.","Thành phố Hồ Chí Minh đêm nay mưa tạm giảm, trời dịu mát 25 độ.",OK,HIGH
Fct_pUhSbA8,26,103.0,108.0,5.0,Sáng đến trưa mai vừa nắng vừa nóng 34 độ. Sau 14 giờ trời sẽ chuyển mưa dông.,Sáng đến trưa mai vừa nắng vừa nóng 34 độ. Sau 14 giờ trời sẽ chuyển mưa dông.,Sáng đến trưa mai vừa nắng vừa nóng 34 độ. Sau 14 giờ trời sẽ chuyển mưa dông.,OK,HIGH
Fct_pUhSbA8,27,108.0,115.0,7.0,"Hà Nội đêm nay không mưa, dịu mát 26 độ. Sáng ngày mai trời nắng nhiều, oi nóng, nhiệt độ lên tới 34 độ.","Hà Nội đêm nay không mưa, dịu mát 26 độ. Sáng ngày mai trời nắng nhiều, oi nóng, nhiệt độ lên tới 34 độ.","Hà Nội đêm nay không mưa, dịu mát 26 độ. Sáng ngày mai trời nắng nhiều, oi nóng, nhiệt độ lên tới 34 độ.",OK,HIGH
