video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
GzIkxdLeKtA,0,1.0,5.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
GzIkxdLeKtA,1,5.0,9.0,4.0,"Chào chị Hương Liên, có lẽ người dân miền Bắc lúc này rất quan tâm khi nào trời sẽ tạnh giáo trở lại","Chào chị Hương Liên, có lẽ người dân miền Bắc lúc này rất quan tâm khi nào trời sẽ tạnh giáo trở lại","Chào chị Hương Liên, có lẽ người dân miền Bắc lúc này rất quan tâm khi nào trời sẽ tạnh giáo trở lại",OK,HIGH
GzIkxdLeKtA,2,9.0,11.0,2.0,để mọi hoạt động đời thường sẽ quay trở lại.,để mọi hoạt động đời thường sẽ quay trở lại.,để mọi hoạt động đời thường sẽ quay trở lại.,OK,HIGH
GzIkxdLeKtA,3,11.0,14.0,3.0,Vào ngày dương sáng mai thì ở miền Bắc trời vẫn còn mưa.,Vào ngày dương sáng mai thì ở miền Bắc trời vẫn còn mưa.,Vào ngày dương sáng mai thì ở miền Bắc trời vẫn còn mưa.,OK,HIGH
GzIkxdLeKtA,4,14.0,17.0,3.0,"Nhưng mà ở Lào Cai, Lai Châu, Điện Biên thì mưa vừa mưa to.","Nhưng mà ở Lào Cai, Lai Châu, Điện Biên thì mưa vừa mưa to.","Nhưng mà ở Lào Cai, Lai Châu, Điện Biên thì mưa vừa mưa to.",OK,HIGH
GzIkxdLeKtA,5,17.0,22.0,5.0,Còn khu vực đồng bằng như thủ đô Hà Nội mưa nhỏ chỉ xảy ra vào buổi sáng.,Còn khu vực đồng bằng như thủ đô Hà Nội mưa nhỏ chỉ xảy ra vào buổi sáng.,Còn khu vực đồng bằng như thủ đô Hà Nội mưa nhỏ chỉ xảy ra vào buổi sáng.,OK,HIGH
GzIkxdLeKtA,6,22.0,25.0,3.0,Đến trưa chiều ngày mai sẽ tạnh giáo và trời ấm lên.,Đến trưa chiều ngày mai sẽ tạnh giáo và trời ấm lên.,Đến trưa chiều ngày mai sẽ tạnh giáo và trời ấm lên.,OK,HIGH
GzIkxdLeKtA,7,25.0,29.0,4.0,"Trong 3 ngày tới, xu thế thời tiết sẽ là mưa giảm, trời nắng dần lên.","Trong 3 ngày tới, xu thế thời tiết sẽ là mưa giảm, trời nắng dần lên.","Trong 3 ngày tới, xu thế thời tiết sẽ là mưa giảm, trời nắng dần lên.",OK,HIGH
GzIkxdLeKtA,8,29.0,36.0,7.0,"Mỗi ngày tăng thêm 2 độ và đến thứ 5 trời nắng ráo cả ngày, nhiệt độ cao nhất là 29 độ.","Mỗi ngày tăng thêm 2 độ và đến thứ 5 trời nắng ráo cả ngày, nhiệt độ cao nhất là 29 độ.","Mỗi ngày tăng thêm 2 độ và đến thứ 5 trời nắng ráo cả ngày, nhiệt độ cao nhất là 29 độ.",OK,HIGH
GzIkxdLeKtA,9,36.0,42.0,6.0,Trời vừa mưa ẩm lại ấm lên là môi trường thuận lợi cho mỗi vàn trung gian chuyển bệnh sốt xuất huyết.,Trời vừa mưa ẩm lại ấm lên là môi trường thuận lợi cho mỗi vàn trung gian chuyển bệnh sốt xuất huyết.,Trời vừa mưa ẩm lại ấm lên là môi trường thuận lợi cho mỗi vàn trung gian chuyển bệnh sốt xuất huyết.,OK,HIGH
GzIkxdLeKtA,10,42.0,47.0,5.0,Mà theo Sở Y tế Hà Nội thì tháng 10 dịch sốt xuất huyết đã có dấu hiệu gia tăng.,Mà theo Sở Y tế Hà Nội thì tháng 10 dịch sốt xuất huyết đã có dấu hiệu gia tăng.,Mà theo Sở Y tế Hà Nội thì tháng 10 dịch sốt xuất huyết đã có dấu hiệu gia tăng.,OK,HIGH
GzIkxdLeKtA,11,47.0,52.0,5.0,"Để phòng tránh quý vị hãy thu gom, hủy các vật dụng phế thải trong nhà và xung quanh nhà.","Để phòng tránh quý vị hãy thu gom, hủy các vật dụng phế thải trong nhà và xung quanh nhà.","Để phòng tránh quý vị hãy thu gom, hủy các vật dụng phế thải trong nhà và xung quanh nhà.",OK,HIGH
GzIkxdLeKtA,12,52.0,57.0,5.0,Sắp xếp đồ đặc trong nhà gọn gàng sẽ giúp hạn chế nơi trú ẩn của mũi.,Sắp xếp đồ đặc trong nhà gọn gàng sẽ giúp hạn chế nơi trú ẩn của mũi.,Sắp xếp đồ đặc trong nhà gọn gàng sẽ giúp hạn chế nơi trú ẩn của mũi.,OK,HIGH
