video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
H1gvY3NUWe0,0,0.0,3.0,3.0,Bây giờ sẽ là những thông tin dự báo thời tiết.,Bây giờ sẽ là những thông tin dự báo thời tiết.,Bây giờ sẽ là những thông tin dự báo thời tiết.,OK,HIGH
H1gvY3NUWe0,1,3.0,8.0,5.0,"Chị Duân Anh, Hà Nội ngày hôm nay có vẻ nhiều mây hơn, độ ẩm chắc có lẽ cũng cải thiện so với mấy hôm vừa rồi nhỉ?","Chị Duân Anh, Hà Nội ngày hôm nay có vẻ nhiều mây hơn, độ ẩm chắc có lẽ cũng cải thiện so với mấy hôm vừa rồi nhỉ?","Chị Duân Anh, Hà Nội ngày hôm nay có vẻ nhiều mây hơn, độ ẩm chắc có lẽ cũng cải thiện so với mấy hôm vừa rồi nhỉ?",OK,HIGH
H1gvY3NUWe0,2,8.0,13.0,5.0,Vâng đúng là như vậy và không chỉ có ở thủ đô Hà Nội đâu mà miền Bắc thì nhiều nơi khác cũng có mây nhiều lên anh Dương ạ.,Vâng đúng là như vậy và không chỉ có ở thủ đô Hà Nội đâu mà miền Bắc thì nhiều nơi khác cũng có mây nhiều lên anh Dương ạ.,Vâng đúng là như vậy và không chỉ có ở thủ đô Hà Nội đâu mà miền Bắc thì nhiều nơi khác cũng có mây nhiều lên anh Dương ạ.,OK,HIGH
H1gvY3NUWe0,3,13.0,20.0,7.0,Cụ thể một số nơi như là Móng Cái hay là tại Ninh Bình hay là Cao Bằng thì trời nhiều mây lên và độ ẩm ghi nhận được cũng tăng lên rõ.,Cụ thể một số nơi như là Móng Cái hay là tại Ninh Bình hay là Cao Bằng thì trời nhiều mây lên và độ ẩm ghi nhận được cũng tăng lên rõ.,Cụ thể một số nơi như là Móng Cái hay là tại Ninh Bình hay là Cao Bằng thì trời nhiều mây lên và độ ẩm ghi nhận được cũng tăng lên rõ.,OK,HIGH
H1gvY3NUWe0,4,20.0,25.0,5.0,Phổ biến trong khoảng là từ 14 cho tới mức là 21%.,Phổ biến trong khoảng là từ 14 cho tới mức là 21%.,Phổ biến trong khoảng là từ 14 cho tới mức là 21%.,OK,HIGH
H1gvY3NUWe0,5,25.0,31.0,6.0,Với mức tăng như thế này và trời thì nhiều mây báo hiệu là cho thấy không khí lạnh ngày mai sẽ về miền Bắc.,Với mức tăng như thế này và trời thì nhiều mây báo hiệu là cho thấy không khí lạnh ngày mai sẽ về miền Bắc.,Với mức tăng như thế này và trời thì nhiều mây báo hiệu là cho thấy không khí lạnh ngày mai sẽ về miền Bắc.,OK,HIGH
H1gvY3NUWe0,6,31.0,41.0,10.0,Lần này thì không khí lạnh tăng cường chủ yếu là lệch đông từ biển dồn vào đất liền và sẽ làm thay đổi trạng thái thời tiết ở Bắc Bộ.,Lần này thì không khí lạnh tăng cường chủ yếu là lệch đông từ biển dồn vào đất liền và sẽ làm thay đổi trạng thái thời tiết ở Bắc Bộ.,Lần này thì không khí lạnh tăng cường chủ yếu là lệch đông từ biển dồn vào đất liền và sẽ làm thay đổi trạng thái thời tiết ở Bắc Bộ.,OK,HIGH
H1gvY3NUWe0,7,41.0,46.0,5.0,Dự báo trong sáng mai thì đối với vùng Đông Bằng và vai miền Bắc Bộ trời sẽ có mưa nhỏ.,Dự báo trong sáng mai thì đối với vùng Đông Bằng và vai miền Bắc Bộ trời sẽ có mưa nhỏ.,Dự báo trong sáng mai thì đối với vùng Đông Bằng và vai miền Bắc Bộ trời sẽ có mưa nhỏ.,OK,HIGH
H1gvY3NUWe0,8,46.0,54.0,8.0,Cụ thể tại thủ đô Hà Nội thì vào sáng mai do có mưa và độ ẩm thì tăng cao gần như là ở mức bão hòa.,Cụ thể tại thủ đô Hà Nội thì vào sáng mai do có mưa và độ ẩm thì tăng cao gần như là ở mức bão hòa.,Cụ thể tại thủ đô Hà Nội thì vào sáng mai do có mưa và độ ẩm thì tăng cao gần như là ở mức bão hòa.,OK,HIGH
H1gvY3NUWe0,9,54.0,60.0,6.0,Nên là sau mưa thì trời bạnh và độ ẩm thì lại giảm nhanh khoảng là 68%.,Nên là sau mưa thì trời bạnh và độ ẩm thì lại giảm nhanh khoảng là 68%.,Nên là sau mưa thì trời bạnh và độ ẩm thì lại giảm nhanh khoảng là 68%.,OK,HIGH
