id,start,end,duration,text_len,text,video_id
0,0.0,11.0,11.0,235,Sau đây là những thông tin dự báo thời tiết và chuẩn bị có đợt một không khí lạnh sắp tràn xuống miền Bắc và không tin cụ thể như thế nào thì chúng ta cùng chờ đợi những thông tin cập nhật về tình hình không khí lạnh từ anh Thanh Tùng.,Kf400Z0OIAk
1,11.0,18.0,7.0,193,"Anh Tùng thân mến, đến ngày hôm nay tôi vẫn cảm thấy là không khí lạnh hình như vẫn còn ở xa chúng ta và thời tiết vẫn còn nắng và nóng. Vậy thì không biết lần này cường độ có mạnh hay không ạ?",Kf400Z0OIAk
2,18.0,25.0,7.0,121,Đợt không khí lạnh tới đây thì cường độ của nó không mạnh và nó cũng chưa thể làm cho thời tiết miền Bắc chuyển rét được.,Kf400Z0OIAk
3,25.0,31.0,6.0,117,"Thưa quý vị, hiện nay thì khối không khí lạnh vẫn còn ở khá là xa, cách biên giới phía Bắc của chúng ta khoảng 500km.",Kf400Z0OIAk
4,31.0,39.0,8.0,148,Và với một tốc độ di chuyển khá chậm thì khả năng là phải đến dặn sáng thứ 2 thì mới bắt đầu ảnh hưởng đến khu vực vùng núi phía Bắc gây ra mưa nhỏ.,Kf400Z0OIAk
5,39.0,49.0,10.0,164,Ở khu vực đồng bằng như thủ đô Hà Nội thì cũng chịu ảnh hưởng của không khí lạnh vào thứ 2 và nhiệt độ thì sẽ giảm khoảng 3 độ so với ngày Chủ nhật xuống còn 26 độ.,Kf400Z0OIAk
6,49.0,55.0,6.0,118,Đồng thời thì thời tiết sẽ chuyển đổi từ trạng thái nắng ấm sang mưa nhỏ thì chúng ta cũng sẽ cảm giác là sẽ lạnh hơn.,Kf400Z0OIAk
7,55.0,59.0,4.0,72,Phải đến thứ 3 thì nhiệt độ tiếp tục giảm thêm 2 độ nữa xuống còn 24 độ.,Kf400Z0OIAk
8,59.0,65.0,6.0,101,Và khả năng là đến cuối tuần sau nhiệt độ tiếp tục giảm sâu khi mà không khí lạnh dồn xuống mạnh hơn.,Kf400Z0OIAk
9,65.0,70.0,5.0,94,Với khu vực Nam Bộ thì lại phải lưu ý đến những cơn mưa nhỏ có thể quay trở lại vào chiều mai.,Kf400Z0OIAk
10,70.0,74.0,4.0,78,Dù diễn mưa hẹp chỉ diễn ra trên khoảng 1 phần 3 diện tích của khu vực Nam Bộ.,Kf400Z0OIAk
11,74.0,81.0,7.0,136,Nhưng chúng ta cũng cần phải đề phòng đến các hiện tượng thời tiết nguy hiểm như là tố lốc như là gió giật có thể đi kèm trong cơn dông.,Kf400Z0OIAk
12,81.0,85.0,4.0,71,Khả năng là hết tháng 11 thì khu vực Nam Bộ sẽ chuyển dần sang mùa khô.,Kf400Z0OIAk
13,85.0,89.0,4.0,109,Còn bây giờ xin được cập nhật những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,Kf400Z0OIAk
14,90.0,93.0,3.0,67,"Thành phố Hải Phòng đêm nay không mưa, nhiệt độ thấp nhất là 23 độ.",Kf400Z0OIAk
15,93.0,97.0,4.0,67,"Sáng sớm mai có xuân mùa nhẹ, đến trưa chiều thì trời hừng nắng ấm.",Kf400Z0OIAk
16,97.0,99.0,2.0,24,Nhiệt độ cao nhất 28 độ.,Kf400Z0OIAk
17,100.0,104.0,4.0,71,"Thành phố Đà Nẵng thời tiết ổn định là nắng ráo, buổi đêm khoảng 23 độ.",Kf400Z0OIAk
18,104.0,108.0,4.0,70,"Chưa chiều mai thì nhiệt độ tăng lên, đã đến mức 29 độ, nắng vừa phải.",Kf400Z0OIAk
19,109.0,115.0,6.0,123,"Với thành phố Hồ Chí Minh thì sau cơn mưa nặng hạt buổi chiều, tối và đêm nay sẽ ngất mưa, trời mát với nửa nhiệt là 25 độ.",Kf400Z0OIAk
20,115.0,121.0,6.0,87,"Chiều mai có mưa trở lại, buổi sáng và trưa trời nắng mạnh, nhiệt độ cao nhất là 33 độ.",Kf400Z0OIAk
21,129.0,133.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Kf400Z0OIAk
