video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
LhDQoZKqDRY,0,0.0,9.0,9.0,"Còn bây giờ sẽ là những thông tin dự báo tuy tiết, chị Yến, bão số 7 đã trở thành áp thấp nhiệt đới trước khi vào bờ, vậy thì nó còn mối nguy gì hay không ạ?","Hiện tại, bão số 7 đã suy yếu thành áp thấp nhiệt đới trước khi vào bờ, nhưng hoàn lưu sau bão kết hợp với không khí lạnh vẫn có thể gây ra mưa lớn tại nhiều khu vực, dự kiến kéo dài đến thứ Sáu tới đây.","Còn bây giờ sẽ là những thông tin dự báo tuy tiết, chị Yến, bão số 7 đã trở thành áp thấp nhiệt đới trước khi vào bờ, vậy thì nó còn mối nguy gì hay không ạ?",REVERT,LOW
LhDQoZKqDRY,1,9.0,17.0,8.0,"Vâng ạ, dù là cơn bão số 7 đã xuyên yếu thành áp thấp nhiệt đới rồi, tuy nhiên thì hoàn lưu sau bão của nó kết hợp với không khí lạnh thì sẽ gây ra mưa lớn tại nhiều khu vực","Mặc dù cơn bão số 7 đã suy yếu thành áp thấp nhiệt đới, nhưng hoàn lưu sau bão kết hợp với không khí lạnh sẽ gây ra mưa lớn tại nhiều khu vực.","Mặc dù cơn bão số 7 đã suy yếu thành áp thấp nhiệt đới, nhưng hoàn lưu sau bão kết hợp với không khí lạnh sẽ gây ra mưa lớn tại nhiều khu vực.",OK,HIGH
LhDQoZKqDRY,2,17.0,25.0,8.0,và dự kiến là đợt mưa này sẽ có thể là kéo dài đến thứ 6 tới đây. Và cụ thể là vùng mưa to sẽ tập trung tại những đâu thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,"Dự kiến, đợt mưa này sẽ kéo dài đến thứ Sáu tới, với vùng mưa to tập trung tại các khu vực đồng bằng, ven biển Bắc Bộ, Yên Bái, Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và Hà Tĩnh, tổng lượng mưa từ 150 đến 250mm, có nơi vượt 300mm.",và dự kiến là đợt mưa này sẽ có thể là kéo dài đến thứ 6 tới đây. Và cụ thể là vùng mưa to sẽ tập trung tại những đâu thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,REVERT,MEDIUM
LhDQoZKqDRY,3,25.0,46.0,21.0,"Thưa quý vị, quan sát trên bản đố mưa để có thể dễ dàng nhận thấy là vùng mưa to sẽ tập trung tại khu vực đồng bằng, khu vực ven biển Bắc Bộ cũng như là Yên Bái, Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và Hà Tĩnh với tổng lượng mưa là từ 150 đến 250mm và có những nơi tương ứng với những vùng màu vàng như thế này thì có thể vượt 300mm.","Thưa quý vị, theo bản đồ mưa, vùng mưa to sẽ tập trung tại khu vực đồng bằng, ven biển Bắc Bộ, cùng với các tỉnh Yên Bái, Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và Hà Tĩnh, với tổng lượng mưa từ 150 đến 250mm, và một số nơi có thể vượt quá 300mm.","Thưa quý vị, theo bản đồ mưa, vùng mưa to sẽ tập trung tại khu vực đồng bằng, ven biển Bắc Bộ, cùng với các tỉnh Yên Bái, Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và Hà Tĩnh, với tổng lượng mưa từ 150 đến 250mm, và một số nơi có thể vượt quá 300mm.",OK,HIGH
LhDQoZKqDRY,4,46.0,58.0,12.0,"Với lượng mưa như thế này thì tại các khu vực trũng thấp hay là những khu đầu thị rất có thể là xảy ra tình trạng ngập úng, còn tại vùng núi thì cần phải cảnh giác với mối nguy hiểm từ sạt lở đất và lũ quét.","Với lượng mưa như vậy, tại các khu vực trũng thấp và những khu đô thị có khả năng xảy ra tình trạng ngập úng, trong khi tại vùng núi cần cảnh giác với nguy cơ sạt lở đất và lũ quét.","Với lượng mưa như vậy, tại các khu vực trũng thấp và những khu đô thị có khả năng xảy ra tình trạng ngập úng, trong khi tại vùng núi cần cảnh giác với nguy cơ sạt lở đất và lũ quét.",OK,HIGH
LhDQoZKqDRY,5,58.0,73.0,15.0,"Ngoài ra thì lũ trên các sông có thể lên, đặc biệt là tại những sông suối nhỏ nước rồn về nhanh, dễ gây ra ngập ngầm tràm. Để đảm bảo an toàn tính mạng thì bà con tuyệt đối là không đi qua những ngầm tràm bị ngập cũng như là không đánh bắt cá vớt củi trên sông khi mà lũ về.","Lũ trên các sông có thể dâng cao, đặc biệt tại những sông suối nhỏ, nơi nước rồn về nhanh, dễ gây ra ngập ngầm tràm; vì vậy, để đảm bảo an toàn tính mạng, bà con tuyệt đối không đi qua những ngầm tràm bị ngập và không đánh bắt cá hay vớt củi trên sông khi lũ về.","Lũ trên các sông có thể dâng cao, đặc biệt tại những sông suối nhỏ, nơi nước rồn về nhanh, dễ gây ra ngập ngầm tràm; vì vậy, để đảm bảo an toàn tính mạng, bà con tuyệt đối không đi qua những ngầm tràm bị ngập và không đánh bắt cá hay vớt củi trên sông khi lũ về.",OK,HIGH
LhDQoZKqDRY,6,74.0,85.0,11.0,Một thông tin rất đáng chú ý khác đó là ngay sau cơn bão số 7 này thì khả năng biển đông lạnh tiếp tục đoán bão bởi hiện tại xuất hiện một áp thấp nhiệt đới đang ở khu vực miền trung của Philippines.,"Một thông tin rất đáng chú ý là ngay sau cơn bão số 7, khả năng Biển Đông sẽ tiếp tục xuất hiện bão do hiện tại có một áp thấp nhiệt đới đang ở khu vực miền Trung của Philippines.","Một thông tin rất đáng chú ý là ngay sau cơn bão số 7, khả năng Biển Đông sẽ tiếp tục xuất hiện bão do hiện tại có một áp thấp nhiệt đới đang ở khu vực miền Trung của Philippines.",OK,HIGH
LhDQoZKqDRY,7,85.0,93.0,8.0,Khoảng là ngày mai thôi thì nó sẽ đi vào khu vực biển đông và sau đó dự báo là sẽ mạnh lên thành bão và hướng thẳng vào khu vực trung trung bộ của nước ta.,"Khoảng ngày mai, áp thấp nhiệt đới sẽ đi vào khu vực Biển Đông và dự báo sẽ mạnh lên thành bão, hướng thẳng vào khu vực Trung Trung Bộ của nước ta.","Khoảng ngày mai, áp thấp nhiệt đới sẽ đi vào khu vực Biển Đông và dự báo sẽ mạnh lên thành bão, hướng thẳng vào khu vực Trung Trung Bộ của nước ta.",OK,HIGH
LhDQoZKqDRY,8,93.0,102.0,9.0,Trong khi không khí lạnh đang dồn xuống thì hai hình thế này kết hợp với nhau sẽ khiến cho mưa lớn quay trở lại khoảng từ chiều tới ngày thứ 6 và kéo dài sang đến tuần sau.,"Trong khi không khí lạnh đang dồn xuống, sự kết hợp của hai hình thế này sẽ khiến mưa lớn quay trở lại từ chiều thứ Sáu và kéo dài sang tuần sau.",Trong khi không khí lạnh đang dồn xuống thì hai hình thế này kết hợp với nhau sẽ khiến cho mưa lớn quay trở lại khoảng từ chiều tới ngày thứ 6 và kéo dài sang đến tuần sau.,REVERT,HIGH
LhDQoZKqDRY,9,102.0,111.0,9.0,Lo ngại hơn là những nơi vừa bị thiệt hại nặng nề do mưa lũ đó là từ Quảng Bình đến Quảng Ngãi thì sẽ là trọng tâm mưa của lần này.,"Lo ngại hơn cả là những khu vực vừa chịu thiệt hại nặng nề do mưa lũ, từ Quảng Bình đến Quảng Ngãi, sẽ trở thành trọng tâm của đợt mưa này.","Lo ngại hơn cả là những khu vực vừa chịu thiệt hại nặng nề do mưa lũ, từ Quảng Bình đến Quảng Ngãi, sẽ trở thành trọng tâm của đợt mưa này.",OK,HIGH
