id,start,end,duration,text_len,text,video_id
0,0.0,9.0,9.0,157,"Còn bây giờ sẽ là những thông tin dự báo tuy tiết, chị Yến, bão số 7 đã trở thành áp thấp nhiệt đới trước khi vào bờ, vậy thì nó còn mối nguy gì hay không ạ?",LhDQoZKqDRY
1,9.0,17.0,8.0,173,"Vâng ạ, dù là cơn bão số 7 đã xuyên yếu thành áp thấp nhiệt đới rồi, tuy nhiên thì hoàn lưu sau bão của nó kết hợp với không khí lạnh thì sẽ gây ra mưa lớn tại nhiều khu vực",LhDQoZKqDRY
2,17.0,25.0,8.0,184,và dự kiến là đợt mưa này sẽ có thể là kéo dài đến thứ 6 tới đây. Và cụ thể là vùng mưa to sẽ tập trung tại những đâu thì ngay bây giờ tôi sẽ cập nhật đến Anh Dương và quý vị khán giả.,LhDQoZKqDRY
3,25.0,46.0,21.0,333,"Thưa quý vị, quan sát trên bản đố mưa để có thể dễ dàng nhận thấy là vùng mưa to sẽ tập trung tại khu vực đồng bằng, khu vực ven biển Bắc Bộ cũng như là Yên Bái, Sơn La, Hòa Bình, Thanh Hóa, Nghệ An và Hà Tĩnh với tổng lượng mưa là từ 150 đến 250mm và có những nơi tương ứng với những vùng màu vàng như thế này thì có thể vượt 300mm.",LhDQoZKqDRY
4,46.0,58.0,12.0,207,"Với lượng mưa như thế này thì tại các khu vực trũng thấp hay là những khu đầu thị rất có thể là xảy ra tình trạng ngập úng, còn tại vùng núi thì cần phải cảnh giác với mối nguy hiểm từ sạt lở đất và lũ quét.",LhDQoZKqDRY
5,58.0,73.0,15.0,274,"Ngoài ra thì lũ trên các sông có thể lên, đặc biệt là tại những sông suối nhỏ nước rồn về nhanh, dễ gây ra ngập ngầm tràm. Để đảm bảo an toàn tính mạng thì bà con tuyệt đối là không đi qua những ngầm tràm bị ngập cũng như là không đánh bắt cá vớt củi trên sông khi mà lũ về.",LhDQoZKqDRY
6,74.0,85.0,11.0,199,Một thông tin rất đáng chú ý khác đó là ngay sau cơn bão số 7 này thì khả năng biển đông lạnh tiếp tục đoán bão bởi hiện tại xuất hiện một áp thấp nhiệt đới đang ở khu vực miền trung của Philippines.,LhDQoZKqDRY
7,85.0,93.0,8.0,155,Khoảng là ngày mai thôi thì nó sẽ đi vào khu vực biển đông và sau đó dự báo là sẽ mạnh lên thành bão và hướng thẳng vào khu vực trung trung bộ của nước ta.,LhDQoZKqDRY
8,93.0,102.0,9.0,172,Trong khi không khí lạnh đang dồn xuống thì hai hình thế này kết hợp với nhau sẽ khiến cho mưa lớn quay trở lại khoảng từ chiều tới ngày thứ 6 và kéo dài sang đến tuần sau.,LhDQoZKqDRY
9,102.0,111.0,9.0,131,Lo ngại hơn là những nơi vừa bị thiệt hại nặng nề do mưa lũ đó là từ Quảng Bình đến Quảng Ngãi thì sẽ là trọng tâm mưa của lần này.,LhDQoZKqDRY
10,111.0,118.0,7.0,146,"Không có nhiều thời gian nữa bà con phải khẩn trương chuẩn bị ứng phó với nguy cơ về mưa chổng mưa, lũ chổng lũ bằng những phương án ngay sau đây.",LhDQoZKqDRY
11,118.0,128.0,10.0,171,"Thường xuyên theo dõi diễn biến thiên tai, dự trữ lương thực, nước sạch, thuốc men, di chuyển người, tài sản đến nơi an toàn, tuân thủ hướng dẫn của các cơ quan chức năng.",LhDQoZKqDRY
12,128.0,133.0,5.0,111,Còn bây giờ sẽ được chuyển sang những thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,LhDQoZKqDRY
13,133.0,141.0,8.0,121,"Thành phố Hà Nội đêm nay có mưa to, trời lạnh 21 độ. Ngày mai dự báo vẫn mưa lạnh cả ngày, nhiệt độ không vượt quá 24 độ.",LhDQoZKqDRY
14,141.0,149.0,8.0,127,"Thành phố Huế đêm nay có lúc có mưa rào 23 độ. Ngày mai mưa xảy ra ngắt quãng với lượng nhỏ, nhiệt độ cao nhất khoảng là 29 độ.",LhDQoZKqDRY
15,149.0,159.0,10.0,171,"Thành phố Hồ Chí Minh đêm nay mưa rào 24 độ. Sáng đến trưa mai nắng gián đoạn 30 độ. Về chiều cảnh báo mưa to, trong cơn giông có thể đi kèm với lức xoáy và gió giật mạnh.",LhDQoZKqDRY
