video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
Lhjbzn5Zer8,0,0.0,8.0,8.0,"Tiếp theo sẽ là những thông tin về thời tiết, chị Hương Liên mời chị cung cấp cho khán giả truyền hình về tình hình mưa lũ tại miền Trung.","Tiếp theo sẽ là những thông tin về thời tiết, chị Hương Liên mời chị cung cấp cho khán giả truyền hình về tình hình mưa lũ tại miền Trung.","Tiếp theo sẽ là những thông tin về thời tiết, chị Hương Liên mời chị cung cấp cho khán giả truyền hình về tình hình mưa lũ tại miền Trung.",OK,HIGH
Lhjbzn5Zer8,1,8.0,15.0,7.0,"Vâng anh Dương, mưa lớn đã chấm dứt, các hồ chứa thủy điện, thủy lợi thì đang giảm dần lượng nước điều tiết nên lũ trên các sông xuống dần.","Vâng anh Dương, mưa lớn đã chấm dứt, các hồ chứa thủy điện, thủy lợi thì đang giảm dần lượng nước điều tiết nên lũ trên các sông xuống dần.","Vâng anh Dương, mưa lớn đã chấm dứt, các hồ chứa thủy điện, thủy lợi thì đang giảm dần lượng nước điều tiết nên lũ trên các sông xuống dần.",OK,HIGH
Lhjbzn5Zer8,2,15.0,23.0,8.0,Nếu buổi sáng cả sông Côn Bình Định và sông Ba Phú Yên đều cảnh báo lũ khẩn cấp thì sang chiều con nước đã rút nhanh.,Nếu buổi sáng cả sông Côn Bình Định và sông Ba Phú Yên đều cảnh báo lũ khẩn cấp thì sang chiều con nước đã rút nhanh.,Nếu buổi sáng cả sông Côn Bình Định và sông Ba Phú Yên đều cảnh báo lũ khẩn cấp thì sang chiều con nước đã rút nhanh.,OK,HIGH
Lhjbzn5Zer8,3,23.0,30.0,7.0,"Mực nước sông Côn rút hơn nửa mét, mực nước sông Ba thì rút khoảng 1-1,5m xuống dưới báo động 3.","Mực nước sông Côn rút hơn nửa mét, mực nước sông Ba thì rút khoảng 1-1,5m xuống dưới báo động 3.","Mực nước sông Côn rút hơn nửa mét, mực nước sông Ba thì rút khoảng 1-1,5m xuống dưới báo động 3.",OK,HIGH
Lhjbzn5Zer8,4,30.0,34.0,4.0,Dự báo những giờ tới lũ sẽ tiếp tục giảm dần.,Dự báo những giờ tới lũ sẽ tiếp tục giảm dần.,Dự báo những giờ tới lũ sẽ tiếp tục giảm dần.,OK,HIGH
Lhjbzn5Zer8,5,34.0,41.0,7.0,"Sang ngày mai, sông Côn xuống con cách báo động 2 là 20cm, còn sông Ba dưới mức báo động 1.","Sang ngày mai, sông Côn xuống con cách báo động 2 là 20cm, còn sông Ba dưới mức báo động 1.","Sang ngày mai, sông Côn xuống con cách báo động 2 là 20cm, còn sông Ba dưới mức báo động 1.",OK,HIGH
Lhjbzn5Zer8,6,41.0,44.0,3.0,Nước ngập tại các vùng lụt cơ bản sẽ rút hết.,Nước ngập tại các vùng lụt cơ bản sẽ rút hết.,Nước ngập tại các vùng lụt cơ bản sẽ rút hết.,OK,HIGH
Lhjbzn5Zer8,7,44.0,48.0,4.0,"Với những nơi nước đã rút hoàn toàn, bà con có thể dọn dẹp nhà cửa.","Với những nơi nước đã rút hoàn toàn, bà con có thể dọn dẹp nhà cửa.","Với những nơi nước đã rút hoàn toàn, bà con có thể dọn dẹp nhà cửa.",OK,HIGH
Lhjbzn5Zer8,8,48.0,52.0,4.0,"Khi dọn dẹp, việc đầu tiên cần phải chú ý đó là an toàn điện.","Khi dọn dẹp, việc đầu tiên cần phải chú ý đó là an toàn điện.","Khi dọn dẹp, việc đầu tiên cần phải chú ý đó là an toàn điện.",OK,HIGH
Lhjbzn5Zer8,9,52.0,56.0,4.0,"Bởi nếu bất cần, có thể bị điện giật, nguy hiểm đến tính mạng.","Bởi nếu bất cần, có thể bị điện giật, nguy hiểm đến tính mạng.","Bởi nếu bất cần, có thể bị điện giật, nguy hiểm đến tính mạng.",OK,HIGH
Lhjbzn5Zer8,10,56.0,59.0,3.0,Kiểm tra thật kỹ xem những thiết bị nào đang bị ẩm.,Kiểm tra thật kỹ xem những thiết bị nào đang bị ẩm.,Kiểm tra thật kỹ xem những thiết bị nào đang bị ẩm.,OK,HIGH
Lhjbzn5Zer8,11,59.0,62.0,3.0,Cách giải quyết là xấy khô toàn bộ.,Cách giải quyết là xấy khô toàn bộ.,Cách giải quyết là xấy khô toàn bộ.,OK,HIGH
Lhjbzn5Zer8,12,62.0,66.0,4.0,Hãy chắc chắn rằng các thiết bị điện đều phải khô ráo trước khi sử dụng.,Hãy chắc chắn rằng các thiết bị điện đều phải khô ráo trước khi sử dụng.,Hãy chắc chắn rằng các thiết bị điện đều phải khô ráo trước khi sử dụng.,OK,HIGH
Lhjbzn5Zer8,13,67.0,71.0,4.0,"Còn tại miền Bắc, không khí lạnh liên tục bổ sung xuống, gây nắng hanh ban ngày.","Còn tại miền Bắc, không khí lạnh liên tục bổ sung xuống, gây nắng hanh ban ngày.","Còn tại miền Bắc, không khí lạnh liên tục bổ sung xuống, gây nắng hanh ban ngày.",OK,HIGH
Lhjbzn5Zer8,14,71.0,74.0,3.0,"Còn về đêm sáng sớm, trời lại rét sâu.","Còn về đêm sáng sớm, trời lại rét sâu.","Còn về đêm sáng sớm, trời lại rét sâu.",OK,HIGH
Lhjbzn5Zer8,15,74.0,79.0,5.0,Nhiệt độ thấp nhất đêm nay tại Hà Nội và các nơi khác phổ biến từ 10 đến 14 độ.,Nhiệt độ thấp nhất đêm nay tại Hà Nội và các nơi khác phổ biến từ 10 đến 14 độ.,Nhiệt độ thấp nhất đêm nay tại Hà Nội và các nơi khác phổ biến từ 10 đến 14 độ.,OK,HIGH
