video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
MqwHTOPoBSY,0,1.0,4.0,3.0,Còn bây giờ sẽ là những thông tin dự báo thời tiết. Anh Tùng,Còn bây giờ sẽ là những thông tin dự báo thời tiết từ anh Tùng.,Còn bây giờ sẽ là những thông tin dự báo thời tiết từ anh Tùng.,OK,MEDIUM
MqwHTOPoBSY,1,4.0,8.0,4.0,"Ở miền Trung ngày hôm nay cũng nắng ráo rồi, không biết là lũ trên các sông hiện giờ như thế nào?","Miền Trung hôm nay đã nắng ráo, nhưng lũ trên các sông hiện giờ như thế nào?","Miền Trung hôm nay đã nắng ráo, nhưng lũ trên các sông hiện giờ như thế nào?",OK,HIGH
MqwHTOPoBSY,2,8.0,13.0,5.0,"Thưa anh, tính đến chiều ngày hôm nay thì lũ trên hầu hết các sông đều xuống dưới mức báo động rồi ạ.","Tính đến chiều nay, lũ trên hầu hết các sông đã xuống dưới mức báo động.","Tính đến chiều nay, lũ trên hầu hết các sông đã xuống dưới mức báo động.",OK,HIGH
MqwHTOPoBSY,3,13.0,17.0,4.0,Chúng ta chỉ có lưu ý là ở sông Kiến Giang của Quảng Bình thì nước rút chậm.,"Chúng ta cần lưu ý rằng tại sông Kiến Giang ở Quảng Bình, nước rút chậm.","Chúng ta cần lưu ý rằng tại sông Kiến Giang ở Quảng Bình, nước rút chậm.",OK,HIGH
MqwHTOPoBSY,4,17.0,23.0,6.0,Đến chiều ngày hôm nay thì mực nước tại trạm Lệ Thủy vẫn còn cao trên báo động 3 là khoảng 23cm.,"Đến chiều hôm nay, mực nước tại trạm Lệ Thủy vẫn còn cao trên mức báo động 3 khoảng 23 cm.","Đến chiều hôm nay, mực nước tại trạm Lệ Thủy vẫn còn cao trên mức báo động 3 khoảng 23 cm.",OK,HIGH
MqwHTOPoBSY,5,23.0,28.0,5.0,Và theo dự kiến là đến sáng mai tiếp tục giảm thêm được nửa mét nữa xuống dưới mức báo động 3.,"Dự kiến đến sáng mai, mực nước sẽ tiếp tục giảm thêm nửa mét nữa, xuống dưới mức báo động 3.","Dự kiến đến sáng mai, mực nước sẽ tiếp tục giảm thêm nửa mét nữa, xuống dưới mức báo động 3.",OK,HIGH
MqwHTOPoBSY,6,28.0,34.0,6.0,Mực nước sông Kiến Giang rút chậm như vậy nên là lụt vẫn tiếp diễn ở 2 huyện là Lệ Thủy và Quảng Ninh của Quảng Bình.,"Mực nước sông Kiến Giang rút chậm, do đó lũ vẫn tiếp diễn ở hai huyện Lệ Thủy và Quảng Ninh của Quảng Bình.","Mực nước sông Kiến Giang rút chậm, do đó lũ vẫn tiếp diễn ở hai huyện Lệ Thủy và Quảng Ninh của Quảng Bình.",OK,HIGH
MqwHTOPoBSY,7,34.0,38.0,4.0,"Hiện tại vẫn còn hàng chục ngàn ngôi nhà bị ngập, người dân phải di chuyển bằng thuyền.","Hiện tại, vẫn còn hàng chục nghìn ngôi nhà bị ngập, buộc người dân phải di chuyển bằng thuyền.","Hiện tại, vẫn còn hàng chục nghìn ngôi nhà bị ngập, buộc người dân phải di chuyển bằng thuyền.",OK,HIGH
MqwHTOPoBSY,8,38.0,42.0,4.0,Dự kiến khoảng 3 đến 4 ngày nữa thì nước mới rút hoàn toàn.,"Dự kiến khoảng 3 đến 4 ngày nữa, nước mới rút hoàn toàn.","Dự kiến khoảng 3 đến 4 ngày nữa, nước mới rút hoàn toàn.",OK,HIGH
MqwHTOPoBSY,9,42.0,47.0,5.0,"Bà con nên tuân thủ hướng dẫn của chính quyền địa phương, không vội trở về nhà khi mà chưa đảm bảo an toàn.",Bà con cần tuân thủ hướng dẫn của chính quyền địa phương và không nên vội trở về nhà khi chưa đảm bảo an toàn.,Bà con cần tuân thủ hướng dẫn của chính quyền địa phương và không nên vội trở về nhà khi chưa đảm bảo an toàn.,OK,HIGH
MqwHTOPoBSY,10,47.0,52.0,5.0,Riêng ở các vùng núi thì cần phải tiếp tục cảnh giác với hiện tiện sạt lở và sụt lốn các sơn đồi núi,"Riêng ở các vùng núi, cần tiếp tục cảnh giác với hiện tượng sạt lở và sụt lún ở các sơn đồi núi cũng như các tuyến đường giao thông sau mưa.",Riêng ở các vùng núi thì cần phải tiếp tục cảnh giác với hiện tiện sạt lở và sụt lốn các sơn đồi núi,REVERT,LOW
MqwHTOPoBSY,11,52.0,54.0,2.0,và các tuyến đường giao thông sau mưa.,"Các vùng núi cần tiếp tục cảnh giác với hiện tượng sạt lở, sụt lún và tình trạng giao thông sau mưa.",và các tuyến đường giao thông sau mưa.,REVERT,HIGH
MqwHTOPoBSY,12,55.0,61.0,6.0,"Với những vùng nước đã rút hết thì việc cần làm nhất lúc này đó là dọn dẹp nhà cửa, môi trường và cửa trung nước tránh bùng phát dịch bệnh.","Với những vùng nước đã rút hết, việc cần làm nhất lúc này là dọn dẹp nhà cửa, môi trường và các khu vực chứa nước để tránh bùng phát dịch bệnh.","Với những vùng nước đã rút hết, việc cần làm nhất lúc này là dọn dẹp nhà cửa, môi trường và các khu vực chứa nước để tránh bùng phát dịch bệnh.",OK,HIGH
MqwHTOPoBSY,13,61.0,71.0,10.0,"Dự báo là ngày mai thì trời tiếp tục nắng ráo với nhiệt độ cao nhất ở các thành phố Hà Tĩnh, Đồng Hới, Đông Hà hay Huế là từ 27-29 độ.","Dự báo ngày mai, thời tiết tiếp tục nắng ráo với nhiệt độ cao nhất tại các thành phố Hà Tĩnh, Đồng Hới, Đông Hà và Huế dao động từ 27 đến 29 độ.","Dự báo ngày mai, thời tiết tiếp tục nắng ráo với nhiệt độ cao nhất tại các thành phố Hà Tĩnh, Đồng Hới, Đông Hà và Huế dao động từ 27 đến 29 độ.",OK,HIGH
MqwHTOPoBSY,14,71.0,77.0,6.0,Còn về cơn bão số 8 thì hiện nay nó đang di chuyển chậm và hướng về phía huyện đảo Hoàng Sa.,Cơn bão số 8 hiện đang di chuyển chậm và hướng về phía huyện đảo Hoàng Sa.,Cơn bão số 8 hiện đang di chuyển chậm và hướng về phía huyện đảo Hoàng Sa.,OK,HIGH
MqwHTOPoBSY,15,77.0,84.0,7.0,"Trong khoảng từ nay cho đến thứ bảy là lúc cơn bão này có cường độ mạnh nhất. Nó có thể mạnh cấp 11, cấp 12, dật cấp 14.","Trong khoảng thời gian từ nay đến thứ Bảy, cơn bão này sẽ đạt cường độ mạnh nhất, có thể lên đến cấp 11, cấp 12, và giật cấp 14.","Trong khoảng thời gian từ nay đến thứ Bảy, cơn bão này sẽ đạt cường độ mạnh nhất, có thể lên đến cấp 11, cấp 12, và giật cấp 14.",OK,HIGH
