id,start,end,duration,text_len,text,video_id
0,1.0,4.0,3.0,60,Còn bây giờ sẽ là những thông tin dự báo thời tiết. Anh Tùng,MqwHTOPoBSY
1,4.0,8.0,4.0,97,"Ở miền Trung ngày hôm nay cũng nắng ráo rồi, không biết là lũ trên các sông hiện giờ như thế nào?",MqwHTOPoBSY
2,8.0,13.0,5.0,101,"Thưa anh, tính đến chiều ngày hôm nay thì lũ trên hầu hết các sông đều xuống dưới mức báo động rồi ạ.",MqwHTOPoBSY
3,13.0,17.0,4.0,76,Chúng ta chỉ có lưu ý là ở sông Kiến Giang của Quảng Bình thì nước rút chậm.,MqwHTOPoBSY
4,17.0,23.0,6.0,96,Đến chiều ngày hôm nay thì mực nước tại trạm Lệ Thủy vẫn còn cao trên báo động 3 là khoảng 23cm.,MqwHTOPoBSY
5,23.0,28.0,5.0,94,Và theo dự kiến là đến sáng mai tiếp tục giảm thêm được nửa mét nữa xuống dưới mức báo động 3.,MqwHTOPoBSY
6,28.0,34.0,6.0,117,Mực nước sông Kiến Giang rút chậm như vậy nên là lụt vẫn tiếp diễn ở 2 huyện là Lệ Thủy và Quảng Ninh của Quảng Bình.,MqwHTOPoBSY
7,34.0,38.0,4.0,87,"Hiện tại vẫn còn hàng chục ngàn ngôi nhà bị ngập, người dân phải di chuyển bằng thuyền.",MqwHTOPoBSY
8,38.0,42.0,4.0,59,Dự kiến khoảng 3 đến 4 ngày nữa thì nước mới rút hoàn toàn.,MqwHTOPoBSY
9,42.0,47.0,5.0,107,"Bà con nên tuân thủ hướng dẫn của chính quyền địa phương, không vội trở về nhà khi mà chưa đảm bảo an toàn.",MqwHTOPoBSY
10,47.0,52.0,5.0,100,Riêng ở các vùng núi thì cần phải tiếp tục cảnh giác với hiện tiện sạt lở và sụt lốn các sơn đồi núi,MqwHTOPoBSY
11,52.0,54.0,2.0,38,và các tuyến đường giao thông sau mưa.,MqwHTOPoBSY
12,55.0,61.0,6.0,139,"Với những vùng nước đã rút hết thì việc cần làm nhất lúc này đó là dọn dẹp nhà cửa, môi trường và cửa trung nước tránh bùng phát dịch bệnh.",MqwHTOPoBSY
13,61.0,71.0,10.0,134,"Dự báo là ngày mai thì trời tiếp tục nắng ráo với nhiệt độ cao nhất ở các thành phố Hà Tĩnh, Đồng Hới, Đông Hà hay Huế là từ 27-29 độ.",MqwHTOPoBSY
14,71.0,77.0,6.0,92,Còn về cơn bão số 8 thì hiện nay nó đang di chuyển chậm và hướng về phía huyện đảo Hoàng Sa.,MqwHTOPoBSY
15,77.0,84.0,7.0,120,"Trong khoảng từ nay cho đến thứ bảy là lúc cơn bão này có cường độ mạnh nhất. Nó có thể mạnh cấp 11, cấp 12, dật cấp 14.",MqwHTOPoBSY
16,84.0,88.0,4.0,95,Trước mắt thì vấn đề quan trọng nhất đó là cần phải đảm bảo an toàn cho tàu thuyền ở trên biển.,MqwHTOPoBSY
17,88.0,96.0,8.0,123,"Vùng nguy hiểm trên biển Đông được xác định là từ vị tuyến 15 cho đến 20 độ vị Bắc, từ kinh tuyến 112 đến 118 độ kinh Đông.",MqwHTOPoBSY
18,96.0,103.0,7.0,126,Tàu thuyền cần phải theo dõi liên tục diễn biến của cơn bão này để chủ động di chuyển và tránh đi vào vùng biển nguy hiểm này.,MqwHTOPoBSY
19,103.0,107.0,4.0,110,Còn bây giờ chúng tôi sẽ được chuyển sang phần dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,MqwHTOPoBSY
20,108.0,111.0,3.0,57,"Thành phố Đồng Hới đêm nay không mưa, trời rét nhẹ 18 độ.",MqwHTOPoBSY
21,111.0,115.0,4.0,48,"Ngày mai thì trời nắng, nhiệt độ tăng lên 28 độ.",MqwHTOPoBSY
22,116.0,119.0,3.0,59,"Thành phố Hồ Chí Minh đêm nay trời tạnh ráo, dịu mát 26 độ.",MqwHTOPoBSY
23,119.0,123.0,4.0,49,"Sáng đến chiều mai trời nắng, nhiệt độ cao 33 độ.",MqwHTOPoBSY
24,123.0,126.0,3.0,52,"Vì chiều tối sẽ có mưa rào nhẹ, cục bộ và rất nhanh.",MqwHTOPoBSY
25,127.0,129.0,2.0,36,Thủ đô Hà Nội đêm nay rét nhẹ 18 độ.,MqwHTOPoBSY
26,129.0,131.0,2.0,30,Ngày mai thì nắng thanh 30 độ.,MqwHTOPoBSY
27,131.0,135.0,4.0,55,"Không khí rất khô, độ ẩm giảm xuống chỉ còn khoảng 30%.",MqwHTOPoBSY
