video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
NOmkG6hqS80,0,0.0,7.0,7.0,"Thưa quý vị, ngày mai là ngày nghỉ lễ cuối cùng rồi, rất đông người dân sẽ di chuyển về các thành phố lớn. Không biết là thời tiết có thuận lợi hay không?","Thưa quý vị, ngày mai là ngày nghỉ lễ cuối cùng rồi, rất đông người dân sẽ di chuyển về các thành phố lớn. Không biết là thời tiết có thuận lợi hay không?","Thưa quý vị, ngày mai là ngày nghỉ lễ cuối cùng rồi, rất đông người dân sẽ di chuyển về các thành phố lớn. Không biết là thời tiết có thuận lợi hay không?",OK,HIGH
NOmkG6hqS80,1,7.0,12.0,5.0,"Chị Xuân Anh, không biết là ngày mai thì thời tiết ở những khu vực nào trên cả nước có đáng chú ý hả chị?","Chị Xuân Anh, không biết là ngày mai thì thời tiết ở những khu vực nào trên cả nước có đáng chú ý hả chị?","Chị Xuân Anh, không biết là ngày mai thì thời tiết ở những khu vực nào trên cả nước có đáng chú ý hả chị?",OK,HIGH
NOmkG6hqS80,2,12.0,17.0,5.0,"Vâng, ngày mai thì có lẽ đáng chú ý nhất sẽ là ở phía Nam vì là người dân có thể gặp bất tiện khi mà trời có mưa giông mạnh.","Vâng, ngày mai thì có lẽ đáng chú ý nhất sẽ là ở phía Nam vì là người dân có thể gặp bất tiện khi mà trời có mưa giông mạnh.","Vâng, ngày mai thì có lẽ đáng chú ý nhất sẽ là ở phía Nam vì là người dân có thể gặp bất tiện khi mà trời có mưa giông mạnh.",OK,HIGH
NOmkG6hqS80,3,17.0,22.0,5.0,Còn đối với miền Bắc hay là miền Trung thì thời tiết lại khá thuận lợi trong việc đi lại của người dân. Anh Quốc Anh ạ!,Còn đối với miền Bắc hay là miền Trung thì thời tiết lại khá thuận lợi trong việc đi lại của người dân. Anh Quốc Anh ạ!,Còn đối với miền Bắc hay là miền Trung thì thời tiết lại khá thuận lợi trong việc đi lại của người dân. Anh Quốc Anh ạ!,OK,HIGH
NOmkG6hqS80,4,22.0,34.0,12.0,"Thưa quý vị, thông tin cụ thể là trước tiên đó là ở khu vực phía Nam thì dự báo rằng là khả năng về chiều tối ngày mai sẽ xảy ra mưa giông trên diện rộng ở cả Tây Nguyên và Nam Bộ.","Thưa quý vị, thông tin cụ thể là trước tiên đó là ở khu vực phía Nam thì dự báo rằng là khả năng về chiều tối ngày mai sẽ xảy ra mưa giông trên diện rộng ở cả Tây Nguyên và Nam Bộ.","Thưa quý vị, thông tin cụ thể là trước tiên đó là ở khu vực phía Nam thì dự báo rằng là khả năng về chiều tối ngày mai sẽ xảy ra mưa giông trên diện rộng ở cả Tây Nguyên và Nam Bộ.",OK,HIGH
NOmkG6hqS80,5,34.0,47.0,13.0,"Khả năng là trong đó mưa to sẽ tập trung tại các khu vực như là Đắk Lắc, Đắk Nông, Lâm Đồng hay là miền Đông Nam Bộ bao gồm thành phố Hồ Chí Minh và một số nơi của miền Tây như là Cần Thơ hay là Đồng Tháp, Kiên Giang.","Khả năng là trong đó mưa to sẽ tập trung tại các khu vực như là Đắk Lắc, Đắk Nông, Lâm Đồng hay là miền Đông Nam Bộ bao gồm thành phố Hồ Chí Minh và một số nơi của miền Tây như là Cần Thơ hay là Đồng Tháp, Kiên Giang.","Khả năng là trong đó mưa to sẽ tập trung tại các khu vực như là Đắk Lắc, Đắk Nông, Lâm Đồng hay là miền Đông Nam Bộ bao gồm thành phố Hồ Chí Minh và một số nơi của miền Tây như là Cần Thơ hay là Đồng Tháp, Kiên Giang.",OK,HIGH
NOmkG6hqS80,6,47.0,51.0,4.0,"Nguy cơ mưa còn kèm theo cả tố lốc, sấm xét hay là gió giật mạnh nữa.","Nguy cơ mưa còn kèm theo cả tố lốc, sấm xét hay là gió giật mạnh nữa.","Nguy cơ mưa còn kèm theo cả tố lốc, sấm xét hay là gió giật mạnh nữa.",OK,HIGH
NOmkG6hqS80,7,51.0,56.0,5.0,Tâm lý của nhiều người khi mà gặp trời mưa đó là cố gắng lái xe thật nhanh để tránh bị ướt.,Tâm lý của nhiều người khi mà gặp trời mưa đó là cố gắng lái xe thật nhanh để tránh bị ướt.,Tâm lý của nhiều người khi mà gặp trời mưa đó là cố gắng lái xe thật nhanh để tránh bị ướt.,OK,HIGH
NOmkG6hqS80,8,56.0,62.0,6.0,Tuy nhiên lúc này mặt đường trơn trượt và độ bám đường của lốt bị kém đi sẽ tiềm ẩn tai nạn khi mà chúng ta phanh gấp.,Tuy nhiên lúc này mặt đường trơn trượt và độ bám đường của lốt bị kém đi sẽ tiềm ẩn tai nạn khi mà chúng ta phanh gấp.,Tuy nhiên lúc này mặt đường trơn trượt và độ bám đường của lốt bị kém đi sẽ tiềm ẩn tai nạn khi mà chúng ta phanh gấp.,OK,HIGH
NOmkG6hqS80,9,62.0,70.0,8.0,Bởi vậy quý vị chú ý điều khiển phương tiện với tốc độ vừa phải và nên mặc áo mưa bộ cho gọn gàng để có thể dễ dàng quan sát xung quanh.,Bởi vậy quý vị chú ý điều khiển phương tiện với tốc độ vừa phải và nên mặc áo mưa bộ cho gọn gàng để có thể dễ dàng quan sát xung quanh.,Bởi vậy quý vị chú ý điều khiển phương tiện với tốc độ vừa phải và nên mặc áo mưa bộ cho gọn gàng để có thể dễ dàng quan sát xung quanh.,OK,HIGH
