id,start,end,duration,text_len,text,video_id
0,0.0,7.0,7.0,154,"Thưa quý vị, ngày mai là ngày nghỉ lễ cuối cùng rồi, rất đông người dân sẽ di chuyển về các thành phố lớn. Không biết là thời tiết có thuận lợi hay không?",NOmkG6hqS80
1,7.0,12.0,5.0,105,"Chị Xuân Anh, không biết là ngày mai thì thời tiết ở những khu vực nào trên cả nước có đáng chú ý hả chị?",NOmkG6hqS80
2,12.0,17.0,5.0,124,"Vâng, ngày mai thì có lẽ đáng chú ý nhất sẽ là ở phía Nam vì là người dân có thể gặp bất tiện khi mà trời có mưa giông mạnh.",NOmkG6hqS80
3,17.0,22.0,5.0,119,Còn đối với miền Bắc hay là miền Trung thì thời tiết lại khá thuận lợi trong việc đi lại của người dân. Anh Quốc Anh ạ!,NOmkG6hqS80
4,22.0,34.0,12.0,180,"Thưa quý vị, thông tin cụ thể là trước tiên đó là ở khu vực phía Nam thì dự báo rằng là khả năng về chiều tối ngày mai sẽ xảy ra mưa giông trên diện rộng ở cả Tây Nguyên và Nam Bộ.",NOmkG6hqS80
5,34.0,47.0,13.0,217,"Khả năng là trong đó mưa to sẽ tập trung tại các khu vực như là Đắk Lắc, Đắk Nông, Lâm Đồng hay là miền Đông Nam Bộ bao gồm thành phố Hồ Chí Minh và một số nơi của miền Tây như là Cần Thơ hay là Đồng Tháp, Kiên Giang.",NOmkG6hqS80
6,47.0,51.0,4.0,69,"Nguy cơ mưa còn kèm theo cả tố lốc, sấm xét hay là gió giật mạnh nữa.",NOmkG6hqS80
7,51.0,56.0,5.0,91,Tâm lý của nhiều người khi mà gặp trời mưa đó là cố gắng lái xe thật nhanh để tránh bị ướt.,NOmkG6hqS80
8,56.0,62.0,6.0,118,Tuy nhiên lúc này mặt đường trơn trượt và độ bám đường của lốt bị kém đi sẽ tiềm ẩn tai nạn khi mà chúng ta phanh gấp.,NOmkG6hqS80
9,62.0,70.0,8.0,136,Bởi vậy quý vị chú ý điều khiển phương tiện với tốc độ vừa phải và nên mặc áo mưa bộ cho gọn gàng để có thể dễ dàng quan sát xung quanh.,NOmkG6hqS80
10,70.0,77.0,7.0,113,Vì nếu như mặc áo mưa xảy tà thì tà phía trước của xe có thể là sẽ bị hất lên phía trước và làm cản trở tầm nhìn.,NOmkG6hqS80
11,77.0,88.0,11.0,162,"Trở ra khu vực miền trung, thời tiết đang có xu hướng tốt lên, mưa chỉ còn xảy ra ở khu vực từ Quảng Bình trở vào cho tới Quảng Nam và vào giờ sáng ngày mai thôi.",NOmkG6hqS80
12,88.0,92.0,4.0,86,Còn trong ngày mai thì tại khu vực này vẫn sẽ tạnh giáo và việc di chuyển sẽ xuyên xẻ.,NOmkG6hqS80
13,92.0,101.0,9.0,139,Đối với các khu vực còn lại là từ Thanh Hóa đến Hà Tĩnh hay là từ Quảng Ngãi trở vào tới Bình Thuận thì chơi không mưa và còn nắng cả ngày.,NOmkG6hqS80
14,101.0,107.0,6.0,60,Nhiệt độ lần lượt ở hai khu vực này là 27-29 độ và 28-33 độ.,NOmkG6hqS80
15,107.0,112.0,5.0,64,"Ở khu vực Bắc Bộ, ngày mai nắng từ sớm và kéo dài cho tới chiều.",NOmkG6hqS80
16,112.0,115.0,3.0,61,"Buổi sáng thì ở đây trời dịu mát, đến chiều thì lại hơi nóng.",NOmkG6hqS80
17,115.0,121.0,6.0,81,Nhiệt độ cao nhất ở thủ đô Hà Nội và hầu khắp toàn miền trong khoảng từ 26-30 độ.,NOmkG6hqS80
18,121.0,126.0,5.0,91,Cuối cùng sẽ là phần dự báo chi tiết cho một số nơi trên cả nước trong đêm nay và ngày mai.,NOmkG6hqS80
19,126.0,129.0,3.0,45,Với Sapa không mưa vào đêm nay trời rét 9 độ.,NOmkG6hqS80
20,129.0,132.0,3.0,51,Ngày mai còn nắng đẹp với nhiệt độ không quá 14 độ.,NOmkG6hqS80
21,134.0,138.0,4.0,66,"Đà Lạt do địa hình cao, đêm nay cũng khá rét 16 độ trời tạnh giáo.",NOmkG6hqS80
22,139.0,143.0,4.0,70,Ngày mai lưu ý mưa rông từ chiều đến tối với nhiệt độ không quá 25 độ.,NOmkG6hqS80
23,145.0,150.0,5.0,84,Cần Thơ đêm nay và chiều tối ngày mai có mưa rông dễ đi kèm với gió giật và sớm xét.,NOmkG6hqS80
24,150.0,154.0,4.0,69,Buổi sáng có khoảng tạnh giáo với nhiệt độ cao nhất trong ngày 32 độ.,NOmkG6hqS80
25,159.0,163.0,4.0,66,Hãy đăng kí cho kênh lalaschool Để không bỏ lỡ những video hấp dẫn,NOmkG6hqS80
