video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
PU1K7CGfyf4,0,0.0,5.0,5.0,"Thưa quý vị, thông tin từ lãnh đạo Ủy ban Nhân dân huyện Phước Sơn, tỉnh Quảng Nam.","Thưa quý vị, theo thông tin từ lãnh đạo Ủy ban Nhân dân huyện Phước Sơn, tỉnh Quảng Nam, sáng nay tại thôn 6 xã Phước Lộc, giáp với tỉnh Kon Tum, đã xảy ra một điểm sạt lở vùi lấp 11 người.","Thưa quý vị, thông tin từ lãnh đạo Ủy ban Nhân dân huyện Phước Sơn, tỉnh Quảng Nam.",REVERT,HIGH
PU1K7CGfyf4,1,5.0,12.0,7.0,"Sáng nay, tại thôn 6 của xã Phước Lộc giáp với cả tỉnh Con Tum đã xuất hiện một điểm sạt lở vùi lấp 11 người.","Sáng nay, tại thôn 6 của xã Phước Lộc, giáp với tỉnh Kon Tum, đã xảy ra một vụ sạt lở vùi lấp 11 người.","Sáng nay, tại thôn 6 của xã Phước Lộc, giáp với tỉnh Kon Tum, đã xảy ra một vụ sạt lở vùi lấp 11 người.",OK,HIGH
PU1K7CGfyf4,2,12.0,19.0,7.0,Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu Bộ Chỉ huy Bộ đội Biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,"Tỉnh ủy Quảng Nam đã yêu cầu Bộ Chỉ huy Bộ đội Biên phòng tỉnh tiếp cận hiện trường vụ sạt lở xảy ra sáng nay tại thôn 6, xã Phước Lộc, huyện Phước Sơn, nơi có 11 người bị vùi lấp.",Tỉnh ủy Quảng Nam ngay trong sáng nay đã yêu cầu Bộ Chỉ huy Bộ đội Biên phòng tỉnh tiếp cận hiện trường vụ sạt lở.,REVERT,HIGH
PU1K7CGfyf4,3,19.0,25.0,6.0,"Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.","Lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp tại thôn 6, xã Phước Lộc, huyện Phước Sơn, tỉnh Quảng Nam.","Thông tin mới nhất, lực lượng tại chỗ của thôn đã tìm thấy 3 thi thể trong số 11 người bị vùi lấp nói trên.",REVERT,HIGH
PU1K7CGfyf4,4,25.0,28.0,3.0,"Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra.","Như vậy, chỉ trong thời gian ngắn đã xảy ra liên tiếp các sự kiện đáng chú ý.","Như vậy, chỉ trong một thời gian ngắn đã liên tiếp xảy ra.",REVERT,LOW
PU1K7CGfyf4,5,30.0,37.0,7.0,"Thưa quý vị, một thông tin tốt mà chúng tôi mới nhận được từ vụ sạt lở đất tại xã Trà Leng, huyện Nam Trà My, tỉnh Quảng Nam.","Thưa quý vị, một thông tin tích cực vừa được cập nhật từ vụ sạt lở đất tại xã Trà Leng, huyện Nam Trà My, tỉnh Quảng Nam, đến 16 giờ chiều nay, lực lượng chức năng đã tìm thấy 3 người và đưa 8 người bị thương về trung tâm y tế huyện Bắc Trà My, tuy nhiên vẫn còn 13 người đang mất tích.","Thưa quý vị, một thông tin tốt mà chúng tôi mới nhận được từ vụ sạt lở đất tại xã Trà Leng, huyện Nam Trà My, tỉnh Quảng Nam.",REVERT,HIGH
PU1K7CGfyf4,6,37.0,44.0,7.0,"Đến 16 giờ chiều nay, lực lượng chức năng đã tìm được 3 măng đã đưa 8 người bị thương về đến trung tâm y tế huyện Bắc Trà My.","Đến 16 giờ chiều nay, lực lượng chức năng đã tìm thấy 3 thi thể và đưa 8 người bị thương về đến trung tâm y tế huyện Bắc Trà My, trong khi vẫn còn 13 người đang mất tích trong vụ sạt lở.","Đến 16 giờ chiều nay, lực lượng chức năng đã tìm được 3 măng đã đưa 8 người bị thương về đến trung tâm y tế huyện Bắc Trà My.",REVERT,LOW
PU1K7CGfyf4,7,44.0,48.0,4.0,Như vậy là vẫn còn 13 người đang mất tích trong vụ sạt lở này.,"Hiện vẫn còn 13 người mất tích trong vụ sạt lở tại xã Phước Lộc, huyện Phước Sơn, tỉnh Quảng Nam.",Như vậy là vẫn còn 13 người đang mất tích trong vụ sạt lở này.,REVERT,HIGH
PU1K7CGfyf4,8,48.0,51.0,3.0,Chúng tôi sẽ cập nhật tình hình cứu nạn trong các bản tin sau.,Chúng tôi sẽ tiếp tục cập nhật tình hình cứu nạn trong các bản tin tiếp theo.,Chúng tôi sẽ tiếp tục cập nhật tình hình cứu nạn trong các bản tin tiếp theo.,OK,HIGH
PU1K7CGfyf4,9,52.0,60.0,8.0,"Ngay sau khi được lệnh của Bộ Quốc phòng, quân chủng hải quân đã điều động lực lượng của vùng 4 hải quân","Ngay sau khi nhận lệnh từ Bộ Quốc phòng, quân chủng hải quân đã điều động lực lượng từ vùng 4 hải quân để tham gia tìm kiếm tàu cá ngư dân mất tích.","Ngay sau khi được lệnh của Bộ Quốc phòng, quân chủng hải quân đã điều động lực lượng của vùng 4 hải quân",REVERT,HIGH
PU1K7CGfyf4,10,60.0,65.0,5.0,và lữ đoàn không quân hải quân 954 để tìm kiếm tàu cá ngư dân mất tích.,Quân chủng hải quân đã điều động lực lượng của vùng 4 hải quân và lữ đoàn không quân hải quân 954 để tìm kiếm tàu cá của ngư dân mất tích.,và lữ đoàn không quân hải quân 954 để tìm kiếm tàu cá ngư dân mất tích.,REVERT,LOW
PU1K7CGfyf4,11,65.0,75.0,10.0,"Đến 7 giờ sáng nay, tàu cứu hộ đã bắt đầu tổ chức lai kéo tàu cá BD-974 đến vị trí gặp nạn của tàu cá BD-963-88TS","Đến 7 giờ sáng nay, tàu cứu hộ đã bắt đầu tổ chức lai kéo tàu cá BD-974 đến vị trí gặp nạn của tàu cá BD-963-88TS để hỗ trợ tìm kiếm 12 thuyền viên đang mất tích.","Đến 7 giờ sáng nay, tàu cứu hộ đã bắt đầu tổ chức lai kéo tàu cá BD-974 đến vị trí gặp nạn của tàu cá BD-963-88TS",REVERT,HIGH
PU1K7CGfyf4,12,75.0,78.0,3.0,để hỗ trợ tìm kiếm 12 thuyền viên đang mất tích.,"Để hỗ trợ tìm kiếm 12 thuyền viên đang mất tích, quân chủng hải quân đã điều động lực lượng và tàu cứu hộ đến vị trí gặp nạn.",để hỗ trợ tìm kiếm 12 thuyền viên đang mất tích.,REVERT,HIGH
PU1K7CGfyf4,13,78.0,85.0,7.0,Quân chủng hải quân tiếp tục điều động tàu 461 và tàu 463 ra huyện trường tìm kiếm 2 tàu bình định còn lại.,Quân chủng hải quân tiếp tục điều động tàu 461 và tàu 463 ra hiện trường để tìm kiếm 2 tàu bình định còn lại.,Quân chủng hải quân tiếp tục điều động tàu 461 và tàu 463 ra hiện trường để tìm kiếm 2 tàu bình định còn lại.,OK,HIGH
