id,start,end,duration,text_len,text,video_id
0,0.0,5.0,5.0,73,Tháng 10 âm lịch hàng năm luôn là thời điểm chiều cường đạt mức cao nhất.,REYBpr_Aq0g
1,5.0,10.0,5.0,77,"Theo dự kiến, ngày hôm nay, mức chiều sẽ đạt đỉnh kỷ lục ở mức là báo động 3.",REYBpr_Aq0g
2,10.0,17.0,7.0,117,"Sống chung với chiều cường, TP.HCM đã có những ứng phó gì để giảm bớt thiệt hại do chiều cường đạt mức kỷ lục gây ra?",REYBpr_Aq0g
3,18.0,22.0,4.0,56,1m72 là mức nước chiều ở thời điểm 17h ngày 15 tháng 11.,REYBpr_Aq0g
4,22.0,26.0,4.0,44,"Mức nước này cao hơn so với dự báo là 0,04m.",REYBpr_Aq0g
5,26.0,31.0,5.0,70,"Vậy dù đã chủ động vận hành máy bơm chiều từ khi mức nước chỉ là 1m35,",REYBpr_Aq0g
6,31.0,36.0,5.0,90,"nhưng anh dân, công nhân chạm bơm Tigon dưới chân cầu Toan Thuận vẫn không thể làm gì hơn.",REYBpr_Aq0g
7,36.0,41.0,5.0,70,Đây là kinh nghiệm để ứng phó khi chiều đạt đỉnh vào ngày 16 tháng 11.,REYBpr_Aq0g
8,41.0,56.0,15.0,77,"Chạm bơm này đã giúp giảm ngập cho chiều cường tại khu vực một cách hiệu quả,",REYBpr_Aq0g
9,56.0,61.0,5.0,87,nhưng với mức nước cao kỷ lục này thì nó đã không thể giúp ông Dũng tránh khỏi tai nạn.,REYBpr_Aq0g
10,61.0,65.0,4.0,63,Vì nước chiều cường vừa mạnh vừa che lấp những ổ gà trên đường.,REYBpr_Aq0g
11,65.0,70.0,5.0,86,"Từ quận Gò Vấp lên chợ hàng, ông Dũng đã không kịp trở tay với mức nước dần rất nhanh.",REYBpr_Aq0g
12,71.0,74.0,3.0,49,"Trong chân nó nghiêng nó té, tính quay lại nó té.",REYBpr_Aq0g
13,74.0,76.0,2.0,36,Tôi đâu có biết hôm nay ngập dữ vậy.,REYBpr_Aq0g
14,76.0,79.0,3.0,43,Chứ mỗi lần đâu cũng ngập mà đâu có dữ vậy.,REYBpr_Aq0g
15,81.0,86.0,5.0,75,"Tôi thấy mỗi lần tôi cũng chạy ngập, ngập mà nó đâu có ngập hơn nửa xe đâu.",REYBpr_Aq0g
16,87.0,92.0,5.0,79,Tai nạn xảy ra liên tục khi vẫn có người mạo hiểm chạy lên vỉa hè cho bớt ngập.,REYBpr_Aq0g
17,92.0,98.0,6.0,87,"Nước cao đến mức, ngay cả xe hơi gầm cao chuẩn bị vào đường ngập đều tìm cách quay đầu.",REYBpr_Aq0g
18,98.0,102.0,4.0,59,Còn ai đã lỡ chạy vào thì đành gọi điện cầu cứu người thân.,REYBpr_Aq0g
19,102.0,107.0,5.0,119,"Chiều cường lên theo giờ, vì vậy chỉ cần tránh các khung giờ được thông tin rộng rãi trên các phương tiện truyền thông,",REYBpr_Aq0g
20,107.0,112.0,5.0,64,người dân TP.HCM trong 2-3 ngày tới sẽ có không chỉ một lợi ích.,REYBpr_Aq0g
21,112.0,115.0,3.0,59,Đỉnh chiều cường sẽ xuất hiện và đúng ngay vào giờ tan tầm.,REYBpr_Aq0g
22,115.0,121.0,6.0,98,"Việc tránh đi lại trong thời điểm đó thì sẽ giữ được vừa đảm bảo an toàn cho người và phương tiện,",REYBpr_Aq0g
23,121.0,126.0,5.0,90,vừa tránh được tình trạng kẹt xe do chiều cường dâng cao gây cho việc giao thông khó khăn.,REYBpr_Aq0g
24,129.0,136.0,7.0,104,"Quý vị chắc còn nhớ những hình ảnh kinh hoàng của vụ sạt lở tại xã Trà Tân, huyện Bắc Trà My, Quảng Nam,",REYBpr_Aq0g
25,136.0,139.0,3.0,38,trên quốc lộ 40B vào ngày 11 tháng 11.,REYBpr_Aq0g
26,139.0,143.0,4.0,49,Đoàn chở hàng thiện nguyện đã bất ngờ gặp sạt lở.,REYBpr_Aq0g
27,143.0,146.0,3.0,58,Một số người thì chạy thoát nhưng một người đã bị vùi lấp.,REYBpr_Aq0g
28,146.0,152.0,6.0,95,"Sau 5 ngày, tới sáng nay lực lượng chức năng huyện Bắc Trà My đã tìm thấy thi thể của nạn nhân.",REYBpr_Aq0g
29,153.0,158.0,5.0,65,Thi thể nạn nhân được tìm thấy cách khu vực bị sạt lở khoảng 80m.,REYBpr_Aq0g
30,158.0,166.0,8.0,117,Do lượng đất đá bị sạt lở lớn nên thi thể nạn nhân bị trôi về phía dòng suối chảy xuống khu vực thủy điện Sông Tranh.,REYBpr_Aq0g
31,183.0,189.0,6.0,74,"Những ngày qua, người dân xã Trà Tân, Bắc Trà My, khu vực xảy ra bị sạt lở",REYBpr_Aq0g
32,189.0,193.0,4.0,70,đã phối hợp cùng chính quyền địa phương tìm kiếm nạn nhân bị mất tích.,REYBpr_Aq0g
33,202.0,209.0,7.0,97,"Trước đó, huyện Bắc Trà My đã hỗ trợ cho gia đình nạn nhân một phần chi phí để đưa về quê an tán.",REYBpr_Aq0g
34,213.0,217.0,4.0,69,"Sau cơn lũ lịch sử vừa qua, Quảng Bình bị hư hại tới 3.000 phòng học.",REYBpr_Aq0g
35,217.0,223.0,6.0,109,"Thế nhưng nhiều trường mới dọn dẹp trở lại, chưa kịp khắc phục hậu quả thì phải gánh chịu thêm cơn bão số 13.",REYBpr_Aq0g
36,223.0,226.0,3.0,42,"Lúc này, toàn bộ học sinh phải đi học nhờ.",REYBpr_Aq0g
37,228.0,234.0,6.0,109,"Điểm trường tiểu học Quảng Minh A, thị xã Ba Đôn, tỉnh Quảng Bình sau cơn bão số 13 đã bị tông mái hoàn toàn.",REYBpr_Aq0g
38,234.0,238.0,4.0,74,Nhiều thiết bị giảng dạy và đồ dùng học tập của trường cùng chung số phận.,REYBpr_Aq0g
