video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
SEt8SskfxCw,0,0.0,7.0,7.0,"Tiếp theo là những thông tin về diễn biến mưa rông ở khu vực Nam Bộ, nơi mà dịch Covid-19 đang diễn biến phức tạp.","Tiếp theo là những thông tin về diễn biến mưa rông ở khu vực Nam Bộ, nơi mà dịch Covid-19 đang diễn biến phức tạp.","Tiếp theo là những thông tin về diễn biến mưa rông ở khu vực Nam Bộ, nơi mà dịch Covid-19 đang diễn biến phức tạp.",OK,HIGH
SEt8SskfxCw,1,7.0,9.0,2.0,Xin mời biên tập viên Thầy Tiết Hương lên.,Xin mời biên tập viên Thầy Tiết Hương lên.,Xin mời biên tập viên Thầy Tiết Hương lên.,OK,HIGH
SEt8SskfxCw,2,9.0,11.0,2.0,Vâng anh Dương và thưa quý vị khán giả.,Vâng anh Dương và thưa quý vị khán giả.,Vâng anh Dương và thưa quý vị khán giả.,OK,HIGH
SEt8SskfxCw,3,11.0,14.0,3.0,Chiều và tối nay những cơn rông lại xuất hiện ở khu vực Nam Bộ.,Chiều và tối nay những cơn rông lại xuất hiện ở khu vực Nam Bộ.,Chiều và tối nay những cơn rông lại xuất hiện ở khu vực Nam Bộ.,OK,HIGH
SEt8SskfxCw,4,14.0,21.0,7.0,"Quan sát trên ảnh radar có thể thấy mây rông dịch chuyển và phát triển từ phía Tây sang gây mưa,","Quan sát trên ảnh radar có thể thấy mây rông dịch chuyển và phát triển từ phía Tây sang gây mưa,","Quan sát trên ảnh radar có thể thấy mây rông dịch chuyển và phát triển từ phía Tây sang gây mưa,",OK,HIGH
SEt8SskfxCw,5,21.0,27.0,6.0,"dọc từ Bình Phước xuống An Giang rồi lan sang thành phố Hồ Chí Minh, Tiền Giang, Bà Rịa, Vũng Tàu.","dọc từ Bình Phước xuống An Giang rồi lan sang thành phố Hồ Chí Minh, Tiền Giang, Bà Rịa, Vũng Tàu.","dọc từ Bình Phước xuống An Giang rồi lan sang thành phố Hồ Chí Minh, Tiền Giang, Bà Rịa, Vũng Tàu.",OK,HIGH
SEt8SskfxCw,6,27.0,32.0,5.0,"Trong đó, thành phố Hồ Chí Minh mưa rông rất mạnh còn kèm theo cả gió giật tới cấp 8.","Trong đó, thành phố Hồ Chí Minh mưa rông rất mạnh còn kèm theo cả gió giật tới cấp 8.","Trong đó, thành phố Hồ Chí Minh mưa rông rất mạnh còn kèm theo cả gió giật tới cấp 8.",OK,HIGH
SEt8SskfxCw,7,32.0,38.0,6.0,"Gió giật, rông lớp nguy hiểm như vậy và sớm xét vẫn có khả năng xảy ra trong chiều và tối mai ở Nam Bộ.","Gió giật, rông lớp nguy hiểm như vậy và sớm xét vẫn có khả năng xảy ra trong chiều và tối mai ở Nam Bộ.","Gió giật, rông lớp nguy hiểm như vậy và sớm xét vẫn có khả năng xảy ra trong chiều và tối mai ở Nam Bộ.",OK,HIGH
SEt8SskfxCw,8,38.0,43.0,5.0,Cảnh báo có nơi mưa to khoảng 50mm ở những nơi có màu xanh đậm này.,Cảnh báo có nơi mưa to khoảng 50mm ở những nơi có màu xanh đậm này.,Cảnh báo có nơi mưa to khoảng 50mm ở những nơi có màu xanh đậm này.,OK,HIGH
SEt8SskfxCw,9,43.0,47.0,4.0,Và đây cũng là khu vực có nguy cơ cao xuất hiện các hiện tượng thời tiết cực đoan.,Và đây cũng là khu vực có nguy cơ cao xuất hiện các hiện tượng thời tiết cực đoan.,Và đây cũng là khu vực có nguy cơ cao xuất hiện các hiện tượng thời tiết cực đoan.,OK,HIGH
