video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
SwQ0NO50FF0,0,0.0,12.0,12.0,"Cứu trời mưa to là cả thôn lại tất tuổi lo chạy lụt, đó là tình cảnh của hơn 100 hộ dân tại thôn Tây Nam, xã Thúy, huyện Thủy Nguyên, Hải Phòng.","Cứu trời mưa to là cả thôn lại tất tuổi lo chạy lụt, đó là tình cảnh của hơn 100 hộ dân tại thôn Tây Nam, xã Thúy, huyện Thủy Nguyên, Hải Phòng.","Cứu trời mưa to là cả thôn lại tất tuổi lo chạy lụt, đó là tình cảnh của hơn 100 hộ dân tại thôn Tây Nam, xã Thúy, huyện Thủy Nguyên, Hải Phòng.",OK,HIGH
SwQ0NO50FF0,1,12.0,20.0,8.0,Nguyên nhân là do đường tiêu cư cânh nước của cả thôn thì đã bị thi công tuyến đường nội bộ trong khu công nghiệp liên kề.,Nguyên nhân là do đường tiêu cư cânh nước của cả thôn thì đã bị thi công tuyến đường nội bộ trong khu công nghiệp liên kề.,Nguyên nhân là do đường tiêu cư cânh nước của cả thôn thì đã bị thi công tuyến đường nội bộ trong khu công nghiệp liên kề.,OK,HIGH
SwQ0NO50FF0,2,20.0,25.0,5.0,Điều đáng băn khoăn là sự việc đã nhiều lần được phản ánh xong vẫn không có gì thay đổi.,Điều đáng băn khoăn là sự việc đã nhiều lần được phản ánh xong vẫn không có gì thay đổi.,Điều đáng băn khoăn là sự việc đã nhiều lần được phản ánh xong vẫn không có gì thay đổi.,OK,HIGH
SwQ0NO50FF0,3,25.0,29.0,4.0,Và rõ ràng nỗi lo này lại hiện hữu khi mùa mưa báo đang đến gần.,Và rõ ràng nỗi lo này lại hiện hữu khi mùa mưa báo đang đến gần.,Và rõ ràng nỗi lo này lại hiện hữu khi mùa mưa báo đang đến gần.,OK,HIGH
SwQ0NO50FF0,4,31.0,37.0,6.0,Những hình ảnh do chính người dân ghi lại sau trận mưa lớn đầu tháng 6 vừa qua.,Những hình ảnh do chính người dân ghi lại sau trận mưa lớn đầu tháng 6 vừa qua.,Những hình ảnh do chính người dân ghi lại sau trận mưa lớn đầu tháng 6 vừa qua.,OK,HIGH
SwQ0NO50FF0,5,37.0,45.0,8.0,Đại diện gia đình này cho biết mỗi khi nghe dự báo thời tiết sắp có trời mưa to là cả gia đình ông lại như ngồi trên đống lửa.,Đại diện gia đình này cho biết mỗi khi nghe dự báo thời tiết sắp có trời mưa to là cả gia đình ông lại như ngồi trên đống lửa.,Đại diện gia đình này cho biết mỗi khi nghe dự báo thời tiết sắp có trời mưa to là cả gia đình ông lại như ngồi trên đống lửa.,OK,HIGH
SwQ0NO50FF0,6,45.0,53.0,8.0,Vì cứ mưa to là nước tràn hết vào nhà kèm theo mùi hôi của cống rãnh và úng lột thường thì phải sau vài ngày mới rút.,Vì cứ mưa to là nước tràn hết vào nhà kèm theo mùi hôi của cống rãnh và úng lột thường thì phải sau vài ngày mới rút.,Vì cứ mưa to là nước tràn hết vào nhà kèm theo mùi hôi của cống rãnh và úng lột thường thì phải sau vài ngày mới rút.,OK,HIGH
SwQ0NO50FF0,7,53.0,60.0,7.0,"Mỗi một lần nó úng ngập ấy, đồ đạc quẹt nó cho lên trên giường hết, nước vào trong nhà lõm ba lõm bõm.","Mỗi một lần nó úng ngập ấy, đồ đạc quẹt nó cho lên trên giường hết, nước vào trong nhà lõm ba lõm bõm.","Mỗi một lần nó úng ngập ấy, đồ đạc quẹt nó cho lên trên giường hết, nước vào trong nhà lõm ba lõm bõm.",OK,HIGH
SwQ0NO50FF0,8,60.0,66.0,6.0,"Giữa những ngày cao điểm nắng nóng, vườn chuối của hàng xóm nhà ông Chuyên vẫn còn nguyên dấu tích của trận lột hồi đầu tháng 6.","Giữa những ngày cao điểm nắng nóng, vườn chuối của hàng xóm nhà ông Chuyên vẫn còn nguyên dấu tích của trận lột hồi đầu tháng 6.","Giữa những ngày cao điểm nắng nóng, vườn chuối của hàng xóm nhà ông Chuyên vẫn còn nguyên dấu tích của trận lột hồi đầu tháng 6.",OK,HIGH
SwQ0NO50FF0,9,66.0,73.0,7.0,"Úng ngập lâu ngày, chuối chết gần hết cả vườn. Để cho đỡ phí, chỉ còn cách chặt bỏ làm thức ăn cho lợn.","Úng ngập lâu ngày, chuối chết gần hết cả vườn. Để cho đỡ phí, chỉ còn cách chặt bỏ làm thức ăn cho lợn.","Úng ngập lâu ngày, chuối chết gần hết cả vườn. Để cho đỡ phí, chỉ còn cách chặt bỏ làm thức ăn cho lợn.",OK,HIGH
SwQ0NO50FF0,10,73.0,80.0,7.0,"Thế mỗi trận mưa nó phải đến 10 ngày nước mới ra được. Mỗi năm thì tôi rồng được nhiều rau cải, năm nay không rồng được cái gì cả.","Thế mỗi trận mưa nó phải đến 10 ngày nước mới ra được. Mỗi năm thì tôi rồng được nhiều rau cải, năm nay không rồng được cái gì cả.","Thế mỗi trận mưa nó phải đến 10 ngày nước mới ra được. Mỗi năm thì tôi rồng được nhiều rau cải, năm nay không rồng được cái gì cả.",OK,HIGH
