id,start,end,duration,text_len,text,video_id
0,0.0,12.0,12.0,144,"Cứu trời mưa to là cả thôn lại tất tuổi lo chạy lụt, đó là tình cảnh của hơn 100 hộ dân tại thôn Tây Nam, xã Thúy, huyện Thủy Nguyên, Hải Phòng.",SwQ0NO50FF0
1,12.0,20.0,8.0,122,Nguyên nhân là do đường tiêu cư cânh nước của cả thôn thì đã bị thi công tuyến đường nội bộ trong khu công nghiệp liên kề.,SwQ0NO50FF0
2,20.0,25.0,5.0,88,Điều đáng băn khoăn là sự việc đã nhiều lần được phản ánh xong vẫn không có gì thay đổi.,SwQ0NO50FF0
3,25.0,29.0,4.0,64,Và rõ ràng nỗi lo này lại hiện hữu khi mùa mưa báo đang đến gần.,SwQ0NO50FF0
4,31.0,37.0,6.0,79,Những hình ảnh do chính người dân ghi lại sau trận mưa lớn đầu tháng 6 vừa qua.,SwQ0NO50FF0
5,37.0,45.0,8.0,126,Đại diện gia đình này cho biết mỗi khi nghe dự báo thời tiết sắp có trời mưa to là cả gia đình ông lại như ngồi trên đống lửa.,SwQ0NO50FF0
6,45.0,53.0,8.0,117,Vì cứ mưa to là nước tràn hết vào nhà kèm theo mùi hôi của cống rãnh và úng lột thường thì phải sau vài ngày mới rút.,SwQ0NO50FF0
7,53.0,60.0,7.0,102,"Mỗi một lần nó úng ngập ấy, đồ đạc quẹt nó cho lên trên giường hết, nước vào trong nhà lõm ba lõm bõm.",SwQ0NO50FF0
8,60.0,66.0,6.0,128,"Giữa những ngày cao điểm nắng nóng, vườn chuối của hàng xóm nhà ông Chuyên vẫn còn nguyên dấu tích của trận lột hồi đầu tháng 6.",SwQ0NO50FF0
9,66.0,73.0,7.0,103,"Úng ngập lâu ngày, chuối chết gần hết cả vườn. Để cho đỡ phí, chỉ còn cách chặt bỏ làm thức ăn cho lợn.",SwQ0NO50FF0
10,73.0,80.0,7.0,130,"Thế mỗi trận mưa nó phải đến 10 ngày nước mới ra được. Mỗi năm thì tôi rồng được nhiều rau cải, năm nay không rồng được cái gì cả.",SwQ0NO50FF0
11,81.0,89.0,8.0,145,"Bà Hồng cho biết thêm, gia đình bà đã quyết định thuê thợ tôn cao cái sân rộng hơn 30 mét vuông trước nhà để ngăn mức lột mỗi khi có trời mưa to.",SwQ0NO50FF0
12,89.0,96.0,7.0,127,Phải thường xuyên sống chung với cảnh úng ngập. Nhiều hộ dân ở thôn Tây Nam xã Thủy Đường đã chọn giải pháp là tôn cao nền nhà.,SwQ0NO50FF0
13,96.0,104.0,8.0,153,"Hộ dân này đã tôn khoảng sân trước nhà của mình lên khoảng 60 phân so với cốt nền cũ. Tuy nhiên theo người dân địa phương, đây chỉ là giải pháp tình thế.",SwQ0NO50FF0
14,105.0,115.0,10.0,218,"Huyện Thủy Nguyên xác nhận, nguyên nhân chính gây ra tình trạng úng ngập thường xuyên ở thôn Tây Nam là do tuyến kênh tiêu thoát nước của thôn bị lấp để thi công tuyến đường nội bộ trong khu công nghiệp VSIP Hải Phòng.",SwQ0NO50FF0
15,115.0,124.0,9.0,172,Huyện đã tổ chức cuộc họp giữa các bên liên quan. Giải pháp được đưa ra là mở rộng một nhánh phụ của tuyến kênh này để đấu nối vào một tuyến kênh khác cách đó hơn trăm mét.,SwQ0NO50FF0
16,124.0,137.0,13.0,264,Công trình được thực hiện theo phương thức là Ủy ban nhân dân Huyện Thủy Nguyên tổ chức giải phóng mặt bằng và công ty trách nhiệm hư hạn VSIP Hải Phòng chịu trách nhiệm và chi trả kinh phí bồi thường giải phóng mặt bằng đồng thời tổ chức thi công tuyến kênh trên.,SwQ0NO50FF0
17,137.0,147.0,10.0,155,"Nhận được mặt bằng sạch, tôi sẽ thi công và hoàn thiện tuyến mương mở rộng này trong vòng 7 đến 10 ngày giúp nâng cao năng lực thoát nước của thôn Tây Nam.",SwQ0NO50FF0
18,148.0,155.0,7.0,133,"Tuy nhiên, theo đại diện VSIP Hải Phòng, tuyến kênh mới cũng chỉ là điều kiện cần chứ chưa đủ để giải quyết triệt đề vấn đề úng ngập.",SwQ0NO50FF0
19,155.0,162.0,7.0,118,"Bởi thôn Tây Nam vẫn là vục thấp trũng, cốt nền trong thôn thấp hơn cốt nền của các địa bàn bao quanh từ 50 đến 70 cm.",SwQ0NO50FF0
20,162.0,173.0,11.0,175,Quá trình đô thị hóa lại khiến cho nhiều ao hồ kênh sạch bị săn lấp. Nếu không có các giải pháp đồng bộ thì chưa biết đến bao giờ thôn mới hết lo chạy lột mỗi khi trời mưa to.,SwQ0NO50FF0
21,177.0,181.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,SwQ0NO50FF0
