video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
T1A9c0WKXFU,0,0.0,4.599999904632568,4.599999904632568,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hải Yến.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hải Yến.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hải Yến.,OK,HIGH
T1A9c0WKXFU,1,4.599999904632568,7.0,2.4000000953674316,"Thưa chị Hải Yến, 2 ngày nay rồi trời Hà Nội bừng nắng.","Thưa chị Hải Yến, 2 ngày nay rồi trời Hà Nội bừng nắng.","Thưa chị Hải Yến, 2 ngày nay rồi trời Hà Nội bừng nắng.",OK,HIGH
T1A9c0WKXFU,2,7.0,11.0,4.0,Không biết rằng đây có vẻ dấu hiệu chúng ta chính thức bước vào một đợt nắng và nóng mới hay không ạ?,Không biết rằng đây có vẻ dấu hiệu chúng ta chính thức bước vào một đợt nắng và nóng mới hay không ạ?,Không biết rằng đây có vẻ dấu hiệu chúng ta chính thức bước vào một đợt nắng và nóng mới hay không ạ?,OK,HIGH
T1A9c0WKXFU,3,11.0,13.0,2.0,"Vâng, tôi e là vẫn chưa đâu anh Dương ạ.","Vâng, tôi e là vẫn chưa đâu anh Dương ạ.","Vâng, tôi e là vẫn chưa đâu anh Dương ạ.",OK,HIGH
T1A9c0WKXFU,4,13.0,15.0,2.0,"Nắng nóng chỉ xảy ra trong nốt ngày hôm nay thôi,","Nắng nóng chỉ xảy ra trong nốt ngày hôm nay thôi,","Nắng nóng chỉ xảy ra trong nốt ngày hôm nay thôi,",OK,HIGH
T1A9c0WKXFU,5,15.0,19.0,4.0,"sang đến ngày mai thì mưa rông sẽ quay trở lại khu vực miền Bắc, trong đó có thủ đô Hà Nội.","sang đến ngày mai thì mưa rông sẽ quay trở lại khu vực miền Bắc, trong đó có thủ đô Hà Nội.","sang đến ngày mai thì mưa rông sẽ quay trở lại khu vực miền Bắc, trong đó có thủ đô Hà Nội.",OK,HIGH
T1A9c0WKXFU,6,19.0,22.0,3.0,Nhưng mà đợt mưa lần này sẽ có một chút khác biệt so với đợt mưa trước,Nhưng mà đợt mưa lần này sẽ có một chút khác biệt so với đợt mưa trước,Nhưng mà đợt mưa lần này sẽ có một chút khác biệt so với đợt mưa trước,OK,HIGH
T1A9c0WKXFU,7,22.0,25.0,3.0,và khác ở đâu thì ngay bây giờ tôi sẽ phân tích đến Anh cũng như quý vị khán giả.,và khác ở đâu thì ngay bây giờ tôi sẽ phân tích đến Anh cũng như quý vị khán giả.,và khác ở đâu thì ngay bây giờ tôi sẽ phân tích đến Anh cũng như quý vị khán giả.,OK,HIGH
T1A9c0WKXFU,8,25.0,29.0,4.0,"Thưa quý vị, nếu như đợt mưa trước thì tập trung chủ yếu ở vùng núi phía Tây,","Thưa quý vị, nếu như đợt mưa trước thì tập trung chủ yếu ở vùng núi phía Tây,","Thưa quý vị, nếu như đợt mưa trước thì tập trung chủ yếu ở vùng núi phía Tây,",OK,HIGH
T1A9c0WKXFU,9,29.0,32.0,3.0,"thì đợt mưa lần này có hình thế gây mưa, đó là rãnh áp thấp","thì đợt mưa lần này có hình thế gây mưa, đó là rãnh áp thấp","thì đợt mưa lần này có hình thế gây mưa, đó là rãnh áp thấp",OK,HIGH
