video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
THxFcgmm0rY,0,0.0,4.0,4.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
THxFcgmm0rY,1,4.0,8.0,4.0,"Chào chị Hương Liên! Sau cả tuần mưa, lạnh thì ngày hôm nay thời tiết Hà Nội đã hửng nắng rồi.","Chào chị Hương Liên! Sau cả tuần mưa, lạnh thì ngày hôm nay thời tiết Hà Nội đã hửng nắng rồi.","Chào chị Hương Liên! Sau cả tuần mưa, lạnh thì ngày hôm nay thời tiết Hà Nội đã hửng nắng rồi.",OK,HIGH
THxFcgmm0rY,2,8.0,11.0,3.0,Không biết là kiểu thời tiết khô ráo như thế này còn kéo dài trong những ngày tới không chị?,Không biết là kiểu thời tiết khô ráo như thế này còn kéo dài trong những ngày tới không chị?,Không biết là kiểu thời tiết khô ráo như thế này còn kéo dài trong những ngày tới không chị?,OK,HIGH
THxFcgmm0rY,3,11.0,15.0,4.0,"Vâng ạ Dương, dự báo là thời tiết nắng ấm như thế này sẽ kéo dài trong 3 ngày tới.","Vâng ạ Dương, dự báo là thời tiết nắng ấm như thế này sẽ kéo dài trong 3 ngày tới.","Vâng ạ Dương, dự báo là thời tiết nắng ấm như thế này sẽ kéo dài trong 3 ngày tới.",OK,HIGH
THxFcgmm0rY,4,15.0,19.0,4.0,"Thưa quý vị khán giả, có nắng nên nhiệt độ cũng tăng rất nhanh.","Thưa quý vị khán giả, có nắng nên nhiệt độ cũng tăng rất nhanh.","Thưa quý vị khán giả, có nắng nên nhiệt độ cũng tăng rất nhanh.",OK,HIGH
THxFcgmm0rY,5,19.0,24.0,5.0,Trong hôm nay tại Hà Nội và nhiều nơi khác ở miền Bắc đã tăng từ 3 đến 5 độ.,Trong hôm nay tại Hà Nội và nhiều nơi khác ở miền Bắc đã tăng từ 3 đến 5 độ.,Trong hôm nay tại Hà Nội và nhiều nơi khác ở miền Bắc đã tăng từ 3 đến 5 độ.,OK,HIGH
THxFcgmm0rY,6,24.0,27.0,3.0,Đi dưới nắng không còn phải mặc những chiếc áo thu đông nữa.,Đi dưới nắng không còn phải mặc những chiếc áo thu đông nữa.,Đi dưới nắng không còn phải mặc những chiếc áo thu đông nữa.,OK,HIGH
THxFcgmm0rY,7,28.0,31.0,3.0,"Sang ngày mai, dự báo nhiệt độ sẽ tăng thêm 1-2 độ nữa.","Sang ngày mai, dự báo nhiệt độ sẽ tăng thêm 1-2 độ nữa.","Sang ngày mai, dự báo nhiệt độ sẽ tăng thêm 1-2 độ nữa.",OK,HIGH
THxFcgmm0rY,8,31.0,37.0,6.0,"Mức nhiệt cao nhất tại Hà Nội, Ninh Bình, Hải Phòng, Lạng Sơn, Hà Giang, Lào Cai, Sơn La","Mức nhiệt cao nhất tại Hà Nội, Ninh Bình, Hải Phòng, Lạng Sơn, Hà Giang, Lào Cai, Sơn La","Mức nhiệt cao nhất tại Hà Nội, Ninh Bình, Hải Phòng, Lạng Sơn, Hà Giang, Lào Cai, Sơn La",OK,HIGH
THxFcgmm0rY,9,37.0,40.0,3.0,đều là 25-30 độ.,đều là 25-30 độ.,đều là 25-30 độ.,OK,HIGH
