id,start,end,duration,text_len,text,video_id
0,0.0,4.0,4.0,95,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,THxFcgmm0rY
1,4.0,8.0,4.0,94,"Chào chị Hương Liên! Sau cả tuần mưa, lạnh thì ngày hôm nay thời tiết Hà Nội đã hửng nắng rồi.",THxFcgmm0rY
2,8.0,11.0,3.0,92,Không biết là kiểu thời tiết khô ráo như thế này còn kéo dài trong những ngày tới không chị?,THxFcgmm0rY
3,11.0,15.0,4.0,82,"Vâng ạ Dương, dự báo là thời tiết nắng ấm như thế này sẽ kéo dài trong 3 ngày tới.",THxFcgmm0rY
4,15.0,19.0,4.0,63,"Thưa quý vị khán giả, có nắng nên nhiệt độ cũng tăng rất nhanh.",THxFcgmm0rY
5,19.0,24.0,5.0,76,Trong hôm nay tại Hà Nội và nhiều nơi khác ở miền Bắc đã tăng từ 3 đến 5 độ.,THxFcgmm0rY
6,24.0,27.0,3.0,60,Đi dưới nắng không còn phải mặc những chiếc áo thu đông nữa.,THxFcgmm0rY
7,28.0,31.0,3.0,55,"Sang ngày mai, dự báo nhiệt độ sẽ tăng thêm 1-2 độ nữa.",THxFcgmm0rY
8,31.0,37.0,6.0,88,"Mức nhiệt cao nhất tại Hà Nội, Ninh Bình, Hải Phòng, Lạng Sơn, Hà Giang, Lào Cai, Sơn La",THxFcgmm0rY
9,37.0,40.0,3.0,16,đều là 25-30 độ.,THxFcgmm0rY
10,40.0,45.0,5.0,99,Nhưng ai muốn giọt rũ quần áo chăn màn thì cũng nên tranh thủ tận dụng những ngày nắng như thế này.,THxFcgmm0rY
11,45.0,48.0,3.0,58,Các vùng miền khác trên cả nước cũng có nắng vào ngày mai.,THxFcgmm0rY
12,48.0,50.0,2.0,39,Trong đó ở Nam Mộ sẽ là nắng mạnh nhất.,THxFcgmm0rY
13,50.0,55.0,5.0,62,"Nhiệt độ cao nhất tại nhiều nơi sẽ lên mức 33-34 độ, khá nóng.",THxFcgmm0rY
14,55.0,60.0,5.0,76,Một vấn đề đáng chú ý khác ở TP.HCM là đợt chiều cường đầu tháng 10 âm lịch.,THxFcgmm0rY
15,60.0,66.0,6.0,92,"Dự báo từ ngày mai, đỉnh chiều tại trạm Phú An trên sông Sài Gòn sẽ bắt đầu vượt báo động 2,",THxFcgmm0rY
16,66.0,73.0,7.0,83,đến ngày kia thì vượt báo động 3 và dự kiến mức nước ngày 6-11 sẽ là cao nhất 1m69.,THxFcgmm0rY
17,73.0,78.0,5.0,73,Dù ít mưa nhưng với đỉnh chiều cao như vậy thì các tuyến đường trũng thấp,THxFcgmm0rY
18,78.0,81.0,3.0,47,vẫn có nguy cơ xảy ra ngập úng vào giờ tan tầm.,THxFcgmm0rY
19,81.0,85.0,4.0,83,Còn cuối bản tin sẽ là phần dự báo thời tiết cho các thành phố đêm nay và ngày mai.,THxFcgmm0rY
20,85.0,88.0,3.0,40,Thủ đô Hà Nội chỉ còn lạnh về đêm 23 độ.,THxFcgmm0rY
21,88.0,90.0,2.0,29,Sáng sớm mai có sương mù nhẹ.,THxFcgmm0rY
22,90.0,93.0,3.0,61,"Gần trưa trời chuyển nắng, nhiệt độ tăng nhanh lên mức 29 độ.",THxFcgmm0rY
23,93.0,96.0,3.0,38,Thành phố Huế đêm nay không mưa 23 độ.,THxFcgmm0rY
24,96.0,98.0,2.0,25,Ngày mai trời nắng 32 độ.,THxFcgmm0rY
25,98.0,101.0,3.0,46,Thành phố Hồ Chí Minh đêm nay tạnh giáo 25 độ.,THxFcgmm0rY
26,101.0,103.0,2.0,33,Ngày mai trời nắng và nóng 34 độ.,THxFcgmm0rY
27,103.0,105.0,2.0,22,Chiều tối mưa vài nơi.,THxFcgmm0rY
28,111.0,115.0,4.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,THxFcgmm0rY
