video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
TViF6-zLqhk,0,0.0,5.840000152587891,5.840000152587891,"Còn tiếp theo sẽ là những thông tin dự báo thầy Tiết, áp thấp nhiệt đới trên biển Đông có khả năng mạnh lên thành báo,","Còn tiếp theo sẽ là những thông tin dự báo thầy Tiết, áp thấp nhiệt đới trên biển Đông có khả năng mạnh lên thành báo,","Còn tiếp theo sẽ là những thông tin dự báo thầy Tiết, áp thấp nhiệt đới trên biển Đông có khả năng mạnh lên thành báo,",OK,HIGH
TViF6-zLqhk,1,5.840000152587891,7.840000152587891,2.0,sau đó ảnh hưởng trực tiếp đến đất liền của nước ta.,sau đó ảnh hưởng trực tiếp đến đất liền của nước ta.,sau đó ảnh hưởng trực tiếp đến đất liền của nước ta.,OK,HIGH
TViF6-zLqhk,2,7.840000152587891,12.84000015258789,5.0,"Sau đây, biên tập viên Thầy Tiết Hương Liên sẽ cập nhật những thông tin mới nhất liên quan đến cơn áp thấp nhiệt đới này.","Sau đây, biên tập viên Thầy Tiết Hương Liên sẽ cập nhật những thông tin mới nhất liên quan đến cơn áp thấp nhiệt đới này.","Sau đây, biên tập viên Thầy Tiết Hương Liên sẽ cập nhật những thông tin mới nhất liên quan đến cơn áp thấp nhiệt đới này.",OK,HIGH
TViF6-zLqhk,3,12.84000015258789,13.84000015258789,1.0,Xin mời chị Hương Liên.,Xin mời chị Hương Liên.,Xin mời chị Hương Liên.,OK,HIGH
TViF6-zLqhk,4,13.84000015258789,14.84000015258789,1.0,Cảm ơn anh Dương.,Cảm ơn anh Dương.,Cảm ơn anh Dương.,OK,HIGH
TViF6-zLqhk,5,14.84000015258789,20.84000015258789,6.0,"Thưa quý vị khán giả, theo dự báo áp thấp nhiệt đới đang có xu hướng mạnh lên thành bão trong 24 giờ tới.","Thưa quý vị khán giả, theo dự báo áp thấp nhiệt đới đang có xu hướng mạnh lên thành bão trong 24 giờ tới.","Thưa quý vị khán giả, theo dự báo áp thấp nhiệt đới đang có xu hướng mạnh lên thành bão trong 24 giờ tới.",OK,HIGH
TViF6-zLqhk,6,20.84000015258789,23.84000015258789,3.0,"Tuy nhiên, thời gian duy trì ở cấp bão rất ngắn.","Tuy nhiên, thời gian duy trì ở cấp bão rất ngắn.","Tuy nhiên, thời gian duy trì ở cấp bão rất ngắn.",OK,HIGH
TViF6-zLqhk,7,23.84000015258789,31.84000015258789,8.0,"Nếu bão đi vào bờ lại suy yếu thành áp thấp nhiệt đới, khoảng tối và đêm mai sẽ đi vào khu vực Khánh Hòa đến Bình Thuận.","Nếu bão đi vào bờ lại suy yếu thành áp thấp nhiệt đới, khoảng tối và đêm mai sẽ đi vào khu vực Khánh Hòa đến Bình Thuận.","Nếu bão đi vào bờ lại suy yếu thành áp thấp nhiệt đới, khoảng tối và đêm mai sẽ đi vào khu vực Khánh Hòa đến Bình Thuận.",OK,HIGH
TViF6-zLqhk,8,31.84000015258789,34.84000015258789,3.0,"Theo nhận định, điều cần chú ý nhất là mưa lớn.","Theo nhận định, điều cần chú ý nhất là mưa lớn.","Theo nhận định, điều cần chú ý nhất là mưa lớn.",OK,HIGH
TViF6-zLqhk,9,34.84000015258789,41.84000015258789,7.0,"Dự báo mưa bắt đầu từ chiều mai duy trì đến hết thứ Tư, trong đó từ Thừa Thiên Huế đến Quảng Ngãi, Bình Thuận,","Dự báo mưa bắt đầu từ chiều mai duy trì đến hết thứ Tư, trong đó từ Thừa Thiên Huế đến Quảng Ngãi, Bình Thuận,","Dự báo mưa bắt đầu từ chiều mai duy trì đến hết thứ Tư, trong đó từ Thừa Thiên Huế đến Quảng Ngãi, Bình Thuận,",OK,HIGH
TViF6-zLqhk,10,41.84000015258789,49.84000015258789,8.0,"Bắc Tây Nguyên và Đông Nam Bộ, lượng mưa phổ biến 100-200mm, còn Bình Định đến Ninh Thuận và Nam Tây Nguyên","Bắc Tây Nguyên và Đông Nam Bộ, lượng mưa phổ biến 100-200mm, còn Bình Định đến Ninh Thuận và Nam Tây Nguyên","Bắc Tây Nguyên và Đông Nam Bộ, lượng mưa phổ biến 100-200mm, còn Bình Định đến Ninh Thuận và Nam Tây Nguyên",OK,HIGH
TViF6-zLqhk,11,49.84000015258789,54.84000015258789,5.0,là tâm mưa 150-250mm và có nơi trên 300mm.,là tâm mưa 150-250mm và có nơi trên 300mm.,là tâm mưa 150-250mm và có nơi trên 300mm.,OK,HIGH
TViF6-zLqhk,12,54.84000015258789,59.84000015258789,5.0,"Liên tục từ đầu tháng, miền Trung Tây Nguyên đã trải qua 3 đợt mưa lớn rồi.","Liên tục từ đầu tháng, miền Trung Tây Nguyên đã trải qua 3 đợt mưa lớn rồi.","Liên tục từ đầu tháng, miền Trung Tây Nguyên đã trải qua 3 đợt mưa lớn rồi.",OK,HIGH
TViF6-zLqhk,13,59.84000015258789,65.83999633789062,5.999996185302734,"Với dự báo mưa lần này lượng tới hàng trăm mm nữa, áp lực lên nền đất đá rất lớn,","Với dự báo mưa lần này lượng tới hàng trăm mm nữa, áp lực lên nền đất đá rất lớn,","Với dự báo mưa lần này lượng tới hàng trăm mm nữa, áp lực lên nền đất đá rất lớn,",OK,HIGH
TViF6-zLqhk,14,65.83999633789062,70.83999633789062,5.0,"khiến chúng càng trở nên kém kết dính, dễ xảy ra trượt lở và sụt lốn.","khiến chúng càng trở nên kém kết dính, dễ xảy ra trượt lở và sụt lốn.","khiến chúng càng trở nên kém kết dính, dễ xảy ra trượt lở và sụt lốn.",OK,HIGH
TViF6-zLqhk,15,70.83999633789062,77.83999633789062,7.0,"Vùng núi Thừa Thiên Huế đến Bình Thuận, Tây Nguyên và Đồng Nai đều trong khu vực có nguy cơ cao về sạt lở.","Vùng núi Thừa Thiên Huế đến Bình Thuận, Tây Nguyên và Đồng Nai đều trong khu vực có nguy cơ cao về sạt lở.","Vùng núi Thừa Thiên Huế đến Bình Thuận, Tây Nguyên và Đồng Nai đều trong khu vực có nguy cơ cao về sạt lở.",OK,HIGH
TViF6-zLqhk,16,77.83999633789062,83.83999633789062,6.0,"Để bảo vệ tính mạng cho bản thân và gia đình, chúng ta phải sớm nhận ra dấu hiệu của sạt lở đất.","Để bảo vệ tính mạng cho bản thân và gia đình, chúng ta phải sớm nhận ra dấu hiệu của sạt lở đất.","Để bảo vệ tính mạng cho bản thân và gia đình, chúng ta phải sớm nhận ra dấu hiệu của sạt lở đất.",OK,HIGH
TViF6-zLqhk,17,83.83999633789062,88.83999633789062,5.0,Quý vị hãy ghi nhớ một số thông tin từ Tổng cục Phòng Chống Thiên Tài.,Quý vị hãy ghi nhớ một số thông tin từ Tổng cục Phòng Chống Thiên Tài.,Quý vị hãy ghi nhớ một số thông tin từ Tổng cục Phòng Chống Thiên Tài.,OK,HIGH
TViF6-zLqhk,18,90.83999633789062,93.83999633789062,3.0,Dấu hiệu nhận biết sạt lở đất,Dấu hiệu nhận biết sạt lở đất,Dấu hiệu nhận biết sạt lở đất,OK,HIGH
TViF6-zLqhk,19,94.83999633789062,98.83999633789062,4.0,Khi dòng nước gần nơi bạn sinh sống chuyển màu từ trong sang đục.,Khi dòng nước gần nơi bạn sinh sống chuyển màu từ trong sang đục.,Khi dòng nước gần nơi bạn sinh sống chuyển màu từ trong sang đục.,OK,HIGH
TViF6-zLqhk,20,101.83999633789062,106.83999633789062,5.0,"Nếu bạn nhìn thấy dòng suối hoặc các vùng nước lớn bỗng nhiên xuất hiện ở những khu vực vốn khô giáo,","Nếu bạn nhìn thấy dòng suối hoặc các vùng nước lớn bỗng nhiên xuất hiện ở những khu vực vốn khô giáo,","Nếu bạn nhìn thấy dòng suối hoặc các vùng nước lớn bỗng nhiên xuất hiện ở những khu vực vốn khô giáo,",OK,HIGH
TViF6-zLqhk,21,106.83999633789062,109.83999633789062,3.0,đó có thể là dấu hiệu sạt lở đất sắp xảy ra.,đó có thể là dấu hiệu sạt lở đất sắp xảy ra.,đó có thể là dấu hiệu sạt lở đất sắp xảy ra.,OK,HIGH
TViF6-zLqhk,22,112.83999633789062,118.83999633789062,6.0,"Nếu tường nhà bị nghiêng, nứt, cửa sổ, cửa ra vào bị cong vênh,","Nếu tường nhà bị nghiêng, nứt, cửa sổ, cửa ra vào bị cong vênh,","Nếu tường nhà bị nghiêng, nứt, cửa sổ, cửa ra vào bị cong vênh,",OK,HIGH
TViF6-zLqhk,23,118.83999633789062,121.83999633789062,3.0,đó cũng có thể là dấu hiệu cảnh báo sạt lở đất sắp xảy ra.,đó cũng có thể là dấu hiệu cảnh báo sạt lở đất sắp xảy ra.,đó cũng có thể là dấu hiệu cảnh báo sạt lở đất sắp xảy ra.,OK,HIGH
TViF6-zLqhk,24,121.83999633789062,128.83999633789062,7.0,"Mặt đất phồng lên, cây cối rung chuyển, âm thanh lạ trong lòng đất cũng chỉ ra một trượt lở đất đang đến gần.","Mặt đất phồng lên, cây cối rung chuyển, âm thanh lạ trong lòng đất cũng chỉ ra một trượt lở đất đang đến gần.","Mặt đất phồng lên, cây cối rung chuyển, âm thanh lạ trong lòng đất cũng chỉ ra một trượt lở đất đang đến gần.",OK,HIGH
TViF6-zLqhk,25,129.83999633789062,132.83999633789062,3.0,"Sạt lở đất đặc biệt nguy hiểm vì nó thường xảy ra bất ngờ,","Sạt lở đất đặc biệt nguy hiểm vì nó thường xảy ra bất ngờ,","Sạt lở đất đặc biệt nguy hiểm vì nó thường xảy ra bất ngờ,",OK,HIGH
TViF6-zLqhk,26,132.83999633789062,136.83999633789062,4.0,"di chuyển với tốc độ cao, nhanh hơn nhiều so với bạn chạy hay đi bộ.","di chuyển với tốc độ cao, nhanh hơn nhiều so với bạn chạy hay đi bộ.","di chuyển với tốc độ cao, nhanh hơn nhiều so với bạn chạy hay đi bộ.",OK,HIGH
TViF6-zLqhk,27,137.83999633789062,140.83999633789062,3.0,Sạt lở đất có thể di chuyển với một quãng đường dài.,Sạt lở đất có thể di chuyển với một quãng đường dài.,Sạt lở đất có thể di chuyển với một quãng đường dài.,OK,HIGH
TViF6-zLqhk,28,144.83999633789062,149.83999633789062,5.0,"Mặc dù có dự báo, nhưng bạn có thể bảo vệ cho sự an toàn của bản thân và gia đình","Mặc dù có dự báo, nhưng bạn có thể bảo vệ cho sự an toàn của bản thân và gia đình","Mặc dù có dự báo, nhưng bạn có thể bảo vệ cho sự an toàn của bản thân và gia đình",OK,HIGH
TViF6-zLqhk,29,149.83999633789062,152.83999633789062,3.0,bằng cách sớm nhận ra những dấu hiệu của sạt lở đất.,bằng cách sớm nhận ra những dấu hiệu của sạt lở đất.,bằng cách sớm nhận ra những dấu hiệu của sạt lở đất.,OK,HIGH
TViF6-zLqhk,30,154.83999633789062,160.83999633789062,6.0,"Nếu nghe hay nhìn thấy những dấu hiệu trên, quý vị cần lập tức chạy thật nhanh ra khỏi vùng nguy hiểm.","Nếu nghe hay nhìn thấy những dấu hiệu trên, quý vị cần lập tức chạy thật nhanh ra khỏi vùng nguy hiểm.","Nếu nghe hay nhìn thấy những dấu hiệu trên, quý vị cần lập tức chạy thật nhanh ra khỏi vùng nguy hiểm.",OK,HIGH
TViF6-zLqhk,31,161.83999633789062,165.83999633789062,4.0,Có bây giờ xin chuyển sang các thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,Có bây giờ xin chuyển sang các thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,Có bây giờ xin chuyển sang các thông tin dự báo chi tiết cho một số thành phố trong đêm nay và ngày mai.,OK,HIGH
TViF6-zLqhk,32,166.83999633789062,169.83999633789062,3.0,Thành phố Nha Trang đêm nay có lúc mưa rào 24 độ.,Thành phố Nha Trang đêm nay có lúc mưa rào 24 độ.,Thành phố Nha Trang đêm nay có lúc mưa rào 24 độ.,OK,HIGH
TViF6-zLqhk,33,169.83999633789062,174.83999633789062,5.0,"Từ trưa chiều mai mưa tăng lên, cảnh báo có mưa vừa mưa to, nhiệt độ không quá 25 độ.","Từ trưa chiều mai mưa tăng lên, cảnh báo có mưa vừa mưa to, nhiệt độ không quá 25 độ.","Từ trưa chiều mai mưa tăng lên, cảnh báo có mưa vừa mưa to, nhiệt độ không quá 25 độ.",OK,HIGH
TViF6-zLqhk,34,174.83999633789062,176.83999633789062,2.0,Thành phố Hồ Chí Minh đêm nay không mưa 24 độ.,Thành phố Hồ Chí Minh đêm nay không mưa 24 độ.,Thành phố Hồ Chí Minh đêm nay không mưa 24 độ.,OK,HIGH
TViF6-zLqhk,35,176.83999633789062,178.83999633789062,2.0,Ngày mai trời nắng 33 độ.,Ngày mai trời nắng 33 độ.,Ngày mai trời nắng 33 độ.,OK,HIGH
TViF6-zLqhk,36,178.83999633789062,180.83999633789065,2.0000000000000284,Về chiều tối chuyển mưa rào và rông.,Về chiều tối chuyển mưa rào và rông.,Về chiều tối chuyển mưa rào và rông.,OK,HIGH
TViF6-zLqhk,37,180.83999633789065,183.83999633789065,3.0,Thành phố Hà Nội đêm nay không mưa rất nhẹ 19 độ.,Thành phố Hà Nội đêm nay không mưa rất nhẹ 19 độ.,Thành phố Hà Nội đêm nay không mưa rất nhẹ 19 độ.,OK,HIGH
TViF6-zLqhk,38,183.83999633789065,186.83999633789065,3.0,Ngày mai trời nắng không khí ấm lên nhanh 28 độ.,Ngày mai trời nắng không khí ấm lên nhanh 28 độ.,Ngày mai trời nắng không khí ấm lên nhanh 28 độ.,OK,HIGH
TViF6-zLqhk,39,190.83999633789065,195.83999633789065,5.0,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,OK,HIGH
