video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
U9isawUpNDg,0,0.0,4.5,4.5,Còn tiếp theo sẽ đến thông tin dự báo thời tiết đến từ biên tập biên thời tiết Thanh Tùng,Tiếp theo là thông tin dự báo thời tiết từ biên tập viên Thanh Tùng.,Tiếp theo là thông tin dự báo thời tiết từ biên tập viên Thanh Tùng.,OK,HIGH
U9isawUpNDg,1,4.5,8.899999618530273,4.399999618530273,Anh Thanh Tùng ngày hôm nay tôi vẫn cảm thấy trời miền Bắc cũng như Hà Nội khá là oi và vẫn nắng,"Hôm nay, trời miền Bắc, đặc biệt là Hà Nội, vẫn oi ả và nắng nóng.","Hôm nay, trời miền Bắc, đặc biệt là Hà Nội, vẫn oi ả và nắng nóng.",OK,HIGH
U9isawUpNDg,2,8.899999618530273,12.0,3.1000003814697266,Vậy thì không biết bao giờ thì không khí lạnh mới thực sự ảnh hưởng xuống miền Bắc đấy ạ,Không biết bao giờ không khí lạnh mới thực sự ảnh hưởng đến miền Bắc.,Không biết bao giờ không khí lạnh mới thực sự ảnh hưởng đến miền Bắc.,OK,HIGH
U9isawUpNDg,3,12.0,16.0,4.0,Thật ra bởi vì là chúng ta chưa có những cảm nhận về sự thay đổi thời tiết,"Thật ra, chúng ta chưa cảm nhận được sự thay đổi thời tiết vì hiện nay khối không khí lạnh mới chỉ tiến sát biên giới phía Bắc nước ta.",Thật ra bởi vì là chúng ta chưa có những cảm nhận về sự thay đổi thời tiết,REVERT,LOW
U9isawUpNDg,4,16.0,20.5,4.5,Là bởi vì hiện nay thì khối không khí lạnh nó mới chỉ tiến sát biên giới phía Bắc nước ta thôi ạ,"Hiện nay, khối không khí lạnh mới chỉ tiến sát biên giới phía Bắc nước ta.","Hiện nay, khối không khí lạnh mới chỉ tiến sát biên giới phía Bắc nước ta.",OK,HIGH
U9isawUpNDg,5,20.5,25.0,4.5,Và thưa quý vị đợt này thì không khí lạnh có cường độ yếu và lại diễn biến khá chậm,"Đợt không khí lạnh này có cường độ yếu và diễn biến khá chậm, hiện mới chỉ tiến sát biên giới phía Bắc nước ta.",Và thưa quý vị đợt này thì không khí lạnh có cường độ yếu và lại diễn biến khá chậm,REVERT,LOW
U9isawUpNDg,6,25.0,29.0,4.0,Quan sát ở trên ảnh mây vệ tinh cũng sẽ thấy là vùng mây của không khí lạnh thì hiện nay,"Quan sát trên ảnh mây vệ tinh cho thấy, hiện nay vùng mây của không khí lạnh mới chỉ tiến gần tới khu vực Cao Bằng và Lạng Sơn.",Quan sát ở trên ảnh mây vệ tinh cũng sẽ thấy là vùng mây của không khí lạnh thì hiện nay,REVERT,LOW
U9isawUpNDg,7,29.0,32.5,3.5,Mới chỉ tiến gần tới khu vực Cao Bằng và Lạng Sơn,"Hiện nay, khối không khí lạnh mới chỉ tiến gần tới khu vực Cao Bằng và Lạng Sơn.","Hiện nay, khối không khí lạnh mới chỉ tiến gần tới khu vực Cao Bằng và Lạng Sơn.",OK,HIGH
U9isawUpNDg,8,32.5,35.5,3.0,Và khả năng là trong đêm nay thì không khí lạnh mới tiếp tục dồn xuống,"Khả năng trong đêm nay, không khí lạnh sẽ tiếp tục dồn xuống và ảnh hưởng tới khu vực vùng núi Bắc Bộ.",Và khả năng là trong đêm nay thì không khí lạnh mới tiếp tục dồn xuống,REVERT,LOW
U9isawUpNDg,9,35.5,38.0,2.5,Và ảnh hưởng tới khu vực vùng núi Bắc Bộ,Không khí lạnh sẽ tiếp tục dồn xuống và ảnh hưởng tới khu vực vùng núi Bắc Bộ trong đêm nay.,Và ảnh hưởng tới khu vực vùng núi Bắc Bộ,REVERT,LOW
U9isawUpNDg,10,38.0,43.5,5.5,Và sau đó sang ngày mai thì sẽ đến khu vực Đồng Bằng và ven biển Bắc Bộ,"Sang ngày mai, không khí lạnh sẽ ảnh hưởng đến khu vực Đồng Bằng và ven biển Bắc Bộ.",Và sau đó sang ngày mai thì sẽ đến khu vực Đồng Bằng và ven biển Bắc Bộ,REVERT,LOW
U9isawUpNDg,11,43.5,46.5,3.0,"Tới Thanh Hóa, Hà Tĩnh và sang cả phía Tây Bắc Bộ","Khả năng trong ngày mai, không khí lạnh sẽ ảnh hưởng đến khu vực Bắc Bộ, Bắc Trung Bộ, bao gồm Thanh Hóa, Hà Tĩnh và cả phía Tây Bắc Bộ.","Tới Thanh Hóa, Hà Tĩnh và sang cả phía Tây Bắc Bộ",REVERT,LOW
U9isawUpNDg,12,46.5,50.5,4.0,Như vậy là khả năng phải sang ngày mai thì quý vị ở khu vực Bắc Bộ và Bắc Trung Bộ,"Khả năng sang ngày mai, quý vị ở khu vực Bắc Bộ và Bắc Trung Bộ mới bắt đầu cảm nhận được gió Đông Bắc mang theo chút xe lạnh.",Như vậy là khả năng phải sang ngày mai thì quý vị ở khu vực Bắc Bộ và Bắc Trung Bộ,REVERT,LOW
U9isawUpNDg,13,50.5,53.5,3.0,Mới bắt đầu cảm nhận được gió Đông Bắc về với một chút xe lạnh,"Khả năng từ ngày mai, người dân ở khu vực Bắc Bộ và Bắc Trung Bộ sẽ bắt đầu cảm nhận được gió Đông Bắc mang theo chút xe lạnh.",Mới bắt đầu cảm nhận được gió Đông Bắc về với một chút xe lạnh,REVERT,MEDIUM
U9isawUpNDg,14,53.5,57.0,3.5,Dự báo là nhiệt độ cao nhất ở thủ đô Hà Nội và nhiều thành phố khác,"Dự báo nhiệt độ cao nhất ở thủ đô Hà Nội và nhiều thành phố khác sẽ giảm từ 2 đến 4 độ so với ngày hôm nay, hầu hết đều dưới 26 độ.",Dự báo là nhiệt độ cao nhất ở thủ đô Hà Nội và nhiều thành phố khác,REVERT,MEDIUM
U9isawUpNDg,15,57.0,60.0,3.0,Sẽ giảm từ 2 đến 4 độ so với ngày hôm nay,"Nhiệt độ cao nhất tại thủ đô Hà Nội và nhiều thành phố khác sẽ giảm từ 2 đến 4 độ so với ngày hôm nay, hầu hết đều dưới 26 độ.",Sẽ giảm từ 2 đến 4 độ so với ngày hôm nay,REVERT,HIGH
U9isawUpNDg,16,60.0,63.0,3.0,Hầu hết đều có mức nhiệt là dưới 26 độ,Hầu hết các khu vực sẽ có mức nhiệt dưới 26 độ.,Hầu hết các khu vực sẽ có mức nhiệt dưới 26 độ.,OK,HIGH
U9isawUpNDg,17,63.0,65.0,2.0,Bên cạnh đó thì khu vực từ Thanh Hóa tới Quảng Ngãi,"Khu vực từ Thanh Hóa đến Quảng Ngãi sẽ chuyển mưa rào do tác động của không khí lạnh trong đêm nay và ngày mai, tuy nhiên đây chỉ là dạng mưa rào ngắt quãng với lượng không lớn.",Bên cạnh đó thì khu vực từ Thanh Hóa tới Quảng Ngãi,REVERT,LOW
U9isawUpNDg,18,65.0,69.0,4.0,Cũng sẽ chuyển mưa rong do tác động của không khí lạnh trong đêm nay và ngày mai,Khu vực từ Thanh Hóa đến Quảng Ngãi sẽ có mưa rào do tác động của không khí lạnh trong đêm nay và ngày mai.,Cũng sẽ chuyển mưa rong do tác động của không khí lạnh trong đêm nay và ngày mai,REVERT,LOW
U9isawUpNDg,19,69.0,72.0,3.0,"Tuy nhiên đây chỉ là dạng mưa ròng ngắt quãng, lượng không lớn","Tuy nhiên, mưa trong đợt này chỉ là dạng mưa rào ngắt quãng với lượng không lớn.","Tuy nhiên, mưa trong đợt này chỉ là dạng mưa rào ngắt quãng với lượng không lớn.",OK,HIGH
U9isawUpNDg,20,72.0,74.0,2.0,Nhưng cũng ít nhiều ảnh hưởng tới công tác tìm kiếm,"Tuy nhiên, mưa rào ngắt quãng do tác động của không khí lạnh trong đêm nay và ngày mai sẽ ít nhiều ảnh hưởng tới công tác tìm kiếm tại khu vực Thủy Điện Rào Trang 3 của Thừa Thiên Huế.",Nhưng cũng ít nhiều ảnh hưởng tới công tác tìm kiếm,REVERT,LOW
U9isawUpNDg,21,74.0,77.0,3.0,Ở khu vực Thủy Điện Rào Trang 3 của Thừa Thiên Huế,Khu vực Thủy Điện Rào Trang 3 của Thừa Thiên Huế sẽ chịu ảnh hưởng của mưa rào ngắt quãng do tác động của không khí lạnh trong đêm nay và ngày mai.,Ở khu vực Thủy Điện Rào Trang 3 của Thừa Thiên Huế,REVERT,HIGH
U9isawUpNDg,22,77.5,79.5,2.0,Còn ngay sau đây thì chúng tôi xin được cập nhật những thông tin dự báo chi tiết,"Ngay sau đây, chúng tôi xin được cập nhật những thông tin dự báo thời tiết chi tiết cho các thành phố trong đêm nay và ngày mai.",Còn ngay sau đây thì chúng tôi xin được cập nhật những thông tin dự báo chi tiết,REVERT,LOW
U9isawUpNDg,23,79.5,81.5,2.0,Cho các thành phố trong đêm nay và ngày mai,"Dự báo thời tiết cho các thành phố trong đêm nay và ngày mai cho thấy Đà Nẵng sẽ có mưa rào bất chợt với nhiệt độ thấp nhất đêm nay là 24 độ C và cao nhất ngày mai không vượt quá 28 độ; Thành phố Hồ Chí Minh đêm nay tạnh ráo với nhiệt độ 25 độ, sáng đến chiều mai trời nắng khá nóng 34 độ, nhưng chiều tối mai sẽ chuyển mưa rào kèm theo gió giật và sấm xét; Đà Lạt đêm nay không mưa, trời rét 16 độ, sáng ngày mai nắng xuất hiện với nhiệt độ tăng nhanh lên mức 23 độ.",Cho các thành phố trong đêm nay và ngày mai,REVERT,LOW
U9isawUpNDg,24,82.5,84.5,2.0,Thành phố Đà Nẵng dự báo cũng sẽ có mưa rào bất chợt,"Thành phố Đà Nẵng dự báo sẽ có mưa rào bất chợt, với nhiệt độ thấp nhất đêm nay là 24 độ C và nhiệt độ cao nhất ngày mai không vượt quá 28 độ C.",Thành phố Đà Nẵng dự báo cũng sẽ có mưa rào bất chợt,REVERT,HIGH
U9isawUpNDg,25,84.5,86.5,2.0,Nhiệt độ thất nhất đêm nay là 24 độ,Nhiệt độ thấp nhất đêm nay tại thành phố Đà Nẵng dự báo là 24 độ C.,Nhiệt độ thất nhất đêm nay là 24 độ,REVERT,LOW
U9isawUpNDg,26,86.5,90.5,4.0,Còn nhiệt độ cao nhất ngày mai sẽ không vượt quá 28 độ,Nhiệt độ cao nhất ở thành phố Đà Nẵng ngày mai sẽ không vượt quá 28 độ.,Còn nhiệt độ cao nhất ngày mai sẽ không vượt quá 28 độ,REVERT,MEDIUM
U9isawUpNDg,27,90.5,93.5,3.0,Thành phố Hồ Chí Minh đêm nay tạnh ráo 25 độ,Thành phố Hồ Chí Minh đêm nay sẽ tạnh ráo với nhiệt độ 25 độ C.,Thành phố Hồ Chí Minh đêm nay sẽ tạnh ráo với nhiệt độ 25 độ C.,OK,HIGH
U9isawUpNDg,28,93.5,96.5,3.0,Sáng đến chiều mai trời nắng khá nóng 34 độ,"Sáng đến chiều mai, thời tiết tại Thành phố Hồ Chí Minh sẽ nắng khá nóng với nhiệt độ đạt 34 độ.",Sáng đến chiều mai trời nắng khá nóng 34 độ,REVERT,MEDIUM
U9isawUpNDg,29,96.5,98.5,2.0,Đến chiều tối mai trời lại chuyển mưa rong,"Đến chiều tối mai, thành phố Hồ Chí Minh sẽ chuyển mưa rào.",Đến chiều tối mai trời lại chuyển mưa rong,REVERT,LOW
U9isawUpNDg,30,98.5,101.5,3.0,Để phòng gió giật sấm xét kèm theo trong mưa,"Để phòng tránh gió giật, sấm sét kèm theo trong mưa, người dân cần lưu ý trong thời gian tới.",Để phòng gió giật sấm xét kèm theo trong mưa,REVERT,LOW
