id,start,end,duration,text_len,text,video_id
0,0.0,3.0,3.0,61,Bằng chuyển sang những thông tin thời tiết với bên quỳnh Anh.,UoF18SZg9fE
1,3.0,8.0,5.0,84,"Chị Quỳnh Anh này miền Bắc thì cả tuần này ngày nào cũng ban ngày thì nắng hanh khô,",UoF18SZg9fE
2,8.0,12.0,4.0,78,"đến tối thì rét, không biết sang tuần mới thì thời tiết nó như thế nào hả chị?",UoF18SZg9fE
3,12.0,18.0,6.0,134,"Dạ vâng, theo như dự báo dài hạn của chúng tôi có được thì trong tuần tới vẫn sẽ có đợt không khí lạnh tăng cường xuống nước ta anh ạ.",UoF18SZg9fE
4,18.0,22.0,4.0,73,"Thưa quý vị và các bạn, đến khoảng ngày 13 tức là ngày Chủ nhật tuần sau,",UoF18SZg9fE
5,22.0,26.0,4.0,59,"sẽ có một đợt không khí lạnh mạnh tăng cường xuống nước ta,",UoF18SZg9fE
6,26.0,30.0,4.0,67,có thể tương đương với đợt đang chi phối thời tiết cả nước bây giờ.,UoF18SZg9fE
7,30.0,36.0,6.0,94,"Nhưng nó lại gây ra mưa rét cho Bắc Bộ từ đêm của ngày Chủ nhật sang tới thứ hai tuần sau nữa,",UoF18SZg9fE
8,36.0,38.0,2.0,38,chứ không phải là rét khô như đợt này.,UoF18SZg9fE
9,38.0,43.0,5.0,76,"Còn trước đó thì nhìn chung thời tiết ở Bắc Bộ sẽ là rét về đêm và sáng sớm,",UoF18SZg9fE
10,43.0,47.0,4.0,71,ban ngày và trưa chiều trời còn nắng ấm với xu hướng nhiệt độ tăng dần.,UoF18SZg9fE
11,47.0,50.0,3.0,67,Để có thể hình dung rõ hơn thì quý vị hãy theo dõi dự báo thời tiết,UoF18SZg9fE
12,50.0,52.0,2.0,40,tại thủ đô Hà Nội trong vòng 7 ngày tới.,UoF18SZg9fE
13,52.0,56.0,4.0,49,Quý vị sẽ thấy ấm hơn hẳn là vào 3 ngày cuối tuần,UoF18SZg9fE
14,56.0,63.0,7.0,70,khi nhiệt độ buổi trưa sẽ theo đà tăng dần lên từ 22 lên mức 24-25 độ.,UoF18SZg9fE
15,63.0,66.0,3.0,51,Ngay cả buổi đêm và sáng sớm của các ngày cuối tuần,UoF18SZg9fE
16,66.0,70.0,4.0,46,thì cũng đỡ rét hơn với mức nhiệt từ 16-19 độ.,UoF18SZg9fE
17,70.0,77.0,7.0,93,"Còn với 4 ngày đầu tuần, khả năng là trời vẫn rét về đêm và sáng sớm khi nhiệt độ dưới 15 độ.",UoF18SZg9fE
18,77.0,80.0,3.0,73,Tiếp theo sẽ là phần dự báo thời tiết trong một số thành phố trên cả nước,UoF18SZg9fE
19,80.0,81.0,1.0,26,trong 2 ngày đầu tuần tới.,UoF18SZg9fE
20,81.0,84.0,3.0,53,"Đà Nẵng vẫn có lúc có mưa nhỏ, đêm và sáng trời lạnh.",UoF18SZg9fE
21,84.0,89.0,5.0,67,"Nhiệt độ thấp nhất 20-21 độ, còn nhiệt độ cao nhất không quá 25 độ.",UoF18SZg9fE
22,89.0,93.0,4.0,74,Đà Lạt dự báo 2 ngày tới mưa chỉ dày ra vài nơi về chiều tối và rất nhanh.,UoF18SZg9fE
23,93.0,98.0,5.0,64,"Còn từ sáng đến chiều trời nắng 20 độ, ban đêm khá là rét 16 độ.",UoF18SZg9fE
24,98.0,100.0,2.0,36,Thành phố Hồ Chí Minh cũng tương tự.,UoF18SZg9fE
25,100.0,104.0,4.0,61,Dự báo sáng đến chiều 2 ngày đầu tuần tới trời nắng 31-33 độ.,UoF18SZg9fE
26,104.0,107.0,3.0,50,Về chiều tối mưa giảo nhẹ thoáng qua và rất nhanh.,UoF18SZg9fE
27,111.0,121.0,10.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,UoF18SZg9fE
