video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
W28gWMnhDzY,0,0.0,3.640000104904175,3.640000104904175,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Hương Liên.,OK,HIGH
W28gWMnhDzY,1,3.640000104904175,7.599999904632568,3.9599997997283936,"Chào chị Hương Liên, không biết là tình hình mưa rông trên cả nước ngày hôm nay có điều gì đáng chú ý hay không ạ?","Chào chị Hương Liên, không biết là tình hình mưa rông trên cả nước ngày hôm nay có điều gì đáng chú ý hay không ạ?","Chào chị Hương Liên, không biết là tình hình mưa rông trên cả nước ngày hôm nay có điều gì đáng chú ý hay không ạ?",OK,HIGH
W28gWMnhDzY,2,7.599999904632568,11.960000038146973,4.360000133514404,"Vâng anh Dương, chiều nay thì ở Nam Miền Trung, Tây Nguyên và Nam Bộ vẫn có mưa rông.","Vâng anh Dương, chiều nay thì ở Nam Miền Trung, Tây Nguyên và Nam Bộ vẫn có mưa rông.","Vâng anh Dương, chiều nay thì ở Nam Miền Trung, Tây Nguyên và Nam Bộ vẫn có mưa rông.",OK,HIGH
W28gWMnhDzY,3,11.960000038146973,17.399999618530273,5.439999580383301,"Trên ảnh mây vệ tinh có thể thấy mây rông phát triển gây mưa trên diện hẹp, chứ không rộng.","Trên ảnh mây vệ tinh có thể thấy mây rông phát triển gây mưa trên diện hẹp, chứ không rộng.","Trên ảnh mây vệ tinh có thể thấy mây rông phát triển gây mưa trên diện hẹp, chứ không rộng.",OK,HIGH
W28gWMnhDzY,4,17.399999618530273,20.84000015258789,3.440000534057617,Nhưng lại là những cụm mây đối lưu mạnh gây mưa to.,Nhưng lại là những cụm mây đối lưu mạnh gây mưa to.,Nhưng lại là những cụm mây đối lưu mạnh gây mưa to.,OK,HIGH
W28gWMnhDzY,5,20.84000015258789,28.31999969482422,7.479999542236328,"Một vài điểm ở Bình Định, Gia Lai, Kiên Giang lượng là từ 36 đến 55mm chỉ trong có 3 tiếng đồng hồ.","Một vài điểm ở Bình Định, Gia Lai, Kiên Giang lượng là từ 36 đến 55mm chỉ trong có 3 tiếng đồng hồ.","Một vài điểm ở Bình Định, Gia Lai, Kiên Giang lượng là từ 36 đến 55mm chỉ trong có 3 tiếng đồng hồ.",OK,HIGH
W28gWMnhDzY,6,28.479999542236328,33.119998931884766,4.6399993896484375,Dự báo mưa sẽ xuất hiện trở lại vào chiều mai ở Tây Nguyên và Nam Bộ.,Dự báo mưa sẽ xuất hiện trở lại vào chiều mai ở Tây Nguyên và Nam Bộ.,Dự báo mưa sẽ xuất hiện trở lại vào chiều mai ở Tây Nguyên và Nam Bộ.,OK,HIGH
W28gWMnhDzY,7,33.119998931884766,35.84000015258789,2.720001220703125,Diện và cường độ sẽ gia tăng so với chiều nay.,Diện và cường độ sẽ gia tăng so với chiều nay.,Diện và cường độ sẽ gia tăng so với chiều nay.,OK,HIGH
W28gWMnhDzY,8,35.84000015258789,42.2400016784668,6.400001525878906,"Mưa xảy ra ở hầu khắp các tỉnh thành, trong đó Đắc Nông, Lâm Đồng, Miền Đông Nam Bộ và Cà Mau.","Mưa xảy ra ở hầu khắp các tỉnh thành, trong đó Đắc Nông, Lâm Đồng, Miền Đông Nam Bộ và Cà Mau.","Mưa xảy ra ở hầu khắp các tỉnh thành, trong đó Đắc Nông, Lâm Đồng, Miền Đông Nam Bộ và Cà Mau.",OK,HIGH
W28gWMnhDzY,9,42.2400016784668,50.720001220703125,8.479999542236328,"Sẽ có mưa vừa mưa to, tương ứng với vùng màu xanh đậm này, lượng là từ 25 đến 50mm, dồn dập trong thời gian ngắn.","Sẽ có mưa vừa mưa to, tương ứng với vùng màu xanh đậm này, lượng là từ 25 đến 50mm, dồn dập trong thời gian ngắn.","Sẽ có mưa vừa mưa to, tương ứng với vùng màu xanh đậm này, lượng là từ 25 đến 50mm, dồn dập trong thời gian ngắn.",OK,HIGH
