id,start,end,duration,text_len,text,video_id
0,0.0,5.480000019073486,5.480000019073486,90,"Thưa quý vị khán giả, vào chiều nay tại đỉnh Phan Xipang của tỉnh Lào Cai đã có mưa tuyết.",XvUbSjLYfO0
1,5.480000019073486,10.0,4.519999980926514,101,"Vậy thì những ngày sắp tới sẽ có thêm những địa phương nào, khu vực nào có thể xảy ra hiện tượng này.",XvUbSjLYfO0
2,10.0,14.0,4.0,88,Ngay sau đây chúng ta sẽ cùng đến với những thông tin cập nhật từ phóng viên Thanh Tùng.,XvUbSjLYfO0
3,14.0,15.0,1.0,23,Xin mời anh Thanh Tùng.,XvUbSjLYfO0
4,15.0,18.0,3.0,62,"Vâng ạ, xin chào anh Hoàng Dương và kính chào quý vị khán giả.",XvUbSjLYfO0
5,18.0,21.0,3.0,82,Theo dự báo là trong đêm nay và ngày mai thì không khí lạnh sẽ tiếp tục dồn xuống.,XvUbSjLYfO0
6,21.0,24.0,3.0,44,Vì thế mưa tuyết thì vẫn có khả năng xảy ra.,XvUbSjLYfO0
7,24.0,28.0,4.0,70,Ngoài Phan Xipang thì tại y tí của Lào Cai hay là mẫu sơn của Lạng Sơn,XvUbSjLYfO0
8,28.0,31.0,3.0,61,thì cũng có khả năng xảy ra hiện tượng băng giá và mưa tuyết.,XvUbSjLYfO0
9,31.0,37.0,6.0,94,Với những nơi khác của Bắc và Bắc Trung Bộ thì xảy ra rét đậm trên diện rộng trong 2 ngày tới.,XvUbSjLYfO0
10,37.0,42.0,5.0,71,"Nhật độ thấp nhất ở Bắc Bộ thì phổ biến là 9-12 độ, vùng núi là 4-7 độ,",XvUbSjLYfO0
11,42.0,45.0,3.0,57,thậm chí là một số nơi vùng núi cao có thể là xuống 0 độ.,XvUbSjLYfO0
12,45.0,49.0,4.0,45,Nhật độ thấp nhất ở Bắc Trung Bộ từ 11-14 độ.,XvUbSjLYfO0
13,49.0,53.0,4.0,76,Với mưa lớn của miền Trung thì dự báo là từ nay cho đến ngày mai thì khu vực,XvUbSjLYfO0
14,53.0,56.0,3.0,58,từ Quảng Trị đến Quảng Ngãi sẽ tiếp tục có mưa vừa mưa to.,XvUbSjLYfO0
15,56.0,62.0,6.0,65,Lượng mưa phổ biến là từ 50-120mm và có nơi có thể là trên 150mm.,XvUbSjLYfO0
16,62.0,66.0,4.0,90,Cần phải đề phòng với hiện tượng ngập ống có thể xảy ra tại những vùng trũng thấp ven sông,XvUbSjLYfO0
17,66.0,69.0,3.0,45,và hiện tượng lũ quét sẵn ở đất tại vùng núi.,XvUbSjLYfO0
18,69.0,74.0,5.0,71,"Khu vực Nam Nghệ An, Hà Tĩnh, Quảng Bình cũng như Bình Định đến Phú Yên",XvUbSjLYfO0
19,74.0,78.0,4.0,51,thì lượng mưa là từ 30-60mm và có nơi là trên 70mm.,XvUbSjLYfO0
20,78.0,82.0,4.0,92,Còn tiếp theo sẽ là những thông tin dự báo chi tiết cho các thành phố trong 2 ngày đầu tuần.,XvUbSjLYfO0
21,82.0,86.0,4.0,64,"Tại Hà Nội dự báo trời vẫn lất thất mưa trong đêm nay, ngày mai.",XvUbSjLYfO0
22,86.0,88.0,2.0,23,Đến thứ 3 sẽ tạnh giáo.,XvUbSjLYfO0
23,88.0,93.0,5.0,77,"2 ngày đầu tuần trời rét với nhiệt độ ban đêm là 12 độ, ban ngày từ 14-16 độ.",XvUbSjLYfO0
24,93.0,98.0,5.0,61,"Đà Lạt trời khô ráo, đêm rét sâu 13 độ, ngày trời lạnh 22 độ.",XvUbSjLYfO0
25,98.0,101.0,3.0,68,Thành phố Hồ Chí Minh dự báo là chiều tối mai sẽ có mưa rào vài nơi.,XvUbSjLYfO0
26,101.0,103.0,2.0,41,Các khoảng thời gian khác trời tạnh giáo.,XvUbSjLYfO0
27,103.0,107.0,4.0,42,"Đêm và sáng xe lạnh 23 độ, ban ngày 32 độ.",XvUbSjLYfO0
28,108.0,114.0,6.0,69,Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,XvUbSjLYfO0
