video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
YBWH02_klQM,0,0.0,6.0,6.0,Bây giờ chúng ta cùng tiếp tục chương trình với những thông tin thời tiết cùng với biên tập viên Hương Liên.,Bây giờ chúng ta cùng tiếp tục chương trình với những thông tin thời tiết cùng với biên tập viên Hương Liên.,Bây giờ chúng ta cùng tiếp tục chương trình với những thông tin thời tiết cùng với biên tập viên Hương Liên.,OK,HIGH
YBWH02_klQM,1,6.0,10.0,4.0,"Chị Hương Liên này, chiều nay Hà Nội và các tỉnh Thành Lân cận có xảy ra mưa như ngày hôm qua không chị?","Chị Hương Liên này, chiều nay Hà Nội và các tỉnh Thành Lân cận có xảy ra mưa như ngày hôm qua không chị?","Chị Hương Liên này, chiều nay Hà Nội và các tỉnh Thành Lân cận có xảy ra mưa như ngày hôm qua không chị?",OK,HIGH
YBWH02_klQM,2,10.0,16.0,6.0,"Vâng anh Dũng, ít nhất là giờ tan tầm ngày hôm nay thì chúng ta sẽ không phải chứng kiến cảnh mưa gió ngập úng như là hôm qua nữa.","Vâng anh Dũng, ít nhất là giờ tan tầm ngày hôm nay thì chúng ta sẽ không phải chứng kiến cảnh mưa gió ngập úng như là hôm qua nữa.","Vâng anh Dũng, ít nhất là giờ tan tầm ngày hôm nay thì chúng ta sẽ không phải chứng kiến cảnh mưa gió ngập úng như là hôm qua nữa.",OK,HIGH
YBWH02_klQM,3,16.0,24.0,8.0,"Bởi vì quan sát trên ảnh mây vệ tinh thì ổ dông chiều nay ở Hòa Bình, Phú Thọ, phía Tây Hà Nội đã nhanh chóng tan đi.","Bởi vì quan sát trên ảnh mây vệ tinh thì ổ dông chiều nay ở Hòa Bình, Phú Thọ, phía Tây Hà Nội đã nhanh chóng tan đi.","Bởi vì quan sát trên ảnh mây vệ tinh thì ổ dông chiều nay ở Hòa Bình, Phú Thọ, phía Tây Hà Nội đã nhanh chóng tan đi.",OK,HIGH
YBWH02_klQM,4,24.0,28.0,4.0,Cơn mưa tiếp theo có thể sẽ quay trở lại vào ban đêm ở khu vực Bắc Bộ.,Cơn mưa tiếp theo có thể sẽ quay trở lại vào ban đêm ở khu vực Bắc Bộ.,Cơn mưa tiếp theo có thể sẽ quay trở lại vào ban đêm ở khu vực Bắc Bộ.,OK,HIGH
YBWH02_klQM,5,28.0,34.0,6.0,"Ngay trên khu vực này vẫn tồn tại một vùng hội tụ gió, lượng mưa đêm nay sẽ không lớn và dồn dập như hôm qua.","Ngay trên khu vực này vẫn tồn tại một vùng hội tụ gió, lượng mưa đêm nay sẽ không lớn và dồn dập như hôm qua.","Ngay trên khu vực này vẫn tồn tại một vùng hội tụ gió, lượng mưa đêm nay sẽ không lớn và dồn dập như hôm qua.",OK,HIGH
YBWH02_klQM,6,34.0,39.0,5.0,Mặc dù có mưa về đêm như vậy nhưng sang đến ngày mai trở lại nắng nóng ngay.,Mặc dù có mưa về đêm như vậy nhưng sang đến ngày mai trở lại nắng nóng ngay.,Mặc dù có mưa về đêm như vậy nhưng sang đến ngày mai trở lại nắng nóng ngay.,OK,HIGH
YBWH02_klQM,7,39.0,44.0,5.0,Dự báo khắp Bắc Bộ vẫn nằm trong vùng nhiệt cao 35-37 độ.,Dự báo khắp Bắc Bộ vẫn nằm trong vùng nhiệt cao 35-37 độ.,Dự báo khắp Bắc Bộ vẫn nằm trong vùng nhiệt cao 35-37 độ.,OK,HIGH
YBWH02_klQM,8,44.0,50.0,6.0,"Còn ở miền trung, nơi hiệu ứng gió phơn xảy ra mạnh mẽ, cường độ nắng nóng cũng ngay gắt hơn.","Còn ở miền trung, nơi hiệu ứng gió phơn xảy ra mạnh mẽ, cường độ nắng nóng cũng ngay gắt hơn.","Còn ở miền trung, nơi hiệu ứng gió phơn xảy ra mạnh mẽ, cường độ nắng nóng cũng ngay gắt hơn.",OK,HIGH
YBWH02_klQM,9,50.0,58.0,8.0,"Từ Núi, từ Nghệ An xuống đến Quảng Ngãi, dự báo ngày mai nhiệt độ sẽ cao 37-39 độ và có nơi trên 39 độ.","Từ Núi, từ Nghệ An xuống đến Quảng Ngãi, dự báo ngày mai nhiệt độ sẽ cao 37-39 độ và có nơi trên 39 độ.","Từ Núi, từ Nghệ An xuống đến Quảng Ngãi, dự báo ngày mai nhiệt độ sẽ cao 37-39 độ và có nơi trên 39 độ.",OK,HIGH
