video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
YFRYg4bFKqE,0,0.0,5.0,5.0,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,Còn tiếp theo sẽ là những thông tin dự báo thời tiết đến từ biên tập viên thời tiết Ngọc Vân,OK,HIGH
YFRYg4bFKqE,1,5.0,8.0,3.0,"Trang trình Ngọc Vân, không biết là tuần sau khi chúng ta bắt đầu một tuần làm việc mới","Trang trình Ngọc Vân, không biết là tuần sau khi chúng ta bắt đầu một tuần làm việc mới","Trang trình Ngọc Vân, không biết là tuần sau khi chúng ta bắt đầu một tuần làm việc mới",OK,HIGH
YFRYg4bFKqE,2,8.0,10.0,2.0,thì thời tiết có nhiều xáo động so với tuần này hay không ạ?,thì thời tiết có nhiều xáo động so với tuần này hay không ạ?,thì thời tiết có nhiều xáo động so với tuần này hay không ạ?,OK,HIGH
YFRYg4bFKqE,3,10.0,13.0,3.0,"Vâng, tuần sau thì khu vực Nam Trung Bộ vẫn nằng nóng trên diện rộng","Vâng, tuần sau thì khu vực Nam Trung Bộ vẫn nằng nóng trên diện rộng","Vâng, tuần sau thì khu vực Nam Trung Bộ vẫn nằng nóng trên diện rộng",OK,HIGH
YFRYg4bFKqE,4,13.0,18.0,5.0,"Còn tại Bắc Bộ, Bắc Miền Trung, Hai Làm, khu vực Tây Nguyên Nam Bộ thì lại mưa khá nhiều","Còn tại Bắc Bộ, Bắc Miền Trung, Hai Làm, khu vực Tây Nguyên Nam Bộ thì lại mưa khá nhiều","Còn tại Bắc Bộ, Bắc Miền Trung, Hai Làm, khu vực Tây Nguyên Nam Bộ thì lại mưa khá nhiều",OK,HIGH
YFRYg4bFKqE,5,18.0,21.0,3.0,Và thực tế là mưa có xu hướng gia tăng ngay từ chiều vào tối nay rồi,Và thực tế là mưa có xu hướng gia tăng ngay từ chiều vào tối nay rồi,Và thực tế là mưa có xu hướng gia tăng ngay từ chiều vào tối nay rồi,OK,HIGH
YFRYg4bFKqE,6,21.0,25.0,4.0,Đến hiện tại qua ảnh mây vệ tinh cũng thấy là mây dông đang bao phủ gây mưa,Đến hiện tại qua ảnh mây vệ tinh cũng thấy là mây dông đang bao phủ gây mưa,Đến hiện tại qua ảnh mây vệ tinh cũng thấy là mây dông đang bao phủ gây mưa,OK,HIGH
YFRYg4bFKqE,7,25.0,29.0,4.0,"tại vùng núi Tây Bắc Bộ cũng như Thanh Hóa, Nghệ An và nhiều nơi khác","tại vùng núi Tây Bắc Bộ cũng như Thanh Hóa, Nghệ An và nhiều nơi khác","tại vùng núi Tây Bắc Bộ cũng như Thanh Hóa, Nghệ An và nhiều nơi khác",OK,HIGH
YFRYg4bFKqE,8,29.0,32.0,3.0,thuộc khu vực Tây Nguyên và Nam Bộ,thuộc khu vực Tây Nguyên và Nam Bộ,thuộc khu vực Tây Nguyên và Nam Bộ,OK,HIGH
YFRYg4bFKqE,9,32.0,35.0,3.0,"Cượng độ mây phát triển khá mạnh, chút mưa xuống, dồn dập","Cượng độ mây phát triển khá mạnh, chút mưa xuống, dồn dập","Cượng độ mây phát triển khá mạnh, chút mưa xuống, dồn dập",OK,HIGH
