video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
Yf-2icjLvvQ,0,0.0,7.0,7.0,Và cũng trong tuần làm việc mới thì có lẽ là khán giả truyền hình cũng rất là mong muốn là không biết là thời tiết có thuận lợi trên cả nước hay không? Chị Xuân Anh,Và cũng trong tuần làm việc mới thì có lẽ là khán giả truyền hình cũng rất là mong muốn là không biết là thời tiết có thuận lợi trên cả nước hay không? Chị Xuân Anh,Và cũng trong tuần làm việc mới thì có lẽ là khán giả truyền hình cũng rất là mong muốn là không biết là thời tiết có thuận lợi trên cả nước hay không? Chị Xuân Anh,OK,HIGH
Yf-2icjLvvQ,1,7.0,14.0,7.0,"Vâng, về thời tiết thì ở cả ba miền đất nước sẽ đều có một chút sự thay đổi trong cái ngày đầu tiên mà chúng ta quay trở lại công việc thường nhật sau kỳ ngày Tết","Vâng, về thời tiết thì ở cả ba miền đất nước sẽ đều có một chút sự thay đổi trong cái ngày đầu tiên mà chúng ta quay trở lại công việc thường nhật sau kỳ ngày Tết","Vâng, về thời tiết thì ở cả ba miền đất nước sẽ đều có một chút sự thay đổi trong cái ngày đầu tiên mà chúng ta quay trở lại công việc thường nhật sau kỳ ngày Tết",OK,HIGH
Yf-2icjLvvQ,2,14.0,17.0,3.0,Anh Dương cũng như là quý vị khán giả có thể theo dõi ở đây,Anh Dương cũng như là quý vị khán giả có thể theo dõi ở đây,Anh Dương cũng như là quý vị khán giả có thể theo dõi ở đây,OK,HIGH
Yf-2icjLvvQ,3,17.0,22.0,5.0,Khu vực Tây Nguyên và Nam Bộ thì khả năng sẽ là những nơi mà xuất hiện mưa trái mùa về chiều,Khu vực Tây Nguyên và Nam Bộ thì khả năng sẽ là những nơi mà xuất hiện mưa trái mùa về chiều,Khu vực Tây Nguyên và Nam Bộ thì khả năng sẽ là những nơi mà xuất hiện mưa trái mùa về chiều,OK,HIGH
Yf-2icjLvvQ,4,22.0,28.0,6.0,Còn ở khu vực miền Trung thì mưa sẽ xảy ra ngắt quãng ở trong ngày và ít nhiều cũng sẽ ảnh hưởng đến việc di chuyển của người dân,Còn ở khu vực miền Trung thì mưa sẽ xảy ra ngắt quãng ở trong ngày và ít nhiều cũng sẽ ảnh hưởng đến việc di chuyển của người dân,Còn ở khu vực miền Trung thì mưa sẽ xảy ra ngắt quãng ở trong ngày và ít nhiều cũng sẽ ảnh hưởng đến việc di chuyển của người dân,OK,HIGH
Yf-2icjLvvQ,5,28.0,34.0,6.0,Còn đối với miền Bắc thì trời có nắng ấm thế nhưng mà thời gian nắng thì sẽ muộn hơn là vào buổi trưa chiều,Còn đối với miền Bắc thì trời có nắng ấm thế nhưng mà thời gian nắng thì sẽ muộn hơn là vào buổi trưa chiều,Còn đối với miền Bắc thì trời có nắng ấm thế nhưng mà thời gian nắng thì sẽ muộn hơn là vào buổi trưa chiều,OK,HIGH
Yf-2icjLvvQ,6,34.0,41.0,7.0,Còn vào sáng sớm thì quý vị khán giả ở miền Bắc lưu ý là trời sẽ có nhiều mây và đặc biệt là có sương mù,Còn vào sáng sớm thì quý vị khán giả ở miền Bắc lưu ý là trời sẽ có nhiều mây và đặc biệt là có sương mù,Còn vào sáng sớm thì quý vị khán giả ở miền Bắc lưu ý là trời sẽ có nhiều mây và đặc biệt là có sương mù,OK,HIGH
Yf-2icjLvvQ,7,41.0,50.0,9.0,Sương sẽ bao phủ hầu khắp khu vực và trong đó ở khu vực vùng núi thì sương khá dày làm cho tầm nhìn xa giảm xuống chỉ còn khoảng vài trăm mét mà thôi,Sương sẽ bao phủ hầu khắp khu vực và trong đó ở khu vực vùng núi thì sương khá dày làm cho tầm nhìn xa giảm xuống chỉ còn khoảng vài trăm mét mà thôi,Sương sẽ bao phủ hầu khắp khu vực và trong đó ở khu vực vùng núi thì sương khá dày làm cho tầm nhìn xa giảm xuống chỉ còn khoảng vài trăm mét mà thôi,OK,HIGH
Yf-2icjLvvQ,8,50.0,57.0,7.0,Còn đối với cả khu vực đồng bằng thì chủ yếu là mù nhẹ cho nên tầm nhìn xa thì có cao hơn một chút vẫn dưới 2km,Còn đối với cả khu vực đồng bằng thì chủ yếu là mù nhẹ cho nên tầm nhìn xa thì có cao hơn một chút vẫn dưới 2km,Còn đối với cả khu vực đồng bằng thì chủ yếu là mù nhẹ cho nên tầm nhìn xa thì có cao hơn một chút vẫn dưới 2km,OK,HIGH
Yf-2icjLvvQ,9,58.0,62.0,4.0,Đến trưa chiều thì dự báo là nắng mới xuất hiện trở lại ở khu vực miền Bắc,Đến trưa chiều thì dự báo là nắng mới xuất hiện trở lại ở khu vực miền Bắc,Đến trưa chiều thì dự báo là nắng mới xuất hiện trở lại ở khu vực miền Bắc,OK,HIGH
Yf-2icjLvvQ,10,62.0,69.0,7.0,Thế nhưng mà do thời gian nắng thì rút ngắn lại bởi vậy nên là trời sẽ bớt hanh khô hơn so với khoảng 1 đến 2 ngày qua,Thế nhưng mà do thời gian nắng thì rút ngắn lại bởi vậy nên là trời sẽ bớt hanh khô hơn so với khoảng 1 đến 2 ngày qua,Thế nhưng mà do thời gian nắng thì rút ngắn lại bởi vậy nên là trời sẽ bớt hanh khô hơn so với khoảng 1 đến 2 ngày qua,OK,HIGH
Yf-2icjLvvQ,11,69.0,75.0,6.0,Dự báo là độ ấm ở khu vực thủ đô Hà Nội hay là các nơi khác phổ biến sẽ đều trên 40%,Dự báo là độ ấm ở khu vực thủ đô Hà Nội hay là các nơi khác phổ biến sẽ đều trên 40%,Dự báo là độ ấm ở khu vực thủ đô Hà Nội hay là các nơi khác phổ biến sẽ đều trên 40%,OK,HIGH
Yf-2icjLvvQ,12,75.0,79.0,4.0,Còn với nhiệt độ thì không nơi nào vượt quá 21 độ,Còn với nhiệt độ thì không nơi nào vượt quá 21 độ,Còn với nhiệt độ thì không nơi nào vượt quá 21 độ,OK,HIGH
Yf-2icjLvvQ,13,79.0,86.0,7.0,Đối với thủ đô Hà Nội hay là hầu khắp miền Bắc thì sẽ còn duy trì trạng thái thời tiết khá là ổn định trong khoảng là 2 ngày đầu tuần,Đối với thủ đô Hà Nội hay là hầu khắp miền Bắc thì sẽ còn duy trì trạng thái thời tiết khá là ổn định trong khoảng là 2 ngày đầu tuần,Đối với thủ đô Hà Nội hay là hầu khắp miền Bắc thì sẽ còn duy trì trạng thái thời tiết khá là ổn định trong khoảng là 2 ngày đầu tuần,OK,HIGH
Yf-2icjLvvQ,14,86.0,91.0,5.0,Sau đó đến thứ tư thì sẽ có sự chuyển biến thời tiết khi mà không khí lạnh tăng cứng xuống,Sau đó đến thứ tư thì sẽ có sự chuyển biến thời tiết khi mà không khí lạnh tăng cứng xuống,Sau đó đến thứ tư thì sẽ có sự chuyển biến thời tiết khi mà không khí lạnh tăng cứng xuống,OK,HIGH
Yf-2icjLvvQ,15,91.0,94.0,3.0,Trời sẽ chuyển nhiều mây và cảm giác cũng lạnh hơn,Trời sẽ chuyển nhiều mây và cảm giác cũng lạnh hơn,Trời sẽ chuyển nhiều mây và cảm giác cũng lạnh hơn,OK,HIGH
Yf-2icjLvvQ,16,94.0,97.0,3.0,Càng về cuối tuần thì trời lại càng lạnh dần,Càng về cuối tuần thì trời lại càng lạnh dần,Càng về cuối tuần thì trời lại càng lạnh dần,OK,HIGH
