video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
YrGPWvv2mSQ,0,0.0,5.400000095367432,5.400000095367432,Còn tiếp theo chúng ta sẽ cùng đến với những thông tin cập nhật về tình hình thời tiết từ biên tập viên thời tiết Hải Yến.,"Tiếp theo, chúng ta sẽ cùng cập nhật thông tin về tình hình thời tiết từ biên tập viên Hải Yến.","Tiếp theo, chúng ta sẽ cùng cập nhật thông tin về tình hình thời tiết từ biên tập viên Hải Yến.",OK,HIGH
YrGPWvv2mSQ,1,5.400000095367432,10.899999618530273,5.499999523162842,Chị Hải Yến theo dự báo thì ngày kia miền Bắc sẽ chính thức đón một đợt dết mới và thậm chí là dết đậm dết hại.,"Theo dự báo, ngày kia miền Bắc sẽ chính thức đón một đợt rét mới, thậm chí là rét đậm, rét hại.","Theo dự báo, ngày kia miền Bắc sẽ chính thức đón một đợt rét mới, thậm chí là rét đậm, rét hại.",OK,HIGH
YrGPWvv2mSQ,2,10.899999618530273,13.5600004196167,2.660000801086426,Vậy thì không biết từ đêm nay thời tiết đã có nhiều biến chuyển hay chưa?,"Không biết từ đêm nay, thời tiết đã có nhiều biến chuyển hay chưa?","Không biết từ đêm nay, thời tiết đã có nhiều biến chuyển hay chưa?",OK,HIGH
YrGPWvv2mSQ,3,13.5600004196167,19.260000228881836,5.699999809265137,"Vâng ạ, trong đêm nay và ngày mai thì nhiều tình hình sẽ bắt đầu có sự chuyển biến với thời tiết từ Bắc đến Nam,","Trong đêm nay và ngày mai, thời tiết từ Bắc vào Nam sẽ bắt đầu có sự chuyển biến do ảnh hưởng của không khí lạnh, với Lạng Sơn là tỉnh đầu tiên chịu tác động.","Vâng ạ, trong đêm nay và ngày mai thì nhiều tình hình sẽ bắt đầu có sự chuyển biến với thời tiết từ Bắc đến Nam,",REVERT,MEDIUM
YrGPWvv2mSQ,4,19.260000228881836,26.139999389648438,6.879999160766602,từ Đông sang Tây theo sự di chuyển của khu không khí lạnh và Lạng Sơn sẽ gần như là tỉnh đầu tiên chịu tác động của khu không khí lạnh lần này.,"Từ Đông sang Tây, theo sự di chuyển của khu không khí lạnh, Lạng Sơn sẽ gần như là tỉnh đầu tiên chịu tác động của đợt không khí lạnh lần này.","Từ Đông sang Tây, theo sự di chuyển của khu không khí lạnh, Lạng Sơn sẽ gần như là tỉnh đầu tiên chịu tác động của đợt không khí lạnh lần này.",OK,HIGH
YrGPWvv2mSQ,5,26.139999389648438,30.139999389648438,4.0,Và thông tin cụ thể tôi sẽ cập nhật đến Anh Dương cũng như quý vị khán giả qua biểu đồ nhiệt ngay sau đây.,Tôi sẽ cập nhật thông tin cụ thể đến Anh Dương cũng như quý vị khán giả qua biểu đồ nhiệt ngay sau đây.,Tôi sẽ cập nhật thông tin cụ thể đến Anh Dương cũng như quý vị khán giả qua biểu đồ nhiệt ngay sau đây.,OK,HIGH
YrGPWvv2mSQ,6,30.139999389648438,35.099998474121094,4.959999084472656,"Thưa quý vị, cái đường biến trình nhiệt màu hồng như này tương ứng với diễn biến nhiệt tại Lạng Sơn","Thưa quý vị, đường biến trình nhiệt màu hồng tương ứng với diễn biến nhiệt tại Lạng Sơn, và vào khoảng 7 giờ sáng ngày mai, không khí lạnh sẽ về tới đây, khiến nhiệt độ giảm dần từ mức khoảng 18 độ vào buổi sáng xuống thấp hơn chục độ so với chiều hôm nay.","Thưa quý vị, cái đường biến trình nhiệt màu hồng như này tương ứng với diễn biến nhiệt tại Lạng Sơn",REVERT,LOW
YrGPWvv2mSQ,7,35.099998474121094,41.459999084472656,6.3600006103515625,và khoảng 7h sáng ngày mai thì không khí lạnh sẽ về tới đây và gió cũng sẽ chuyển sang hướng Đông Bắc.,"Khoảng 7 giờ sáng ngày mai, không khí lạnh sẽ về tới Lạng Sơn và gió sẽ chuyển sang hướng Đông Bắc.",và khoảng 7h sáng ngày mai thì không khí lạnh sẽ về tới đây và gió cũng sẽ chuyển sang hướng Đông Bắc.,REVERT,HIGH
YrGPWvv2mSQ,8,41.459999084472656,47.86000061035156,6.400001525878906,"Nhiệt độ từ thời điểm này cho đến chiều tối sẽ theo một chiều giảm, buổi sáng mức nhiệt là khoảng 18 độ.","Nhiệt độ tại Lạng Sơn từ thời điểm này cho đến chiều tối sẽ giảm dần, với mức nhiệt vào buổi sáng khoảng 18 độ.","Nhiệt độ từ thời điểm này cho đến chiều tối sẽ theo một chiều giảm, buổi sáng mức nhiệt là khoảng 18 độ.",REVERT,HIGH
YrGPWvv2mSQ,9,47.86000061035156,55.70000076293945,7.840000152587891,"Về chiều tối thì trời sẽ rất dết, thậm chí là nhiệt độ vào chiều ngày mai có thể giảm hơn chục độ so với chiều ngày hôm nay.","Vào chiều tối, trời sẽ rất rét, và nhiệt độ vào chiều ngày mai có thể giảm hơn 10 độ so với chiều hôm nay.","Vào chiều tối, trời sẽ rất rét, và nhiệt độ vào chiều ngày mai có thể giảm hơn 10 độ so với chiều hôm nay.",OK,HIGH
YrGPWvv2mSQ,10,55.70000076293945,60.34000015258789,4.6399993896484375,Còn tại thủ đô Hà Nội thì đường biến trình nhiệt tương ứng với đường màu xanh dương như thế này,"Tại thủ đô Hà Nội, đường biến trình nhiệt tương ứng với đường màu xanh dương cho thấy không khí lạnh sẽ về chậm hơn so với Lạng Sơn khoảng 10 tiếng.",Còn tại thủ đô Hà Nội thì đường biến trình nhiệt tương ứng với đường màu xanh dương như thế này,REVERT,LOW
YrGPWvv2mSQ,11,60.34000015258789,65.05999755859375,4.719997406005859,và không khí lạnh sẽ về chậm hơn so với Lạng Sơn khoảng 10 tiếng.,Không khí lạnh sẽ về chậm hơn so với Lạng Sơn khoảng 10 tiếng.,Không khí lạnh sẽ về chậm hơn so với Lạng Sơn khoảng 10 tiếng.,OK,HIGH
YrGPWvv2mSQ,12,65.05999755859375,72.81999969482422,7.760002136230469,"Dự báo là chiều tối mai trời sẽ bắt đầu có mưa và gió cũng sẽ đổi sang hướng Đông Bắc, nhiệt độ giảm xuống mức là khoảng 17 độ.","Dự báo chiều tối mai, trời sẽ bắt đầu có mưa, gió chuyển sang hướng Đông Bắc và nhiệt độ giảm xuống khoảng 17 độ.","Dự báo chiều tối mai, trời sẽ bắt đầu có mưa, gió chuyển sang hướng Đông Bắc và nhiệt độ giảm xuống khoảng 17 độ.",OK,HIGH
YrGPWvv2mSQ,13,72.81999969482422,81.37999725341797,8.55999755859375,"Còn trước đó từ sáng cho đến trưa thì trời chỉ không có nhiều sự thay đổi, trời sẽ nhiều mây và mức nhiệt tại đây khoảng là 23 độ.","Từ sáng đến trưa, thời tiết tại Lạng Sơn không có nhiều thay đổi, trời nhiều mây và mức nhiệt khoảng 23 độ.","Còn trước đó từ sáng cho đến trưa thì trời chỉ không có nhiều sự thay đổi, trời sẽ nhiều mây và mức nhiệt tại đây khoảng là 23 độ.",REVERT,MEDIUM
YrGPWvv2mSQ,14,81.37999725341797,86.18000030517578,4.8000030517578125,Sang đến ngày kia thì toàn miền Bắc từ vùng núi cho đến đồng bằng đều chìm trong mưa dét.,"Sang đến ngày kia, toàn miền Bắc, từ vùng núi đến đồng bằng, sẽ chìm trong mưa dết.",Sang đến ngày kia thì toàn miền Bắc từ vùng núi cho đến đồng bằng đều chìm trong mưa dét.,REVERT,LOW
YrGPWvv2mSQ,15,86.18000030517578,90.18000030517578,4.0,Một vấn đề đáng chú ý khác ở phía Nam đó là chiều cường tại TP.HCM.,"Một vấn đề đáng chú ý khác ở phía Nam là tình trạng triều cường tại TP.HCM, dự báo trong ba ngày tới sẽ đạt mức cao nhất tại Trạm Phú An trên sông Sài Gòn từ 1,54m đến 1,60m, trùng với thời điểm TP.HCM có mưa trái mùa, có khả năng gây ngập úng tại những tuyến đường trũng thấp ven sông.",Một vấn đề đáng chú ý khác ở phía Nam đó là chiều cường tại TP.HCM.,REVERT,HIGH
YrGPWvv2mSQ,16,90.18000030517578,101.69999694824219,11.519996643066406,"Ba ngày tới thì sẽ là giai đoạn cao điểm của chiều cường và dự báo là mức nước cao nhất tại Trạm Phú An trên sông Sài Gòn đều từ 1,54m cho đến 1,60m.","Trong ba ngày tới, sẽ là giai đoạn cao điểm của triều cường tại TP.HCM, với dự báo mức nước cao nhất tại Trạm Phú An trên sông Sài Gòn dao động từ 1,54m đến 1,60m.","Ba ngày tới thì sẽ là giai đoạn cao điểm của chiều cường và dự báo là mức nước cao nhất tại Trạm Phú An trên sông Sài Gòn đều từ 1,54m cho đến 1,60m.",REVERT,HIGH
YrGPWvv2mSQ,17,101.69999694824219,108.41999816894531,6.720001220703125,"Chiều cường xuất hiện vào đúng dịp, TP.HCM có mưa trái mùa nên có thể sẽ gây ra ngập úng tại những tuyến đường trũng thấp phía sông.","Chiều cường xuất hiện đúng lúc TP.HCM có mưa trái mùa, do đó có khả năng gây ngập úng tại những tuyến đường trũng thấp ven sông.","Chiều cường xuất hiện đúng lúc TP.HCM có mưa trái mùa, do đó có khả năng gây ngập úng tại những tuyến đường trũng thấp ven sông.",OK,HIGH
