video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
ZNDKxbLNQJE,0,0.0,3.740000009536743,3.740000009536743,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập biên thời tiết Xuân Anh,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập biên thời tiết Xuân Anh,Còn tiếp theo sẽ là những thông tin dự báo thời tiết cùng với biên tập biên thời tiết Xuân Anh,OK,HIGH
ZNDKxbLNQJE,1,3.740000009536743,6.480000019073486,2.740000009536743,Tuy nhiên sau đây tôi muốn mời Chị Xuân Anh cùng quý vị khán giả,Tuy nhiên sau đây tôi muốn mời Chị Xuân Anh cùng quý vị khán giả,Tuy nhiên sau đây tôi muốn mời Chị Xuân Anh cùng quý vị khán giả,OK,HIGH
ZNDKxbLNQJE,2,6.480000019073486,10.239999771118164,3.7599997520446777,sẽ cùng theo dõi một hình ảnh của Việt Nam hôm nay siêu tầm được,sẽ cùng theo dõi một hình ảnh của Việt Nam hôm nay siêu tầm được,sẽ cùng theo dõi một hình ảnh của Việt Nam hôm nay siêu tầm được,OK,HIGH
ZNDKxbLNQJE,3,11.880000114440918,13.239999771118164,1.359999656677246,Thưa Chị Xuân Anh và quý vị khán giả,Thưa Chị Xuân Anh và quý vị khán giả,Thưa Chị Xuân Anh và quý vị khán giả,OK,HIGH
ZNDKxbLNQJE,4,13.239999771118164,17.239999771118164,4.0,Đây là hình ảnh của một cái chú bò đang cố gắng leo dốc,Đây là hình ảnh của một cái chú bò đang cố gắng leo dốc,Đây là hình ảnh của một cái chú bò đang cố gắng leo dốc,OK,HIGH
ZNDKxbLNQJE,5,17.239999771118164,20.739999771118164,3.5,Tuy nhiên thì Chị Xuân Anh có thể thấy rằng là chú bò này đã gặp rất nhiều khó khăn,Tuy nhiên thì Chị Xuân Anh có thể thấy rằng là chú bò này đã gặp rất nhiều khó khăn,Tuy nhiên thì Chị Xuân Anh có thể thấy rằng là chú bò này đã gặp rất nhiều khó khăn,OK,HIGH
ZNDKxbLNQJE,6,20.739999771118164,22.739999771118164,2.0,Do đường trơn trượt vì băng tuyết,Do đường trơn trượt vì băng tuyết,Do đường trơn trượt vì băng tuyết,OK,HIGH
ZNDKxbLNQJE,7,22.739999771118164,24.739999771118164,2.0,"Vâng, trơn quá đúng không?","Vâng, trơn quá đúng không?","Vâng, trơn quá đúng không?",OK,HIGH
ZNDKxbLNQJE,8,24.739999771118164,25.239999771118164,0.5,Đúng vậy,Đúng vậy,Đúng vậy,OK,HIGH
ZNDKxbLNQJE,9,25.239999771118164,26.739999771118164,1.5,Không thể đứng nổi và nó cứ trượt liên tục,Không thể đứng nổi và nó cứ trượt liên tục,Không thể đứng nổi và nó cứ trượt liên tục,OK,HIGH
ZNDKxbLNQJE,10,26.979999542236328,30.979999542236328,4.0,Đây là một hình ảnh rất sinh động cho thấy sự nguy hiểm và trơn trượt như thế nào,Đây là một hình ảnh rất sinh động cho thấy sự nguy hiểm và trơn trượt như thế nào,Đây là một hình ảnh rất sinh động cho thấy sự nguy hiểm và trơn trượt như thế nào,OK,HIGH
ZNDKxbLNQJE,11,30.979999542236328,33.97999954223633,3.0,Và thời gian qua thì rất nhiều cung đường lên Sapa và những vùng núi cao,Và thời gian qua thì rất nhiều cung đường lên Sapa và những vùng núi cao,Và thời gian qua thì rất nhiều cung đường lên Sapa và những vùng núi cao,OK,HIGH
ZNDKxbLNQJE,12,33.97999954223633,36.97999954223633,3.0,thì nhiều người đi xe máy cũng gặp những tình huống tương tự như thế này,thì nhiều người đi xe máy cũng gặp những tình huống tương tự như thế này,thì nhiều người đi xe máy cũng gặp những tình huống tương tự như thế này,OK,HIGH
ZNDKxbLNQJE,13,36.97999954223633,39.97999954223633,3.0,Và điều mà nhiều người dân cũng đang rất thắc mắc ở thời điểm này,Và điều mà nhiều người dân cũng đang rất thắc mắc ở thời điểm này,Và điều mà nhiều người dân cũng đang rất thắc mắc ở thời điểm này,OK,HIGH
ZNDKxbLNQJE,14,39.97999954223633,42.97999954223633,3.0,"là không biết là tình trạng giá rét, sương muối rồi rét đậm, rét hại","là không biết là tình trạng giá rét, sương muối rồi rét đậm, rét hại","là không biết là tình trạng giá rét, sương muối rồi rét đậm, rét hại",OK,HIGH
