video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
ZTJktBiMAvI,0,0.0,4.0,4.0,"Tiếp theo, biên tập viên thời tiết Thanh Tùng sẽ đem đến cho quý vị khán giả","Tiếp theo, biên tập viên thời tiết Thanh Tùng sẽ đem đến cho quý vị khán giả","Tiếp theo, biên tập viên thời tiết Thanh Tùng sẽ đem đến cho quý vị khán giả",OK,HIGH
ZTJktBiMAvI,1,4.0,6.0,2.0,những thông tin dự báo thời tiết cho ngày mai.,những thông tin dự báo thời tiết cho ngày mai.,những thông tin dự báo thời tiết cho ngày mai.,OK,HIGH
ZTJktBiMAvI,2,6.0,8.0,2.0,Xin mời anh Thanh Tùng.,Xin mời anh Thanh Tùng.,Xin mời anh Thanh Tùng.,OK,HIGH
ZTJktBiMAvI,3,8.0,10.0,2.0,"Vâng ạ, xin được cảm ơn anh Hoàng Dương và kính chào quý vị khán giả.","Vâng ạ, xin được cảm ơn anh Hoàng Dương và kính chào quý vị khán giả.","Vâng ạ, xin được cảm ơn anh Hoàng Dương và kính chào quý vị khán giả.",OK,HIGH
ZTJktBiMAvI,4,10.0,12.0,2.0,"Thưa quý vị, thông tin thời tiết đáng chú ý đó là chiều mai,","Thưa quý vị, thông tin thời tiết đáng chú ý đó là chiều mai,","Thưa quý vị, thông tin thời tiết đáng chú ý đó là chiều mai,",OK,HIGH
ZTJktBiMAvI,5,12.0,14.0,2.0,Nam Bộ sẽ có mưa trái mùa.,Nam Bộ sẽ có mưa trái mùa.,Nam Bộ sẽ có mưa trái mùa.,OK,HIGH
ZTJktBiMAvI,6,14.0,16.0,2.0,Còn sáng mai ở Bắc Bộ thì lại có sương mù nhẹ.,Còn sáng mai ở Bắc Bộ thì lại có sương mù nhẹ.,Còn sáng mai ở Bắc Bộ thì lại có sương mù nhẹ.,OK,HIGH
ZTJktBiMAvI,7,16.0,20.0,4.0,"Theo dự báo là ở vùng núi Bắc Bộ như là ở Y Tí thì sáng sớm mai,","Theo dự báo là ở vùng núi Bắc Bộ như là ở Y Tí thì sáng sớm mai,","Theo dự báo là ở vùng núi Bắc Bộ như là ở Y Tí thì sáng sớm mai,",OK,HIGH
ZTJktBiMAvI,8,20.0,24.0,4.0,sương mù có thể xuất hiện khiến tầm nhìn giảm xuống dưới 1km.,sương mù có thể xuất hiện khiến tầm nhìn giảm xuống dưới 1km.,sương mù có thể xuất hiện khiến tầm nhìn giảm xuống dưới 1km.,OK,HIGH
ZTJktBiMAvI,9,24.0,26.0,2.0,"Sương mù thì làm cho không gian ở đây huyền ảo hơn,","Sương mù thì làm cho không gian ở đây huyền ảo hơn,","Sương mù thì làm cho không gian ở đây huyền ảo hơn,",OK,HIGH
ZTJktBiMAvI,10,26.0,30.0,4.0,"tuy nhiên là sương mù dày lại khiến cho giao thông gặp nhiều khó khăn,","tuy nhiên là sương mù dày lại khiến cho giao thông gặp nhiều khó khăn,","tuy nhiên là sương mù dày lại khiến cho giao thông gặp nhiều khó khăn,",OK,HIGH
ZTJktBiMAvI,11,30.0,32.0,2.0,nhất là ở những cung đường đèo núi quanh co như thế này.,nhất là ở những cung đường đèo núi quanh co như thế này.,nhất là ở những cung đường đèo núi quanh co như thế này.,OK,HIGH
ZTJktBiMAvI,12,32.0,36.0,4.0,"Chính vì vậy khi di chuyển, quý vị hãy chú ý là chúng ta cần bật đèn vàng,","Chính vì vậy khi di chuyển, quý vị hãy chú ý là chúng ta cần bật đèn vàng,","Chính vì vậy khi di chuyển, quý vị hãy chú ý là chúng ta cần bật đèn vàng,",OK,HIGH
ZTJktBiMAvI,13,36.0,40.0,4.0,"di chuyển và chú ý quan sát thật là kỹ, không đột ngột đạp phanh","di chuyển và chú ý quan sát thật là kỹ, không đột ngột đạp phanh","di chuyển và chú ý quan sát thật là kỹ, không đột ngột đạp phanh",OK,HIGH
ZTJktBiMAvI,14,40.0,44.0,4.0,"bởi vì việc đạp phanh gấp thì sẽ khiến cho những người đằng sau không kịp xử lý,","bởi vì việc đạp phanh gấp thì sẽ khiến cho những người đằng sau không kịp xử lý,","bởi vì việc đạp phanh gấp thì sẽ khiến cho những người đằng sau không kịp xử lý,",OK,HIGH
ZTJktBiMAvI,15,44.0,46.0,2.0,dẫn đến những va chạm có thể xảy ra.,dẫn đến những va chạm có thể xảy ra.,dẫn đến những va chạm có thể xảy ra.,OK,HIGH
ZTJktBiMAvI,16,46.0,50.0,4.0,"Với thời tiết của khu vực Nam Bộ thì chiều mai sẽ có mưa trái mùa ở nhiều nơi,","Với thời tiết của khu vực Nam Bộ thì chiều mai sẽ có mưa trái mùa ở nhiều nơi,","Với thời tiết của khu vực Nam Bộ thì chiều mai sẽ có mưa trái mùa ở nhiều nơi,",OK,HIGH
ZTJktBiMAvI,17,50.0,54.0,4.0,"trong đó có thành phố Hồ Chí Minh và hầu hết các nơi khác ở cả miền Đông và miền Tây Nam Bộ,","trong đó có thành phố Hồ Chí Minh và hầu hết các nơi khác ở cả miền Đông và miền Tây Nam Bộ,","trong đó có thành phố Hồ Chí Minh và hầu hết các nơi khác ở cả miền Đông và miền Tây Nam Bộ,",OK,HIGH
ZTJktBiMAvI,18,54.0,56.0,2.0,trong đó có những điểm mưa vừa mưa to.,trong đó có những điểm mưa vừa mưa to.,trong đó có những điểm mưa vừa mưa to.,OK,HIGH
ZTJktBiMAvI,19,56.0,60.0,4.0,"Trong cơn giông, quý vị cần phải để ý đến một số hiện tượng thời tiết nguy hiểm","Trong cơn giông, quý vị cần phải để ý đến một số hiện tượng thời tiết nguy hiểm","Trong cơn giông, quý vị cần phải để ý đến một số hiện tượng thời tiết nguy hiểm",OK,HIGH
ZTJktBiMAvI,20,60.0,62.0,2.0,"như tố lốc, sấm xét hay gió giật mạnh.","như tố lốc, sấm xét hay gió giật mạnh.","như tố lốc, sấm xét hay gió giật mạnh.",OK,HIGH
ZTJktBiMAvI,21,62.0,67.0,5.0,Còn bây giờ chúng tôi xin chuyển sang phần dự báo cho một số thành phố trong đêm nay và ngày mai.,Còn bây giờ chúng tôi xin chuyển sang phần dự báo cho một số thành phố trong đêm nay và ngày mai.,Còn bây giờ chúng tôi xin chuyển sang phần dự báo cho một số thành phố trong đêm nay và ngày mai.,OK,HIGH
ZTJktBiMAvI,22,71.0,74.0,3.0,"Thủ đô Hà Nội đêm nay không mưa, trời zét 15 độ,","Thủ đô Hà Nội đêm nay không mưa, trời zét 15 độ,","Thủ đô Hà Nội đêm nay không mưa, trời zét 15 độ,",OK,HIGH
ZTJktBiMAvI,23,74.0,77.0,3.0,"sáng sớm mai sương mù nhẹ, chưa trời nắng ấm 24 độ.","sáng sớm mai sương mù nhẹ, chưa trời nắng ấm 24 độ.","sáng sớm mai sương mù nhẹ, chưa trời nắng ấm 24 độ.",OK,HIGH
