video_id,segment_id,start,end,duration,text_whisper,text_clean,text_final,review_decision,quality_level
_-xoRM6YrpM,0,0.0,9.0,9.0,"Thưa quý vị, mưa lớn đã quay trở lại khu vực trung bộ từ đêm qua, với lượng mưa có nơi là lên tới 700mm.","Thưa quý vị, mưa lớn đã quay trở lại khu vực trung bộ từ đêm qua, với lượng mưa có nơi lên tới 700mm.","Thưa quý vị, mưa lớn đã quay trở lại khu vực trung bộ từ đêm qua, với lượng mưa có nơi lên tới 700mm.",OK,HIGH
_-xoRM6YrpM,1,11.0,21.0,10.0,"Chiều nay, lũ trên sông Thạch Hãn, sông Hiếu lên Báo Động 3 đã gây ngập lụt trên dựa rộng ở tất cả các huyện, thị xã, thành phố, tỉnh Quảng Trị, trong đó thành phố Đông Hà bị ngập lụt hoàn toàn.","Chiều nay, lũ trên sông Thạch Hãn và sông Hiếu đã lên mức Báo Động 3, gây ngập lụt diện rộng ở tất cả các huyện, thị xã, thành phố thuộc tỉnh Quảng Trị, trong đó thành phố Đông Hà bị ngập hoàn toàn.","Chiều nay, lũ trên sông Thạch Hãn và sông Hiếu đã lên mức Báo Động 3, gây ngập lụt diện rộng ở tất cả các huyện, thị xã, thành phố thuộc tỉnh Quảng Trị, trong đó thành phố Đông Hà bị ngập hoàn toàn.",OK,HIGH
_-xoRM6YrpM,2,21.0,27.0,6.0,"Trên quốc lộ 9 và tuyến đường Hồ Chí Minh xuất hiện nhiều điểm sạt lở, hàng trăm xe bị ách tắt.","Trên quốc lộ 9 và tuyến đường Hồ Chí Minh đã xuất hiện nhiều điểm sạt lở, khiến hàng trăm xe bị ách tắc.","Trên quốc lộ 9 và tuyến đường Hồ Chí Minh đã xuất hiện nhiều điểm sạt lở, khiến hàng trăm xe bị ách tắc.",OK,HIGH
_-xoRM6YrpM,3,27.0,41.0,14.0,"Trong một vụ việc thương tâm vừa xảy ra lúc dạo sáng nay, khu nhà của chị Hồ Thị La Hàn, chú ở thôn Tà Rùng, xã Húc, huyện Hương Hóa, bất ngờ bị sập, khiến chị và con gái 9 tháng tuổi bị vui lấp, người mẹ bị gãy tay, còn con gái không qua khỏi.","Trong một vụ việc thương tâm xảy ra vào rạng sáng nay, khu nhà của chị Hồ Thị La Hàn, trú tại thôn Tà Rùng, xã Húc, huyện Hương Hóa, bất ngờ bị sập, khiến chị và con gái 9 tháng tuổi bị vùi lấp, người mẹ bị gãy tay, còn con gái không qua khỏi.","Trong một vụ việc thương tâm xảy ra vào rạng sáng nay, khu nhà của chị Hồ Thị La Hàn, trú tại thôn Tà Rùng, xã Húc, huyện Hương Hóa, bất ngờ bị sập, khiến chị và con gái 9 tháng tuổi bị vùi lấp, người mẹ bị gãy tay, còn con gái không qua khỏi.",OK,HIGH
_-xoRM6YrpM,4,41.0,45.0,4.0,"Như vậy, tính đến thời điểm này, địa phương đã có 17 người thiệt mạng do mưa lũ.","Tính đến thời điểm này, địa phương đã ghi nhận 17 người thiệt mạng do mưa lũ.","Tính đến thời điểm này, địa phương đã ghi nhận 17 người thiệt mạng do mưa lũ.",OK,HIGH
_-xoRM6YrpM,5,46.0,58.0,12.0,"Còn tại Quảng Nam, hai ngày nay mưa lớn tiếp tục chút xuống, khiến mực nước trên các sông lên nhanh. Nhiều khu vực ở Hạ Du bị ngập, nhiều tuyến đường giao thông bị sạt lở.","Tại Quảng Nam, trong hai ngày qua, mưa lớn tiếp tục diễn ra, khiến mực nước trên các sông dâng nhanh, nhiều khu vực ở hạ du bị ngập và nhiều tuyến đường giao thông bị sạt lở.","Tại Quảng Nam, trong hai ngày qua, mưa lớn tiếp tục diễn ra, khiến mực nước trên các sông dâng nhanh, nhiều khu vực ở hạ du bị ngập và nhiều tuyến đường giao thông bị sạt lở.",OK,HIGH
_-xoRM6YrpM,6,58.0,68.0,10.0,"Huyện Tây Giang đã sơ tán khẩn cấp hơn 200 em học sinh, trường chuộc phổ thông Võ Trí Công tại xã biên giới A San về trung tâm huyện để tránh nguy cơ cao xảy ra sạt lở đất ở đây.",Huyện Tây Giang đã khẩn cấp sơ tán hơn 200 em học sinh của Trường Phổ thông Võ Trí Công tại xã biên giới A San về trung tâm huyện để tránh nguy cơ sạt lở đất cao tại khu vực này.,Huyện Tây Giang đã khẩn cấp sơ tán hơn 200 em học sinh của Trường Phổ thông Võ Trí Công tại xã biên giới A San về trung tâm huyện để tránh nguy cơ sạt lở đất cao tại khu vực này.,OK,HIGH
_-xoRM6YrpM,7,68.0,77.0,9.0,"Trong ngày hôm qua, lực lượng chức năng đã tiếp cận được làng A U, xã A Vương bị cô lập gần một tháng qua, mang theo lương thực mì chính muối trắng cho bà con.","Trong ngày hôm qua, lực lượng chức năng đã tiếp cận được làng A U, xã A Vương, nơi bị cô lập gần một tháng qua, mang theo lương thực, mì chính và muối trắng cho bà con.","Trong ngày hôm qua, lực lượng chức năng đã tiếp cận được làng A U, xã A Vương, nơi bị cô lập gần một tháng qua, mang theo lương thực, mì chính và muối trắng cho bà con.",OK,HIGH
_-xoRM6YrpM,8,77.0,84.0,7.0,"Theo cơ quan chức năng, 52 hộ dân với 180 người, tất cả là người cơ tu cần phải được ti rời khẩn cấp.","Theo cơ quan chức năng, 52 hộ dân với 180 người, tất cả đều là người Cơ Tu, cần phải được di dời khẩn cấp.","Theo cơ quan chức năng, 52 hộ dân với 180 người, tất cả đều là người Cơ Tu, cần phải được di dời khẩn cấp.",OK,HIGH
_-xoRM6YrpM,9,85.0,95.0,10.0,"Tại Huế, sau gần một tuần bị chìm trong nước lũ, chưa kịp dọn dẹp nhà cửa, ổn định lại cuộc sống, thì người dân lại tiếp tục đón trận lũ mới.","Tại Huế, sau gần một tuần chìm trong nước lũ và chưa kịp dọn dẹp nhà cửa, ổn định cuộc sống, người dân lại phải đối mặt với trận lũ mới, gây khó khăn cho đời sống do lũ chồng lũ và mất điện kéo dài.","Tại Huế, sau gần một tuần bị chìm trong nước lũ, chưa kịp dọn dẹp nhà cửa, ổn định lại cuộc sống, thì người dân lại tiếp tục đón trận lũ mới.",REVERT,HIGH
