id,start,end,duration,text_len,text,video_id
0,0.0,9.0,9.0,104,"Thưa quý vị, mưa lớn đã quay trở lại khu vực trung bộ từ đêm qua, với lượng mưa có nơi là lên tới 700mm.",_-xoRM6YrpM
1,11.0,21.0,10.0,194,"Chiều nay, lũ trên sông Thạch Hãn, sông Hiếu lên Báo Động 3 đã gây ngập lụt trên dựa rộng ở tất cả các huyện, thị xã, thành phố, tỉnh Quảng Trị, trong đó thành phố Đông Hà bị ngập lụt hoàn toàn.",_-xoRM6YrpM
2,21.0,27.0,6.0,95,"Trên quốc lộ 9 và tuyến đường Hồ Chí Minh xuất hiện nhiều điểm sạt lở, hàng trăm xe bị ách tắt.",_-xoRM6YrpM
3,27.0,41.0,14.0,244,"Trong một vụ việc thương tâm vừa xảy ra lúc dạo sáng nay, khu nhà của chị Hồ Thị La Hàn, chú ở thôn Tà Rùng, xã Húc, huyện Hương Hóa, bất ngờ bị sập, khiến chị và con gái 9 tháng tuổi bị vui lấp, người mẹ bị gãy tay, còn con gái không qua khỏi.",_-xoRM6YrpM
4,41.0,45.0,4.0,80,"Như vậy, tính đến thời điểm này, địa phương đã có 17 người thiệt mạng do mưa lũ.",_-xoRM6YrpM
5,46.0,58.0,12.0,171,"Còn tại Quảng Nam, hai ngày nay mưa lớn tiếp tục chút xuống, khiến mực nước trên các sông lên nhanh. Nhiều khu vực ở Hạ Du bị ngập, nhiều tuyến đường giao thông bị sạt lở.",_-xoRM6YrpM
6,58.0,68.0,10.0,178,"Huyện Tây Giang đã sơ tán khẩn cấp hơn 200 em học sinh, trường chuộc phổ thông Võ Trí Công tại xã biên giới A San về trung tâm huyện để tránh nguy cơ cao xảy ra sạt lở đất ở đây.",_-xoRM6YrpM
7,68.0,77.0,9.0,159,"Trong ngày hôm qua, lực lượng chức năng đã tiếp cận được làng A U, xã A Vương bị cô lập gần một tháng qua, mang theo lương thực mì chính muối trắng cho bà con.",_-xoRM6YrpM
8,77.0,84.0,7.0,101,"Theo cơ quan chức năng, 52 hộ dân với 180 người, tất cả là người cơ tu cần phải được ti rời khẩn cấp.",_-xoRM6YrpM
9,85.0,95.0,10.0,141,"Tại Huế, sau gần một tuần bị chìm trong nước lũ, chưa kịp dọn dẹp nhà cửa, ổn định lại cuộc sống, thì người dân lại tiếp tục đón trận lũ mới.",_-xoRM6YrpM
10,95.0,99.0,4.0,76,"Lũ trồng lũ, mất điện nhiều ngày, đời sống người dân gặp rất nhiều khó khăn.",_-xoRM6YrpM
11,99.0,108.0,9.0,167,"Sáng nay, lực lượng chức năng huyện A Lười đã tìm được thi thể một nạn nhân là cán bộ trạm y tế xã Lâm Đớt bị mất tích do mưa lũ từ tối qua khi đang trên đường về nhà.",_-xoRM6YrpM
12,108.0,113.0,5.0,105,Hiện chính quyền đang nỗ lực đưa các mặt hàng nhu yếu phẩm thiết yếu đến với người dân ở vùng thấp trũng.,_-xoRM6YrpM
13,115.0,122.0,7.0,134,"Trong khi nước lũ của đợt mưa vừa qua chưa kịp rút hết, thì chiều nay người dân ở Quảng Bình lại đang phải đối mặt với đợt mưa lũ mới.",_-xoRM6YrpM
14,122.0,127.0,5.0,73,"Chỉ sau chờ đầy 24 giờ, nhiều nhà ở của người dân lại chìm trong nước lũ.",_-xoRM6YrpM
15,127.0,129.0,2.0,47,Phóng viên Phùng Hiệp thông tin từ hiện trường.,_-xoRM6YrpM
16,133.0,140.0,7.0,120,"Thưa quý vị và các bạn, tôi đang có mặt ở ngay bên quốc lộ 1A, đoạn đi qua xã Hồng Thủy, huyện Lệ Thủy, tỉnh Quảng Bình.",_-xoRM6YrpM
17,140.0,147.0,7.0,116,Với việc địa phương này liên tục có mưa lớn từ trưa ngày hôm qua 16 tháng 10 năm 2020 đến tận bây giờ vẫn chưa ngớt.,_-xoRM6YrpM
18,147.0,151.0,4.0,74,Và điều này đã khiến cho mực nước tại các sông ở tỉnh Quảng Bình dâng cao.,_-xoRM6YrpM
19,151.0,156.0,5.0,70,Hiện nay thì mực nước tại sông Kiên Giang đã vượt trên mức báo động 3.,_-xoRM6YrpM
20,156.0,162.0,6.0,120,Với tình hình mưa lũ như thế này thì chắc chắn trên tuyến quốc lộ 1A sẽ có rất nhiều điểm là sẽ bị ngập úng như thế này.,_-xoRM6YrpM
21,162.0,169.0,7.0,111,Thì đến chiều nay ngày 17 tháng 10 năm 2020 thì tại tỉnh Quảng Bình đã có thêm hàng chục nghìn căn nhà bị ngập.,_-xoRM6YrpM
22,169.0,172.0,3.0,73,Và hiện nay thì đời sống của bà con đang gặp rất là nhiều những khó khăn.,_-xoRM6YrpM
23,172.0,179.0,7.0,120,Với việc lũ trùng lũ như thế này thì nó sẽ gây rất nhiều những ảnh hưởng nặng nề đến cuộc sống của người dân địa phương.,_-xoRM6YrpM
24,179.0,188.0,9.0,127,Khi mà nguồn lương thực dự trữ đã có phần cạn kiệt và những hoạt động sinh hoạt đời thường thì sẽ bị gián đoạn do nước bao vây.,_-xoRM6YrpM
25,188.0,191.0,3.0,64,Và quá trình giao thông đi lại thì gặp rất nhiều những khó khăn.,_-xoRM6YrpM
26,191.0,195.0,4.0,76,Có điều đáng lưu ý khi chúng tôi đi thực tế các địa phương ở tỉnh Quảng Bình,_-xoRM6YrpM
27,195.0,199.0,4.0,74,đó là hiện nay số lượng áo phao có trong nhà các hộ dân là rất là hạn chế.,_-xoRM6YrpM
28,199.0,205.0,6.0,96,Và chính vì vậy thì nó sẽ tiềm ẩn nhiều cái nguy cơ mất an toàn đối với người dân địa phương này,_-xoRM6YrpM
29,205.0,208.0,3.0,44,khi mà lũ đang có xu hướng tiếp tục dần cao.,_-xoRM6YrpM
30,208.0,209.0,1.0,19,Xin mời chủng quay.,_-xoRM6YrpM
